Collocation,2013-09-07
KeyWord,δικαι
Instances,55
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,δικαι,87.2798492722213,25,18,7,2,3,0,4,9,0,1,3,0,1,2,"δίκαιον-τό (6), δικαίως-τό (4), δικαίως-τόν (3), δικαίων-τούς (2), δικαίοις-τοῖς (2), δίκαια-τά (2), δικαίων-τῶν (1), δικαίως-τούς (1), δίκαιον-τόν (1), δίκαιος-τό (1), δικαίως-τῶν (1), δικαίων-τό (1)"
οὐ,δικαι,77.3979370961897,14,8,6,2,1,0,1,4,0,4,0,0,2,0,"δικαίως-οὐ (5), δικαίας-οὐκ (4), δικαίως-οὐκ (2), δικαίοις-οὐ (1), δίκαιος-οὐκ (1), δικαίως-οὔ (1)"
καί,δικαι,64.6848318101838,17,10,7,1,4,2,2,1,0,2,1,0,3,1,"δίκαιον-καί (4), δίκαια-καί (3), δικαίας-καί (2), δικαία-καί (2), δικαίως-καί (2), δικαίοις-καί (1), δικαίων-καί (1), δίκαιος-καί (1), δικαιωθείς-καί (1)"
ὅδε,δικαι,62.8043140787631,13,9,4,1,4,2,2,0,0,2,1,0,0,1,"δίκαια-τῷδ' (1), δικαίας-τῆσδε (1), δικαίως-τῆσδε (1), δικαίαν-τούσδ' (1), δίκαια-τάδε (1), δικαίας-τάδ' (1), δικαίως-τῶνδ' (1), δικαίως-τόνδ' (1), δίκαιος-τῶνδ' (1), δικαίως-τῷδ' (1), δικαίων-τῶνδ' (1), δίκαιος-τοῦδε (1), δίκαιος-τόνδ' (1)"
‘ἀπάτης,δικαι,59.8622497622855,4,3,1,0,0,0,0,3,0,0,0,0,1,0,"δικαίας-‘ἀπάτης (3), δικαία-‘ἀπάτης (1)"
ἀποστατέω,δικαι,57.6091068061069,5,0,5,0,0,0,0,0,0,0,5,0,0,0,"δικαίας-ἀποστατεῖ (4), δικαίων-ἀποστατεῖ (1)"
μή,δικαι,52.3550727879629,9,3,6,1,0,0,0,2,0,1,3,1,0,1,"δίκαια-μή (4), δικαίως-μή (3), δίκαιον-μή (2)"
βροτός,δικαι,43.9006729130633,6,3,3,0,1,1,0,1,0,0,0,1,2,0,"δικαίως-βροτοί (3), δίκαιον-βροτοῖς (1), δικαίας-βροτούς (1), δίκαιον-βροτούς (1)"
ἔχθω,δικαι,40.3422296931967,3,0,3,0,0,0,0,0,0,0,3,0,0,0,"δικαίως-ἔχθουσι (2), δικαίως-ἔχθουσιν (1)"
θεός’,δικαι,35.2835116148926,3,0,3,0,0,0,0,0,0,0,0,3,0,0,δικαίας-θεός’ (3)
χο,δικαι,33.7191120847128,7,1,6,0,0,1,0,0,0,0,0,0,3,3,"δικαίως-χο (2), δικαίας-χο (2), δίκαια-χο (1), δικαίαν-χο (1), δικαίων-χο (1)"
εἰμί,δικαι,31.7742960662581,8,3,5,1,0,1,0,1,0,4,1,0,0,0,"δίκαιος-ὤν (2), δίκαιον-ἦν (1), δικαίως-ἦν (1), δικαία-ἔστι (1), δικαίως-ἔστιν (1), δικαίως-ὤν (1), δικαίως-εἶναι (1)"
πόλις,δικαι,31.5052733505145,5,2,3,1,0,1,0,0,0,1,0,0,2,0,"δικαίως-πόλεως (1), δίκαια-πόλις (1), δικαίων-πόλιν (1), δίκαιον-πόλις (1), δικαίως-πόλιν (1)"
δικαι,δικαι,31.2474416214973,4,2,2,1,0,1,0,0,55,0,0,1,0,1,"δίκαια-δίκαια (2), δικαίας-δικαία (1), δικαία-δικαίας (1), δικαίου-δικαίου (0), δικαίων-δικαίων (0), δικαίας-δικαίας (0), δικαίαν-δικαίαν (0), δικαίοις-δικαίοις (0), δικαίως-δικαίως (0), δίκαιον-δίκαιον (0), δικαία-δικαία (0), δίκαιος-δίκαιος (0), δικαιωθείς-δικαιωθείς (0)"
τε,δικαι,30.963265539147,8,3,5,1,1,0,0,1,0,2,0,1,1,1,"δίκαιον-τε (2), δικαίως-τε (2), δικαίων-θ' (1), δικαιωθείς-τε (1), δικαίων-τ' (1), δίκαιος-τε (1)"
