Collocation,2013-09-07
KeyWord,οσι
Instances,7
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
δέ,οσι,19.6938709099777,4,2,2,0,1,0,0,1,0,1,0,0,0,1,"ὅσιαι-δέ (2), ὅσια-δ' (1), ὅσιος-δ' (1)"
Ζεύς,οσι,19.2724732114002,2,2,0,0,2,0,0,0,0,0,0,0,0,0,"ὁσίαις-Ζεύς (1), ὁσίων-Ζεύς (1)"
μομφή,οσι,19.1641385159455,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ὅσιος-μομφῆς (1)
οἰκοφύλαξ,οσι,19.1641385159455,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ὁσίων-οἰκοφύλαξ (1)
προσέβατο,οσι,19.1641385159455,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ὅσια-προσέβατο (1)
βούφονος,οσι,19.1641385159455,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ὁσίαις-βουφόνοις (1)
δράσιν,οσι,19.1641385159455,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ὁσίη-δράσιν (1)
ποτινίσσομαι,οσι,19.1641385159455,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ὁσίαις-ποτινισσομένα (1)
χείρ,οσι,19.0656970180571,2,2,0,0,1,0,1,0,0,0,0,0,0,0,"ὅσιαι-χέρες (1), ὅσια-χερῶν (1)"
’οὐχ,οσι,16.3916772245429,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ὁσίη-’οὐχ (1)
412,οσι,16.3916772245429,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ὁσίη-412 (1)
οὗπερ,οσι,16.3916772245429,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ὅσιος-οὗπερ (1)
εἰκότως,οσι,16.3916772245429,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ὅσια-εἰκότως (1)
παλίντροπος,οσι,16.3916772245429,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ὅσια-παλιντρόποις (1)
ἐλινύω,οσι,16.3916772245429,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ὁσίαις-ἐλινύσαιμι (1)
θοίνη,οσι,15.3453083699569,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ὁσίαις-θοίναις (1)
παρ,οσι,14.6658396557905,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ὁσίαις-παρ (1)
δύναμις,οσι,14.1606240128167,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ὅσια-δύναμιν (1)
ἔννομος,οσι,14.1606240128167,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ὅσια-ἐννόμοις (1)
ἄδικος,οσι,13.7580411788076,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ὅσια-ἄδικα (1)
στυγερός,οσι,13.4232746674679,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ὅσιαι-στυγερῶν (1)
ιἕρη,οσι,13.4232746674679,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ὅσιος-ἱερῶν (1)
od,οσι,13.1367079820484,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ὁσίη-od (1)
σωτήρ,οσι,12.6636259770021,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ὁσίων-σωτήρ (1)
φθίω,οσι,12.1147440792993,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ὁσίη-φθιμένοισιν (1)
λιπάω,οσι,11.9608732908964,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ὅσια-λιποῦς' (1)
