Collocation,2013-09-07
KeyWord,σωφρ
Instances,11
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,σωφρ,64.9051244954462,14,9,5,1,1,2,2,3,0,2,0,1,0,2,"σωφροσύνην-τόν (2), σώφροσι-τῶν (2), σωφρονέστατοι-οἱ (1), σωφρόνων-τῶν (1), σωφρονέστεροι-τῶν (1), σωφρονεστάτην-τήν (1), σώφρονες-τούς (1), σωφροσύνην-τήν (1), σωφρονεῖν-οἱ (1), σωφρονεστάτην-τόν (1), σωφρονεῖν-τό (1), σώφροσι-τοῖς (1)"
εἰμί,σωφρ,31.0084385614027,6,2,4,0,0,0,2,0,0,2,1,1,0,0,"σωφρονεστάτην-οὖσαν (1), σώφρονες-ἦσαν (1), σωφρονέστεροι-ὄντες (1), σωφρονέστεροι-ἦσαν (1), σωφρόνων-ἔστι (1), σωφρόνων-εἶναι (1)"
ἐπιστάζω,σωφρ,26.0565150341135,2,1,1,0,1,0,0,0,0,0,0,0,1,0,σωφρονεῖν-ἐπιστάμενον (2)
καί,σωφρ,21.9694043752388,6,3,3,0,0,0,0,3,0,2,1,0,0,0,"σωφρονέστεροι-καί (2), σωφρονεῖν-καί (2), σωφρόνων-καί (1), σώφρονες-καί (1)"
πλησίος,σωφρ,14.8372895076755,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σωφρονεῖν-πλησίον (1)
πολίτης,σωφρ,14.8168038735748,2,1,1,0,0,0,0,1,0,0,0,0,1,0,"σωφρονεῖν-πολῖται (1), σωφρόνων-πολιτῶν (1)"
δικαι,σωφρ,14.6947095216601,2,1,1,0,0,0,1,0,0,0,1,0,0,0,σωφρονέστεροι-δικαιότεροι (2)
ὥστε,σωφρ,14.2410680932808,2,1,1,0,1,0,0,0,0,0,0,1,0,0,"σωφρονεστάτην-ὥστ' (1), σώφροσι-ὥστε (1)"
τοίνυν,σωφρ,14.0325074518332,2,0,2,0,0,0,0,0,0,0,0,0,2,0,"σωφρόνων-τοίνυν (1), σωφρονέστεροι-τοίνυν (1)"
ἀγαθός,σωφρ,13.932246147946,2,2,0,0,0,0,2,0,0,0,0,0,0,0,"σώφρονες-ἀγαθοί (1), σωφρόνων-ἀγαθῶν (1)"
ἐπεί,σωφρ,13.8344872497255,2,0,2,0,0,0,0,0,0,0,0,1,1,0,"σωφρονέστεροι-ἐπεί (1), σωφρόνων-ἐπειδή (1)"
πλοῦτων,σωφρ,12.0658443941502,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σωφροσύνην-πλοῦτον (1)
ὁμονοέω,σωφρ,12.0658443941502,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σωφρονεῖν-ὁμονοεῖν (1)
κίμων,σωφρ,12.0658443941502,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σώφρονες-κίμωνα (1)
μεταγιγνώσκω,σωφρ,12.0658443941502,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σωφρονέστατοι-μεταγιγνώσκωσι (1)
μηκέτι,σωφρ,12.0658443941502,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σώφροσι-μηκέτι (1)
ἀπολείπω,σωφρ,12.0658443941502,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σωφρονεστάτην-ἀπολιπεῖν (1)
φυλάσσω,σωφρ,11.020491780655,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σωφρόνων-φυλάττεσθαι (1)
ἐξοστρακίζω,σωφρ,11.020491780655,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σώφρονες-ἐξωστράκισαν (1)
ἱκανός,σωφρ,10.3420393730048,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σώφροσι-ἱκανά (1)
ὑπερβάλλω,σωφρ,10.3420393730048,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σωφρόνων-ὑπερβάλλουσαν (1)
ἐλάχιστος,σωφρ,10.3420393730048,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σωφρονέστατοι-ἐλάχιστα (1)
ἀνήρ,σωφρ,9.95783860672964,2,1,1,0,0,1,0,0,0,1,0,0,0,0,σωφρόνων-ἀνδρῶν (2)
τάχιστος,σωφρ,9.43627369875321,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σωφρονέστατοι-τάχιστα (1)
