Collocation,2013-09-07
KeyWord,φρον
Instances,4
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ἔργον,φρον,29.5337580402957,3,1,2,1,0,0,0,0,0,0,0,1,0,1,"φροντίδος-ἔργα (1), φροντίδας-ἔργα (1), φροντίδα-ἔργων (1)"
ὁ,φρον,23.5395340583964,5,2,3,0,1,0,0,1,0,0,1,0,2,0,"φροντίδος-τῆς (2), φροντίδας-τάς (1), φροντίδας-τόν (1), φροντίδας-τά (1)"
ἀηδής,φρον,22.0043388712038,2,0,2,0,0,0,0,0,0,1,0,0,1,0,"φροντίδα-ἀηδεστάτην (1), φροντίδος-ἀηδεστάτης (1)"
μέν,φρον,21.3023330795622,3,1,2,0,0,0,1,0,0,1,0,1,0,0,"φροντίδος-μέν (1), φροντίδα-μέν (1), φροντίδας-μέν (1)"
οὔτε,φρον,20.2803871913602,2,1,1,0,1,0,0,0,0,0,1,0,0,0,φροντίδας-οὔτε (2)
ἡδύς,φρον,17.4562195431063,2,1,1,0,0,0,1,0,0,0,0,0,0,1,"φροντίδας-ἡδείας (1), φροντίδα-ἡδίστην (1)"
εἰμί,φρον,17.2272754701153,3,1,2,0,1,0,0,0,0,1,1,0,0,0,"φροντίδας-εἶναι (2), φροντίδα-εἶναι (1)"
ἀπαλλάσσω,φρον,12.5724460557758,1,0,1,0,0,0,0,0,0,0,0,0,0,1,φροντίδος-ἀπηλλάχθαι (1)
προσδέχομαι,φρον,12.5724460557758,1,1,0,0,0,1,0,0,0,0,0,0,0,0,φροντίδας-προσδέχεσθαι (1)
ἀδεής,φρον,12.5724460557758,1,1,0,0,0,0,0,1,0,0,0,0,0,0,φροντίδας-ἀδεῶς (1)
ἐργάσιμος,φρον,12.5724460557758,1,1,0,0,0,0,1,0,0,0,0,0,0,0,φροντίδος-ἐργάσιμον (1)
ἐγείρω,φρον,12.5724460557758,1,1,0,0,0,1,0,0,0,0,0,0,0,0,φροντίδας-ἐγρηγορόσιν (1)
ἄλυπος,φρον,12.5724460557758,1,0,1,0,0,0,0,0,0,0,1,0,0,0,φροντίδας-ἀλύπους (1)
συνίημι,φρον,12.5724460557758,1,1,0,0,1,0,0,0,0,0,0,0,0,0,φροντίδα-συνεῖναι (1)
ὕπνος,φρον,9.80306417555767,1,0,1,0,0,0,0,0,0,0,0,0,0,1,φροντίδας-ὕπνον (1)
δέ,φρον,9.29321058986898,2,0,2,0,0,0,0,0,0,1,0,0,1,0,"φροντίδα-δέ (1), φροντίδος-δέ (1)"
περί,φρον,7.58125948517409,1,0,1,0,0,0,0,0,0,0,0,1,0,0,φροντίδας-περί (1)
πρᾶγμα,φρον,7.58125948517409,1,1,0,0,0,1,0,0,0,0,0,0,0,0,φροντίδα-πραγμάτων (1)
4,φρον,7.58125948517409,1,1,0,0,0,0,0,1,0,0,0,0,0,0,φροντίδος-4 (1)
ζωός,φρον,7.18176292675707,1,1,0,0,0,1,0,0,0,0,0,0,0,0,φροντίδος-ζωῆς (1)
ἀλλά,φρον,5.56011804887748,1,1,0,0,0,0,1,0,0,0,0,0,0,0,φροντίδας-ἀλλά (1)
εἰς,φρον,4.69306135623265,1,0,1,0,0,0,0,0,0,0,0,1,0,0,φροντίδας-ἐς (1)
γάρ,φρον,4.25267993299349,1,1,0,0,0,0,0,1,0,0,0,0,0,0,φροντίδα-γάρ (1)
καί,φρον,1.40000068944209,1,1,0,1,0,0,0,0,0,0,0,0,0,0,φροντίδας-καί (1)
αν,φρον,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,φροντίδας-αν (1)
δίστηι,φρον,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,φροντίδα-δίστηι (1)
φρον,φρον,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,"φροντίδος-φροντίδος (0), φροντίδας-φροντίδας (0), φροντίδα-φροντίδα (0)"
