Collocation,2013-09-07
KeyWord,σοφ
Instances,3
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ἐάν,σοφ,65.738583659313,6,3,3,1,0,0,2,0,0,2,0,0,1,0,σοφίαν-ἐάν (6)
τε,σοφ,44.2042877785279,6,3,3,0,1,0,0,2,0,0,2,0,0,1,σοφίαν-τε (6)
ἤ,σοφ,39.7817381221212,4,2,2,0,0,1,0,1,0,1,0,1,0,0,σοφούς-ἤ (4)
ανδρει,σοφ,27.5473767059048,2,0,2,0,0,0,0,0,0,0,0,1,1,0,"σοφίαν-ἀνδρείαν (1), σοφούς-ἀνδρείους (1)"
βέλτιστος,σοφ,13.2520422029593,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σοφίαν-βέλτιστον (1)
εὐγλωσσία,σοφ,10.4815908039782,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σοφίαν-εὐγλωσσίαν (1)
ἰσχύς,σοφ,10.4815908039782,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σοφίαν-ἰσχύν (1)
χρονόω,σοφ,10.4815908039782,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σοφούς-χρόνου (1)
ὀλιγόω,σοφ,10.4815908039782,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σοφούς-ὀλίγου (1)
πλούσιος,σοφ,10.4815908039782,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σοφούς-πλουσίους (1)
τέλος,σοφ,8.25657412138753,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σοφίαν-τέλος (1)
ἀγαθός,σοφ,6.22684206765553,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σοφούς-ἀγαθούς (1)
εἰς,σοφ,5.35223819606108,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σοφίαν-εἰς (1)
γίγνομαι,σοφ,4.82859218178419,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σοφούς-γενομένους (1)
οὗτος,σοφ,3.8438458427554,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σοφίαν-τούτωι (1)
ὁ,σοφ,1.27371551544638,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σοφίαν-τό (1)
σοφ,σοφ,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,"σοφούς-σοφούς (0), σοφίαν-σοφίαν (0)"
