Collocation,2013-09-07
KeyWord,δικαι
Instances,15
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,δικαι,76.8944461502833,15,8,7,3,2,3,0,0,0,0,3,3,0,1,"δίκαια-τό (4), δικαίων-τά (3), δικαίων-τῶν (3), δικαιοσύνηι-τούς (1), δικαίου-τό (1), δίκαιον-τό (1), δίκαιος-ὁ (1), δίκαιος-τῆς (1)"
νόμος,δικαι,31.4508844262164,4,4,0,0,0,0,0,4,0,0,0,0,0,0,"δικαίων-νόμον (3), δίκαιον-νόμου (1)"
πολέμιος,δικαι,29.7074896846316,3,0,3,0,0,0,0,0,0,3,0,0,0,0,δικαίων-πολεμίως (3)
εἱρμός,δικαι,26.0222697641293,2,0,2,0,0,0,0,0,0,0,0,0,2,0,δικαίων-ει (2)
λλους,δικαι,26.0222697641293,2,0,2,0,0,0,0,0,0,0,0,0,0,2,δίκαια-λλους (2)
ταῦτά,δικαι,26.0222697641293,2,2,0,0,0,0,2,0,0,0,0,0,0,0,δίκαια-ταῦτά (2)
εἰμί,δικαι,23.3225701595948,5,0,5,0,0,0,0,0,0,3,0,0,1,1,"δίκαια-εἶναι (2), δίκαιος-εἴης (1), δίκαια-έν (1), δίκαιος-ἔσται (1)"
περαίνω,δικαι,22.2059660984378,2,2,0,0,0,0,2,0,0,0,0,0,0,0,δίκαια-περαίνηται (2)
μάλιστα,δικαι,22.2059660984378,2,2,0,1,1,0,0,0,0,0,0,0,0,0,"δικαιοσύνῃ-μάλιστα (1), δικαιοσύνηι-μάλιστα (1)"
μέν,δικαι,21.2801158942457,4,0,4,0,0,0,0,0,0,2,0,2,0,0,"δικαιοσύνηι-μέν (1), δίκαιος-μέν (1), δίκαιον-μέν (1), δικαιοσύνῃ-μέν (1)"
