Collocation,2013-09-07
KeyWord,σοφ
Instances,7
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
καί,σοφ,54.8267615183431,9,7,2,3,0,0,2,2,0,2,0,0,0,0,"σοφίαι-καί (6), σοφίαν-καί (2), σοφῶν-καί (1)"
ὁ,σοφ,40.952216711361,8,7,1,0,4,0,1,2,0,0,1,0,0,0,"σοφίαν-τήν (3), σοφίαι-οἱ (2), σοφῶν-τῶν (1), σοφίαν-τούς (1), σοφῶν-τούς (1)"
νομίζω,σοφ,28.501929152786,3,3,0,1,0,1,0,1,0,0,0,0,0,0,"σοφόν-νομίζω (1), σοφίαν-νομίζομεν (1), σοφίαν-νομίζεται (1)"
ἀγών,σοφ,21.7928373675095,2,2,0,0,0,0,2,0,0,0,0,0,0,0,σοφίαι-ἀγῶνες (2)
ὁμοιόω,σοφ,21.7928373675095,2,0,2,0,0,0,0,0,0,1,0,0,1,0,σοφίαν-ὁμοίως (2)
δέ,σοφ,20.87063747723,4,0,4,0,0,0,0,0,0,2,0,0,0,2,"σοφόν-δέ (2), σοφίαν-δέ (1), σοφός-δέ (1)"
ἡδονά,σοφ,20.4357846827479,2,0,2,0,0,0,0,0,0,0,0,2,0,0,σοφίαι-ἡδοναί (2)
μέν,σοφ,19.3420262763975,3,1,2,0,0,0,1,0,0,0,1,1,0,0,"σοφίαν-μέν (2), σοφόν-μέν (1)"
ἐκ,σοφ,18.2760994540877,2,0,2,0,0,0,0,0,0,0,0,0,2,0,σοφίαι-ἐκ (2)
μέγας,σοφ,17.3850648556254,2,0,2,0,0,0,0,0,0,0,0,0,0,2,σοφίαι-μεγάλων (2)
τοιοῦτος,σοφ,16.23839317495,2,2,0,0,0,2,0,0,0,0,0,0,0,0,σοφίαι-τοιοῦτοι (2)
ὁπωσοῦν,σοφ,14.5462384225975,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σοφόν-ὁπωστιοῦν (1)
πλεονεξία,σοφ,14.5462384225975,1,1,0,0,0,0,0,1,0,0,0,0,0,0,σοφός-πλεονεξίαι (1)
