Collocation,2013-09-07
KeyWord,ανδρει
Instances,5
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὅτι,ανδρει,31.1369598745659,4,3,1,2,1,0,0,0,0,0,0,0,1,0,"ἀνδρεῖος-ὅτι (2), ἀνδρείᾳ-ὅτι (1), ἀνδρεῖον-ὅτι (1)"
οἰάω,ανδρει,24.923839490657,2,1,1,0,0,0,1,0,0,1,0,0,0,0,ἀνδρεῖος-οἴει (2)
εἰμί,ανδρει,23.9120857791568,4,0,4,0,0,0,0,0,0,2,1,1,0,0,"ἀνδρεῖος-εἶναι (2), ἀνδρεῖον-εἶναι (1), ἀνδρείᾳ-ἐστιν (1)"
οὐ,ανδρει,18.8374562696263,3,0,3,0,0,0,0,0,0,1,1,0,1,0,"ἀνδρείᾳ-οὐ (1), ἀνδρεῖος-οὐκ (1), ἀνδρείας-οὐ (1)"
σοφ,ανδρει,17.2730468523514,2,1,1,0,1,0,0,0,0,0,0,0,0,1,"ἀνδρεῖος-σοφίᾳ (1), ἀνδρείᾳ-σοφίᾳ (1)"
δειλότατόν,ανδρει,14.981463577511,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ἀνδρεῖον-δειλότατόν (1)
πολέμων,ανδρει,14.981463577511,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ἀνδρείᾳ-πόλεμον (1)
χαίρω,ανδρει,14.981463577511,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἀνδρεῖον-χαίρεις (1)
ἰσχύω,ανδρει,14.981463577511,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ἀνδρείᾳ-ἰσχῦσαι (1)
διότι,ανδρει,12.2098696945468,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἀνδρεῖος-διότι (1)
γάρ,ανδρει,11.532612671901,2,1,1,0,1,0,0,0,0,0,1,0,0,0,"ἀνδρεῖος-γάρ (1), ἀνδρείας-γάρ (1)"
