Collocation,2013-09-07
KeyWord,σοφ
Instances,21
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,σοφ,112.239657602127,23,15,8,0,0,3,0,12,0,0,2,1,0,5,"σοφόν-τόν (9), σοφοί-οἱ (2), σοφίας-τῆς (2), σοφώτατος-ὁ (1), σοφίας-τό (1), σοφοί-τῶν (1), σοφόν-οἱ (1), σοφῶν-τῶν (1), σοφώτατος-τῶν (1), σοφόν-ταῖς (1), σοφόν-τούς (1), σοφόν-τά (1), σοφός-ὁ (1)"
εἰμί,σοφ,58.7872980207612,12,4,8,0,3,0,1,0,0,1,2,2,2,1,"σοφόν-εἶναι (4), σοφίας-ἐστίν (2), σοφοί-ἔστι (1), σοφοί-εἰσι (1), σοφῶν-ἔστι (1), σοφοί-εἶεν (1), σοφίας-εἶναι (1), σοφίᾳ-εἶναι (1)"
11,σοφ,31.643468090595,3,3,0,1,0,1,1,0,0,0,0,0,0,0,σοφόν-11 (3)
σοφ,σοφ,28.0185132251063,4,2,2,0,0,1,1,0,21,0,1,1,0,0,"σοφίας-σοφίας (2), σοφῶν-σοφοί (1), σοφοί-σοφῶν (1), σοφώτατος-σοφώτατος (0), σοφίᾳ-σοφίᾳ (0), σοφοί-σοφοί (0), σοφός-σοφός (0), σοφῶν-σοφῶν (0), σοφῷ-σοφῷ (0), σοφόν-σοφόν (0)"
thesmoph,σοφ,23.9894658171979,2,2,0,1,0,0,1,0,0,0,0,0,0,0,"σοφῶν-thesmoph (1), σοφοί-thesmoph (1)"
συνουσία,σοφ,23.9894658171979,2,0,2,0,0,0,0,0,0,1,0,0,1,0,"σοφοί-συνουσίᾳ (1), σοφῶν-συνουσίᾳ (1)"
21,σοφ,23.9889685212693,2,2,0,0,1,0,0,1,0,0,0,0,0,0,"σοφῶν-21 (1), σοφοί-21 (1)"
ἐξευρίσκω,σοφ,23.9889685212693,2,1,1,0,0,0,0,1,0,1,0,0,0,0,σοφίας-ἐξευρίσκειν (2)
καί,σοφ,23.2040495216788,8,3,5,0,1,1,1,0,0,2,0,1,1,1,"σοφόν-καί (3), σοφοί-καί (2), σοφῷ-καί (1), σοφίᾳ-καί (1), σοφός-καί (1)"
τύραννος,σοφ,20.1746145893703,2,1,1,0,0,0,1,0,0,1,0,0,0,0,"σοφῶν-τύραννοι (1), σοφοί-τύραννοι (1)"
δέ,σοφ,18.573630088853,6,4,2,2,0,0,2,0,0,0,0,2,0,0,"σοφοί-δέ (2), σοφῶν-δέ (1), σοφός-δ' (1), σοφίας-δέ (1), σοφόν-δέ (1)"
ἀμαθία,σοφ,18.4532538217027,2,0,2,0,0,0,0,0,0,0,1,0,1,0,σοφίας-ἀμαθίας (2)
οἶδα,σοφ,17.4084773946088,3,3,0,0,0,0,2,1,0,0,0,0,0,0,"σοφόν-εἰδέναι (2), σοφίᾳ-οἶσθα (1)"
πᾶς,σοφ,17.4084773946088,3,0,3,0,0,0,0,0,0,1,1,0,1,0,"σοφός-πᾶσαν (1), σοφόν-πάντα (1), σοφώτατος-πάντων (1)"
ὄντα,σοφ,17.2730468523514,2,0,2,0,0,0,0,0,0,2,0,0,0,0,σοφόν-ὄντα (2)
ανδρει,σοφ,17.2730468523514,2,1,1,1,0,0,0,0,0,0,0,0,1,0,"σοφίᾳ-ἀνδρείᾳ (1), σοφίᾳ-ἀνδρεῖος (1)"
ὅμηρος,σοφ,17.2730468523514,2,2,0,0,0,0,1,1,0,0,0,0,0,0,"σοφόν-ὅμηρος (1), σοφώτατος-ὅμηρος (1)"
γάρ,σοφ,16.3903674991452,4,3,1,2,0,1,0,0,0,0,1,0,0,0,"σοφόν-γάρ (2), σοφίας-γάρ (1), σοφώτατος-γάρ (1)"
ὀδυσσεύς,σοφ,16.369726348581,2,1,1,0,0,0,1,0,0,0,0,1,0,0,σοφόν-ὀδυσσέα (2)
ὅτι,σοφ,16.0352568133676,4,2,2,0,0,1,0,1,0,0,0,0,2,0,"σοφόν-ὅτι (2), σοφίᾳ-ὅτι (1), σοφώτατος-ὅτι (1)"
πολύτροπος,σοφ,15.6368555631198,2,1,1,1,0,0,0,0,0,0,1,0,0,0,"σοφόν-πολύτροπον (1), σοφός-πολύτροπος (1)"
τρόπος,σοφ,15.0200015142618,2,2,0,0,1,0,1,0,0,0,0,0,0,0,σοφίας-τρόπον (2)
τε,σοφ,14.8437230142299,3,2,1,0,0,1,1,0,0,0,1,0,0,0,"σοφόν-τε (2), σοφόν-τ' (1)"
εἰ,σοφ,14.6981490317266,3,3,0,0,1,2,0,0,0,0,0,0,0,0,"σοφοί-εἰ (2), σοφός-εἴ (1)"
περί,σοφ,14.4178203946212,3,0,3,0,0,0,0,0,0,1,1,1,0,0,"σοφώτατος-περί (1), σοφίᾳ-περί (1), σοφός-περί (1)"
οὐ,σοφ,14.0755538746889,4,1,3,0,0,1,0,0,0,2,0,0,0,1,"σοφόν-οὐ (2), σοφίᾳ-οὐκ (1), σοφίᾳ-οὐ (1)"
τῷ,σοφ,14.0219313738053,3,2,1,0,0,0,0,2,0,0,0,1,0,0,"σοφῷ-τῷ (2), σοφόν-τῷ (1)"
σοφοκλέης,σοφ,11.9448363706761,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σοφῶν-σοφοκλέους (1)
