Collocation,2013-09-07
KeyWord,δικαι
Instances,75
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,δικαι,154.307767016347,47,31,16,8,2,3,3,15,0,5,2,2,3,4,"δίκαια-τά (5), δικαίους-τούς (5), δίκαιον-τό (4), δίκαιον-τόν (4), δίκαιον-τῶν (2), δικαίως-τόν (2), δίκαιον-τούς (2), δικαίως-τῶν (2), δίκαιος-ὁ (2), δίκαιον-τοῖς (2), δίκαιος-τῶν (1), δίκαιον-ἡ (1), δίκαιος-τόν (1), δικαίως-τό (1), δίκαιοι-οἱ (1), δίκαια-τόν (1), δίκαιοι-τήν (1), δίκαιοι-τῶν (1), δικαίοις-οἱ (1), δίκαιος-τάς (1), δίκαια-τῆς (1), δικαίων-τῶν (1), δικαίου-τόν (1), δικαίων-τόν (1), δίκαια-τήν (1), δικαίως-τήν (1), δικαίοις-τοῖς (1)"
καί,δικαι,143.068671158515,34,17,17,4,1,0,4,8,0,7,1,3,2,4,"δικαίους-καί (9), δίκαιον-καί (6), δίκαια-καί (6), δικαίως-καί (4), δίκαιος-καί (4), δικαίων-καί (2), δίκαιοι-καί (2), δικαίοις-καί (1)"
λέγω,δικαι,82.6693552630022,15,12,3,0,3,2,2,5,0,2,1,0,0,0,"δίκαια-λέγει (3), δίκαια-λέγειν (3), δίκαια-λέγων (2), δίκαια-λέγοντα (1), δίκαια-λεγούσης (1), δικαίοις-λέγειν (1), δίκαια-λέξω (1), δίκαια-λέγω (1), δικαίως-λέξον (1), δίκαιον-λέγειν (1)"
εἰμί,δικαι,71.4231841517612,20,11,9,1,0,2,3,5,0,3,3,2,0,1,"δίκαιον-ἐστί (3), δίκαιος-ὤν (2), δίκαια-ἐστ' (1), δίκαιοι-εἰσί (1), δίκαιον-εἶναι (1), δίκαια-εἰσίν (1), δίκαιον-ἔσται (1), δίκαια-εἶτ' (1), δίκαιον-ᾖ (1), δικαίοις-οὖσιν (1), δικαίοις-ἦν (1), δίκαιον-ἔστι (1), δικαίων-ἐστ' (1), δικαίους-ὄντας (1), δίκαιος-ἐσθ' (1), δικαίαν-ὤν (1), δίκαιοι-ὄντες (1)"
ἀνήρ,δικαι,53.3738138433546,10,7,3,2,2,2,0,1,0,0,1,1,0,1,"δικαίους-ἄνδρας (1), δίκαιος-ἀνήρ (1), δίκαιον-ἄνδρε (1), δικαίου-ἄνδρα (1), δίκαιον-ἀνήρ (1), δίκαια-ἀνήρ (1), δικαίως-ἀνδράσιν (1), δικαίων-ἀνδρῶν (1), δικαίως-ἄνδρας (1), δίκαια-ἀνδρῶν (1)"
ἐγώ,δικαι,46.7345791151747,16,8,8,1,2,4,1,0,0,1,1,0,5,1,"δίκαια-με (3), δίκαια-ἐγώ (3), δικαίους-ἐγώ (2), δικαίους-ἔγωγε (1), δίκαιον-ἐγώ (1), δικαίοις-νῷν (1), δικαίως-μοι (1), δικαίως-με (1), δίκαια-κἄμοιγε (1), δίκαιος-ἐγώ (1), δικαίων-ἡμεῖς (1)"
γάρ,δικαι,46.454500597436,13,9,4,3,1,1,1,3,0,0,0,2,1,1,"δίκαιον-γάρ (8), δίκαια-γάρ (3), δικαίως-γάρ (1), δίκαιοι-γάρ (1)"
δέ,δικαι,45.158688435331,15,2,13,1,1,0,0,0,0,3,6,0,2,2,"δίκαια-δέ (5), δίκαια-δ' (3), δικαίως-δ' (2), δίκαιον-δέ (2), δικαίους-δ' (1), δίκαιοι-δ' (1), δικαίως-δέ (1)"
ἄδικος,δικαι,39.9607294038869,4,0,4,0,0,0,0,0,0,4,0,0,0,0,"δίκαια-κἄδικα (3), δικαίως-κἀδίκως (1)"
πληγή,δικαι,39.4066339144483,4,1,3,0,0,1,0,0,0,0,0,2,0,1,"δικαίως-πληγήν (2), δίκαιος-πληγάς (1), δίκαιον-πληγάς (1)"
ὡς,δικαι,37.2600362217054,9,7,2,1,0,1,2,3,0,0,1,1,0,0,"δίκαια-ὡς (4), δίκαιον-ὡς (3), δικαίους-ὡς (2)"
στ,δικαι,36.8146518114954,7,3,4,1,0,1,1,0,0,1,1,1,1,0,"δικαίως-στ (3), δίκαιον-στ (3), δίκαιος-στ (1)"
τίς,δικαι,34.8037475994788,12,7,5,1,1,1,1,3,0,1,0,1,0,3,"δίκαιος-τίς (3), δικαίοις-τοῖσιν (2), δικαίως-τί (2), δίκαιον-τί (1), δικαίου-τοῦ (1), δίκαια-τίνες (1), δικαίως-τοῖσιν (1), δίκαια-τί (1)"
ὅστις,δικαι,32.5709883342497,6,0,6,0,0,0,0,0,0,6,0,0,0,0,"δικαίως-ὅστις (4), δικαίως-ἥτις (1), δίκαιον-ὅστις (1)"
ἀλλά,δικαι,31.4213359812275,10,1,9,0,1,0,0,0,0,2,1,4,1,1,"δίκαιον-ἀλλ' (5), δίκαια-ἀλλ' (2), δίκαιον-ἀλλά (2), δικαίως-ἀλλ' (1)"
πλ,δικαι,30.6384076052345,4,0,4,0,0,0,0,0,0,1,1,0,1,1,"δικαίους-πλ (2), δικαίοις-πλ (1), δικαίως-πλ (1)"
μονόω,δικαι,30.5358354859054,3,2,1,0,1,1,0,0,0,0,0,0,0,1,δικαίους-μόνους (3)
εἰ,δικαι,30.3886965541169,7,3,4,0,1,0,1,1,0,1,2,0,1,0,"δίκαιον-εἰ (2), δικαίοις-εἰ (1), δίκαια-εἰ (1), δικαίους-εἰ (1), δικαίως-εἴ (1), δίκαιος-εἰ (1)"
ἄδολος,δικαι,28.9181775641628,2,0,2,0,0,0,0,0,0,2,0,0,0,0,"δικαίως-ἄδολον (1), δίκαιος-ἄδολος (1)"
τρυγῳδία,δικαι,28.9181775641628,2,1,1,0,1,0,0,0,0,0,0,1,0,0,"δίκαιον-τρυγῳδία (1), δίκαιον-τρυγῳδίαν (1)"
οὔκουν,δικαι,27.9704648344778,4,4,0,0,0,0,0,4,0,0,0,0,0,0,δικαίως-οὔκουν (4)
γε,δικαι,27.5659805322066,9,7,2,2,1,3,1,0,0,0,0,0,2,0,"δίκαια-γ' (2), δικαίους-γε (1), δίκαιος-γ' (1), δικαίοις-γε (1), δικαίως-γ' (1), δίκαιον-γε (1), δίκαια-γε (1), δίκαιον-γ' (1)"
φε,δικαι,27.2508432981558,4,1,3,0,0,0,1,0,0,1,2,0,0,0,"δίκαια-φε (3), δικαίως-φε (1)"
οὐ,δικαι,27.0072266538627,10,4,6,0,1,0,2,1,0,0,5,1,0,0,"δίκαια-οὐ (2), δικαίοις-οὐκ (1), δίκαιον-οὐ (1), δικαίου-οὐκ (1), δικαίως-οὐχί (1), δίκαιον-κοὐ (1), δικαίως-οὐκ (1), δίκαιον-οὐχί (1), δικαίως-οὐ (1)"
ἄν,δικαι,26.2191439727321,8,4,4,0,1,1,1,1,0,0,3,0,0,1,"δικαίως-κα (2), δίκαιον-ἄν (2), δικαίως-ἄν (2), δικαίους-ἄν (1), δίκαιος-ἄν (1)"
κοινόω,δικαι,26.2160451766104,3,2,1,0,0,1,0,1,0,0,0,0,0,1,"δίκαιον-κοινῶν (1), δικαίως-κοινῇ (1), δίκαιοι-κοινῶν (1)"
κἀν,δικαι,25.6977393259294,4,2,2,0,2,0,0,0,0,0,0,2,0,0,"δίκαια-κἄν (1), δίκαιος-κἄν (1), δίκαιον-κἄν (1), δικαίως-κἄν (1)"
πως,δικαι,25.5140357064083,5,3,2,0,2,0,0,1,0,0,0,0,1,1,"δίκαιον-πῶς (2), δικαίως-πῶς (2), δίκαιος-πῶς (1)"
οἶδα,δικαι,25.1918929559179,5,3,2,1,2,0,0,0,0,1,0,0,1,0,"δικαίως-οἶδ' (2), δίκαιον-οἶδε (1), δίκαιος-οἶσθα (1), δίκαιος-ἴσας (1)"
σωφρ,δικαι,24.382839940954,3,1,2,0,1,0,0,0,0,0,1,0,1,0,"δικαίους-σώφρονας (2), δίκαια-σωφροσύνη (1)"
χρῆ,δικαι,23.7429889207706,3,1,2,0,1,0,0,0,0,0,0,0,1,1,"δίκαια-χρῆν (1), δικαίως-χρῆν (1), δικαίου-χρῆν (1)"
ἐκ,δικαι,22.3300621365197,5,4,1,0,0,1,2,1,0,0,0,1,0,0,"δικαίου-ἐκ (2), δικαίως-ἐκ (1), δικαίων-ἐκ (1), δικαίαν-ἐκ (1)"
βιόω,δικαι,22.0045217503794,3,1,2,0,0,0,0,1,0,0,1,0,1,0,"δίκαιοι-βίον (1), δίκαιος-βίον (1), δικαίου-βίον (1)"
οσι,δικαι,19.9294069777243,2,0,2,0,0,0,0,0,0,0,1,1,0,0,"δίκαιος-ὅσιος (1), δικαίως-ὅσια (1)"
μέμφομαι,δικαι,19.9294069777243,2,1,1,0,1,0,0,0,0,1,0,0,0,0,"δικαίως-μεμψαίμεθ' (1), δικαίαν-μέμφομαι (1)"
