Collocation,2013-09-07
KeyWord,δικαι
Instances,10
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,δικαι,67.4502862679074,14,7,7,2,1,1,1,2,0,0,0,3,2,2,"δίκαιον-τό (5), δίκαιον-τάς (1), δίκαιος-τῶν (1), δίκαιον-τόν (1), δίκαιον-τά (1), δίκαια-τά (1), δικαιοσύνης-τῆς (1), δίκαιον-τῶν (1), δίκαιον-τῆς (1), δίκαιος-τήν (1)"
δοκώ,δικαι,32.9640528488671,2,2,0,0,1,0,0,1,0,0,0,0,0,0,δίκαιον-δοκοῦν (2)
ἄδικος,δικαι,32.9640528488671,2,0,2,0,0,0,0,0,0,1,0,0,1,0,δίκαιον-ἄδικον (2)
οὐ,δικαι,26.5359459138708,4,3,1,0,1,0,1,1,0,1,0,0,0,0,"δίκαιον-οὐκ (2), δίκαιος-οὐκ (1), δίκαιον-οὐ (1)"
καί,δικαι,23.0777802466182,6,2,4,0,0,1,1,0,0,2,0,1,0,1,"δίκαια-καί (3), δίκαιον-καί (3)"
δικαι,δικαι,22.9597623418085,2,1,1,0,0,1,0,0,10,0,0,1,0,0,"δίκαιον-δίκαιον (2), δικαιοσύνης-δικαιοσύνης (0), δίκαια-δίκαια (0), δίκαιος-δίκαιος (0)"
εἰς,δικαι,22.3232208588161,3,2,1,1,0,1,0,0,0,0,0,1,0,0,"δίκαιος-ἐς (1), δίκαια-εἰς (1), δίκαιος-εἰς (1)"
ὀχέω,δικαι,16.3707736055367,1,1,0,0,0,1,0,0,0,0,0,0,0,0,δίκαιον-ὀχεῖν (1)
παρονομάζω,δικαι,16.3707736055367,1,0,1,0,0,0,0,0,0,0,1,0,0,0,δικαιοσύνης-παρονομάζομεν (1)
ὕπαρ,δικαι,16.3707736055367,1,0,1,0,0,0,0,0,0,0,0,0,1,0,δίκαια-ὕπαρ (1)
ἔρως,δικαι,16.3707736055367,1,0,1,0,0,0,0,0,0,1,0,0,0,0,δίκαιος-ἔρως (1)
ποδηγετέω,δικαι,16.3707736055367,1,1,0,1,0,0,0,0,0,0,0,0,0,0,δίκαιον-ποδηγετεῖν (1)
ἐφίημι,δικαι,16.3707736055367,1,0,1,0,0,0,0,0,0,0,0,1,0,0,δίκαιος-ἐφίεσθαι (1)
ἀνύβριστος,δικαι,16.3707736055367,1,0,1,0,0,0,0,0,0,0,1,0,0,0,δίκαιος-ἀνυβρίστως (1)
_38,δικαι,16.3707736055367,1,1,0,0,0,0,0,1,0,0,0,0,0,0,δίκαιος-_38 (1)
νόμιμος,δικαι,16.3707736055367,1,0,1,0,0,0,0,0,0,0,1,0,0,0,δίκαια-νόμιμα (1)
δέ,δικαι,16.0850106843282,4,1,3,0,0,0,1,0,0,0,1,0,1,1,"δίκαιον-δέ (3), δικαιοσύνης-δέ (1)"
γάρ,δικαι,15.6612190861488,3,2,1,0,0,0,1,1,0,0,0,1,0,0,δίκαιον-γάρ (3)
εὔθυμος,δικαι,13.5987132693408,1,1,0,0,1,0,0,0,0,0,0,0,0,0,δίκαια-εὔθυμος (1)
κρίνω,δικαι,13.5987132693408,1,0,1,0,0,0,0,0,0,0,0,0,0,1,δίκαιον-κρίνειν (1)
ὅρος,δικαι,13.5987132693408,1,1,0,1,0,0,0,0,0,0,0,0,0,0,δίκαιον-ὅρους (1)
ἄλλος,δικαι,13.0221132903825,2,2,0,0,2,0,0,0,0,0,0,0,0,0,"δίκαιος-τἆλλα (1), δίκαια-ἄλλο (1)"
εἰμί,δικαι,12.8464980310528,3,2,1,0,0,0,0,2,0,0,1,0,0,0,"δίκαιον-εἶναι (2), δίκαιος-εἴη (1)"
_6,δικαι,12.5527453833492,1,0,1,0,0,0,0,0,0,0,1,0,0,0,δίκαια-_6 (1)
ἐπιφέρω,δικαι,12.5527453833492,1,1,0,0,0,0,0,1,0,0,0,0,0,0,δίκαια-ἐπιφερόμενος (1)
πειθώ,δικαι,12.5527453833492,1,0,1,0,0,0,0,0,0,0,0,0,1,0,δίκαιος-πειθώ (1)
εὔπορος,δικαι,12.5527453833492,1,1,0,0,0,0,1,0,0,0,0,0,0,0,δίκαιον-εὐπόρως (1)
ἀμύνω,δικαι,12.5527453833492,1,1,0,0,0,1,0,0,0,0,0,0,0,0,δίκαια-ἀμυνεῖ (1)
κακία,δικαι,11.8736776531441,1,1,0,0,1,0,0,0,0,0,0,0,0,0,δίκαιον-κακίας (1)
ἰσχυρός,δικαι,11.8736776531441,1,0,1,0,0,0,0,0,0,0,1,0,0,0,δίκαιος-ἰσχυρότερος (1)
οὐκέτι,δικαι,11.8736776531441,1,0,1,0,0,0,0,0,0,1,0,0,0,0,δικαιοσύνης-οὐκέτι (1)
_17,δικαι,11.8736776531441,1,0,1,0,0,0,0,0,0,1,0,0,0,0,δίκαιος-_17 (1)
παρίημι,δικαι,11.8736776531441,1,1,0,1,0,0,0,0,0,0,0,0,0,0,δίκαιον-παρἱέναι (1)
τοιόσδε,δικαι,10.96668118448,1,0,1,0,0,0,0,0,0,0,0,0,1,0,δίκαιον-τοιάδε (1)
ἄρα,δικαι,10.0960234031081,1,0,1,0,0,0,0,0,0,0,0,0,1,0,δικαιοσύνης-ἄρα (1)
πότε,δικαι,9.87387017079163,1,1,0,0,0,0,1,0,0,0,0,0,0,0,δίκαιος-ποτε (1)
εὖ,δικαι,9.49252311210148,1,1,0,0,1,0,0,0,0,0,0,0,0,0,δίκαιον-εὖ (1)
ἔργον,δικαι,9.03027161862701,1,1,0,0,0,0,1,0,0,0,0,0,0,0,δίκαια-ἔργα (1)
19,δικαι,8.89736794691999,1,0,1,0,0,0,0,0,0,0,0,1,0,0,δίκαια-19 (1)
τυγχάνω,δικαι,8.89736794691999,1,0,1,0,0,0,0,0,0,0,0,1,0,0,δικαιοσύνης-τύχηι (1)
κακόω,δικαι,8.89736794691999,1,0,1,0,0,0,0,0,0,0,1,0,0,0,δίκαιον-κακοῖσι (1)
ἥσσων,δικαι,8.89736794691999,1,1,0,1,0,0,0,0,0,0,0,0,0,0,δίκαιος-ἥσσων (1)
φυσάω,δικαι,8.65562869259156,1,0,1,0,0,0,0,0,0,0,0,0,0,1,δίκαια-φύσει (1)
μέν,δικαι,8.53600091009866,2,2,0,1,0,1,0,0,0,0,0,0,0,0,"δίκαια-μέν (1), δίκαιον-μέν (1)"
μηδέ,δικαι,8.24594740837347,1,1,0,0,1,0,0,0,0,0,0,0,0,0,δίκαιον-μηδέ (1)
φρον,δικαι,8.24594740837347,1,1,0,0,1,0,0,0,0,0,0,0,0,0,δικαιοσύνης-φρονεῖν (1)
ποιόω,δικαι,8.1555356986355,1,0,1,0,0,0,0,0,0,1,0,0,0,0,δίκαια-ποιεῦντι (1)
ἐναντίος,δικαι,7.98625176772475,1,0,1,0,0,0,0,0,0,0,0,0,1,0,δίκαιον-ἐναντίον (1)
ἀγαθός,δικαι,7.68586871237494,1,0,1,0,0,0,0,0,0,0,1,0,0,0,δίκαιον-ἀγαθόν (1)
λόγος,δικαι,6.98936801543459,1,0,1,0,0,0,0,0,0,0,0,0,0,1,δίκαιος-λόγος (1)
τοιοῦτος,δικαι,6.55329793319106,1,1,0,0,0,0,0,1,0,0,0,0,0,0,δίκαιον-τοιοῦτον (1)
ὥσπερ,δικαι,6.51460889633745,1,0,1,0,0,0,0,0,0,0,1,0,0,0,δίκαιον-ὥσπερ (1)
ψυχή,δικαι,6.19724029337522,1,1,0,0,0,0,1,0,0,0,0,0,0,0,δίκαιος-ψυχήν (1)
οὕτως,δικαι,6.04107014241163,1,0,1,0,0,0,0,0,0,1,0,0,0,0,δίκαιον-οὕτως (1)
ποιέω,δικαι,5.71096278750338,1,1,0,0,0,1,0,0,0,0,0,0,0,0,δίκαιον-πεποιημένων (1)
ἀπό,δικαι,5.68585064262152,1,1,0,0,0,1,0,0,0,0,0,0,0,0,δικαιοσύνης-ἀπό (1)
δ_ου,δικαι,5.63659207243472,1,0,1,0,0,0,0,0,0,0,0,0,1,0,δίκαια-δ_ου (1)
ἄν,δικαι,5.0366170295747,1,1,0,0,0,1,0,0,0,0,0,0,0,0,δίκαιος-ἄν (1)
λέγω,δικαι,4.50046632403973,1,1,0,1,0,0,0,0,0,0,0,0,0,0,δικαιοσύνης-λέγομεν (1)
μή,δικαι,4.40956846135668,1,0,1,0,0,0,0,0,0,0,0,0,0,1,δίκαιον-μή (1)
τῷ,δικαι,4.3719436415704,1,1,0,0,0,0,1,0,0,0,0,0,0,0,δίκαια-τῶι (1)
τις,δικαι,3.89412164187524,1,1,0,1,0,0,0,0,0,0,0,0,0,0,δίκαια-τι (1)
ἐν,δικαι,3.53259446739685,1,0,1,0,0,0,0,0,0,1,0,0,0,0,δίκαιον-ἐν (1)
καλῶ�,δικαι,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,δίκαιος-καλῶ� (1)
κα�,δικαι,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,δικαιοσύνης-κα� (1)
