Collocation,2013-09-08
KeyWord,ανδρει
Instances,36
Files,4
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,ανδρει,108.079219894484,24,12,12,1,2,2,3,4,0,4,3,2,2,1,"ἀνδρείους-τούς (4), τἀνδρεῖον-ἡ (2), ἀνδρείους-τοῖς (1), ἀνδρεῖον-τῆς (1), ανδρει-ὁ (1), ἀνδρείως-τούς (1), ἀνδρεῖον-τόν (1), ἀνδρείας-τήν (1), ἀνδρείως-τῆς (1), ἀνδρειοτέρους-τόν (1), τἀνδρείου-τά (1), ἀνδρεῖον-τό (1), ἀνδρείους-τῶν (1), ἀνδρείους-τήν (1), ἀνδρειόταται-τοῖς (1), ἀνδρείως-οἱ (1), ἀνδρείους-τό (1), κἀνδρείως-τῶν (1), ἀνδρείας-τῆς (1), ἀνδρεῖος-τήν (1)"
καί,ανδρει,50.1801509242505,12,6,6,2,0,2,1,1,0,1,3,1,1,0,"τἀνδρεῖον-καί (2), ἀνδρείους-καί (2), ἀνδρείας-καί (2), ἀνδρείᾳ-καί (1), ἀνδρεῖον-καί (1), ἀνδρειοτέρους-καί (1), ἀνδρειόταται-καί (1), ἀνδρειοτάτη-καί (1), ἀνδρείαν-καί (1)"
οὗτος,ανδρει,40.6931318640709,8,3,5,0,0,0,2,1,0,0,1,2,0,2,"ἀνδρειότερος-ταῦτ' (2), ἀνδρείως-ταῦτ' (1), ἀνδρείᾳ-τοῦτ' (1), ἀνδρειόταται-αὕτη (1), ἀνδρείας-ταύτης (1), ἀνδρείας-τοῦτ' (1), ἀνδρειοτέρους-τούτου (1)"
εἰμί,ανδρει,38.3121420443058,9,3,6,1,1,0,0,1,0,1,0,2,2,1,"τἀνδρεῖον-ἰών (1), ἀνδρείως-εἴς' (1), τἀνδρείου-εἴη (1), ἀνδρείας-ἐστιν (1), ἀνδρειότερος-ἦν (1), ἀνδρείους-ἔσται (1), τἀνδρεῖον-ἦν (1), ἀνδρειότερος-ἐστί (1), ἀνδρείαν-εἴην (1)"
εἶμι,ανδρει,28.9533325638622,4,2,2,0,1,1,0,0,0,2,0,0,0,0,"κἀνδρεῖος-εἶ (1), ἀνδρεῖος-εἶ (1), ἀνδρείας-ἴθι (1), κἀνδρεῖος-ἴθι (1)"
αὐτοφόνος,ἠνορέα,28.0477914363146,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἀνορέα-αὐτοφόνα (1)
ἀλλά,ανδρει,28.0141671765596,6,5,1,1,1,2,0,1,0,0,1,0,0,0,"ἀνδρείως-ἀλλ' (1), ἀνδρείας-ἀλλ' (1), τἀνδρείου-ἀλλά (1), ἀνδρειοτάτη-ἀλλ' (1), ἀνδρεῖον-ἀλλ' (1), ἀνδρείως-ἀλλά (1)"
χο,ανδρει,26.4389548730105,5,2,3,1,1,0,0,0,0,1,1,1,0,0,"ἀνδρείας-χο (2), ἀνδρείως-χο (1), τἀνδρεῖον-χο (1), ἀνδρειοτάτη-χο (1)"
δίμοιρος,ἠνορέα,25.2752027139068,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνορέα-δίμοιρα (1)
γίγνομαι,ανδρει,25.123873539269,4,0,4,0,0,0,0,0,0,1,0,0,2,1,"ἀνδρειόταται-γεγένησθε (1), ἀνδρείας-γένοιτο (1), κἀνδρεῖος-γενοῦ (1), ἀνδρειοτάτη-γενέσθαι (1)"
