Collocation,2013-09-08
KeyWord,φρον
Instances,111
Files,3
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,φρον,199.602787977085,46,29,17,2,1,2,5,19,0,8,4,2,1,2,"φρονέων-τά (12), φρονέοντι-οἱ (10), φρονέω-τά (3), φρονέων-οἱ (2), φρονεῖν-τῶν (1), φρονέων-ταί (1), φροντίδα-τά (1), φρονέοντα-τόν (1), φρονέοντι-τόν (1), φρονέουσα-τά (1), φρονεῖν-τό (1), φρονεῖν-ὁ (1), φρονέεις-τά (1), φρονεόντων-οἱ (1), φρονεόντων-τόν (1), φρονέων-τοῖς (1), φρονέοντες-τά (1), φρονέουσιν-τούς (1), φροντίζω-τό (1), φρονέων-τούς (1), φρονεῖ-τά (1), φρονέουσι-τήν (1), φροντίδα-τάν (1)"
δέ,φρον,150.606235668994,51,24,27,3,5,3,13,0,0,5,10,3,5,4,"φρονέων-δ' (10), φρονέοντι-δέ (8), φρονέων-δέ (6), φρονέοντες-δέ (4), φρόνεον-δέ (3), φρονέεις-δέ (3), φρονέουσι-δ' (2), φρονέω-δέ (2), φρονεῖν-δ' (2), φρονέουσα-δέ (1), φρονῆι-δ' (1), φρόνεον-δ' (1), φρονεῖν-δέ (1), φρονέοντα-δέ (1), φρονέοντε-δ' (1), φρονέοντες-δ' (1), φρονέοντι-δ' (1), φροντίδι-δ' (1), φροντίδα-δ' (1), φρονέουσιν-δέ (1)"
δοάζω,φρον,147.098016872071,10,0,10,0,0,0,0,0,0,10,0,0,0,0,φρονέοντι-δοάσσατο (10)
ἀγοράομαι,φρον,119.166643870063,10,0,10,0,0,0,0,0,0,10,0,0,0,0,φρονέων-ἀγορήσατο (10)
κερδίων,φρον,113.334178755991,10,0,10,0,0,0,0,0,0,0,10,0,0,0,φρονέοντι-κέρδιον (10)
εἰμί,φρον,100.232159903273,26,9,17,3,1,3,1,1,0,0,1,10,3,3,"φρονέοντι-εἶναι (10), φρονέειν-ἐστε (1), φρόντισον-ἐσσόμεθα (1), φρονῆι-εἴη (1), φρονέων-ἦ (1), φρονέων-εἶναι (1), φρονέοντα-ἐόντα (1), φρονέοντες-εἴατο (1), φρονέουσι-ἔστ' (1), φρονέω-ἔσται (1), φρονέων-ἔσσεται (1), φρονέουσα-εἰμι (1), φρονέοντες-εἰσίν (1), φρονέων-ἔνθ' (1), φρονέων-ἐσσι (1), φροντίζω-εἰσί (1), φρονέων-ἐών (1)"
μετεῖπον,φρον,98.0352246584371,10,0,10,0,0,0,0,0,0,0,0,10,0,0,"φρονέων-μετέειπεν (7), φρονέων-μετέειπε (3)"
ὅτι,φρον,88.8686513006687,17,13,4,0,0,10,3,0,0,2,1,0,1,0,"φρονέων-ὅ (12), φρονέεις-ὅ (3), φρονεόντων-ὅ (1), φρονέων-ὅτι (1)"
καί,φρον,87.2806261768565,29,9,20,3,2,4,0,0,0,2,12,2,1,3,"φρονέων-καί (17), φρονέοντι-καί (2), φρονέοντα-καί (2), φρόντισον-καί (2), φρονέουσα-καί (2), φρονέω-καί (1), φρονέειν-καί (1), φρονέῃσι-καί (1), φρονέοντες-καί (1)"
κακός,φρον,74.6009686179459,12,11,1,0,0,1,0,10,0,1,0,0,0,0,"φρονέων-κακά (7), φροντίδες-κακόν (1), φρονέουσιν-κακά (1), φρονέων-κακόν (1), φρονέουσι-κακά (1), φρονέοντες-κακά (1)"
ὧδε,φρον,72.3173292651772,9,9,0,1,0,8,0,0,0,0,0,0,0,0,"φρονέοντι-ὧδε (8), φρονέουσα-ὧδ' (1)"
σφεῖς,φρον,67.1860787821934,10,10,0,0,0,0,10,0,0,0,0,0,0,0,φρονέων-σφιν (10)
νοήμων,φρόνιος,64.2427644794807,3,0,3,0,0,0,0,0,0,3,0,0,0,0,"φρονίοιο-νοήμων (2), φρονίοιο-νοήμονα (1)"
ἐΰ,φρον,62.4403952304274,7,7,0,0,0,0,0,7,0,0,0,0,0,0,"φρονέων-ἐΰ (6), φρονέῃσι-ἐΰ (1)"
ὅς,φρον,60.8438148861751,17,12,5,3,2,6,0,1,0,3,0,0,1,1,"φρονέων-οἵ (2), φρόνεον-οἵ (2), φρονέοντες-οἵ (2), φρονέων-ἅ (2), φρονῆι-ὅς (1), φρονέων-ἥν (1), φρονέων-ὅν (1), φρονέοντε-ὥ (1), φρονέων-ᾧ (1), φροντίς-ὅς (1), φρονέω-ᾗ (1), φρονέων-οἷσιν (1), φρονέεις-ἅ (1)"
τελέω,φρον,49.5015425030142,7,2,5,0,1,1,0,0,0,3,0,0,2,0,"φρονέεις-τελέσαι (3), φρονέω-τετελεσμένον (1), φρονέων-ἐτέλεσσεν (1), φρονέων-ἐτέλεσσε (1), φρονέοντι-τελέσειεν (1)"
φῖλος,φρον,47.7806079378352,6,6,0,0,0,0,0,6,0,0,0,0,0,0,"φρονέων-φίλα (3), φρονέῃς-φίλα (2), φρονέουσα-φίλα (1)"
θυμός,φρον,46.5912969503552,10,2,8,0,1,0,1,0,0,0,3,2,3,0,"φρονέεις-θυμός (3), φρονέων-θυμῷ (2), φρονέῃς-θυμῷ (2), φρονέων-θυμόν (1), φρονέουσι-θυμόν (1), φρονέω-θυμόν (1)"
“γινώσκω,φρον,45.9518743697554,3,3,0,0,0,0,0,3,0,0,0,0,0,0,φρονέω-“γινώσκω (3)
ἐν,φρον,44.2025656402111,14,6,8,2,1,3,0,0,0,3,4,1,0,0,"φρονέων-ἐν (4), φρονέων-ἐνί (2), φρονέοντες-ἐν (2), φρονέῃς-ἐνί (2), φρονέοντε-ἐν (1), φρονεόντων-ἐν (1), φρονέοντες-ἐνί (1), φρονέουσα-ἐν (1)"
μέγας,φρον,39.7670761039481,9,9,0,1,0,0,0,8,0,0,0,0,0,0,"φρονέων-μέγα (3), φρονέοντε-μέγα (3), φρονέοντες-μέγα (2), φρονέεις-μεγάλοιο (1)"
οὐ,φρον,37.9522515628487,11,4,7,1,2,0,1,0,0,0,2,3,1,1,"φρονέων-οὐκ (2), φρονέοντες-οὐκ (2), φρονέων-οὐ (1), φροντίς-οὐκ (1), φρονέουσι-οὐκ (1), φρονέοντες-οὐ (1), φρονέοντα-οὔ (1), φρονέων-οὔ (1), φρονέειν-οὔ (1)"
τρώς,φρον,37.8140599578619,8,3,5,0,0,0,3,0,0,1,0,1,3,0,"φρονέων-τρωσί (3), φρονέων-τρώεσσι (2), φρόνεον-τρῶες (1), φρονέοντε-τρῶας (1), φρονέοντες-τρωσί (1)"
τε,φρον,36.0385297918692,16,7,9,3,1,0,1,2,0,2,3,1,3,0,"φρονέων-τε (5), φρονέειν-τε (2), φρονέων-θ' (1), φρονέῃσι-τ' (1), φρονεόντων-τ' (1), φρονέων-τ' (1), φρονεῖν-τε (1), φρονέω-τε (1), φρονέοντι-τε (1), φρονέεις-τ' (1), φρονέοντε-τ' (1)"
υἱός,φρόνιος,35.6404271442443,3,2,1,0,0,0,0,2,0,0,0,1,0,0,"φρονίοιο-υἱός (2), φρονίοιο-υἱόν (1)"
“κέκλυτε,φρον,33.7411108566448,3,0,3,0,0,0,0,0,0,0,0,0,3,0,φρονέων-“κέκλυτε (3)
βαίνω,φρον,33.665292433463,6,1,5,0,0,0,0,1,0,3,0,0,2,0,"φρονέων-ἐβεβήκει (3), φρονέοντι-βῆναι (2), φρόνεον-βέβασαν (1)"
ἐγώ,φρον,33.5382376238704,12,5,7,0,2,0,1,2,0,0,1,5,0,1,"φρονέεις-με (3), φρονέων-ἐγώ (2), φρονέεις-ἐγώ (1), φρονέων-μοι (1), φροντίζω-μοι (1), φρονέουσα-μοι (1), φρονέοντα-μοι (1), φρονέω-με (1), φρονέοντι-μοι (1)"
