Collocation,2013-09-07
KeyWord,δικαι
Instances,131
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,δικαι,426.535079499241,91,52,39,6,10,6,20,10,0,17,7,6,1,8,"δίκαιον-τό (14), δίκαιον-τά (5), δίκαιον-τόν (4), δικαίοις-τοῖς (4), δίκαια-τά (4), δίκαιος-τῶν (3), δίκαιον-ὁ (3), δίκαιος-ὁ (3), δικαίως-τόν (3), δικαίως-οἱ (2), δίκαιον-τῶν (2), δικαίων-τῶν (2), δικαίαν-τήν (2), δίκαιος-τό (2), δικαίους-τούς (2), δικαίως-τούς (2), δικαίας-τῶν (2), δικαίωι-τά (1), δικαιῶ-τόν (1), δικαίας-τῆς (1), δικαίως-ὁ (1), δικαίων-τοῖς (1), δικαίου-τῶν (1), δικαίας-τούς (1), δίκαιος-τοῖς (1), δίκαιος-τήν (1), δικαίους-τῶν (1), δικαίοις-τόν (1), δίκαια-τούς (1), δικαίους-ὁ (1), δίκαιον-τήν (1), δίκαιος-τούς (1), δικαίως-τοῖς (1), δικαίως-τῆς (1), δίκαιον-τῆς (1), δίκαιος-τά (1), δίκαια-τήν (1), δίκαιον-τάς (1), δίκαιος-τῆς (1), δίκαιον-τοῖς (1), δικαιοσύνας-τό (1), δίκαιον-τούς (1), δίκαιος-τόν (1), δίκαιον-οἱ (1), δίκαιον-ἡ (1), δικαίωι-τοῖς (1), δικαίως-τήν (1), δίκαιοι-τοῖς (1), δικαίων-ὁ (1)"
οὐ,δικαι,175.638525485527,41,23,18,3,0,1,3,16,0,8,2,2,1,5,"δίκαιον-οὐ (11), δικαίως-οὐ (5), δίκαιον-οὐκ (5), δίκαιος-οὐκ (3), δίκαια-οὐ (3), δίκαιος-οὐ (3), δικαίως-οὐκ (2), δίκαιον-οὔ (1), δικαίας-κοὐκ (1), δικαίοις-οὐχί (1), δίκαιον-οὐχ (1), δικαίωι-οὐ (1), δίκαια-κοὐκ (1), δίκαιον-οὔκ (1), δίκαιον-κοὐ (1), δίκαια-κοὐ (1)"
δέ,δικαι,133.296259948984,45,16,29,1,6,2,6,1,0,5,6,4,2,12,"δίκαιον-δ' (9), δίκαιον-δέ (7), δίκαια-δ' (5), δικαίοις-δ' (3), δίκαια-δέ (3), δικαίωι-δ' (3), δίκαιος-δ' (3), δικαίως-δ' (2), δικαιότερον-δ' (1), δικαίαν-δ' (1), δικαιοσύνας-δ' (1), δικαίας-δέ (1), δικαίως-δέ (1), δικαίου-δέ (1), δικαίου-δ' (1), δίκαιοι-δ' (1), δικαίους-δ' (1), δικαίαν-δέ (1)"
καί,δικαι,117.954598551616,33,18,15,2,4,0,8,4,0,5,2,2,4,2,"δίκαιον-καί (11), δικαίου-καί (5), δίκαια-καί (4), δίκαιος-καί (3), δικαίαν-καί (2), δικαίους-καί (2), δικαίας-καί (2), δικαία-καί (1), δικαίων-καί (1), δικαιότερον-καί (1), δικαίως-καί (1)"
εἰμί,δικαι,81.0077701909468,24,7,17,0,0,2,3,2,0,10,2,1,1,3,"δίκαιος-ὤν (7), δίκαια-ἦ (3), δίκαιον-ἦ (2), δίκαιον-ἦι (2), δίκαιος-ἦ (1), δίκαιον-ἰών (1), δικαία-ἦις (1), δίκαιος-εἰσί (1), δίκαια-ἐστι (1), δίκαιον-ἔσται (1), δίκαιοι-ἐσμέν (1), δικαίως-ὄντας (1), δίκαιον-ἔα (1), δικαίου-ὤν (1)"
μέν,δικαι,66.3828946845606,17,13,4,1,0,2,1,9,0,1,0,1,0,2,"δίκαιον-μέν (7), δίκαιος-μέν (3), δικαίως-μέν (3), δικαίωι-μέν (1), δίκαια-μέν (1), δικαίαν-μέν (1), δικαίοις-μέν (1)"
ἐμός,δικαι,59.0331953545101,17,10,7,3,3,3,0,1,0,1,1,3,0,2,"δίκαιον-ἐμέ (5), δίκαιος-ἐμοί (1), δίκαιον-ἐμούς (1), δικαία-ἐμήν (1), δίκαιον-τοὐμόν (1), δίκαιος-ἐμῆς (1), δικαία-ἐμοῖς (1), δίκαιον-ἐμοῦ (1), δίκαιον-ἐμοῖς (1), δικαίοις-ἐμοῦ (1), δικαίως-ἐμοί (1), δίκαια-ἔμ' (1), δίκαιον-ἐμῶν (1)"
ἀνήρ,δικαι,57.6813439559191,12,7,5,1,2,2,0,2,0,0,3,1,1,0,"δίκαιος-ἀνήρ (5), δικαίων-ἀνδρῶν (1), δικαίων-ἀνδρός (1), δικαίου-ἀνδρός (1), δίκαια-ἀνήρ (1), δίκαιον-ἀνήρ (1), δικαίαν-ἀνδρός (1), δικαίως-ἀνδρός (1)"
πατήρ,δικαι,52.9870667629875,12,5,7,2,2,0,0,1,0,1,2,2,0,2,"δίκαιον-πάτερ (2), δίκαιος-πατρός (1), δικαίαν-πάτερ (1), δίκαια-πατέρα (1), δίκαιον-πατέρα (1), δίκαιον-πατήρ (1), δικαίου-πατρός (1), δικαίως-πατρός (1), δίκαιον-πατρός (1), δικαίωι-πατρός (1), δίκαια-πατήρ (1)"
γάρ,δικαι,52.4556938665919,18,11,7,1,4,2,0,4,0,2,4,1,0,0,"δίκαιον-γάρ (5), δίκαια-γάρ (3), δίκαιος-γάρ (2), δικαίους-γάρ (2), δικαίου-γάρ (2), δικαίοις-γάρ (2), δικαίων-γάρ (1), δικαίας-γάρ (1)"
ὅδε,δικαι,50.8063046089374,19,7,12,3,2,1,1,0,0,4,0,1,6,1,"δίκαιον-τάδε (3), δίκαιον-τοῦδ' (2), δικαίου-τήνδε (2), δικαίους-τόδε (1), δικαίως-ὅδε (1), δικαίωι-τόνδ' (1), δικαίου-τόδε (1), δίκαιος-ὅδε (1), δικαίως-τάδε (1), δίκαια-τῆσδε (1), δίκαια-τούσδε (1), δίκαιος-τήνδε (1), δικαίως-τᾶιδ' (1), δίκαια-ἥδ' (1), δικαίως-ὅδ' (1)"
