Collocation,2013-09-07
KeyWord,φρον
Instances,189
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
εὖ,φρον,353.407532162964,41,30,11,1,1,0,1,27,0,6,4,1,0,0,"φρονεῖς-εὖ (10), φρονεῖν-εὖ (8), φρονῶν-εὖ (5), φρονῶ-εὖ (4), φρονεῖ-εὖ (3), φρονοῦσιν-εὖ (3), φρονοῦσι-εὖ (2), φρονοῦσα-εὖ (2), φρονήσομεν-εὖ (1), φρονοῦμεν-εὖ (1), φρονοῦσαν-εὖ (1), φρονοῦντας-εὖ (1)"
οὐ,φρον,290.607712838333,62,37,25,11,2,2,11,11,0,3,8,6,4,4,"φρονεῖν-οὐκ (7), φρονεῖν-οὐ (5), φρονῶ-οὐ (5), φρονῶν-οὐ (5), φρονεῖς-οὐ (4), φρονεῖς-οὐκ (4), φρονοῦσα-οὐ (2), φρονοῦντες-οὐ (2), φρονῶν-κοὐ (2), φρονῶν-οὐκ (2), φρονῶ-οὐκ (2), φρονεῖ-οὐ (2), φρονοῦντας-οὐ (2), φροντίς-οὐκ (1), φροντίδες-οὐ (1), φρονοῦντος-οὐκ (1), ἐφρόντισα-οὐκ (1), φροντίς-οὔ (1), φρονεῖς-κοὐ (1), φρονοῦσιν-οὐ (1), φροντίζετε-οὐ (1), φροντίς-οὐχί (1), φρόνησις-οὐκ (1), φρονῶν-οὐχ (1), φροντίσας-οὐ (1), πεφροντικός-οὐ (1), φρονῶ-οὔ (1), φρονεῖ-οὐκ (1), φροντιεῖ-οὔ (1), φρονοῦσι-οὐ (1), φρονεῖν-κοὐκ (1)"
ὁ,φρον,241.61722073704,71,33,38,9,8,8,3,5,0,6,9,8,5,10,"φρονεῖν-τούς (4), φρονεῖν-τό (3), φρονεῖν-τόν (3), φρονοῦντας-τούς (2), φρονεῖς-τά (2), φρονῶ-τά (2), φρονεῖ-ὁ (2), φρονεῖς-τό (2), φρονῶν-τοῖς (2), φρονεῖν-τῆς (2), φρονοῦσι-οἱ (2), φρονεῖ-τῶν (2), φροντίζειν-τόν (2), φρονῶν-τῆς (1), φρονεῖν-τῶν (1), φροντίδες-αἱ (1), φρονεῖ-τά (1), φρονοῦντες-τά (1), φρονεῖν-ἡ (1), φρονοῦσαν-τήν (1), φροντιεῖ-τά (1), φρονήσασαι-τήν (1), φρόνησις-ἡ (1), φρονεῖν-ὁ (1), φρονῶ-τό (1), φρονοῦσα-τό (1), φρονοῦμεν-οἱ (1), φρονῶν-τήν (1), φρονεῖ-τῆς (1), φρονῶν-τό (1), φροντίδων-τά (1), φρονῶ-τοῖς (1), φρονεῖν-τᾶς (1), φροντίδα-τά (1), φρονεῖ-τάς (1), φρονεῖν-τά (1), φρονεῖ-τό (1), φροντίζετε-τούς (1), φρονεῖς-ὁ (1), φρονοῦσι-ὁ (1), φρονῶν-ὁ (1), φρονεῖς-τῶν (1), φρονεῖς-τῆς (1), φρονοῦντες-οἱ (1), φρονεῖ-τοῖς (1), φρονεῖν-τοῖς (1), φρονοῦσα-τῆς (1), φροντίς-τό (1), πεφροντικός-τοῖς (1), φρονοῦσα-ἡ (1), φροντιούμεθα-τά (1), φρονεῖν-οἱ (1), φρονῶν-τάς (1), φρονοῦσιν-τῶν (1)"
δέ,φρον,227.814723073039,68,29,39,4,10,7,8,0,0,6,13,10,4,6,"φρονεῖν-δέ (10), φρονεῖν-δ' (6), φρονῶν-δ' (6), φρονεῖ-δ' (6), φρονῶ-δ' (4), φρονοῦσα-δ' (4), φρονεῖς-δέ (3), φρονῶν-δέ (3), φρονοῦσι-δ' (3), φροντίς-δ' (2), φρονεῖ-δέ (2), φρονεῖς-δ' (2), φρονοῦντος-δέ (1), φροντίσας-δέ (1), φροντίδας-δέ (1), ἐφρόντισα-δ' (1), φρονοῦντες-δέ (1), φρονοίην-δ' (1), φρονήσομεν-δ' (1), φροντίς-δέ (1), φρονοῦσιν-δ' (1), φροντιεῖ-δ' (1), φρονοῦσι-δέ (1), φρονοῦντες-δ' (1), φρονῶ-δέ (1), ἐφρόντισα-δέ (1), φρονοῦμεν-δ' (1), φροντίδων-δ' (1), φροντιούμεθα-δ' (1)"
γάρ,φρον,194.11530722212,45,21,24,2,4,4,7,4,0,5,5,6,5,3,"φρονεῖς-γάρ (9), φρονῶν-γάρ (8), φρονεῖν-γάρ (6), φρονοῦσι-γάρ (4), φροντίς-γάρ (4), φρονεῖ-γάρ (3), φρόντιζε-γάρ (1), φρονοῦσα-γάρ (1), φροντίσαι-γάρ (1), φροντίδα-γάρ (1), φροντίζομεν-γάρ (1), φρονοῦμεν-γάρ (1), φρονοῦσιν-γάρ (1), φρονῶ-γάρ (1), φρονοῦντας-γάρ (1), φροντίδες-γάρ (1), φροντίζειν-γάρ (1)"
φρον,φρον,138.661890897434,19,10,9,0,1,6,3,0,173,0,3,5,1,0,"φρονῶν-φρονῶν (2), φρονοῦσι-φρονοῦσι (2), φρονεῖν-φρονοῦντας (1), φρονῶ-φρονεῖς (1), φρονεῖς-φρονῶ (1), φρονοῦντος-φρονεῖν (1), φρονεῖς-φρονῶν (1), φρονεῖν-φρονοῦς' (1), φρονοῦσα-φρονεῖς (1), φρονῶ-φρονῶν (1), φρονεῖ-φρονῶν (1), φρονεῖς-φρονοῦσα (1), φρονῶν-φρονεῖς (1), φρονῶν-φρονεῖ (1), φρονῶν-φρονῶ (1), φρονεῖν-φρονοῦντος (1), φρονοῦντας-φρονεῖν (1), φρονοίην-φρονοίην (0), φροντίζειν-φροντίζειν (0), φρονῶ-φρονῶ (0), φρονήσασαι-φρονήσασαι (0), φροντίζομεν-φροντίζομεν (0), φρονοῦσιν-φρονοῦσιν (0), φρονοῦντα-φρονοῦντα (0), φροντίδες-φροντίδες (0), φροντίζων-φροντίζων (0), φροντίδα-φροντίδα (0), φρονεῖν-φρονεῖν (0), φρονεῖς-φρονεῖς (0), φρόνησις-φρόνησις (0), φρονοῦντας-φρονοῦντας (0), φροντιούμεθα-φροντιούμεθα (0), φρονεῖ-φρονεῖ (0), φρονοῦσαν-φρονοῦσαν (0), φρονήσομεν-φρονήσομεν (0), φροντίδας-φροντίδας (0), φρονοῦντος-φρονοῦντος (0), φροντίδων-φροντίδων (0), φρόντιζε-φρόντιζε (0), φροντίζετε-φροντίζετε (0), φρονοῦσα-φρονοῦσα (0), φροντίς-φροντίς (0), πεφροντικός-πεφροντικός (0), φροντίσαι-φροντίσαι (0), φρονοῦντες-φρονοῦντες (0), φροντίσας-φροντίσας (0), φροντιεῖ-φροντιεῖ (0), φρονοῦμεν-φρονοῦμεν (0), ἐφρόντισα-ἐφρόντισα (0)"
σύ,φρον,104.128339809366,33,22,11,4,4,7,5,2,0,3,5,1,1,1,"φρονεῖς-σοί (3), φρονεῖν-ς' (3), φρονεῖς-ς' (2), φρονοῦσαν-σοί (1), φρονεῖν-σοί (1), φρονῶ-ς' (1), φρονεῖν-σοῦ (1), φροντίζομεν-σοί (1), φρονεῖν-σε (1), φροντίζειν-σε (1), φρονῶ-σοί (1), φροντίς-σφῶιν (1), φρονεῖν-σου (1), φρονεῖς-σύ (1), φρονοῦσαν-ς' (1), φρονεῖ-σύ (1), φρονοῦντος-σοι (1), φρονῶν-σε (1), φρονεῖ-σοι (1), φρονεῖς-σοι (1), φρονεῖν-σύ (1), φρονεῖν-σοι (1), φροντιεῖ-σέθεν (1), φροντίσαι-σου (1), φρονεῖν-σέ (1), φροντίζων-σε (1), φρονῶν-σοι (1), φρονῶν-ς' (1)"
μέγας,φρον,96.8565383856185,17,7,10,0,1,2,0,4,0,4,2,2,1,1,"φρονεῖν-μεῖζον (4), φρονῶν-μέγα (2), φρονοῦσι-μεῖζον (1), φρόνησις-μεῖζον (1), φρονοῦσι-μέγα (1), φρονοῦσαν-μεῖζον (1), φρονῶν-μείζω (1), φρονοῦσα-μέγιστον (1), φρονεῖ-μέγ' (1), φρονεῖ-μέγα (1), φρονεῖς-μέγα (1), φρονοῦσιν-μέγα (1), φρονεῖν-μέγα (1)"
ἐγώ,φρον,88.9791261977516,31,18,13,2,3,6,2,5,0,3,1,4,3,2,"φρονῶ-ἐγώ (5), φροντίς-μοι (3), φρονεῖν-ἐγώ (2), φρονεῖς-'γώ (2), φροντίζομεν-κἄγωγε (1), φρονεῖν-με (1), φρονῶ-με (1), φρονῶ-'γώ (1), φρονῶ-ἁγώ (1), φρονοῦσαν-μ' (1), φρονῶ-μοι (1), φρονῶ-μ' (1), φρονεῖ-ἐγώ (1), φροντίζων-ἐγώ (1), φρονεῖς-μοι (1), φρονῶ-ἔμοιγ' (1), φροντίσας-μοι (1), φρονῶ-ἡμῖν (1), φρονεῖς-με (1), φρονῶν-ἐγώ (1), φροντιούμεθα-ἡμεῖς (1), φρονοῦσι-ἐγώ (1), φρονοῦσιν-ἔμοιγ' (1)"
μέν,φρον,86.7503228643909,22,8,14,1,1,2,3,1,0,7,3,0,1,3,"φρονῶν-μέν (5), φρονεῖς-μέν (4), φρονεῖν-μέν (2), φρονῶ-μέν (2), φρονοῦσι-μέν (2), φρονοῦσαν-μέν (1), φροντίς-μέν (1), φρονήσασαι-μέν (1), φροντιούμεθα-μέν (1), φρονοῦσιν-μέν (1), φρονοῦσα-μέν (1), φρονοῦντες-μέν (1)"
