Collocation,2013-09-07
KeyWord,οσι
Instances,44
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
οὐ,οσι,83.7955998973921,17,12,5,2,2,1,1,6,0,3,0,1,0,1,"ὅσια-οὐ (4), ὅσιον-οὐ (3), ὁσίαν-οὐχ (2), ὁσίως-οὐχ (1), ὅσια-οὔ (1), ὁσίων-οὐχ (1), ὁσίως-οὔχ (1), ὅσιος-οὐ (1), ὅσιον-οὐχ (1), ὁσίας-οὐχ (1), ὅσιον-οὐκ (1)"
δέ,οσι,75.3866398823448,20,9,11,1,0,1,1,6,0,2,3,3,2,1,"ὅσιον-δ' (3), ὅσια-δ' (3), ὁσία-δ' (2), ὅσιος-δ' (2), ὁσίαν-δ' (2), ὅσιον-δέ (2), ὅσιοι-δ' (1), ὁσιοῦν-δέ (1), ὅσιος-δέ (1), ὁσιοῦν-δ' (1), ὁσιωθείς-δ' (1), ὁσίως-δέ (1)"
ὁ,οσι,68.3205306045711,19,10,9,4,1,0,4,1,0,0,4,2,1,2,"ὁσίαν-τόν (2), ὁσίων-τῶν (2), ὅσιον-τό (2), ὅσια-τά (2), ὁσίοις-τά (1), ὅσιοι-τᾶς (1), ὁσίας-τά (1), ὁσίαν-τάν (1), ὁσία-ταῖς (1), ὁσίας-ὁ (1), ὁσίαν-τά (1), ὅσια-τούς (1), ὁσίων-ὁ (1), ὅσιος-ὁ (1), ὁσίας-τῆς (1)"
οσι,οσι,63.9063574466854,6,3,3,0,0,2,0,1,43,1,0,2,0,0,"ὁσία-ὁσία (2), ὅσιος-ὁσίου (1), ὁσίας-ὅσιον (1), ὅσιον-ὁσίας (1), ὁσίου-ὅσιος (1), ὁσίοις-ὁσίοις (0), ὁσιοῦν-ὁσιοῦν (0), ὁσίου-ὁσίου (0), ὁσίων-ὁσίων (0), ὁσίαν-ὁσίαν (0), ὁσίας-ὁσίας (0), ὅσιος-ὅσιος (0), ὁσιώτεροι-ὁσιώτεροι (0), ὁσιωθείς-ὁσιωθείς (0), ὅσια-ὅσια (0), ὅσιον-ὅσιον (0), ὁσίως-ὁσίως (0), ὅσιοι-ὅσιοι (0)"
γάρ,οσι,34.695246335119,9,7,2,2,1,0,2,2,0,1,0,0,0,1,"ὅσιος-γάρ (3), ὅσια-γάρ (2), ὁσία-γάρ (2), ὁσιοῦν-γάρ (1), ὁσίου-γάρ (1)"
ὅς,οσι,34.4087923504412,8,3,5,0,0,1,2,0,0,0,2,0,1,2,"ὁσία-ἅ (2), ὅσιον-οἷς (1), ὁσίων-ἅ (1), ὁσίων-ὧν (1), ὅσιον-οἷσιν (1), ὁσία-ἥν (1), ὅσιος-ὅν (1)"
πότνα,οσι,32.9857847299427,2,1,1,0,0,0,1,0,0,1,0,0,0,0,ὁσία-πότνα (2)
κλειδοῦχος,οσι,32.9857847299427,2,0,2,0,0,0,0,0,0,0,0,1,1,0,"ὁσίας-κληιδούχου (1), ὅσιον-κληιδούχου (1)"
χρυσήρης,οσι,29.1672125570476,2,2,0,0,0,1,1,0,0,0,0,0,0,0,"ὅσιον-χρυσήρεις (1), ὁσίας-χρυσήρεις (1)"
εἰμί,οσι,27.9832192920148,8,4,4,0,0,1,2,1,0,1,0,2,1,0,"ὅσιος-ὤν (2), ὁσίου-ὤν (1), ὅσια-ὤν (1), ὁσία-ἔστιν (1), ὅσιος-ἔσται (1), ὅσιος-εἰμι (1), ὅσιος-ἐστίν (1)"
ἀφροδί,οσι,26.257206580136,2,0,2,0,0,0,0,0,0,0,0,0,1,1,"ὅσιοι-ἀφροδί (1), ὁσίων-ἀφροδί (1)"
