Collocation,2013-09-07
KeyWord,ανδρει
Instances,9
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
καί,ανδρει,57.5450050467625,9,6,3,1,1,0,2,2,0,2,0,0,1,0,"ἀνδρηιοτάτῳ-καί (2), ἀνδρηίου-καί (2), ἀνδρηίης-καί (2), ἀνδρηίοισι-καί (2), ἀνδρηιότατοι-καί (1)"
ὁ,ανδρει,40.0158198662102,9,1,8,0,0,0,1,0,0,2,0,2,2,2,"ἀνδρηίης-ὁ (1), ἀνδρηιοτάτῳ-τῶν (1), ἀνδρηίου-τήν (1), ἀνδρηιοτάτῳ-ὁ (1), ἀνδρηιότερον-ἡ (1), ἀνδρηιότατον-τῶν (1), ἀνδρηίης-τῆς (1), ἀνδρηίοισι-τῶν (1), ἀνδρηίης-οἱ (1)"
λήματός,ανδρει,19.9880315577611,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἀνδρηίης-λήματός (1)
ἀθανατίζω,ανδρει,16.1691185953096,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνδρηιότατοι-ἀθανατίζουσι (1)
προσφιλής,ανδρει,16.1691185953096,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἀνδρηιοτάτῳ-προσφιλεστάτῳ (1)
αὐλός,ανδρει,15.4896084731445,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἀνδρηίου-αὐλοῦ (1)
ἀριστεῖα,ανδρει,15.4896084731445,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἀνδρηίης-ἀριστήια (1)
οὔτε,ανδρει,15.0338242854923,2,1,1,0,0,0,0,1,0,1,0,0,0,0,ἀνδρηιότερον-οὔτε (2)
ἡλίκος,ανδρει,14.9843514198437,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ἀνδρηιοτάτῳ-ἡλίκων (1)
ἄλκιμος,ανδρει,14.2469192501158,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἀνδρηιότερον-ἀλκιμώτερον (1)
ῥώμη,ανδρει,13.960311152041,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ἀνδρηίης-ῥώμης (1)
γυναικεῖος,ανδρει,13.960311152041,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἀνδρηίου-γυναικηίου (1)
στέφανος,ανδρει,13.960311152041,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ἀνδρηίης-στέφανον (1)
τε,ανδρει,13.9441028712317,3,3,0,0,1,0,2,0,0,0,0,0,0,0,"ἀνδρηίης-τε (2), ἀνδρηίου-τε (1)"
οὐδείς,ανδρει,13.72966958303,2,1,1,1,0,0,0,0,0,0,1,0,0,0,"ἀνδρηίης-οὐδεμιῆς (1), ἀνδρηιότερον-οὐδέν (1)"
λυδίης,ανδρει,13.7097420338541,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ἀνδρηιότερον-λυδίου (1)
δέ,ανδρει,13.2143619339913,4,1,3,0,0,0,1,0,0,0,2,0,1,0,"ἀνδρηιότατον-δέ (1), ἀνδρηίου-δέ (1), ἀνδρηίης-δέ (1), ἀνδρηιότατοι-δέ (1)"
ἀνδρόω,ανδρει,13.1049142479897,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἀνδρηιοτάτῳ-ἀνδρουμένῳ (1)
νεανίης,ανδρει,12.93814017158,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἀνδρηίης-νεηνίεω (1)
πρόσκειμαι,ανδρει,12.5079888803884,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνδρηιοτάτῳ-προσέκειτο (1)
