Collocation,2013-09-07
KeyWord,δικαι
Instances,94
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,δικαι,283.606610008515,80,40,40,6,9,8,9,8,0,7,11,5,9,8,"δίκαιον-τό (9), ἐδικαίουν-τῶν (4), ἐδικαίου-οἱ (2), δικαιοσύνην-οἱ (2), δίκαιος-ὁ (2), δικαιοσύνης-τήν (2), δίκαιον-τήν (2), δικαίως-τό (2), δικαιοσύνης-τῆς (2), δικαιοσύνην-τήν (1), ἐδικαιοῦντο-τόν (1), δίκαια-τά (1), ἐδικαίουν-οἱ (1), δίκαια-ὁ (1), δικαιότατος-ὁ (1), δικαιοτάτους-τούς (1), ἐδικαιοῦντο-ὁ (1), δικαιότατα-τῶν (1), δίκαιον-τῶν (1), δίκαιοι-οἱ (1), δικαιοῦσι-αἱ (1), δικαιότατον-τό (1), δίκαιοι-τόν (1), δικαίῳ-οἱ (1), δίκαια-τούς (1), ἐδικαίουν-τῆς (1), δικαίως-τούς (1), ἐδικαίου-τό (1), δικαίῳ-τό (1), δικαιότατα-τόν (1), δικαιοτάτους-τήν (1), δικαιοῦσι-οἱ (1), δικαιότερον-οἱ (1), δικαιότατον-τούς (1), δίκαιον-τάς (1), δικαιότατον-τῆς (1), δικαίῳ-τάς (1), δίκαιοι-τά (1), δικαιότατοι-τούς (1), ἐδικαίου-ὁ (1), δικαιοτάτῳ-τήν (1), δίκαια-τόν (1), δικαιοῦν-τούς (1), δικαιότατοι-τόν (1), δικαίων-τά (1), δικαιοῖ-τάς (1), δικαίως-τῶν (1), ἐδικαίου-ἡ (1), δικαιοῦσι-τῶν (1), δικαιοῦσι-τήν (1), δίκαιον-τούς (1), δικαιοτάτῳ-τῶν (1), ἐδικαιοῦντο-οἱ (1), δίκαιοι-τούς (1), δικαιοῦσι-τάς (1), ἐδικαίουν-τήν (1), δικαίων-τό (1), δικαιοῦν-τῆς (1), δικαιοσύνῃ-τῶν (1), δικαίων-τῶν (1), ἐδικαίωσε-ὁ (1), ἐδικαίουν-τό (1)"
καί,δικαι,175.625583787449,47,24,23,7,3,5,4,5,0,10,3,5,1,4,"δίκαια-καί (7), δικαιοσύνην-καί (6), δίκαιον-καί (4), ἐδικαίουν-καί (4), δικαίως-καί (3), ἐδικαίου-καί (3), δικαιοσύνης-καί (3), δικαιότατοι-καί (2), δικαιοῦσι-καί (2), ἐδικαίωσε-καί (2), δικαιότατα-καί (2), δικαιότατον-καί (1), δικαιοτάτῳ-καί (1), δικαιότερον-καί (1), δικαίοισι-καί (1), δίκαιος-καί (1), δίκαιοι-καί (1), δικαιοτάτους-καί (1), δικαιοῦν-καί (1), δικαιοῖ-καί (1)"
δέ,δικαι,107.240973521024,36,19,17,4,6,3,3,3,0,2,4,6,1,4,"δίκαιον-δέ (3), δικαιοῦσι-δέ (3), δίκαιοι-δέ (3), ἐδικαίου-δέ (3), δικαιοσύνην-δέ (2), ἐδικαιοῦντο-δέ (2), ἐδικαίωσε-δέ (2), δικαιότατοι-δέ (2), δικαίως-δέ (2), δικαιότερον-δέ (1), δίκαιος-δέ (1), δικαιοῦντος-δέ (1), δικαιοσύνῃ-δέ (1), δικαιοῖ-δέ (1), δικαιοτάτας-δέ (1), δικαίην-δέ (1), δικαιοῦν-δέ (1), δικαιοτάτῳ-δέ (1), δίκαια-δέ (1), δικαιοῖς-δ' (1), δικαιοῖς-δέ (1), ἐδικαίουν-δέ (1), δικαιοσύνης-δέ (1)"
οὐ,δικαι,106.01733561419,21,19,2,1,0,1,5,12,0,0,0,0,1,1,"ἐδικαίου-οὐκ (4), δίκαια-οὐ (4), δικαίως-οὐκ (2), δικαιοῦν-οὐ (2), ἐδικαίουν-οὐκ (2), δικαιοῦσι-οὐ (1), ἐδικαίωσα-οὐκ (1), ἐδικαίωσαν-οὐκ (1), δίκαιον-οὐκ (1), δίκαιοι-οὐ (1), δικαιοτάτῳ-οὐκ (1), δίκαιον-οὐ (1)"
εἰμί,δικαι,95.7150763375685,26,9,17,2,0,2,2,3,0,9,1,1,4,2,"δίκαιος-ἦν (3), δίκαιοι-εἶναι (3), δίκαιος-ἐστι (2), δίκαιον-εἶναι (2), δικαιότατον-εἶναι (2), δικαιοσύνης-ἦν (1), δικαιότατοι-εἶναι (1), δίκαιον-εἴη (1), δικαιοτάτῳ-ἔστι (1), ἐδικαίου-εἶναι (1), ἐδικαίωσα-ἐών (1), δίκαιον-ἦν (1), δικαιοῦν-ἐόντας (1), δικαίου-εἶναι (1), δικαιότερον-εἶναι (1), δικαίως-εἶναι (1), δικαίῳ-ἐστι (1), δίκαιον-ἐστί (1), δικαιότατοι-ἐόντες (1)"
οὗτος,δικαι,62.5133364899084,21,9,12,0,1,3,3,2,0,2,1,3,5,1,"δίκαιος-ταῦτα (2), δικαιοῦντος-τούτου (1), δίκαιον-ταῦτα (1), δικαιοτάτας-τοῦτο (1), δικαιότερον-τούτων (1), δικαιοτάτῳ-αὕτη (1), δίκαιοι-οὗτοι (1), δίκαια-ταῦτα (1), δικαιότατον-τοῦτο (1), δικαιοσύνην-ταῦτα (1), δικαίην-ταῦτα (1), δικαιότερον-τοῦτο (1), δικαίως-τοῦτο (1), δικαιότατον-οὗτος (1), δικαιοῦν-ταῦτα (1), ἐδικαίωσε-ταῦτα (1), δίκαια-οὗτοι (1), δικαιοῖ-τούτων (1), δικαίως-οὗτος (1), δικαίως-τούτου (1)"
αὐτός,δικαι,47.188559521921,14,8,6,0,0,4,3,1,0,1,2,1,2,0,"δικαίως-αὐτοί (2), ἐδικαίουν-αὐτοί (2), δικαιοῦσι-αὐτοί (1), δίκαιοι-αὐτῶν (1), δικαιοῖ-αὐτός (1), δικαιότερον-αὐτόν (1), δικαιοῖ-αὐτοί (1), ἐδικαίουν-αὐτῶν (1), δίκαια-αὐτῷ (1), ἐδικαίου-αὐτός (1), δικαιοσύνην-αὐτός (1), ἐδικαίουν-αὐτούς (1)"
γάρ,δικαι,45.8943402245641,12,4,8,0,0,1,1,2,0,2,2,2,2,0,"δίκαιον-γάρ (3), δίκαιος-γάρ (2), δικαίως-γάρ (2), ἐδικαίουν-γάρ (1), δικαιοσύνης-γάρ (1), δικαιότατον-γάρ (1), ἐδικαίου-γάρ (1), δικαίου-γάρ (1)"
ἄλλος,δικαι,42.6408734926954,10,6,4,2,0,2,0,2,0,1,0,0,2,1,"ἐδικαίου-ἄλλοισι (1), δικαιοῦσι-ἀλλέων (1), δικαιοσύνην-ἄλλην (1), δίκαιον-ἄλλους (1), δικαιοῦσι-ἄλλοισι (1), δικαίοισι-ἄλλοισι (1), δίκαιος-ἄλλης (1), δίκαιον-ἄλλον (1), ἐδικαίου-ἄλλην (1), ἐδικαίου-ἄλλο (1)"
τε,δικαι,36.483998015523,13,4,9,1,1,1,1,0,0,0,1,1,4,3,"ἐδικαίουν-τε (3), δίκαιος-τε (3), ἐδικαίου-τε (2), δίκαια-τε (2), δικαιότατοι-τε (1), ἐδικαίωσε-τε (1), δίκαιον-τε (1)"
εἰ,δικαι,35.3694627340883,7,4,3,1,1,2,0,0,0,2,0,1,0,0,"δίκαιος-εἰ (2), δικαιοῖς-εἰ (1), δικαιῶ-εἴ (1), δίκαιον-εἰ (1), δικαιότερον-εἴ (1), δικαίως-εἰ (1)"
ἀλλά,δικαι,33.6102923182771,7,3,4,0,2,0,1,0,0,0,0,2,2,0,"ἐδικαίου-ἀλλ' (1), ἐδικαίου-ἀλλά (1), δίκαιον-ἀλλά (1), δίκαια-ἀλλ' (1), δικαιοσύνης-ἀλλ' (1), δικαίως-ἀλλ' (1), δίκαιοι-ἀλλά (1)"
οὕτως,δικαι,33.4760375656188,7,4,3,0,1,1,1,1,0,1,0,2,0,0,"δίκαιον-οὕτω (2), δικαιοῦντος-οὕτω (1), δικαίου-οὕτω (1), δικαίως-οὕτω (1), δικαιότατον-οὕτω (1), δίκαιοι-οὕτω (1)"
ποιέω,δικαι,32.3556963047013,8,6,2,0,1,2,1,2,0,0,1,0,0,1,"δίκαια-ποιέετε (2), δίκαια-ποιέειν (1), δίκαιος-ποιέων (1), δίκαιον-ποιέειν (1), δικαίῳ-ποιήσαντα (1), δικαίῳ-ἐποίεε (1), ἐδικαίουν-ποιέειν (1)"
γίγνομαι,δικαι,30.8627951135859,9,1,8,0,1,0,0,0,0,2,2,2,1,1,"δικαιότατοι-γινόμενοι (1), δικαιότατον-γενέσθαι (1), ἐδικαίουν-γενέσθαι (1), δικαιοτάτους-γενέσθαι (1), δίκαιον-γίνεσθαι (1), δικαιοτάτῳ-γενέσθαι (1), δικαιῶ-γενέσθαι (1), δικαιότατον-γίνεσθαι (1), δικαιότατος-γίνεται (1)"
θεοκύδης,δικαι,30.4469107640907,2,0,2,0,0,0,0,0,0,0,2,0,0,0,δίκαιος-θεοκύδεος (2)
ἄδικος,δικαι,29.8727437341586,3,0,3,0,0,0,0,0,0,0,3,0,0,0,"δικαίῳ-ἄδικον (1), δικαίως-ἀδίκως (1), δικαιοτάτους-ἀδικώτατοι (1)"
ὡς,δικαι,29.3718154625967,9,5,4,1,1,1,2,0,0,0,1,2,1,0,"δίκαια-ὡς (3), ἐδικαίωσαν-ὡς (1), δικαιοσύνης-ὡς (1), ἐδικαίου-ὡς (1), δικαιότατα-ὡς (1), δικαιοσύνῃ-ὡς (1), δικαίως-ὡς (1)"
ἀνήρ,δικαι,28.6485115140676,7,4,3,1,0,0,1,2,0,2,0,1,0,0,"δίκαιος-ἀνήρ (2), δικαιοτάτῳ-ἀνδρῶν (1), δικαιότατον-ἄνδρα (1), δικαιοτάτους-ἄνδρας (1), δικαιότατος-ἀνδρῶν (1), δικαιότατον-ἀνδρῶν (1)"
οὖν,δικαι,28.2408541627228,6,6,0,1,1,1,1,2,0,0,0,0,0,0,"δίκαιον-ὦν (3), δικαίως-ὦν (1), δικαιοῦν-ὦν (1), ἐδικαίου-ὦν (1)"
