Collocation,2013-09-07
KeyWord,φρον
Instances,61
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,φρον,271.328760825098,61,35,26,7,6,10,11,1,0,4,7,3,12,0,"ἐφρόντιζε-ὁ (2), φροντίδος-τῆς (2), φρονέουσα-τά (2), φρονέοιεν-τῶν (2), φροντίζει-τά (2), φρονεόντων-τά (2), φρονέειν-τά (2), φρονεουσέων-τῶν (2), ἐφρόνεον-οἱ (2), φρονέων-τήν (1), φρονέοιεν-τά (1), φρονέων-τῶν (1), ἐφρόντιζον-τόν (1), φροντίζει-τήν (1), φρονέοντες-οἱ (1), φρονέων-ὁ (1), ἐφρόνεον-τόν (1), φρονέων-τάς (1), φροντίσας-τάς (1), φρονέοιεν-τήν (1), φρονέεις-τήν (1), ἐφρόνεε-τήν (1), φρονέοντες-τούς (1), ἐφρόντιζε-τούς (1), φρονέοντας-τούς (1), φροντίζει-τῶν (1), ἐφρόνεον-τά (1), φρονέειν-οἱ (1), φρονέοντα-τήν (1), ἐφρόντιζε-τά (1), ἐφρόνεε-τῶν (1), φρονέειν-ὁ (1), φρονέειν-τούς (1), φροντίζει-τάς (1), φρονεουσέων-τά (1), φρονέοντας-τῶν (1), φροντίζοντας-τῆς (1), φρονέοντα-τῶν (1), φροντίσας-τῶν (1), φρονήσαντας-τούς (1), φρονεόντων-τήν (1), φροντίδι-ὁ (1), φρονήσαντες-τά (1), φρονήσαντες-οἱ (1), ἐφρόντιζε-τῆς (1), φροντίσας-τό (1), φρονέων-τά (1), φρονέωσι-τά (1), φρονέοντας-τά (1), ἐφρόντιζον-τῶν (1), φροντίζοντας-τήν (1), φρονεουσέων-τήν (1)"
δέ,φρον,95.9881503768265,27,12,15,6,0,1,5,0,0,4,3,3,2,3,"ἐφρόντιζε-δέ (3), ἐφρόνεον-δέ (2), φροντίζει-δέ (2), φροντίζων-δέ (2), φροντίδι-δέ (2), φρονήσαντες-δέ (2), ἐφρόνεε-δέ (1), φροντίς-δέ (1), φρονέοντες-δέ (1), φρονέωσι-δέ (1), φρονεόντων-δέ (1), φρονέοντας-δέ (1), φροντίδος-δέ (1), φροντίζοντας-δέ (1), φρονέοι-δέ (1), φροντίδα-δέ (1), φροντίζειν-δέ (1), φρονέουσι-δέ (1), ἐφρόντιζον-δέ (1), φρονεουσέων-δέ (1)"
εἰ,φρον,51.3459318978712,8,4,4,0,1,2,0,1,0,2,1,1,0,0,"φρονήσαντες-εἴ (1), φρονέοντα-εἰ (1), φρονέοντες-εἴ (1), φρονέουσι-εἰ (1), φρονέοιεν-εἰ (1), φρονέεις-εἴ (1), φροντίδα-εἴ (1), φρονέετε-εἴ (1)"
περί,φρον,48.2661338690668,8,3,5,1,0,0,0,2,0,3,0,2,0,0,"φρονέωσι-πέρι (1), φροντίζειν-πέρι (1), φρονεουσέων-περί (1), φρονέουσι-περί (1), φρονεόντων-περί (1), φροντίδι-πέρι (1), ἐφρόντιζον-πέρι (1), φροντίδος-περί (1)"
οὐδείς,φρον,47.6324994647875,8,3,5,1,1,0,1,0,0,3,2,0,0,0,"φροντίζει-οὐδείς (1), φροντίζει-οὐδέν (1), φροντίζουσα-οὐδέν (1), φροντίζοντας-οὐδέν (1), ἐφρόντιζε-οὐδέν (1), ἐφρόντιζον-οὐδέν (1), φρονέετε-οὐδεμία (1), ἐφρόνεε-οὐδέν (1)"
αὐτός,φρον,43.5004146303982,11,8,3,1,1,1,3,2,0,0,2,1,0,0,"φρονήσαντες-τὠυτό (1), φρονέω-αὐτός (1), φρονήσαντες-αὐτούς (1), ἐφρόντιζε-αὐτός (1), φροντίζω-αὐτοί (1), φρονήσαντας-τὠυτό (1), φρονέουσι-αὐτῶν (1), φρονέοι-τὠυτό (1), φροντίζειν-αὐτοί (1), φρονήσαντες-αὐτά (1), ἐφρόντιζον-αὐτῶν (1)"
μέν,φρον,40.6163997491822,11,3,8,0,0,1,2,0,0,0,2,1,1,4,"ἐφρόνεον-μέν (3), φρονέοντα-μέν (1), φροντίζων-μέν (1), φρονέων-μέν (1), ἐφρόντιζον-μέν (1), φροντίς-μέν (1), φρονέοιεν-μέν (1), φροντίδι-μέν (1), φρονέοντες-μέν (1)"
οὗτος,φρον,39.9111994141713,13,8,5,1,1,1,1,4,0,2,1,0,2,0,"ἐφρόντιζε-ταῦτα (2), ἐφρόντιζον-ταῦτα (1), φρονέοντα-ταῦτα (1), ἐφρόνεον-οὗτοι (1), φροντίζει-οὗτοι (1), ἐφρόντιζον-τοῦτον (1), φροντίς-τούτου (1), ἐφρόνεον-ταῦτα (1), φρονέοντα-αὕτη (1), φρονέοιεν-οὗτοι (1), φρονέοντες-τούτους (1), φρονέων-ταῦτα (1)"
εὖ,φρον,39.728111082688,5,4,1,0,0,0,1,3,0,0,1,0,0,0,"φρονέοντες-εὖ (1), φρονέετε-εὖ (1), φρονέεις-εὖ (1), φρονέουσι-εὖ (1), φρονέειν-εὖ (1)"
καί,φρον,39.2410198729485,16,6,10,1,3,2,0,0,0,3,0,2,3,2,"φρονεόντων-καί (3), φρονέω-καί (2), φρονέων-καί (2), ἐφρόντιζον-καί (1), φροντίζω-καί (1), φρονέειν-καί (1), φροντίζουσα-καί (1), φρονήσαντες-καί (1), φροντίδι-καί (1), φροντίδος-καί (1), φροντίζων-καί (1), ἐφρόνεον-καί (1)"
