Collocation,2013-09-08
KeyWord,ανδρει
Instances,32
Files,5
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,ανδρει,101.765273932368,27,15,12,4,3,0,4,4,0,3,1,2,3,3,"ἀνδρεῖον-τό (3), ἀνδρείως-τῶν (2), ἀνδρίαν-τά (2), ἀνδρηιοτάτῳ-ὁ (1), ἀνδρείαν-ἡ (1), ἀνδρηιοτάτῳ-τῶν (1), ἀνδρείως-τά (1), ἀνδρίαν-τούς (1), ἀνδρηίης-ὁ (1), ἀνδρηίου-τήν (1), ἀνδρείᾳ-ἡ (1), ἀνδρηίης-οἱ (1), ἀνδρηίοισι-τῶν (1), ἀνδρηιότερον-ἡ (1), ἀνδρίας-τῆς (1), ἀνδρείας-τῶν (1), ἀνδρείᾳ-ταῖς (1), ἀνδρείας-τό (1), ἀνδρείους-τούς (1), ἀνδρηίης-τῆς (1), ἀνδρηιότατον-τῶν (1), ἀνδρίαν-τόν (1), ἀνδρίας-τό (1)"
καί,ανδρει,88.7848687451333,21,12,9,1,2,0,3,6,0,3,1,2,3,0,"ἀνδρίαν-καί (3), ἀνδρείᾳ-καί (3), ἀνδρεῖον-καί (2), ἀνδρηίης-καί (2), ἀνδρηιοτάτῳ-καί (2), ἀνδρηίου-καί (2), ἀνδρηίοισι-καί (2), ἀνδρείως-καί (1), ἀνδρείους-καί (1), ἀνδρείου-καί (1), ἀνδρηιότατοι-καί (1), ἀνδρείαν-καί (1)"
δέ,ανδρει,39.8730587586761,12,4,8,2,0,0,2,0,0,0,2,2,3,1,"ἀνδρεῖον-δέ (3), ἀνδρεία-δέ (1), ἀνδρείας-δ' (1), ἀνδρηιότατοι-δέ (1), ἀνδρίας-δέ (1), ἀνδρηιότατον-δέ (1), ἀνδρηίου-δέ (1), ἀνδρηίης-δέ (1), ἀνδρίαν-δέ (1), ἀνδρεῖον-δ' (1)"
τίς,ανδρει,31.1255772411823,7,3,4,1,0,0,0,2,0,0,0,1,0,3,"ἀνδρείως-τοῦ (1), ἀνδρηίοισι-τοῖσι (1), ἀνδρείου-τοῦ (1), ἀνδρηιότερον-τοῦ (1), ἀνδρεῖον-τοῦ (1), ἀνδρείᾳ-τίς (1), ἀνδρείους-τοῦ (1)"
τε,ανδρει,29.5566920638084,7,5,2,0,3,0,2,0,0,0,0,2,0,0,"ἀνδρηίης-τε (2), ἀνδρείᾳ-τε (2), ἀνδρείως-τε (2), ἀνδρηίου-τε (1)"
εἰμί,ανδρει,29.4082692656666,8,4,4,1,0,1,1,1,0,1,1,0,2,0,"ἀνδρεῖον-εἶναι (1), ἀνδρεῖον-ὄντες (1), ἀνδρείως-εἶναι (1), ἀνδρηιότατοι-ἐόντες (1), ἀνδρείους-εἶναι (1), ἀνδρηιοτάτῳ-ἐόντι (1), ἀνδρείου-εἶναι (1), ἀνδρηίης-ἐούσης (1)"
ες,ἀνδρεῖα,28.502137536183,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἀνδρείοις-ες (1)
μέν,ανδρει,27.5086722411215,7,3,4,0,0,2,0,1,0,4,0,0,0,0,"ἀνδρηίης-μέν (2), ἀνδρείᾳ-μέν (1), ἀνδρεία-μέν (1), ἀνδρεῖον-μέν (1), ἀνδρείαν-μέν (1), ἀνδρείας-μέν (1)"
ἀπειρία,ανδρει,27.2221924271435,2,1,1,0,0,0,1,0,0,0,0,0,1,0,"ἀνδρείους-ἀπειρίαν (1), ἀνδρείου-ἀπειρίαν (1)"
ῥώμη,ανδρει,22.7461865153164,2,2,0,0,1,0,0,1,0,0,0,0,0,0,"ἀνδρηίης-ῥώμης (1), ἀνδρεῖον-ἐρρωμένως (1)"
