Collocation,2013-09-07
KeyWord,φρον
Instances,94
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,φρον,164.435407331213,38,26,12,2,0,1,4,19,0,6,4,1,0,1,"φρονέων-τά (12), φρονέοντι-οἱ (10), φρονέω-τά (3), φρονέων-οἱ (2), φρονέουσα-τά (1), φρονέοντα-τόν (1), φρονεόντων-τόν (1), φρονέουσι-τήν (1), φρονέων-ταί (1), φρονέοντες-τά (1), φρονέεις-τά (1), φρονεόντων-οἱ (1), φρονέοντι-τόν (1), φρονέουσιν-τούς (1), φρονέων-τούς (1)"
δοάζω,φρον,146.858327411115,10,0,10,0,0,0,0,0,0,10,0,0,0,0,φρονέοντι-δοάσσατο (10)
ἀγοράομαι,φρον,118.926993397065,10,0,10,0,0,0,0,0,0,10,0,0,0,0,φρονέων-ἀγορήσατο (10)
δέ,φρον,116.806110320613,42,21,21,2,4,2,13,0,0,3,10,3,4,1,"φρονέοντι-δέ (8), φρονέων-δ' (8), φρονέων-δέ (5), φρονέοντες-δέ (4), φρόνεον-δέ (3), φρονέεις-δέ (3), φρονέουσι-δ' (2), φρονέω-δέ (2), φρονέοντι-δ' (1), φρονέουσιν-δέ (1), φρονέουσα-δέ (1), φρόνεον-δ' (1), φρονέοντε-δ' (1), φρονέοντες-δ' (1), φρονέοντα-δέ (1)"
κερδίων,φρον,113.829205043614,10,0,10,0,0,0,0,0,0,0,10,0,0,0,φρονέοντι-κέρδιον (10)
μετεῖπον,φρον,97.7956763580441,10,0,10,0,0,0,0,0,0,0,0,10,0,0,"φρονέων-μετέειπεν (7), φρονέων-μετέειπε (3)"
ὅτι,φρον,90.6731024216861,17,13,4,0,0,10,3,0,0,2,1,0,1,0,"φρονέων-ὅ (12), φρονέεις-ὅ (3), φρονεόντων-ὅ (1), φρονέων-ὅτι (1)"
εἰμί,φρον,88.1612093523145,23,7,16,2,1,3,1,0,0,0,1,10,2,3,"φρονέοντι-εἶναι (10), φρονέειν-ἐστε (1), φρονέων-εἶναι (1), φρονέοντες-εἴατο (1), φρονέων-ἐών (1), φρονέων-ἦ (1), φρονέοντα-ἐόντα (1), φρονέω-ἔσται (1), φρονέουσι-ἔστ' (1), φρονέων-ἔσσεται (1), φρονέων-ἔνθ' (1), φρονέοντες-εἰσίν (1), φρονέουσα-εἰμι (1), φρονέων-ἐσσι (1)"
καί,φρον,74.6211560554802,25,7,18,3,1,3,0,0,0,2,12,1,1,2,"φρονέων-καί (17), φρονέουσα-καί (2), φρονέοντι-καί (2), φρονέοντες-καί (1), φρονέειν-καί (1), φρονέω-καί (1), φρονέῃσι-καί (1)"
ὧδε,φρον,73.2181429583579,9,9,0,1,0,8,0,0,0,0,0,0,0,0,"φρονέοντι-ὧδε (8), φρονέουσα-ὧδ' (1)"
σφεῖς,φρον,69.5570906586945,10,10,0,0,0,0,10,0,0,0,0,0,0,0,φρονέων-σφιν (10)
νοήμων,φρόνιος,63.1084639318287,3,0,3,0,0,0,0,0,0,3,0,0,0,0,"φρονίοιο-νοήμων (2), φρονίοιο-νοήμονα (1)"
κακός,φρον,62.868745806627,10,9,1,0,0,0,0,9,0,1,0,0,0,0,"φρονέων-κακά (6), φρονέουσι-κακά (1), φρονέων-κακόν (1), φρονέουσιν-κακά (1), φρονέοντες-κακά (1)"
ἐΰ,φρον,62.2359857745469,7,7,0,0,0,0,0,7,0,0,0,0,0,0,"φρονέων-ἐΰ (6), φρονέῃσι-ἐΰ (1)"
τελέω,φρον,52.967281778343,7,2,5,0,1,1,0,0,0,3,0,0,2,0,"φρονέεις-τελέσαι (3), φρονέων-ἐτέλεσσε (1), φρονέοντι-τελέσειεν (1), φρονέω-τετελεσμένον (1), φρονέων-ἐτέλεσσεν (1)"
ὅς,φρον,52.6775446692482,15,11,4,2,2,6,0,1,0,3,0,0,0,1,"φρονέων-οἵ (2), φρονέων-ἅ (2), φρονέοντες-οἵ (2), φρόνεον-οἵ (2), φρονέων-ἥν (1), φρονέεις-ἅ (1), φρονέων-ᾧ (1), φρονέων-οἷσιν (1), φρονέων-ὅν (1), φρονέω-ᾗ (1), φρονέοντε-ὥ (1)"
φῖλος,φρον,48.2850218908861,6,6,0,0,0,0,0,6,0,0,0,0,0,0,"φρονέων-φίλα (3), φρονέῃς-φίλα (2), φρονέουσα-φίλα (1)"
θυμός,φρον,48.2024493608624,10,2,8,0,1,0,1,0,0,0,3,2,3,0,"φρονέεις-θυμός (3), φρονέῃς-θυμῷ (2), φρονέων-θυμῷ (2), φρονέων-θυμόν (1), φρονέουσι-θυμόν (1), φρονέω-θυμόν (1)"
“γινώσκω,φρον,45.8438347140327,3,3,0,0,0,0,0,3,0,0,0,0,0,0,φρονέω-“γινώσκω (3)
ἐν,φρον,44.0153917204589,13,5,8,1,1,3,0,0,0,3,4,1,0,0,"φρονέων-ἐν (3), φρονέῃς-ἐνί (2), φρονέοντες-ἐν (2), φρονέων-ἐνί (2), φρονέουσα-ἐν (1), φρονέοντε-ἐν (1), φρονεόντων-ἐν (1), φρονέοντες-ἐνί (1)"
μέγας,φρον,41.9491580436006,9,9,0,1,0,0,0,8,0,0,0,0,0,0,"φρονέων-μέγα (3), φρονέοντε-μέγα (3), φρονέοντες-μέγα (2), φρονέεις-μεγάλοιο (1)"
τρώς,φρον,37.672502390109,8,3,5,0,0,0,3,0,0,1,0,1,3,0,"φρονέων-τρωσί (3), φρονέων-τρώεσσι (2), φρονέοντες-τρωσί (1), φρονέοντε-τρῶας (1), φρόνεον-τρῶες (1)"
τε,φρον,36.3938743975013,15,7,8,3,1,0,1,2,0,2,2,1,3,0,"φρονέων-τε (5), φρονέειν-τε (2), φρονέοντι-τε (1), φρονέοντε-τ' (1), φρονέεις-τ' (1), φρονέων-τ' (1), φρονεόντων-τ' (1), φρονέω-τε (1), φρονέῃσι-τ' (1), φρονέων-θ' (1)"
οὐ,φρον,35.5825514709577,10,4,6,1,2,0,1,0,0,0,1,3,1,1,"φρονέοντες-οὐκ (2), φρονέων-οὐκ (2), φρονέειν-οὔ (1), φρονέοντα-οὔ (1), φρονέων-οὐ (1), φρονέοντες-οὐ (1), φρονέων-οὔ (1), φρονέουσι-οὐκ (1)"
υἱός,φρόνιος,34.8942982610315,3,2,1,0,0,0,0,2,0,0,0,1,0,0,"φρονίοιο-υἱός (2), φρονίοιο-υἱόν (1)"
βαίνω,φρον,34.7508777445182,6,1,5,0,0,0,0,1,0,3,0,0,2,0,"φρονέων-ἐβεβήκει (3), φρονέοντι-βῆναι (2), φρόνεον-βέβασαν (1)"
ἀγαθός,φρον,34.7173730917275,5,5,0,0,1,0,0,4,0,0,0,0,0,0,"φρονέων-ἀγαθά (2), φρονέουσα-ἀγαθά (1), φρονέοντα-ἀγαθά (1), φρονέων-ἀγαθῇσιν (1)"
“κέκλυτε,φρον,33.6331733996049,3,0,3,0,0,0,0,0,0,0,0,0,3,0,φρονέων-“κέκλυτε (3)
ἰθύς,φρον,33.1689000511542,4,3,1,0,1,0,0,2,0,1,0,0,0,0,"φρονέων-ἰθύς (2), φρόνεον-ἰθύς (1), φρονέειν-ἰθύν (1)"
τοι,φρον,31.3004429545254,8,3,5,0,3,0,0,0,0,0,0,2,1,2,"φρονέῃς-τοι (4), φρονέων-τοί (2), φρονέων-τοι (1), φρονέουσα-τοι (1)"
ὡς,φρον,29.2962581459433,10,3,7,1,0,2,0,0,0,0,4,3,0,0,"φρονέων-ὥς (4), φρονέοντι-ὥς (2), φρονέοντε-ὥς (2), φρονέω-ὡς (1), φρονέουσι-ὥς (1)"
τις,φρον,28.6780172046274,8,7,1,3,0,1,0,3,0,0,0,0,1,0,"φρονέεις-τι (5), φρονέουσιν-τι (1), φρονέων-τι (1), φρονέοντα-τι (1)"
ἐνορούω,φρον,26.7236955622211,2,0,2,0,0,0,0,0,0,2,0,0,0,0,"φρονέων-ἐνορούσῃ (1), φρονέων-ἐνόρουσε (1)"
ἐγώ,φρον,26.208589782007,10,3,7,0,2,0,0,1,0,0,1,5,0,1,"φρονέεις-με (3), φρονέεις-ἐγώ (1), φρονέων-ἐγώ (1), φρονέοντι-μοι (1), φρονέουσα-μοι (1), φρονέοντα-μοι (1), φρονέων-μοι (1), φρονέω-με (1)"
νοέω,φρον,25.0817944379523,4,0,4,0,0,0,0,0,0,1,0,0,3,0,"φρονέω-νοέοντι (3), φρονέων-νοέοντι (1)"
ἐλπωρή,φρον,24.9985594609752,2,0,2,0,0,0,0,0,0,0,0,0,2,0,φρονέῃς-ἐλπωρή (2)
εὖ,φρον,24.7420155536383,4,4,0,0,0,0,0,4,0,0,0,0,0,0,φρονέων-ἐύ (4)
θαμίζω,φρον,23.8145765755326,2,2,0,0,2,0,0,0,0,0,0,0,0,0,φρονέεις-θαμίζεις (2)
ὁ,φρόνιος,23.088499086909,3,3,0,0,0,3,0,0,0,0,0,0,0,0,"φρονίοιο-τοῖς (1), φρονίοιο-τόν (1), φρονίοιο-ἡ (1)"
κελεύω,φρον,22.7510614050552,4,1,3,0,0,1,0,0,0,0,0,0,0,3,"φρονέω-κελεύεις (3), φρονέων-κελεύων (1)"
ἀγέρεσθαι,φρόνιος,22.6012285789475,1,1,0,1,0,0,0,0,0,0,0,0,0,0,φρονίοιο-ἀγέρεσθαι (1)
μέν,φρον,21.1249521691352,8,4,4,2,0,1,1,0,0,0,1,2,0,1,"φρονέων-μέν (5), φρονέουσι-μέν (1), φρονέουσιν-μέν (1), φρονέοντες-μέν (1)"
ἐπί,φρον,20.6482125744224,7,3,4,3,0,0,0,0,0,1,1,0,0,2,"φρονέοντι-ἐπ' (2), φρονέων-ἔπι (1), φρονέειν-ἐπ' (1), φρονέοντι-ἐπί (1), φρονέοντες-ἐπί (1), φρονέων-ἐπί (1)"
ζεύς,φρον,20.4131286880001,6,1,5,0,0,1,0,0,0,1,1,2,1,0,"φρονέουσιν-ζεύς (1), φρονέω-διός (1), φρονέουσα-διός (1), φρονέων-δῖος (1), φρονέων-ζεύς (1), φρονέω-δῖος (1)"
πέρ,φρον,20.3392789689824,5,3,2,0,0,0,1,2,0,0,0,0,2,0,"φρονεόντων-περ (2), φρονέεις-περ (1), φρονέω-περ (1), φρονέων-περ (1)"
παρίστημι,φρον,20.2551537938416,3,1,2,0,1,0,0,0,0,2,0,0,0,0,"φρονέοντι-παρίστατο (1), φρονέων-παραστάς (1), φρονέουσα-παρέστης (1)"
ἐκεῖνος,φρον,19.1084187459201,3,3,0,0,1,2,0,0,0,0,0,0,0,0,"φρονέῃς-κείνη (2), φρονέων-κεῖνος (1)"
αὐδάω,φρον,19.1084187459201,3,3,0,0,0,3,0,0,0,0,0,0,0,0,φρονέεις-αὔδα (3)
“αὐτός,φρόνιος,18.7821834068745,1,0,1,0,0,0,0,0,0,0,0,0,1,0,φρονίοιο-“αὐτός (1)
πύκα,φρον,18.4985681353137,2,2,0,0,0,0,2,0,0,0,0,0,0,0,φρονεόντων-πύκα (2)
οὐδέ,φρον,18.3194968830794,6,2,4,1,1,0,0,0,0,1,1,2,0,0,"φρονέουσιν-οὐδέ (2), φρονέων-οὐδέ (1), φρονέοντε-οὐδ' (1), φρονέοντα-οὐδέ (1), φρονέοντες-οὐδ' (1)"
ὀδυσσεύς,φρον,18.0340519519523,5,4,1,0,1,1,2,0,0,0,0,0,0,1,"φρονέω-ὀδυσσεύς (2), φρονέων-ὀδυσεύς (1), φρονέων-ὀδυσσεύς (1), φρονέοντι-ὀδυσῆα (1)"
δέ,φρόνιος,17.4474373292178,3,3,0,0,0,0,3,0,0,0,0,0,0,0,φρονίοιο-δ' (3)
χράω,φρον,17.3513228725642,2,2,0,2,0,0,0,0,0,0,0,0,0,0,"φρονέων-κεχρημένος (1), φρονέων-κέχρητ' (1)"
ἄρα,φρον,16.984696784988,7,5,2,0,1,0,4,0,0,0,1,0,0,1,"φρονέοντι-ἄρα (3), φρονέοντι-ῥ' (1), φρονέων-ἄρ' (1), φρονέων-ῥ' (1), φρονεόντων-ῥά (1)"
ἄνωγα,φρον,16.8959689093754,3,0,3,0,0,0,0,0,0,0,0,0,0,3,φρονέεις-ἄνωγεν (3)
κρόνος,φρον,16.7947374163195,2,1,1,0,1,0,0,0,0,0,1,0,0,0,"φρονέοντε-κρόνου (1), φρονέεις-κρόνοιο (1)"
ὦ,φρον,16.7720400216058,3,0,3,0,0,0,0,0,0,0,0,0,2,1,φρονέων-ὦ (3)
γάρ,φρον,15.7168508674949,6,5,1,1,2,0,0,2,0,0,0,0,1,0,"φρονέων-γάρ (3), φρονέεις-γάρ (1), φρονέω-γάρ (1), φρονέουσα-γάρ (1)"
αἰτέω,φρόνιος,15.5505439108238,1,0,1,0,0,0,0,0,0,0,0,0,1,0,φρονίοιο-ᾔτεε (1)
ἀλλά,φρον,15.5278308875859,6,5,1,0,0,0,5,0,0,0,0,0,0,1,"φρονέων-ἀλλά (2), φρονέεις-ἀλλ' (1), φρονέων-ἀλλ' (1), φρονέουσα-ἀλλ' (1), φρονέουσι-ἀλλά (1)"
ἀλθαία,φρον,15.2606175979599,1,0,1,0,0,0,0,0,0,0,0,0,0,1,φρονεόντων-ἀλθαίῃ (1)
‘ἴσχεσθ',φρον,15.2606175979599,1,0,1,0,0,0,0,0,0,0,0,0,1,0,φρονέων-‘ἴσχεσθ' (1)
