Collocation,2013-09-07
KeyWord,ανδρει
Instances,21
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,ανδρει,173.593294788152,43,23,20,0,5,4,5,9,0,4,4,2,8,2,"ἀνδρείαν-τήν (11), ἀνδρίαν-τήν (5), ἀνδρείας-τῆς (4), ἀνδρίας-τόν (3), ἀνδρειότερα-τά (3), ἀνδρείας-τήν (2), ἀνδρείαν-τῶν (2), ἀνδρίας-τῶν (2), ἀνδρείαν-τοῖς (2), ἀνδρείαν-τῆς (1), ἀνδρία-οἱ (1), ἀνδρείας-τῶν (1), ἀνδρίαν-τοῖς (1), ἀνδρίαν-τῶν (1), ἀνδρείαν-οἱ (1), ἀνδρίαν-οἱ (1), ἀνδρίαν-τούς (1), ἀνδρείαν-τούς (1)"
καί,ανδρει,128.172577572055,21,5,16,3,0,1,1,0,0,5,1,5,4,1,"ἀνδρείας-καί (7), ἀνδρείαν-καί (5), ἀνδρεία-καί (3), ἀνδρίας-καί (2), ἀνδρίαν-καί (2), ἀνδρία-καί (2)"
σοφ,ανδρει,48.8255650969222,4,0,4,0,0,0,0,0,0,0,2,2,0,0,"ἀνδρίας-σοφίας (2), ἀνδρία-σοφία (1), ἀνδρεία-σοφία (1)"
ἤ,ανδρει,36.8381034233607,6,1,5,0,0,1,0,0,0,2,1,1,1,0,"ἀνδρείαν-ἤ (4), ἀνδρίας-ἤ (2)"
μέν,ανδρει,35.6995350378565,8,8,0,0,0,1,2,5,0,0,0,0,0,0,"ἀνδρίας-μέν (3), ἀνδρίαν-μέν (2), ἀνδρείας-μέν (1), ἀνδρειότερα-μέν (1), ἀνδρείαν-μέν (1)"
πέρσης,ανδρει,24.0158167327754,2,2,0,0,0,0,0,2,0,0,0,0,0,0,ἀνδρείαν-περσῶν (2)
ὁλάω,ανδρει,21.6234451206401,2,0,2,0,0,0,0,0,0,1,0,0,1,0,"ἀνδρείαν-ὅλης (1), ἀνδρείαν-ὅλων (1)"
διέξειμι,ανδρει,19.7461900180206,2,2,0,0,0,1,1,0,0,0,0,0,0,0,"ἀνδρείαν-διεξιέναι (1), ἀνδρία-διεξιόντες (1)"
πρός,ανδρει,19.1378132542595,4,3,1,0,1,0,2,0,0,0,0,0,0,1,"ἀνδρείας-πρός (2), ἀνδρεία-πρός (1), ἀνδρίαν-πρός (1)"
σύνολος,ανδρει,17.3630737387575,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἀνδρείας-συνόλως (1)
ἔχοντάς,ανδρει,17.3630737387575,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἀνδρειότερα-ἔχοντάς (1)
περιπολέω,ανδρει,17.3630737387575,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἀνδρείαν-περιπολοῦσαν (1)
σωφρ,ανδρει,16.6265976191498,2,1,1,0,1,0,0,0,0,0,0,0,0,1,ἀνδρείαν-σωφροσύνην (2)
αὐτοῦ,ανδρει,15.9492693571374,2,1,1,0,1,0,0,0,0,0,1,0,0,0,"ἀνδρίας-αὐτοῦ (1), ἀνδρείαν-αὐτοῦ (1)"
γάρ,ανδρει,15.7156983613968,4,1,3,0,0,0,0,1,0,0,0,1,2,0,"ἀνδρείαν-γάρ (2), ἀνδρίας-γάρ (1), ἀνδρίαν-γάρ (1)"
συναυξάνω,ανδρει,14.59081618255,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἀνδρεία-συνηυξήθη (1)
προσγίγνομαι,ανδρει,13.5446510640904,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ἀνδρεία-προσεγένετο (1)
δέ,ανδρει,13.2631618659943,5,1,4,0,0,1,0,0,0,0,2,0,0,2,"ἀνδρειότερα-δέ (2), ἀνδρίας-δ' (1), ἀνδρία-δέ (1), ἀνδρίας-δέ (1)"
ἀλόγιστος,ανδρει,12.3603741829284,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ἀνδρείαν-ἀλογίστου (1)
ἆθλος,ανδρει,12.3603741829284,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἀνδρείαν-ἄθλους (1)
καρτερία,ανδρει,12.3603741829284,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἀνδρείας-καρτερίας (1)
ὑμνέω,ανδρει,11.9579950878397,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ἀνδρείαν-ὑμνοῦντες (1)
δεινότης,ανδρει,11.9579950878397,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνδρείας-δεινότητος (1)
ἄσκησις,ανδρει,11.9579950878397,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ἀνδρείας-ἄσκησιν (1)
δικαι,ανδρει,10.9700228837319,2,0,2,0,0,0,0,0,0,0,0,0,2,0,"ἀνδρίας-δικαιοσύνης (1), ἀνδρία-δικαιοσύνη (1)"
διά,ανδρει,9.96769707882777,2,1,1,0,0,0,1,0,0,0,0,0,0,1,"ἀνδρίαν-διά (1), ἀνδρείαν-διά (1)"
ἐπιτιμή,ανδρει,9.88670843280852,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἀνδρίαν-ἐπιτιμᾶν (1)
ἀντεῖπον,ανδρει,9.88670843280852,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἀνδρία-ἀντειπεῖν (1)
τρέφω,ανδρει,9.76195813156664,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἀνδρίας-τεθραμμένους (1)
ἐκεῖνος,ανδρει,9.69142630090937,2,1,1,1,0,0,0,0,0,0,0,0,0,1,"ἀνδρείαν-ἐκεῖνοι (1), ἀνδρείας-κἀκεῖνο (1)"
ὁμόνοια,ανδρει,9.64457434089854,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνδρείας-ὁμόνοιαν (1)
μέλω,ανδρει,9.64457434089854,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἀνδρείαν-μέλειν (1)
ὅς,ανδρει,9.58406111272052,3,3,0,1,1,1,0,0,0,0,0,0,0,0,"ἀνδρίαν-ἧς (1), ἀνδρειότερα-αἷς (1), ἀνδρίαν-οὕς (1)"
σύμπας,ανδρει,9.53373721567914,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἀνδρείαν-σύμπασαν (1)
εἴπερ,ανδρει,9.42875662026927,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνδρίαν-εἴπερ (1)
πρᾶος,ανδρει,9.23410322889686,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνδρειότερα-πραότερα (1)
πλοῦτος,ανδρει,9.23410322889686,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἀνδρίας-πλούτου (1)
ἄνοια,ανδρει,9.23410322889686,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνδρείαν-ἀνοίας (1)
φρόνις,ανδρει,9.23410322889686,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνδρείαν-φρόνησιν (1)
λοιδορέω,ανδρει,9.05684131802991,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ἀνδρίαν-λοιδορεῖν (1)
ἡρακλέων,ανδρει,8.97381508303806,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἀνδρείαν-ἡρακλέους (1)
ἐλευθερόω,ανδρει,8.8941249679774,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἀνδρίας-ἐλευθέρως (1)
ἀπορέω,ανδρει,8.67264184216037,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἀνδρείαν-ἠπόρησε (1)
ῥώμη,ανδρει,8.67264184216037,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἀνδρίαν-ῥώμην (1)
ἀποκτείνω,ανδρει,8.67264184216037,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἀνδρίαν-ἀποκτείνοντας (1)
ἔπαινος,ανδρει,8.5376461208798,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ἀνδρείαν-ἐπαίνων (1)
φοβέω,ανδρει,8.35098703438416,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἀνδρείαν-φοβηθῆναι (1)
ταὐτός,ανδρει,8.23566690133885,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἀνδρία-ταὐτόν (1)
μή,ανδρει,8.21265490818769,2,1,1,0,0,1,0,0,0,0,0,0,0,1,"ἀνδρίας-μή (1), ἀνδρείαν-μή (1)"
ὅλοξ,ανδρει,8.07439970038831,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνδρίαν-ὅλως (1)
παρακαλέω,ανδρει,8.07439970038831,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἀνδρείας-παρεκάλεσεν (1)
τις,ανδρει,7.55076651601121,2,2,0,0,1,0,1,0,0,0,0,0,0,0,"ἀνδρείαν-τις (1), ἀνδρειότερα-τινας (1)"
ἐνθυμέομαι,ανδρει,7.24425671901554,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἀνδρείαν-ἐνθυμούμενον (1)
ἐθίζω,ανδρει,7.24425671901554,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἀνδρείαν-εἰθισμένοις (1)
παιδεύω,ανδρει,7.17768456600606,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἀνδρίαν-ἐπαιδεύθησαν (1)
ἐν,ανδρει,7.06134937657043,2,0,2,0,0,0,0,0,0,1,1,0,0,0,"ἀνδρίαν-ἐν (1), ἀνδρείαν-ἐν (1)"
ἀξίων,ανδρει,7.05096344882622,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ἀνδρείαν-ἄξιον (1)
τιμή,ανδρει,6.90329434676096,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ἀνδρείαν-τιμᾶν (1)
εὐδοκιμέω,ανδρει,6.7927006483078,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἀνδρίας-εὐδοκιμησάντων (1)
μεταί,ανδρει,6.1758966720663,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἀνδρείαν-μετ' (1)
πως,ανδρει,6.1758966720663,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἀνδρείαν-πῶς (1)
ἐπιδείκνυμι,ανδρει,6.09916314156726,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνδρίαν-ἐπεδείξατο (1)
καίτοι,ανδρει,5.77135084243491,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἀνδρείαν-καίτοι (1)
οὔτις,ανδρει,5.73988447338343,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἀνδρίαν-οὔθ' (1)
ἐπαινέω,ανδρει,5.61894456623122,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ἀνδρείαν-ἐπαινεῖν (1)
ἔργον,ανδρει,5.45077315857634,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἀνδρίαν-ἔργοις (1)
εὑρίσκω,ανδρει,5.37194319907576,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἀνδρίας-εὑρήσομεν (1)
κίνδυνος,ανδρει,5.37194319907576,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ἀνδρείαν-κινδύνοις (1)
πολίτης,ανδρει,5.24741965252906,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἀνδρίαν-πολῖται (1)
ἄν,ανδρει,5.21531471144408,2,2,0,0,1,1,0,0,0,0,0,0,0,0,"ἀνδρείας-ἄν (1), ἀνδρείαν-ἄν (1)"
εἶπον,ανδρει,5.06379422172904,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ἀνδρείας-εἰπεῖν (1)
χρή,ανδρει,4.88650912232697,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἀνδρείαν-χρή (1)
κακόω,ανδρει,4.84712196979672,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ἀνδρίαν-κακῶς (1)
δεῖ,ανδρει,4.77075293613598,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ἀνδρίαν-δεῖ (1)
δύναμις,ανδρει,4.71546010533348,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἀνδρίας-δύναμιν (1)
λαμβάνω,ανδρει,4.32406474277377,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἀνδρείαν-λαβόντες (1)
βούλομαι,ανδρει,4.09646841976792,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ἀνδρείαν-βουληθείς (1)
δύναμαι,ανδρει,4.02653328655288,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἀνδρείας-δύναιτο (1)
πρᾶγμα,ανδρει,3.97126479959115,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἀνδρείαν-πραγμάτων (1)
οὗτος,ανδρει,3.83096674084663,2,1,1,0,0,0,0,1,0,0,1,0,0,0,"ἀνδρίαν-τούτοις (1), ἀνδρεία-τούτοις (1)"
οὖν,ανδρει,3.69190938491374,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ἀνδρίαν-οὖν (1)
πᾶς,ανδρει,3.67134999949485,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἀνδρεία-πάντα (1)
οὐδέ,ανδρει,3.52437312481925,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἀνδρείαν-οὐδέ (1)
οὕτως,ανδρει,3.28755799308419,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ἀνδρίαν-οὕτως (1)
πόλις,ανδρει,3.19195345928892,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνδρείαν-πόλεως (1)
λέγω,ανδρει,3.18808424845338,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἀνδρίαν-λέγουσιν (1)
ὥστε,ανδρει,3.11620247224346,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνδρίαν-ὥστε (1)
μέγας,ανδρει,3.11250274069607,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ἀνδρείας-μεῖζον (1)
σύ,ανδρει,2.95059277443215,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἀνδρείαν-σοι (1)
οὐδείς,ανδρει,2.9438983774744,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἀνδρείας-οὐδείς (1)
τοιοῦτος,ανδρει,2.91082740202546,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἀνδρίας-τοιούτων (1)
ὅτι,ανδρει,2.87199932336807,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἀνδρείας-ὅτι (1)
