Collocation,2013-09-07
KeyWord,ευσεβ
Instances,30
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,ευσεβ,258.434594710823,64,36,28,2,6,7,8,13,0,6,4,13,1,4,"εὐσέβειαν-τήν (19), εὐσέβειαν-τούς (9), εὐσεβείας-τῆς (4), εὐσεβεστάτοις-τοῖς (2), εὐσεβεῖς-τῶν (2), εὐσεβεῖν-τούς (2), εὐσέβειαν-τοῖς (2), εὐσεβεστάτους-τούς (2), εὐσεβεῖς-τάς (2), εὐσεβεστάτους-τήν (1), εὐσεβεστάτους-τῶν (1), εὐσέβειαν-τόν (1), εὐσεβέστατα-τά (1), εὐσέβει-τούς (1), εὐσεβῶς-ὁ (1), εὐσεβείας-τούς (1), εὐσεβοῦμεν-τά (1), εὐσέβει-τά (1), εὐσεβεστάτοις-τῶν (1), εὐσεβέστατα-τῶν (1), εὐσεβέστερον-τήν (1), εὐσεβεῖς-τούς (1), εὐσεβοῦμεν-τήν (1), εὐσεβεῖς-τῆς (1), εὐσεβεῖς-οἱ (1), εὐσεβείᾳ-τήν (1), εὐσεβείας-ταῖς (1), εὐσεβοῦμεν-τούς (1), εὐσέβειαν-τῆς (1)"
καί,ευσεβ,108.466662975028,23,7,16,3,0,2,2,0,0,8,2,2,1,3,"εὐσέβειαν-καί (9), εὐσεβεῖς-καί (3), εὐσεβείας-καί (3), εὐσεβοῦμεν-καί (2), εὐσεβέστατα-καί (2), εὐσεβέστερον-καί (1), εὐσεβείᾳ-καί (1), εὐσεβεστάτους-καί (1), εὐσεβεῖν-καί (1)"
θεός,ευσεβ,91.0364587008953,9,5,4,0,0,0,1,4,0,0,0,0,4,0,"εὐσέβειαν-θεούς (5), εὐσεβοῦμεν-θεούς (1), εὐσεβεστάτους-θεῶν (1), εὐσέβει-θεούς (1), εὐσεβέστατα-θεῶν (1)"
δικαι,ευσεβ,42.4323923718184,6,0,6,0,0,0,0,0,0,0,2,2,1,1,"εὐσέβειαν-δικαιοσύνην (3), εὐσεβείας-δικαιοσύνης (2), εὐσεβοῦμεν-δικαιοσύνην (1)"
περί,ευσεβ,42.4113208749332,9,3,6,0,0,2,1,0,0,0,2,1,3,0,"εὐσέβειαν-περί (4), εὐσεβείας-περί (2), εὐσεβοῦμεν-περί (1), εὐσεβεστάτους-περί (1), εὐσεβείᾳ-περί (1)"
δέ,ευσεβ,39.5247365892865,11,6,5,1,1,0,2,2,0,0,2,3,0,0,"εὐσέβειαν-δ' (3), εὐσέβειαν-δέ (3), εὐσεβεῖν-δέ (1), εὐσεβείᾳ-δ' (1), εὐσεβῶς-δέ (1), εὐσεβῶς-δ' (1), εὐσεβείας-δέ (1)"
εἰμί,ευσεβ,32.902341783978,8,5,3,0,2,2,1,0,0,1,0,0,1,1,"εὐσεβείας-ἔν (1), εὐσεβείας-ὄντας (1), εὐσεβεστάτοις-ἦν (1), εὐσέβειαν-ἔσεσθαι (1), εὐσεβεῖς-εἶναι (1), εὐσέβειαν-ἔν (1), εὐσεβείᾳ-εἶναι (1), εὐσέβειαν-εἶναι (1)"
ἀσκέω,ευσεβ,30.8355358014815,3,1,2,0,0,0,0,1,0,0,0,0,2,0,"εὐσέβειαν-ἀσκοῦντας (1), εὐσέβειαν-ἠσκηκότας (1), εὐσεβοῦμεν-ἀσκοῦμεν (1)"
πρός,ευσεβ,29.3486058255658,6,3,3,0,1,1,1,0,0,0,3,0,0,0,"εὐσέβειαν-πρός (4), εὐσεβέστατα-πρός (1), εὐσέβει-πρός (1)"
οὐδέ,ευσεβ,22.3727672267705,4,2,2,0,0,1,0,1,0,1,0,0,0,1,"εὐσέβειαν-οὐδέ (2), εὐσεβέστερον-οὐδέ (1), εὐσεβέστερον-οὐδ' (1)"
