Collocation,2013-09-07
KeyWord,οσι
Instances,19
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
καί,οσι,128.173273122869,21,6,15,2,2,0,2,0,0,9,1,3,1,1,"ὁσίως-καί (9), ὁσιότητος-καί (5), ὁσίοις-καί (3), ὁσιωτάτους-καί (2), ὁσιώτερον-καί (2)"
ὁ,οσι,108.977981189266,27,10,17,2,1,0,0,7,0,2,0,3,8,4,"ὁσιότητος-τῆς (4), ὁσίοις-τοῖς (2), ὁσίως-τῶν (2), ὁσιότητα-τήν (2), ὁσιότητος-τῶν (2), ὁσιωτάτους-τῶν (2), ὁσιώτερον-τήν (2), ὁσίας-τόν (1), ὁσιωτάτους-τούς (1), ὁσιότητα-τῆς (1), ὁσίας-τοῖς (1), ὁσιώτερον-τούς (1), ὅσιον-τῶν (1), ὁσίοις-τούς (1), ὁσίως-τήν (1), ὁσιώτερος-τούς (1), ὁσίως-τούς (1), ὁσίως-τά (1)"
δικαι,οσι,59.4718403951265,7,0,7,0,0,0,0,0,0,0,7,0,0,0,"ὁσίως-δικαίως (4), ὁσιωτάτους-δικαιοτάτους (2), ὁσιώτερος-δικαιότερος (1)"
καλός,οσι,38.2988703739829,5,1,4,0,0,1,0,0,0,0,4,0,0,0,"ὁσίως-καλῶς (2), ὁσιωτέροις-καλλίοσι (1), ὅσιον-καλόν (1), ὁσίας-καλάς (1)"
οὐδέ,οσι,17.8456373456866,3,1,2,0,0,1,0,0,0,1,0,1,0,0,"ὁσίας-οὐδέ (2), ὁσίως-οὐδ' (1)"
οὕτως,οσι,17.0938985962421,3,3,0,0,0,0,1,2,0,0,0,0,0,0,"ὁσίως-οὕτως (2), ὁσίως-οὕτω (1)"
ἀλλά,οσι,16.8748637107201,4,4,0,0,0,1,2,1,0,0,0,0,0,0,"ὁσίως-ἀλλ' (2), ὁσιώτερον-ἀλλά (1), ὁσιωτάτους-ἀλλ' (1)"
ὅς,οσι,15.9671909720637,4,1,3,1,0,0,0,0,0,1,0,2,0,0,"ὁσιωτάτους-οἵπερ (1), ὁσίως-ὧν (1), ὁσιωτέροις-ὧν (1), ὁσιότητος-ἥν (1)"
συμβουλεύω,οσι,15.8315986399539,2,1,1,0,0,0,1,0,0,0,0,1,0,0,"ὁσιώτερον-συμβουλεύσοντας (1), ὁσιωτέροις-συμβεβουλεύκαμεν (1)"
οὗτος,οσι,13.7584773744456,4,3,1,0,2,1,0,0,0,0,0,0,0,1,"ὁσιότητα-τούτους (1), ὁσιότητα-τούτων (1), ὁσίως-τούτων (1), ὁσίως-τούτοις (1)"
ἄποκρισλς,οσι,13.7499383436516,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ὁσιώτερον-ἀπόκρισιν (1)
ἀναίρεσις,οσι,13.7499383436516,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ὁσιώτερον-ἀναιρέσεως (1)
οὔτε,οσι,13.52499647066,2,0,2,0,0,0,0,0,0,1,0,0,1,0,"ὁσιότητος-οὔτε (1), ὅσιον-οὔτε (1)"
παράνομος,οσι,12.5655952235684,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ὁσίως-παρανόμως (1)
οἶδα,οσι,12.4899091771804,2,2,0,0,2,0,0,0,0,0,0,0,0,0,"ὁσίως-οἶδα (1), ὅσιον-εἰδότες (1)"
νομίζω,οσι,11.9270919072442,2,2,0,0,1,1,0,0,0,0,0,0,0,0,"ὁσιωτάτους-νομίζουσιν (1), ὁσιωτάτους-νομιοῦσιν (1)"
ἱερόω,οσι,11.8285871180706,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ὁσίοις-ἱεροῖς (1)
ἕλλην,οσι,10.976593028754,2,0,2,0,0,0,0,0,0,0,0,0,0,2,"ὁσιότητος-ἑλλήνων (1), ὁσιωτάτους-ἑλλήνων (1)"
τῷ,οσι,10.9169342196546,2,1,1,0,0,0,1,0,0,0,0,0,0,1,ὁσίως-τῷ (2)
παντοδαπός,οσι,10.687642312143,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ὁσιότητος-παντοδαπάς (1)
γάρ,οσι,10.6231011673808,3,2,1,0,0,1,0,1,0,0,0,0,1,0,"ὁσίως-γάρ (2), ὁσιότητος-γάρ (1)"
καταστρέφω,οσι,10.5210802797228,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ὁσιώτερον-καταστρεφομένους (1)
οὐ,οσι,10.4664009679109,3,3,0,1,0,0,2,0,0,0,0,0,0,0,"ὁσίως-οὐ (1), ὁσίας-οὐ (1), ὁσιωτάτους-οὐ (1)"
θαυμαστός,οσι,10.0915651363321,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ὁσιότητος-θαυμαστά (1)
