Collocation,2013-09-07
KeyWord,σωφρ
Instances,71
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
καί,σωφρ,446.127679264173,73,41,32,2,2,8,7,22,0,15,8,5,2,2,"σωφροσύνην-καί (25), σωφροσύνης-καί (11), σωφρονέστατον-καί (6), σωφρόνως-καί (5), σωφροσύνῃ-καί (5), σωφρονεστέραν-καί (3), σωφρονέστατα-καί (3), σωφροσύνη-καί (2), σωφρονοῦντες-καί (2), σωφρονεστέρους-καί (2), σωφρονέστερον-καί (2), σωφρονήσαιμεν-καί (1), σωφρονοῖεν-καί (1), σώφρονες-καί (1), σωφρονεστάτους-καί (1), σωφρονῶμεν-καί (1), σωφρονεῖν-καί (1), σωφρονέστατοι-καί (1)"
ὁ,σωφρ,391.797449679114,97,50,47,10,10,8,11,11,0,10,9,15,5,8,"σωφροσύνην-τήν (26), σωφροσύνην-τῶν (8), σωφροσύνην-τοῖς (6), σωφροσύνην-ταῖς (5), σωφροσύνης-τήν (3), σωφρονεῖν-τούς (2), σωφροσύνης-τῶν (2), σωφρονέστερον-τῶν (2), σωφρονεστέρους-τούς (2), σωφρονῶμεν-τούς (2), σωφρόνως-τό (2), σωφροσύνης-τῆς (2), σωφροσύνης-τόν (2), σωφροσύνην-τάς (2), σωφρόνως-τήν (2), σωφρονῆτε-τῆς (1), σωφρονεστέραν-τῶν (1), σωφρόνως-τόν (1), σωφρονῆτε-τῶν (1), σωφροσύνης-τάς (1), σώφρονες-τάς (1), σωφρονοῦσιν-τάς (1), σωφρονεστάτους-τῶν (1), σωφρονοῖεν-τήν (1), σωφροσύνην-οἱ (1), σωφρονῶν-τήν (1), σωφροσύνης-τούς (1), σωφρονεῖν-τό (1), σωφρονοῦντες-οἱ (1), σωφρόνως-τῶν (1), σωφρονεστέρους-τῶν (1), σωφρόνως-τούς (1), σωφρονῶμεν-τόν (1), σωφρονεστέρους-τήν (1), σωφροσύνην-τόν (1), σωφροσύνην-τῆς (1), σωφρονήσαιμεν-τῆς (1), σωφρονέστατοι-τῶν (1), σωφρονέστατα-τήν (1), σωφρονοῦντες-τόν (1), σωφρονέστερον-τήν (1), σωφρονέστερος-τῶν (1), σωφρονέστατα-τοῖς (1), σωφροσύνη-ταῖς (1)"
δικαι,σωφρ,98.9504874069244,14,6,8,0,0,2,3,1,0,0,2,5,1,0,"σωφροσύνην-δικαιοσύνην (8), σωφροσύνης-δικαιοσύνης (2), σωφρονέστατον-δικαιότατον (2), σωφροσύνῃ-δικαιοσύνῃ (2)"
ἀρετή,σωφρ,86.4948320258409,11,11,0,3,0,4,2,2,0,0,0,0,0,0,"σωφροσύνην-ἀρετήν (6), σωφροσύνης-ἀρετῆς (2), σωφροσύνῃ-ἀρετῇ (1), σωφρόνως-ἀρετήν (1), σωφροσύνην-ἀρετῶν (1)"
δέ,σωφρ,76.2039552256465,23,14,9,4,4,2,1,3,0,1,0,0,5,3,"σωφροσύνην-δέ (6), σωφροσύνην-δ' (3), σωφροσύνης-δέ (2), σωφρονεῖν-δέ (1), σωφρόνως-δέ (1), σωφροσύνη-δ' (1), σωφρονῶμεν-δ' (1), σωφρονεστέρους-δ' (1), σώφρονες-δ' (1), σωφρονεστάτους-δ' (1), σωφρονέστατοι-δ' (1), σωφρονέστερος-δ' (1), σωφρονεστέρους-δέ (1), σωφρονεῖν-δ' (1), σώφρονες-δέ (1)"
ἄν,σωφρ,44.8797028549016,12,7,5,3,1,1,1,1,0,2,2,0,0,1,"σωφροσύνης-ἄν (2), σωφροσύνην-ἄν (2), σωφρόνως-κα (1), σωφρονέστερος-ἄν (1), σωφρονῶμεν-ἄν (1), σωφρονέστατον-ἄν (1), σωφρονέστερον-ἄν (1), σωφρονεῖν-ἄν (1), σωφρονοῖεν-ἄν (1), σωφρονοῦντες-ἄν (1)"
οὐ,σωφρ,32.6350346459076,10,2,8,1,0,1,0,0,0,1,1,1,2,3,"σωφροσύνην-οὐ (3), σωφροσύνης-οὐ (1), σωφροσύνην-οὐκ (1), σωφρονεῖν-οὐκ (1), σωφρόνως-οὐ (1), σωφρονῶμεν-οὐ (1), σωφροσύνης-οὐκ (1), σωφρονέστερον-οὐ (1)"
ὥστε,σωφρ,31.8308668443933,7,3,4,0,0,1,2,0,0,0,2,0,1,1,"σωφρονέστατοι-ὥστ' (1), σωφρονῆτε-ὥστ' (1), σωφροσύνη-ὥστε (1), σωφροσύνην-ὥστ' (1), σωφροσύνην-ὥστε (1), σωφρονοῦσιν-ὥσθ' (1), σωφρονῶμεν-ὥστ' (1)"
βιόω,σωφρ,31.2015320835635,5,2,3,0,1,0,0,1,0,0,0,1,2,0,"σωφροσύνης-βίον (1), σωφρονῶμεν-βίον (1), σώφρονες-βίου (1), σωφρόνως-βίον (1), σωφρόνως-βίου (1)"
οὗτος,σωφρ,31.0466762883589,11,4,7,1,0,0,2,1,0,1,1,2,2,1,"σωφρονεῖς-ταῦτα (1), σωφρονοῦσιν-οὗτοι (1), σωφροσύνην-τούτοις (1), σωφροσύνης-ταῦτα (1), σωφροσύνης-τούτων (1), σωφρονέστερος-τούτων (1), σωφροσύνην-ταύτην (1), σωφροσύνης-τοῦτο (1), σωφρονῆτε-ταύτης (1), σωφρονέστερον-ταύτην (1), σωφρονεῖν-ταῦτα (1)"
