Collocation,2013-09-07
KeyWord,ευσεβ
Instances,2
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὑγίεια,"",36.8148582432041,2,2,0,0,0,2,0,0,0,0,0,0,0,0,εὐσεβίης-ὑγίειαν (2)
γείτων,"",36.8148582432041,2,0,2,0,0,0,0,0,0,2,0,0,0,0,εὐσεβίης-γείτονα (2)
σωφρ,"",32.9957732334296,2,0,2,0,0,0,0,0,0,0,2,0,0,0,εὐσεβίης-σωφροσύνην (2)
θνητός,"",29.1766882236552,2,2,0,0,2,0,0,0,0,0,0,0,0,0,εὐσεβίης-θνητοῖς (2)
θεός,"",23.4108699598437,2,2,0,2,0,0,0,0,0,0,0,0,0,0,εὐσεβίης-θεῶν (2)
ὁ,"",15.4940467283741,3,2,1,0,0,0,0,2,0,0,0,1,0,0,"εὐσεβίης-τήν (2), εὐσεβίης-αἱ (1)"
καί,"",13.2836601182498,2,2,0,0,0,0,2,0,0,0,0,0,0,0,εὐσεβίης-καί (2)
πάλιν,"",13.2030074740906,1,0,1,0,0,0,0,0,0,0,0,0,0,1,εὐσεβίης-πάλιν (1)
ὑπέρ,"",12.0186157062271,1,0,1,0,0,0,0,0,0,0,0,0,0,1,εὐσεβίης-ὑπέρ (1)
ἔχω,"",9.19117842346895,1,0,1,0,0,0,0,0,0,0,0,1,0,0,εὐσεβίης-ἑξῆς (1)
γάρ,"",6.89944907437894,1,0,1,0,0,0,0,0,0,0,0,0,1,0,εὐσεβίης-γάρ (1)
τε,"",5.69606405998638,1,0,1,0,0,0,0,0,0,0,0,0,1,0,εὐσεβίης-τε (1)
ευσεβ,"",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,εὐσεβίης-εὐσεβίης (0)
