Collocation,2013-09-07
KeyWord,φρον
Instances,18
Files,2
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,φρον,114.606783095747,24,12,12,3,2,3,3,1,0,1,2,4,2,3,"φροντίζειν-τῶν (2), φρονοῦντας-ταῖς (2), φροντίζειν-τά (2), φρονῶ-τοῖς (2), ἐφρόντισεν-τῶν (2), ἐφρόντιζον-τῶν (1), φρονεῖ-τῶν (1), ἐφρόνουν-οἱ (1), φροντιζόντων-τοῖς (1), φροντίσας-τῆς (1), ἐφρόντιζον-τόν (1), φροντίσαι-τούς (1), φρονεῖν-τό (1), φροντίζειν-τό (1), φρονούντων-τοῖς (1), φρονοῦντες-τῶν (1), φροντίσας-τῶν (1), φρονοῦντας-τούς (1), φρονούντων-τῶν (1)"
δέ,φρον,32.376065034885,8,4,4,0,1,1,1,1,0,0,2,1,0,1,"ἐφρόνουν-δ' (1), φρονούντων-δέ (1), φρονεῖν-δέ (1), φρονῆτε-δέ (1), ἐφρόντιζον-δέ (1), φρονοῦντες-δ' (1), φροντιζόντων-δέ (1), φρονοῦντας-δ' (1)"
εὖ,φρον,26.3290083853062,3,3,0,0,0,0,0,3,0,0,0,0,0,0,"φρονούντων-εὖ (1), φρονῶν-εὖ (1), φρονῆτε-εὖ (1)"
οὗτος,φρον,24.4024261096492,6,2,4,0,1,0,1,0,0,0,0,1,1,2,"φροντίσαι-οὗτος (1), φρονοῦντας-τούτων (1), φρονῆτε-τοῦτο (1), φρονήσωσιν-τούτων (1), φρονῶν-τούτων (1), ἐφρόντισεν-τούτων (1)"
μέγας,φρον,20.0084524825215,3,3,0,0,0,1,0,2,0,0,0,0,0,0,"φρονῶ-μέγα (1), φρονοῦντες-μέγα (1), φρονοῦντας-μέγα (1)"
μικρός,φρον,18.3296663367655,2,1,1,1,0,0,0,0,0,1,0,0,0,0,"φρονοῦντες-μικρῶν (1), φροντίζειν-μικρόν (1)"
ἐπί,φρον,17.4339348911308,3,1,2,0,1,0,0,0,0,1,1,0,0,0,"φρονῶ-ἐπί (2), φρονοῦντας-ἐπί (1)"
καί,φρον,16.5304225552827,6,1,5,0,1,0,0,0,0,1,1,0,2,1,"ἐφρόντιζον-καί (1), φρονῶν-καί (1), φροντίσας-καί (1), ἐφρόντισεν-καί (1), φρονήσωσιν-καί (1), φρονῆτε-καί (1)"
ἀναίσθητος,φρον,16.4470513020642,1,1,0,0,1,0,0,0,0,0,0,0,0,0,φρονεῖν-ἀναισθήτως (1)
δομημένων,φρον,16.4470513020642,1,0,1,0,0,0,0,0,0,0,0,0,0,1,φρονεῖ-δομημένων (1)
