Collocation,2013-09-07
KeyWord,οσι
Instances,6
Files,2
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
καί,οσι,57.6870762389153,9,5,4,0,1,0,1,3,0,2,0,1,0,1,"ὅσιον-καί (5), ὁσίων-καί (2), ὁσιώτερον-καί (1), ὅσια-καί (1)"
ἀνίημι,οσι,18.7644463817123,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ὅσιον-ἀνεῖναι (1)
δικαι,οσι,16.3246777348686,2,2,0,0,0,0,2,0,0,0,0,0,0,0,"ὅσια-δίκαια (1), ὅσιον-δίκαιον (1)"
αλκιβιαδου,οσι,15.992010984337,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ὅσια-αλκιβιαδου (1)
ἀναγραφεύς,οσι,15.992010984337,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ὁσίων-ἀναγραφεύς (1)
οὔτε,οσι,15.9322416316718,2,1,1,0,0,0,0,1,0,1,0,0,0,0,ὅσιον-οὔτε (2)
14,οσι,14.9456680237781,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ὅσια-14 (1)
νόμιμος,οσι,13.0237379102036,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ὅσιον-νόμιμον (1)
ἀκριβῶς,οσι,13.0237379102036,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ὁσιώτερον-ἀκριβῶς (1)
ευσεβ,οσι,13.0237379102036,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ὅσιον-εὐσεβές (1)
οὔκουν,οσι,12.2641669223085,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ὅσιον-οὔκουν (1)
ἡδύς,οσι,12.2641669223085,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ὁσιώτερον-ἥδιον (1)
ἐπισκήπτω,οσι,12.0639855943155,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ὅσιον-ἐπέσκηψαν (1)
μανθάνω,οσι,11.88206949085,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ὁσιώτερον-μαθόντες (1)
ιἕρη,οσι,11.715362736024,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ὁσίων-ἱερῶν (1)
βλάπτω,οσι,11.715362736024,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ὅσιον-βλάβῃ (1)
ἀναβαίνω,οσι,10.0690347971395,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ὅσιον-ἀνάβηθι (1)
work,οσι,9.63081488618627,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ὅσια-work (1)
πᾶσις,οσι,9.5214983636979,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ὅσια-πᾶσιν (1)
καταψηφίζομαι,οσι,9.46901412028819,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ὁσιώτερον-καταψηφίζοισθε (1)
ἀγόρατος,οσι,9.46901412028819,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ὁσιώτερον-ἀγοράτου (1)
ψηφίζω,οσι,9.3680280696135,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ὅσια-ψηφίσασθαι (1)
