Collocation,2013-09-07
KeyWord,σοφ
Instances,3
Files,2
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
καί,σοφ,25.6318156782072,4,3,1,0,1,0,0,2,0,1,0,0,0,0,"σοφίας-καί (2), σοφωτάτους-καί (2)"
ὁμιλία,σοφ,17.5795684847981,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σοφωτάτους-ὁμιλίαν (1)
μεταγιγνώσκω,σοφ,17.5795684847981,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σοφωτάτους-μεταγιγνώσκειν (1)
πλοῦτος,σοφ,16.5331335265655,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σοφίας-πλούτου (1)
ῥώμη,σοφ,15.3483169625979,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σοφίας-ῥώμης (1)
ἄριστος,σοφ,14.9456680237781,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σοφωτάτους-ἀρίστους (1)
εἰμί,σοφ,12.0035595099907,2,0,2,0,0,0,0,0,0,0,0,1,0,1,"σοφίας-ὄντας (1), σοφωτάτους-ὄντας (1)"
τίθημι,σοφ,11.6541078635491,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σοφίας-τίθενται (1)
μάλιστα,σοφ,10.9519966125954,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σοφωτάτους-μάλιστα (1)
ἐθέλω,σοφ,10.4336901053321,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σοφωτάτους-ἐθέλειν (1)
δέ,σοφ,10.3631636488717,2,1,1,1,0,0,0,0,0,0,0,0,0,1,"σοφωτάτους-δ' (1), σοφωτάτους-δέ (1)"
ἐμαυτοῦ,σοφ,10.2520484160632,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σοφωτάτους-ἐμαυτόν (1)
ὁράω,σοφ,9.96176052861847,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σοφωτάτους-ἑώρων (1)
ἀξιόω,σοφ,9.50750803737901,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σοφίας-ἀξίους (1)
οὔτε,σοφ,7.96070291032083,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σοφωτάτους-οὔτε (1)
ἐπί,σοφ,7.36865876149386,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σοφίας-ἐπ' (1)
ἐμός,σοφ,6.95305923512205,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σοφωτάτους-ἐμήν (1)
ὡς,σοφ,6.36190553591587,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σοφίας-ὡς (1)
εἰ,σοφ,6.22587379068136,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σοφωτάτους-εἰ (1)
ὑμός,σοφ,6.09873106982559,1,1,0,0,0,0,0,1,0,0,0,0,0,0,σοφωτάτους-ὑμᾶς (1)
γάρ,σοφ,5.38320164731704,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σοφωτάτους-γάρ (1)
μέν,σοφ,4.43427191022784,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σοφωτάτους-μέν (1)
αὐτός,σοφ,4.36630063317716,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σοφίας-αὐτοῖς (1)
ὁ,σοφ,1.33917426737025,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σοφωτάτους-τούς (1)
σοφ,σοφ,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,"σοφωτάτους-σοφωτάτους (0), σοφίας-σοφίας (0)"
