Collocation,2013-09-07
KeyWord,σοφ
Instances,56
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
δέ,σοφ,105.95837615151,27,14,13,3,3,3,4,1,0,5,3,1,2,2,"σοφοί-δέ (4), σοφίᾳ-δέ (2), σοφώτατοι-δ' (2), σοφία-δέ (2), σοφοῖς-δ' (2), σοφίας-δέ (2), σοφόν-δέ (2), σοφόν-δ' (1), σοφία-δ' (1), σοφῶν-δ' (1), σοφίαν-δ' (1), σοφαῖς-δ' (1), σοφοῖς-δέ (1), σοφαί-δέ (1), σοφοί-δ' (1), σοφίας-δ' (1), σοφός-δέ (1), σοφίαι-δέ (1)"
καί,σοφ,75.8825659219874,18,11,7,2,0,2,1,6,0,3,1,1,0,2,"σοφοί-καί (6), σοφία-καί (4), σοφόν-καί (2), σοφίᾳ-καί (1), σοφᾶς-καί (1), σοφός-καί (1), σοφῶν-καί (1), σοφίας-καί (1), σοφώ-καί (1)"
ὁ,σοφ,53.3203469668515,16,10,6,2,4,0,3,1,0,2,1,3,0,0,"σοφία-τό (2), σοφίαν-τάν (1), σοφοί-τά (1), σοφός-τό (1), σοφώ-τό (1), σοφός-ὁ (1), σοφοί-ἁ (1), σοφοί-τό (1), σοφοῖς-τό (1), σοφαί-αἱ (1), σοφῶν-ὁ (1), σοφοῖς-ὁ (1), σοφίας-ο (1), σοφ-ο (1), σοφοί-οἱ (1)"
ἀνήρ,σοφ,52.8750160364434,10,4,6,0,0,0,2,2,0,1,0,3,1,1,"σοφαῖς-ἀνήρ (1), σοφίας-ἀνδράσι (1), σοφίαν-ἀνήρ (1), σοφώτατοι-ἀνδρί (1), σοφοί-ἄνδρες (1), σοφοῖς-ἀνήρ (1), σοφῷ-ἀνδρί (1), σοφίᾳ-ἄνδρες (1), σοφοῖς-ἀνδρῶν (1), σοφώτατα-ἀνδρῶν (1)"
εἰμί,σοφ,46.3554880674928,10,5,5,0,0,1,1,3,0,2,0,1,2,0,"σοφᾶς-ἐντί (1), σοφώτατοι-ἔστι (1), σοφοῖς-ἐστί (1), σοφοί-ἔμμεν (1), σοφίαν-ἔμμεν (1), σοφοῖς-ἔν (1), σοφός-εἰσίν (1), σοφίᾳ-ἐόντα (1), σοφώ-ἐστί (1), σοφός-ἐσσί (1)"
ἔπος,σοφ,43.1147632646607,6,2,4,0,1,0,1,0,0,2,0,0,2,0,"σοφοί-ἐπέων (2), σοφῶν-ἐπέων (2), σοφῷ-ἔπος (1), σοφίας-ἐπέων (1)"
τε,σοφ,36.6327873140108,12,7,5,1,0,3,1,2,0,1,2,1,0,1,"σοφίᾳ-τε (3), σοφοῖς-τε (2), σοφός-θ' (1), σοφίας-τ' (1), σοφοί-τ' (1), σοφοί-τε (1), σοφόν-τ' (1), σοφός-τ' (1), σοφία-τε (1)"
εἰ,σοφ,32.8669652460376,6,1,5,0,0,0,0,1,0,2,0,1,0,2,"σοφός-εἰ (2), σοφός-εἴ (1), σοφίαν-εἰ (1), σοφώ-εἰ (1), σοφῷ-εἰ (1)"
τις,σοφ,25.7042321447516,6,4,2,0,0,0,3,1,0,0,0,1,1,0,"σοφία-τι (1), σοφίαν-τις (1), σοφοί-τι (1), σοφίαν-τινες (1), σοφός-τις (1), σοφίας-τι (1)"
ὁμοιόω,σοφ,25.4589730743319,2,0,2,0,0,0,0,0,0,0,0,1,1,0,"σοφοῖς-ὁμοίως (1), σοφαῖς-ὁμοίως (1)"
