Collocation,2013-09-07
KeyWord,σοφ
Instances,736
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,σοφ,2793.17353618518,643,400,243,57,59,58,75,151,0,34,59,54,42,54,"σοφίαν-τήν (53), σοφίας-τῆς (41), σοφοί-οἱ (40), σοφία-ἡ (40), σοφῶν-τῶν (35), σοφός-ὁ (32), σοφόν-τόν (20), σοφόν-τό (18), σοφώτατον-τόν (11), σοφοί-τῶν (10), σοφός-τά (9), σοφούς-τούς (9), σοφά-τά (8), σοφίας-τῶν (8), σοφός-τήν (8), σοφός-τῶν (7), σοφίαν-οἱ (7), σοφία-τῶν (7), σοφίαν-τῶν (7), σοφός-τούς (6), σοφίᾳ-οἱ (6), σοφίας-τήν (6), σοφῶν-οἱ (5), σοφώτατος-ὁ (5), σοφίᾳ-τῶν (5), σοφόν-τῶν (5), σοφώτατοι-οἱ (5), σοφός-τόν (5), σοφία-τῆς (4), σοφίας-τόν (4), σοφία-τό (4), σοφοί-ὁ (4), σοφίας-τό (4), σοφίαν-τό (4), σοφώτερον-τό (4), σοφώτερος-ὁ (4), σοφόν-τήν (4), σοφῶν-ὁ (3), σοφοί-τό (3), σοφοί-τά (3), σοφώτατον-τῶν (3), σοφίαν-τά (3), σοφόν-οἱ (3), σοφίᾳ-ὁ (3), σοφίαν-ἡ (3), σοφίας-τά (3), σοφίαν-τόν (3), σοφίᾳ-τοῖς (3), σοφίαν-ὁ (3), σοφωτέρα-ἡ (3), σοφίας-ὁ (3), σοφία-τούς (2), σοφός-οἱ (2), σοφίᾳ-τούς (2), σοφωτέρων-τῶν (2), σοφοῦ-τά (2), σοφώτατος-τά (2), σοφούς-τάς (2), σοφός-τοῖς (2), σοφούς-τῶν (2), σοφῶν-τό (2), σοφώτατος-τῶν (2), σοφίαν-τοῖς (2), σοφίαν-τῆς (2), σοφῷ-ὁ (2), σοφίας-τούς (2), σοφάς-τάς (2), σοφοῖς-τοῖς (2), σοφή-τῶν (2), σοφίαν-τούς (2), σοφωτάτους-τῶν (2), σοφωτάτου-τήν (2), σοφίας-οἱ (2), σοφοῦ-τῆς (2), σοφῶν-τάς (2), σοφῶν-τόν (2), σοφώτατον-τό (2), σοφῷ-τά (2), σοφώτατον-τά (2), σοφώτατοι-τῶν (2), σοφούς-οἱ (2), σοφήν-τήν (2), σοφία-τήν (2), σοφώτερον-τῶν (2), σοφήν-ἡ (2), σοφίαν-τοῖν (2), σοφός-τό (2), σοφοί-τοῖς (2), σοφία-τόν (2), σοφῷ-τό (2), σοφίας-ἡ (2), σοφόν-ὁ (2), σοφωτέρους-τούς (1), σοφίας-τοῖν (1), σοφοί-τάς (1), σοφώτατος-ἡ (1), σοφώτερον-ἡ (1), σοφοί-τόν (1), σοφώτατον-τήν (1), σοφοί-τάν (1), σοφῷ-τήν (1), σοφωτέρους-τάς (1), σοφώτερος-ἡ (1), σοφός-τῆς (1), σοφώτατον-τούς (1), σοφώτερα-τά (1), σοφώτεροι-οἱ (1), σοφώτατον-τοῖς (1), σοφοί-τούς (1), σοφωτάτων-τοῖς (1), σοφῶν-τούς (1), σοφωτάτων-τῶν (1), σοφωτάτου-τῆς (1), σοφοί-τῆς (1), σοφώτερον-ὁ (1), σοφούς-τήν (1), σοφοῖς-τήν (1), σοφούς-τόν (1), σοφοῖς-τῶν (1), σοφή-τόν (1), σοφή-τήν (1), σοφώτερος-τῶν (1), σοφοῦ-τό (1), σοφία-ὁ (1), σοφώτατος-τόν (1), σοφωτάτων-τήν (1), σοφωτέροις-τό (1), σοφίᾳ-τά (1), σοφοῦ-ἡ (1), σοφῆς-ἡ (1), σοφῶν-τά (1), σοφώτερον-τόν (1), σοφόν-τά (1), σοφωτέροις-τοῖς (1), σοφώτατον-οἱ (1), σοφούς-τό (1), σοφώτερον-τά (1), σοφία-τά (1), σοφοῖς-οἱ (1), σοφήν-τό (1), σοφώτερος-ο (1), σοφέ-ὁ (1), σοφώτερος-τήν (1), σοφή-ἡ (1), σοφῷ-τῶν (1), σοφίας-ταῖς (1), σοφά-οἱ (1), σοφούς-ἡ (1), σοφόν-ἡ (1), σοφίας-τοῖς (1), σοφώτερος-τά (1), σοφούς-ταῖς (1), σοφίας-τάς (1), σοφόν-τοῖς (1), σοφωτάτους-τοῖς (1), σοφόν-τάς (1), σοφίᾳ-τήν (1)"
καί,σοφ,1500.76427661628,413,200,213,32,30,43,35,60,0,51,54,41,31,36,"σοφός-καί (52), σοφία-καί (48), σοφίας-καί (46), σοφίαν-καί (42), σοφόν-καί (34), σοφοί-καί (31), σοφίᾳ-καί (22), σοφούς-καί (22), σοφῶν-καί (20), σοφώτατον-καί (14), σοφή-καί (9), σοφώτατος-καί (9), σοφοῦ-καί (9), σοφῷ-καί (6), σοφώτερον-καί (6), σοφώτατοι-καί (6), σοφώτερος-καί (5), σοφοῖς-καί (4), σοφώ-καί (4), σοφώτεροι-καί (4), σοφά-καί (2), σοφήν-καί (2), σοφωτάτων-καί (2), σοφωτέρων-καί (2), σοφώτατε-καί (2), σοφῆς-καί (2), σοφωτέρα-καί (2), σοφωτάτου-καί (2), σοφωτέρους-καί (1), σοφωτάτους-καί (1), σοφωτάτῳ-καί (1), σοφίαι-καί (1)"
εἰμί,σοφ,1425.61314598471,332,139,193,19,20,27,28,45,0,85,35,26,24,23,"σοφός-εἶναι (18), σοφόν-εἶναι (17), σοφός-ὤν (14), σοφίαν-εἶναι (11), σοφία-ἐστίν (11), σοφοί-εἰσιν (9), σοφούς-εἶναι (8), σοφώτερον-εἶναι (7), σοφία-εἴη (6), σοφός-ἦν (6), σοφία-ἐστιν (6), σοφώτατον-εἶναι (6), σοφός-ἐστιν (5), σοφία-εἶναι (5), σοφός-εἴη (5), σοφώτερος-εἴη (5), σοφίαν-ἦν (4), σοφοί-ὄντες (4), σοφίας-ὤν (4), σοφός-ἔστιν (4), σοφῶν-εἶναι (4), σοφίας-εἶναι (3), σοφός-ὄντι (3), σοφίαν-ὤν (3), σοφῶν-εἰσιν (3), σοφοί-εἶναι (3), σοφός-ἔσεσθαι (3), σοφός-ἐστί (2), σοφόν-ἐστιν (2), σοφός-ἔσται (2), σοφόν-ἐστίν (2), σοφοῦ-ἐστι (2), σοφώτερος-ὤν (2), σοφίαν-ἐστίν (2), σοφώτερος-εἶναι (2), σοφός-ἔστι (2), σοφώτερος-ἦν (2), σοφία-ἦν (2), σοφός-ἦ (2), σοφίαν-εἴη (2), σοφίαν-ἐστιν (2), σοφώτατος-ἦν (2), σοφίαν-ἐστι (2), σοφοί-εἰσι (2), σοφοί-εἶεν (2), σοφίαν-εἴησαν (2), σοφίᾳ-ὤν (2), σοφοῦ-ὤν (2), σοφόν-ἦν (2), σοφώτατοι-εἰσιν (2), σοφίας-εἰμι (2), σοφή-ἦν (2), σοφώτατοι-εἶναι (2), σοφία-ὄντι (2), σοφοῖς-οὖσι (2), σοφίαν-ἔσεσθαι (1), σοφοῦ-ἐστίν (1), σοφίας-ὄντος (1), σοφία-ἐστί (1), σοφόν-εἴη (1), σοφός-ὄντων (1), σοφίαν-εἰσίν (1), σοφίαν-οὔσῃ (1), σοφώτατος-εἶναι (1), σοφῷ-ἦ (1), σοφίας-εἰσι (1), σοφώτατε-εἶναι (1), σοφή-ἐστί (1), σοφούς-ἦ (1), σοφήν-εἶναι (1), σοφήν-ἦν (1), σοφή-εἴη (1), σοφώτερον-ἔστι (1), σοφῶν-ἔμμεναι (1), σοφώτερα-εἶναι (1), σοφοί-ἐστε (1), σοφία-ἦ (1), σοφόν-ὄν (1), σοφώτατον-ἦ (1), σοφοί-ἦσαν (1), σοφίας-ἔστιν (1), σοφίᾳ-ὄντες (1), σοφωτέρους-ὄντας (1), σοφώτατος-ἔσται (1), σοφίας-ἦσαν (1), σοφίᾳ-εἰσι (1), σοφίᾳ-ἦσαν (1), σοφῶν-ἐστίν (1), σοφώτατον-ἦν (1), σοφῶν-ᾖ (1), σοφοί-ἐσμέν (1), σοφωτέρων-εἶναι (1), σοφώτεροι-ἦσαν (1), σοφίᾳ-εἶναι (1), σοφίας-ὄντε (1), σοφίᾳ-εἰσιν (1), σοφίας-ἐστίν (1), σοφώτατα-εἶναι (1), σοφώτερος-ὄντος (1), σοφήν-ὄντι (1), σοφίας-εἴη (1), σοφῶν-εἰσίν (1), σοφωτάτη-ἦν (1), σοφῶν-εἰμι (1), σοφός-εἰμί (1), σοφωτάτων-εἶναι (1), σοφία-ὄντοιν (1), σοφῶν-ἐστιν (1), σοφός-εἶτ' (1), σοφώτερος-ἐστί (1), σοφώτερον-ἐστίν (1), σοφώτεροι-εἶναι (1), σοφίας-ὄντι (1), σοφία-ὄντων (1), σοφώτατοι-ἔσονται (1), σοφοί-οὔσης (1), σοφώτατον-ἔσεσθαι (1), σοφόν-εἰσιν (1), σοφός-εἴης (1), σοφοῖς-ἔστι (1), σοφῷ-ὄντι (1), σοφίας-ὄντας (1), σοφωτάτους-ὄντας (1), σοφόν-ἦ (1), σοφοῖς-εἶναι (1), σοφός-ἐστι (1), σοφοί-ἦμεν (1), σοφῶν-ἦν (1), σοφοῦ-ἦν (1), σοφοί-ἔσομαι (1), σοφῶν-εἰσι (1), σοφόν-ἐστέ (1), σοφωτάτῳ-ἦν (1), σοφώ-ἐστόν (1), σοφῶν-ὤν (1), σοφῶν-εἴη (1), σοφούς-ἐστι (1), σοφίαν-εἶεν (1), σοφόν-ἔστι (1), σοφοῦ-εἶναι (1), σοφοί-εἴην (1), σοφά-ἐστιν (1), σοφώ-ἤστην (1), σοφωτάτους-εἶναι (1), σοφώτερος-ἐστιν (1), σοφοῖς-ἔσται (1), σοφώτατοι-εἰσί (1), σοφωτάτων-ἦσαν (1), σοφῷ-εἶναι (1), σοφοί-εἴη (1), σοφοί-ἐστι (1), σοφίαν-οὖσαν (1), σοφόν-εἰμι (1), σοφίας-εἰσίν (1)"
δέ,σοφ,648.507633693516,201,110,91,24,34,18,19,15,0,12,27,16,19,17,"σοφός-δέ (27), σοφίαν-δέ (25), σοφόν-δέ (19), σοφοί-δέ (16), σοφία-δέ (15), σοφίας-δέ (9), σοφούς-δέ (7), σοφώτατον-δέ (6), σοφίας-δ' (6), σοφίᾳ-δέ (5), σοφός-δ' (5), σοφοῦ-δέ (5), σοφῶν-δέ (4), σοφίαν-δ' (4), σοφοῖς-δέ (4), σοφόν-δ' (4), σοφώτερον-δέ (3), σοφία-δ' (3), σοφήν-δέ (3), σοφώτατοι-δέ (2), σοφωτάτους-δέ (2), σοφῶν-δ' (2), σοφώτερος-δέ (2), σοφοί-δ' (2), σοφώτατος-δέ (2), σοφοῦ-δ' (2), σοφωτάτη-δ' (1), σοφῷ-δέ (1), σοφωτέρα-δέ (1), σοφώτατοι-δ' (1), σοφοῖς-δ' (1), σοφωτέρα-δ' (1), σοφῆς-δέ (1), σοφά-δ' (1), σοφούς-δ' (1), σοφωτέρῳ-δέ (1), σοφή-δέ (1), σοφώτατε-δ' (1), σοφωτέροις-δέ (1), σοφωτέρων-δέ (1), σοφίᾳ-δ' (1), σοφωτάτου-δέ (1), σοφήν-δ' (1)"
οὗτος,σοφ,466.850667849183,143,62,81,7,11,16,22,6,0,19,19,13,15,15,"σοφίαν-ταύτην (9), σοφός-ταῦτα (7), σοφίας-ταύτης (6), σοφίαν-τοῦτο (5), σοφόν-ταῦτα (4), σοφίας-τοῦτο (4), σοφόν-τοῦτο (4), σοφός-τοῦτο (4), σοφόν-τούτων (4), σοφίας-ταῦτα (3), σοφίᾳ-τοῦτο (3), σοφά-ταῦτα (3), σοφοί-ταῦτα (3), σοφίαν-τούτων (3), σοφία-τοῦτο (3), σοφός-τούτων (2), σοφώτατον-τοῦτον (2), σοφώτατος-ταῦτα (2), σοφός-ταύτην (2), σοφός-τούτους (2), σοφία-αὕτη (2), σοφοί-τοῦτο (2), σοφός-οὗτοι (2), σοφία-ταύτην (2), σοφοί-οὗτοι (2), σοφία-ταῦτα (2), σοφώτερον-τούτων (2), σοφία-τούτου (1), σοφόν-τοῦτον (1), σοφώτατοι-οὗτοι (1), σοφίαν-ταῦτ' (1), σοφάς-ταύτας (1), σοφούς-τούτους (1), σοφῶν-τούτῳ (1), σοφώτερον-τούτοις (1), σοφός-ταῦτ' (1), σοφωτέρα-αὕτη (1), σοφώτερα-ταῦτα (1), σοφώτατοι-ταύτην (1), σοφοῖς-τοῦτο (1), σοφώτατος-αὕτη (1), σοφώτατε-τοῦτο (1), σοφωτέρων-ταῦτα (1), σοφωτάτη-ταῦτα (1), σοφίας-ταυτησί (1), σοφῷ-τούτῳ (1), σοφή-τούτων (1), σοφίᾳ-τούτων (1), σοφῶν-τοῦτ' (1), σοφία-τούτων (1), σοφία-τοῦτον (1), σοφούς-τούτῳ (1), σοφίᾳ-ταῦτα (1), σοφώτερος-τοῦτο (1), σοφωτάτων-ταῦτα (1), σοφώτερος-τούτῳ (1), σοφία-τούτῳ (1), σοφός-οὗτος (1), σοφώτατος-τοῦτο (1), σοφώτατα-ταῦτα (1), σοφόν-ταύτην (1), σοφοί-τούτου (1), σοφῶν-τοῦτο (1), σοφῶν-τούτων (1), σοφίαν-αὕτη (1), σοφώτερος-ταῦτ' (1), σοφίαν-τούτῳ (1), σοφία-οὗτος (1), σοφός-ταύτης (1), σοφήν-ταῦτα (1), σοφόν-τούτου (1), σοφός-τούτῳ (1), σοφοῖς-ταῦτα (1), σοφός-τούτοις (1), σοφῶν-τοῦτον (1), σοφώτερα-τοῦτο (1), σοφόν-τούτῳ (1), σοφίᾳ-αὕτη (1), σοφούς-τούτων (1), σοφωτάτους-τούτους (1), σοφοί-τούτων (1)"
ὅς,σοφ,406.224575795233,104,39,65,12,9,8,8,2,0,19,18,14,3,11,"σοφός-ἅπερ (5), σοφίαν-ἥν (5), σοφός-ἅ (3), σοφόν-ἅ (3), σοφίας-ἥν (3), σοφός-ἥν (3), σοφία-ᾧ (3), σοφούς-οὕς (3), σοφίας-ᾗ (2), σοφός-ὅν (2), σοφόν-ἅπερ (2), σοφία-ᾗ (2), σοφόν-ὅς (2), σοφίας-ἧς (2), σοφοί-ἥν (2), σοφός-ὅς (2), σοφόν-ᾧ (2), σοφόν-ὧν (2), σοφίαν-ᾗ (2), σοφία-ἧς (2), σοφίας-ὅς (1), σοφούς-ἧς (1), σοφός-ἅς (1), σοφή-ᾧ (1), σοφίᾳ-ὅς (1), σοφοί-ὅνπερ (1), σοφίαν-ἥπερ (1), σοφούς-οἷς (1), σοφός-οὕς (1), σοφίᾳ-ἥν (1), σοφώτατα-ἅ (1), σοφοῦ-ᾧ (1), σοφία-ἅπερ (1), σοφώτερος-ἅ (1), σοφίας-ᾧ (1), σοφία-ἅ (1), σοφός-ὧν (1), σοφοί-ἅ (1), σοφίᾳ-ὧν (1), σοφός-οἷς (1), σοφίαν-ἅ (1), σοφία-ὧν (1), σοφοί-ἅπερ (1), σοφώ-ὅς (1), σοφῶν-ὧν (1), σοφωτάτους-οὕς (1), σοφόν-ἥν (1), σοφοί-ὅς (1), σοφίαν-οὕς (1), σοφόν-ὅν (1), σοφώτερος-ὅς (1), σοφώτατος-ὅς (1), σοφοί-οἵ (1), σοφίαν-ὧν (1), σοφώτατον-ὅς (1), σοφούς-ἅπερ (1), σοφοῦ-ὅς (1), σοφούς-ἥν (1), σοφώτατος-ἅπερ (1), σοφούς-ἅ (1), σοφίᾳ-οὕς (1), σοφοί-ἥνπερ (1), σοφώτατον-ὅν (1), σοφία-ἥπερ (1), σοφός-ᾗ (1), σοφίᾳ-ἅ (1), σοφοί-οὕς (1), σοφοῦ-ἅ (1), σοφίας-ὅν (1), σοφίας-ἅ (1), σοφωτάτων-ἅ (1), σοφίᾳ-οἷς (1)"
σοφ,σοφ,393.905775588006,60,30,30,7,5,8,8,2,736,2,8,8,5,7,"σοφός-σοφός (8), σοφοί-σοφοί (6), σοφῶν-σοφοί (5), σοφίᾳ-σοφοί (5), σοφοί-σοφῶν (5), σοφοί-σοφίᾳ (5), σοφός-σοφίαν (4), σοφίαν-σοφός (4), σοφίαν-σοφόν (3), σοφόν-σοφίαν (3), σοφοί-σοφίαν (2), σοφίαν-σοφοί (2), σοφόν-σοφόν (2), σοφῶν-σοφῶν (2), σοφούς-σοφῶν (1), σοφῶν-σοφούς (1), σοφοῖς-σοφός (1), σοφός-σοφοῖς (1), σοφώ-σοφώ (0), σοφωτάτῳ-σοφωτάτῳ (0), σοφοῖς-σοφοῖς (0), σοφίας-σοφίας (0), σοφωτέρῳ-σοφωτέρῳ (0), σοφίαν-σοφίαν (0), σοφωτάτη-σοφωτάτη (0), σοφοῦ-σοφοῦ (0), σοφούς-σοφούς (0), σοφώτατος-σοφώτατος (0), σοφῷ-σοφῷ (0), σοφωτέρους-σοφωτέρους (0), σοφωτέροις-σοφωτέροις (0), σοφωτάτου-σοφωτάτου (0), σοφάς-σοφάς (0), σοφώτεροι-σοφώτεροι (0), σοφωτάτους-σοφωτάτους (0), σοφωτέρα-σοφωτέρα (0), σοφώτατον-σοφώτατον (0), σοφίᾳ-σοφίᾳ (0), σοφώτερα-σοφώτερα (0), σοφώτερος-σοφώτερος (0), σοφία-σοφία (0), σοφῆς-σοφῆς (0), σοφή-σοφή (0), σοφωτάτων-σοφωτάτων (0), σοφώτατοι-σοφώτατοι (0), σοφά-σοφά (0), σοφώτερον-σοφώτερον (0), σοφίαι-σοφίαι (0), σοφέ-σοφέ (0), σοφώτατε-σοφώτατε (0), σοφήν-σοφήν (0), σοφώτατα-σοφώτατα (0), σοφωτέρων-σοφωτέρων (0)"
τε,σοφ,366.462443919852,111,50,61,10,4,12,19,5,0,24,12,7,4,14,"σοφός-τε (19), σοφίας-τε (15), σοφίαν-τε (12), σοφοί-τε (9), σοφόν-τε (8), σοφία-τε (7), σοφῶν-τε (7), σοφώτατον-τε (5), σοφίᾳ-τε (5), σοφώτατος-τε (4), σοφούς-τε (4), σοφώ-τε (3), σοφοῦ-τε (2), σοφοῖς-τε (1), σοφίαι-τε (1), σοφώτερος-τε (1), σοφή-τε (1), σοφώτατοι-τε (1), σοφός-τ' (1), σοφώτατον-τ' (1), σοφώτερον-τε (1), σοφή-τ' (1), σοφωτάτου-τε (1), σοφίας-τ' (1)"
ἀνήρ,σοφ,310.283006444573,55,29,26,4,6,4,4,11,0,11,3,4,8,0,"σοφός-ἀνήρ (13), σοφόν-ἄνδρα (7), σοφῶν-ἀνδρῶν (6), σοφοί-ἄνδρες (5), σοφοῦ-ἀνδρός (4), σοφίαν-ἀνδροῖν (2), σοφῷ-ἀνδρί (2), σοφώτατον-ἄνδρα (2), σοφός-ἄνδρες (2), σοφοῖς-ἀνδράσι (2), σοφίᾳ-ἀνδρῶν (1), σοφίας-ἀνδρός (1), σοφώτεροι-ἄνδρες (1), σοφίαν-ἄνδρα (1), σοφίας-ἀνδροῖν (1), σοφίαν-ἄνδρες (1), σοφούς-ἄνδρας (1), σοφίᾳ-ἄνδρες (1), σοφώ-ἄνδρε (1), σοφίαν-ἀνδρῶν (1)"
τις,σοφ,302.447349201888,94,56,38,10,9,8,17,12,0,10,7,5,7,9,"σοφός-τις (9), σοφίαν-τινά (6), σοφός-τι (5), σοφῶν-τις (4), σοφίας-τις (3), σοφία-τι (3), σοφόν-τις (3), σοφίᾳ-τινί (2), σοφώτερος-τις (2), σοφίαν-τις (2), σοφίας-τι (2), σοφίαν-τι (2), σοφούς-τινάς (2), σοφῶν-τι (2), σοφός-τινάς (2), σοφῶν-του (2), σοφόν-τι (2), σοφία-τινός (1), σοφοῦ-τινί (1), σοφία-τις (1), σοφίᾳ-τι (1), σοφοί-τι (1), σοφῶν-τινα (1), σοφώτερος-τινι (1), σοφόν-τιν' (1), σοφία-τινί (1), σοφός-τινα (1), σοφός-τιν' (1), σοφώτερον-τις (1), σοφώτατον-τις (1), σοφία-τινα (1), σοφοῦ-τινῶν (1), σοφοῖς-τις (1), σοφίᾳ-τινες (1), σοφόν-τινος (1), σοφῶν-τινες (1), σοφίας-τινά (1), σοφίας-τινα (1), σοφοί-τινά (1), σοφίᾳ-τῳ (1), σοφήν-τινί (1), σοφός-τινές (1), σοφοί-τινί (1), σοφῶν-τινος (1), σοφόν-τινι (1), σοφίας-τινος (1), σοφούς-τισιν (1), σοφίαν-τινος (1), σοφῶν-τινάς (1), σοφῶν-τῳ (1), σοφόν-τινα (1), σοφόν-τινί (1), σοφός-τινά (1), σοφίας-τινός (1), σοφῶν-τιν' (1), σοφοί-τινός (1), σοφός-τισίν (1), σοφῷ-τινι (1)"
