Collocation,2013-09-07
KeyWord,σωφρ
Instances,390
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
καί,σωφρ,1419.75305888802,304,132,172,16,19,14,24,59,0,57,35,27,24,29,"σωφροσύνη-καί (63), σωφροσύνην-καί (47), σωφροσύνης-καί (40), σωφρονεῖν-καί (23), σώφρονα-καί (20), σώφρων-καί (20), σωφρόνως-καί (15), σωφροσύνῃ-καί (12), σῶφρον-καί (9), σώφρονος-καί (6), σωφρονέστατος-καί (5), σωφρόνων-καί (5), σώφρονι-καί (4), σωφρονῇ-καί (3), σώφρονες-καί (3), σωφρονεστάτου-καί (3), σωφρονέστεροι-καί (3), σώφροσιν-καί (2), σωφρονῇς-καί (2), σωφρονέστερος-καί (2), σωφρονοῖ-καί (2), σωφρονοῦσαι-καί (2), σεσωφρονηκώς-καί (1), σωφρονεῖ-καί (1), σωφρονοῦσα-καί (1), σωφρονεστάτη-καί (1), σωφρονοῦσιν-καί (1), σωφρονῶν-καί (1), σωφρονήσειν-καί (1), σώφρονας-καί (1), σωφρονεῖς-καί (1), σωφρονοῦντα-καί (1), σωφρονῆτε-καί (1), ἐσωφρονεῖτε-καί (1), σωφρονοῦντος-καί (1)"
ὁ,σωφρ,1262.8966827672,315,190,125,26,33,32,23,76,0,18,30,21,27,29,"σωφροσύνη-ἡ (33), σωφροσύνην-τήν (17), σώφρων-ὁ (15), σωφρονεῖν-τό (13), σωφροσύνην-τό (12), σωφροσύνη-τό (12), σωφροσύνης-τῆς (11), σωφροσύνην-τά (6), σωφρονεῖν-τῶν (6), σωφροσύνη-τῶν (6), σώφρονα-τήν (6), σωφροσύνης-ὁ (5), σωφροσύνης-τό (5), σῶφρον-τό (5), σωφρονέστατος-ὁ (5), σώφρονα-τόν (4), σωφροσύνης-τήν (4), σωφρόνων-τῶν (4), σωφροσύνην-οἱ (3), σωφροσύνης-τοῖς (3), σωφρονεῖ-ὁ (3), σωφροσύνης-τῶν (3), σωφροσύνην-τῶν (3), σώφρων-ἡ (3), σώφρων-τόν (3), σώφροσιν-τοῖς (3), σωφρονεῖν-τόν (3), σώφρονας-τούς (3), σωφρόνως-ἡ (2), σωφρονοῦσιν-οἱ (2), σωφρονοῦντος-τῶν (2), σωφροσύνη-ταῖς (2), σώφρονα-τά (2), σωφρόνων-τά (2), σωφροσύνη-τά (2), σωφρονεῖν-ὁ (2), σωφρονεῖν-τά (2), σωφρονέστερον-ἡ (2), σωφρονεῖν-ἡ (2), σωφρονέστατος-τῶν (2), σωφροσύνης-τά (2), σωφροσύνης-οἱ (2), σωφρονεῖ-τά (2), σωφρόνως-τά (2), σωφρονεστάτη-τῶν (2), σώφρονα-τῶν (2), σωφροσύνῃ-τό (2), σώφρων-τό (2), σωφρονῶν-ὁ (2), σώφρονα-ὁ (2), σώφρονι-ὁ (2), σωφρονέστεροι-τό (1), σωφρονέστατος-τῆς (1), σωφροσύνην-τούς (1), σωφρονεστάτη-ἡ (1), σωφροσύνην-ταῖς (1), σωφρόνως-τό (1), σώφρονος-τό (1), σωφρονοῖμεν-τῆς (1), σώφροσιν-τόν (1), σώφρονες-τῆς (1), σωφρονοῖ-τά (1), σωφρονεῖν-τούς (1), σώφρονι-τά (1), σωφρονοῦσα-ὁ (1), σωφρονεῖν-τήν (1), σωφρονοῖ-ὁ (1), σωφρονοῦντος-οἱ (1), σώφρονας-τά (1), σωφροσύνῃ-ὁ (1), σωφρονῇ-τό (1), σωφροσύνη-οἱ (1), σώφρονα-τῆς (1), σωφρονέστατα-τῆς (1), σωφρονοῦσιν-τά (1), σωφρονισθείς-τήν (1), σωφροσύνην-τάς (1), σωφρονεῖν-τάς (1), σώφρονος-τήν (1), σωφροσύνη-οἷ (1), σωφρονοῖμεν-τούς (1), σωφρονοῦσιν-τούς (1), σώφρονι-τῶν (1), σώφρονα-τούς (1), σώφρονες-οἱ (1), σωφρονῆτε-τά (1), σωφρόνως-ὁ (1), σωφροσύνη-τόν (1), σωφροσύνην-τοῖς (1), σώφρονες-τά (1), σωφρονοῦντος-ἡ (1), σωφρονέστατος-τήν (1), σωφρονοῦντα-τόν (1), σωφρονισθέντες-τήν (1), σωφρόνως-τόν (1), σωφροσύνῃ-τά (1), σώφρονι-ἡ (1), σώφρονι-τό (1), σωφρονῶν-τά (1), σώφρονα-τάς (1), σωφρονοῦντος-τῆς (1), σωφρονῆτε-τοῖς (1), σώφρονι-τόν (1), σώφρονος-τοῖς (1), σώφροσιν-τῶν (1), σῶφρον-τά (1), σωφρονοῦσιν-τῶν (1), σώφρονα-οἱ (1), σωφροσύνῃ-ἡ (1), σῶφρον-τῶν (1), σώφρονι-τάς (1), σωφροσύνη-ὁ (1), σώφρων-τά (1), σωφρονοῦσαι-τήν (1), σωφρόνως-τοῖς (1), σωφρονοῦσα-τά (1), σωφρονήσας-ὁ (1), σωφροσύνην-τόν (1), σώφρων-τήν (1), σωφρόνων-τό (1), σώφρονος-τῆς (1)"
εἰμί,σωφρ,673.869045302272,164,73,91,14,19,10,14,16,0,28,18,14,18,13,"σωφροσύνην-εἶναι (24), σωφροσύνη-εἴη (11), σωφροσύνη-ἐστίν (10), σωφροσύνης-εἶναι (6), σωφροσύνη-εἶναι (6), σωφροσύνης-εἴη (4), σωφροσύνη-ἦν (4), σωφροσύνη-ἐστιν (3), σώφρονα-εἶναι (3), σωφροσύνη-ἐστί (3), σώφρων-εἶναι (3), σωφροσύνης-ἐστιν (3), σωφρονεῖν-εἶναι (3), σωφρονεῖν-ἦ (3), σωφρονεῖν-ἐστιν (3), σωφροσύνη-ὄντι (2), σώφρων-ἐστί (2), σώφρων-ἐστιν (2), σωφροσύνης-ἦ (2), σώφρονι-ἐστιν (2), σωφροσύνης-ἦν (2), σωφροσύνης-ἐστίν (2), σώφρων-ὤν (2), σώφρων-ᾖ (2), σώφρων-εἴη (2), σωφρονεῖν-ἐστί (2), σωφροσύνης-οὔσης (1), σωφρονέστερος-εἴη (1), σωφροσύνην-ἔσεσθαι (1), σώφρονος-ἐστί (1), σωφρονήσειν-ἔσται (1), σωφροσύνην-ἐστίν (1), σωφρονοῦσιν-ἦ (1), σωφρονέστερον-εἴη (1), σωφρονεῖν-εἴη (1), σωφρόνως-ἔσται (1), σωφροσύνῃ-ἔν (1), σώφρονος-ἐστιν (1), σωφροσύνῃ-εἴη (1), σωφροσύνη-ᾖ (1), σωφροσύνην-οὖσαν (1), σωφροσύνη-ἔστιν (1), σωφροσύνης-ἔστιν (1), σώφρονα-ἦν (1), σωφροσύνης-ὄντας (1), σωφρονεῖ-ἦν (1), σωφροσύνη-ἐστι (1), σώφρων-ἔσται (1), σωφροσύνῃ-ἔστι (1), σώφρονες-ὄντες (1), σώφρονες-εἴη (1), σωφρονοῦντας-ἦν (1), σώφρονι-εἶναι (1), σώφρονας-ὄντας (1), σωφροσύνη-ἔσεσθαι (1), σωφρονεῖν-ἔστιν (1), σωφροσύνη-οὖσαι (1), σωφρονεῖς-ἔσται (1), σωφροσύνη-ἔσται (1), σώφρονι-ἦν (1), σώφροσιν-ἦν (1), σωφρονέστατος-εἶναι (1), σώφρονος-οὔσης (1), σωφρόνως-ἐστίν (1), σωφροσύνη-ἦ (1), σωφρονεῖ-εἶναι (1), σωφρονεῖν-ὤν (1), σώφρων-ἐστίν (1), σωφρονέστατα-εἶναι (1), σωφρονέστερος-εἶναι (1), σωφροσύνην-ἦν (1), σωφρονεστάτου-ὤν (1), σώφροσιν-εἶναι (1), σωφροσύνης-ὄν (1), σώφρονας-εἶναι (1), σωφρονοῦντος-ἰόντων (1), σωφρόνως-ἦ (1), σωφροσύνην-ἔστι (1), σώφρονι-εἴη (1)"
δικαι,σωφρ,453.608685432002,63,35,28,3,5,8,17,2,0,2,12,12,2,0,"σωφροσύνη-δικαιοσύνη (15), σωφροσύνης-δικαιοσύνης (14), σωφροσύνην-δικαιοσύνην (10), σωφροσύνῃ-δικαιοσύνῃ (4), σωφρόνως-δικαίως (3), σώφρων-δίκαιος (2), σῶφρον-δίκαιον (2), σώφρων-δικαία (1), σώφροσιν-δικαίοις (1), σώφρονος-δικαίου (1), σωφρονέστατος-δικαιότατος (1), σωφρονεῖν-δίκαιον (1), σωφρόνων-δικαίων (1), σωφρονέστεροι-δικαιότεροι (1), σώφρονα-δικαίαν (1), σώφρονα-δίκαιον (1), σωφροσύνης-δικαιοσύνῃ (1), σωφρόνως-δικαιοσύνῃ (1), σωφροσύνην-δίκαιον (1), σώφρονες-δίκαιοι (1)"
ανδρει,σωφρ,373.457988169044,42,19,23,1,0,6,7,5,0,1,8,7,3,4,"σωφροσύνη-ἀνδρεία (6), σωφροσύνην-ἀνδρείαν (6), σωφροσύνης-ἀνδρείας (5), σώφρων-ἀνδρεία (3), σώφρων-ἀνδρεῖος (3), σωφροσύνῃ-ἀνδρείᾳ (3), σώφρονος-ἀνδρείου (2), σώφρονα-ἀνδρεῖον (2), σώφρονα-ἀνδρείαν (2), σωφροσύνην-ἀνδρείᾳ (1), σῶφρον-ἀνδρεῖον (1), σωφροσύνης-ἀνδρείαν (1), σωφρονοῖ-ἀνδρείαν (1), σωφρονεῖν-ἀνδρεῖον (1), σωφρονεῖν-ἀνδρείαν (1), σωφρονέστεροι-ἀνδρειότεροι (1), σωφροσύνην-ἀνδρείας (1), σώφρονας-ἀνδρείους (1), σωφρονέστατος-ἀνδρειότατος (1)"
δέ,σωφρ,313.866024401039,101,50,51,10,12,12,7,9,0,6,16,8,10,11,"σωφροσύνης-δέ (13), σωφροσύνην-δέ (12), σωφροσύνη-δέ (11), σώφρων-δέ (8), σωφροσύνη-δ' (4), σωφροσύνῃ-δ' (4), σωφρονεῖν-δέ (4), σώφρονα-δέ (3), σωφροσύνην-δ' (3), σώφρονι-δέ (3), σώφροσιν-δέ (3), σωφρονεῖν-δ' (2), σωφρόνως-δ' (2), σωφρονεῖ-δ' (2), σῶφρον-δέ (2), σωφρονέστεροι-δέ (2), σωφρόνως-δέ (2), σωφρονεῖ-δέ (1), σωφρονέστατος-δέ (1), σώφρονος-δ' (1), σώφρονι-δ' (1), σωφροσύνης-δ' (1), σωφρονοῦσιν-δ' (1), σωφρονῶν-δέ (1), σωφρονοῦντας-δ' (1), σωφρόνων-δ' (1), σωφρονοῦντα-δ' (1), σώφρονας-δέ (1), σωφρονοῦσαι-δέ (1), σωφρονέστερος-δέ (1), σωφρονοῦντα-δέ (1), σωφρόνων-δέ (1), σώφρων-δ' (1), σωφρονῆτε-δέ (1), σωφρονοῦντος-δέ (1), σωφροσύνῃ-δέ (1), σωφρονεστάτη-δέ (1), σώφρονα-δ' (1)"
πράσσω,σωφρ,248.470178162679,36,20,16,3,2,3,7,5,0,4,1,3,3,5,"σωφροσύνην-πράττειν (4), σωφρονεῖ-πράττων (2), σώφρων-πράττοι (2), σωφρονοῦσιν-πράττοντες (2), σωφρόνως-πράξας (2), σωφροσύνη-πράττειν (2), σεσωφρονηκώς-πράττων (1), σωφρόνως-πράττηται (1), σωφρονοῖ-πράττων (1), σώφρων-ἔπραττεν (1), σωφροσύνη-πράττοι (1), σώφρονα-πράττειν (1), σωφρονεῖ-πράξας (1), σωφρονοῦσιν-πράττουσιν (1), σωφρονεῖ-πράττει (1), σωφρονεῖν-πράττοντες (1), σώφρονα-πράττοντα (1), σωφρονεῖν-πράττοντας (1), σωφρόνως-ἔπραξεν (1), σωφρόνως-πράττοντες (1), σωφρόνως-πραττομένῳ (1), σωφρόνως-πράττειν (1), σωφροσύνης-πραττόμενον (1), σωφρόνως-πραττόμενον (1), σωφροσύνης-πράττεσθαι (1), σωφρόνως-πράττει (1), σωφρόνως-πράττεται (1), σωφροσύνῃ-πράττεται (1)"
τε,σωφρ,232.947278255597,66,24,42,4,6,5,7,2,0,20,7,7,6,2,"σωφροσύνην-τε (9), σώφρων-τε (9), σωφροσύνης-τε (8), σωφροσύνη-τε (6), σώφρονος-τε (5), σωφρονεῖν-τε (5), σωφρόνως-τε (4), σωφροσύνῃ-τε (4), σώφρονα-τε (3), σώφροσιν-τε (3), σωφρόνων-τε (2), σώφρονι-τε (2), σωφροσύνης-τ' (1), σώφρων-τ' (1), σωφρονοῖμεν-τε (1), σωφρονεστάτου-τε (1), σωφρονέστατα-τε (1), σώφρονες-τε (1)"
σωφρ,σωφρ,221.14908137545,29,15,14,4,2,4,3,2,390,2,3,4,1,4,"σωφρονεῖν-σωφρονεῖν (4), σωφρονεῖν-σωφροσύνη (2), σωφροσύνη-σωφρονεῖν (2), σωφρονεῖ-σωφρονεῖ (2), σωφροσύνῃ-σωφρόνως (2), σωφρονεῖν-σωφρόνων (1), σωφρόνως-σωφροσύνῃ (1), σωφρόνων-σωφρονεῖν (1), σωφροσύνη-σώφρων (1), σωφρονῶν-σωφρονοῦσα (1), σώφρων-σωφροσύνη (1), σωφροσύνης-σωφρόνως (1), σωφροσύνη-σωφρονέστερον (1), σωφρονοῦντα-σωφρονεῖν (1), σωφρονοῦσιν-σωφροσύνῃ (1), σωφροσύνῃ-σωφρονοῦσιν (1), σωφρονέστερον-σωφροσύνη (1), σωφρόνως-σωφρονεῖ (1), σωφρονοῦσα-σωφρονῶν (1), σωφρονεῖν-σωφρονοῦντα (1), σωφρονεῖ-σωφρόνως (1), σωφρόνως-σωφροσύνης (1), σωφρονεστάτη-σωφρονεστάτη (0), σώφρονες-σώφρονες (0), σωφρονῶμεν-σωφρονῶμεν (0), σεσωφρονηκώς-σεσωφρονηκώς (0), σωφρονεῖς-σωφρονεῖς (0), σεσωφρονίσθαι-σεσωφρονίσθαι (0), σωφρονοῖ-σωφρονοῖ (0), σωφρονῇ-σωφρονῇ (0), σωφρονήσας-σωφρονήσας (0), σωφρονῶν-σωφρονῶν (0), σώφρων-σώφρων (0), σώφρονος-σώφρονος (0), σωφρονοῦντος-σωφρονοῦντος (0), σωφρονέστατος-σωφρονέστατος (0), σώφρονας-σώφρονας (0), σωφρόνως-σωφρόνως (0), σωφροσύνην-σωφροσύνην (0), σωφροσύνη-σωφροσύνη (0), σωφρονισθείς-σωφρονισθείς (0), σωφρονέστατα-σωφρονέστατα (0), σωφρονοῦντα-σωφρονοῦντα (0), σώφρονα-σώφρονα (0), σωφρονεστάτου-σωφρονεστάτου (0), σωφρονοῦσαι-σωφρονοῦσαι (0), σωφρονέστερον-σωφρονέστερον (0), σῶφρον-σῶφρον (0), σώφρονι-σώφρονι (0), σωφρόνων-σωφρόνων (0), σωφρονῆτε-σωφρονῆτε (0), σωφρονήσειν-σωφρονήσειν (0), σωφρονισθέντες-σωφρονισθέντες (0), ἐσωφρονεῖτε-ἐσωφρονεῖτε (0), σώφροσιν-σώφροσιν (0), σαόφροσιν-σαόφροσιν (0), σωφρονέστερος-σωφρονέστερος (0), σωφρονέστεροι-σωφρονέστεροι (0), σωφρονοῦσιν-σωφρονοῦσιν (0), σωφροσύνῃ-σωφροσύνῃ (0), σωφρονῇς-σωφρονῇς (0), σωφρονοῦντας-σωφρονοῦντας (0), σωφρονιοῦσιν-σωφρονιοῦσιν (0), σωφροσύνης-σωφροσύνης (0), σωφρονοῦσα-σωφρονοῦσα (0), σωφρονοῖμεν-σωφρονοῖμεν (0)"
φημί,σωφρ,192.503339635208,49,26,23,4,7,6,6,3,0,3,5,3,9,3,"σωφροσύνη-ἔφη (7), σωφροσύνην-ἔφη (6), σωφρονεῖν-ἔφη (4), σωφροσύνης-φῄς (3), σωφροσύνης-ἔφη (3), σωφρονεῖ-ἔφη (2), σωφρονοῦσιν-ἔφη (2), σωφροσύνην-ἔφαμεν (2), σώφρονα-ἔφη (1), σώφροσιν-φαμέν (1), σώφρων-ἔφη (1), σωφρονεῖν-φαμεν (1), σωφρονῶμεν-φήσομεν (1), σωφρονεῖν-φήσεις (1), σωφροσύνῃ-ἔφη (1), σωφρονέστατος-ἔφη (1), σωφρονεῖν-φῶμεν (1), σωφρονεστάτου-φάναι (1), σωφρόνως-ἔφην (1), σώφρων-φῄς (1), σώφρων-φῶ (1), σωφροσύνην-φῄς (1), σωφροσύνην-φαμέν (1), σωφροσύνη-φῄς (1), σωφροσύνην-φαῖμεν (1), σωφρονεῖν-φημι (1), σωφροσύνῃ-φαμεν (1), σωφροσύνην-φημι (1)"
