Collocation,2013-09-08
KeyWord,δικαι
Instances,42
Files,5
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,δικαι,184.672005898668,40,24,16,7,6,4,2,5,0,2,4,4,2,4,"δίκαιον-τό (5), δίκαια-τό (4), δικαίων-τά (3), δικαίων-τῶν (3), δίκαιον-τόν (2), δίκαιον-τοῖς (2), δικαίους-τούς (2), δικαιοτέρους-τάς (1), δικαίου-τό (1), δικαίοις-τοῖς (1), δικαίωι-τοῖς (1), δικαίοις-τήν (1), δικαιοτέρους-τό (1), δικαίως-ταῖς (1), δικαιοτέρους-τούς (1), δίκαιον-τούς (1), δίκαιος-ὁ (1), δίκαιοι-τήν (1), δικαίωι-τάς (1), δίκαιοι-οἱ (1), δίκαιος-τῆς (1), δικαίοις-τῆς (1), δικαιοσύνηι-τούς (1), δικαιοσύνῃ-ὁ (1), δικαιοτέρους-ὁ (1), δικαιοτάτωι-τῶν (1)"
καί,δικαι,80.0484386065509,22,13,9,3,0,1,4,5,0,1,3,0,4,1,"δίκαιον-καί (5), δικαίωι-καί (4), δίκαια-καί (4), δικαιοτέρους-καί (2), δικαίως-καί (2), δικαίους-καί (1), δικαιοτάτωι-καί (1), δικαιοσύνηι-καί (1), δίκαιοι-καί (1), δικαίοις-καί (1)"
νόμος,δικαι,52.2829252105439,7,7,0,0,2,1,0,4,0,0,0,0,0,0,"δικαίων-νόμον (3), δικαίωι-νόμοις (2), δίκαιον-νόμου (1), δίκαιον-νόμον (1)"
μέν,δικαι,39.6155779992696,9,3,6,2,1,0,0,0,0,2,0,2,2,0,"δίκαια-μέν (2), δικαιοσύνῃ-μέν (1), δικαίους-μέν (1), δίκαιον-μέν (1), δίκαιος-μέν (1), δικαίως-μέν (1), δικαίωι-μέν (1), δικαιοσύνηι-μέν (1)"
τε,δικαι,39.4649706379278,9,7,2,0,1,3,1,2,0,1,0,0,0,1,"δίκαια-τε (4), δικαίωι-τε (2), δικαιοσύνῃ-τε (1), δίκαιον-τε (1), δικαιοτάτωι-τε (1)"
τῇ,δικαι,35.8696762527106,6,1,5,0,0,1,0,0,0,0,3,0,0,2,"δικαίως-τῇ (2), δικαίων-τῇ (2), δικαίωι-τῆι (1), δικαίων-τῆι (1)"
εἰμί,δικαι,34.3757402208867,10,1,9,0,1,0,0,0,0,3,1,1,2,2,"δίκαιον-ὤν (2), δίκαια-εἶναι (2), δίκαια-έν (1), δίκαιος-εἴης (1), δικαιοτέρους-εἶναι (1), δίκαιον-ἐστίν (1), δίκαιοι-ἐστίν (1), δίκαιος-ἔσται (1)"
ἄν,δικαι,32.6286662622588,7,2,5,0,0,2,0,0,0,4,0,1,0,0,"δικαίως-ἄν (3), δίκαια-ἄν (2), δικαίους-ἄν (1), δίκαιος-ἄν (1)"
γάρ,δικαι,27.8182347590337,7,2,5,2,0,0,0,0,0,0,0,5,0,0,"δίκαια-γάρ (4), δικαίωι-γάρ (1), δίκαιον-γάρ (1), δίκαιοι-γάρ (1)"
εὔτολμος,δικαι,26.8582625963027,2,2,0,0,0,2,0,0,0,0,0,0,0,0,"δίκαιον-εὐτόλμωι (1), δίκαιον-εὐτόλμῳ (1)"
