Collocation,2013-09-08
KeyWord,δικαι
Instances,514
Files,2
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,δικαι,2650.83812655229,596,339,257,61,48,59,51,120,0,35,68,56,51,47,"δίκαιον-τό (48), δίκαια-τά (37), δικαιοσύνην-τήν (37), δικαίων-τῶν (33), δικαίως-τήν (30), δίκαιον-τούς (22), δικαίως-τούς (17), δικαίως-τῶν (16), δίκαιον-τῶν (16), δικαίως-τοῖς (14), δικαίως-τόν (13), δικαίως-τῆς (12), δικαιοσύνην-τούς (11), δίκαιον-τοῖς (10), δικαιοσύνης-τῆς (10), δικαίους-τούς (9), δίκαια-τῶν (9), δικαίως-ὁ (8), δικαίως-τά (8), δικαίως-τάς (7), δίκαιον-τάς (5), δικαίων-τούς (5), δικαίαν-τήν (5), δίκαια-τούς (5), δικαιοσύνην-τῆς (5), δικαίως-οἱ (5), δίκαια-ὁ (5), δικαίους-τῶν (4), δικαιότερον-τῶν (4), δικαιοσύνης-τῶν (4), δικαίους-τό (4), δίκαιον-οἱ (4), δικαίου-τῶν (4), δίκαιος-ὁ (4), δίκαιοι-οἱ (3), δίκαια-οἱ (3), δικαίων-τοῖς (3), δίκαια-τήν (3), δικαιοτάτους-τῶν (3), δικαίου-τούς (3), δικαιοσύνης-τήν (3), δικαιοτάτην-τήν (3), δικαίως-τό (3), δίκαιον-τῆς (3), δικαιοτέρους-τούς (3), δικαιότερον-τόν (3), δίκαιοι-τῶν (3), δικαίων-οἱ (3), δικαιότερον-τοῖς (3), δικαιοτέρους-τό (3), δικαιότερον-τάς (3), δικαιοσύνη-ἡ (3), δίκαιοι-τά (3), δικαιοτάτους-τούς (3), δίκαιον-τόν (2), δικαίῳ-τά (2), δικαίους-τήν (2), δικαιοσύνης-τό (2), δικαιοσύνης-οἱ (2), δικαιότερον-τήν (2), δικαιοσύνης-τά (2), δίκαιον-τήν (2), δίκαια-τό (2), δικαίως-ταῖς (2), δικαίως-ἡ (2), δίκαιον-τά (2), δίκαια-τόν (2), δικαιοτέραν-τῆς (2), δίκαιος-τῶν (2), δικαιότατον-τούς (2), δικαίους-τά (2), δικαιοσύνην-ταῖς (2), δικαιοσύνῃ-ταῖς (2), δίκαια-τοῖς (2), δίκαιος-τά (2), δίκαιος-τῆς (2), δικαιοσύνης-τούς (2), δίκαιον-ὁ (2), δικαιοτέραις-τόν (2), δικαιοτέρων-τάς (1), δικαιοσύνην-τάς (1), δικαία-τό (1), δικαιότερον-τά (1), δίκαιον-ταῖς (1), δικαίῳ-τό (1), δικαίων-τόν (1), δικαιοσύνης-ὁ (1), δικαιοτάτην-τῶν (1), δικαιότατον-τοῖς (1), δικαιοσύνην-ὁ (1), δικαιοσύνῃ-τῆς (1), δικαιότατα-τῶν (1), δικαιότερον-ὁ (1), δικαιοτέρων-οἱ (1), δικαιότατον-τῆς (1), δικαίαν-τούς (1), δικαιότατα-τά (1), δικαιοσύνης-τάς (1), δικαίῳ-τήν (1), δίκαιον-ἡ (1), δικαίων-τήν (1), δικαιοσύνης-τοῖς (1), δικαιότερον-τούς (1), δικαιοσύνη-τά (1), δικαιοσύνην-τῶν (1), δικαίου-τοῖς (1), δικαιοτέρας-τοῖς (1), δίκαιον-αἱ (1), δικαιοτέραν-τούς (1), δικαιοσύνῃ-ὁ (1), δικαιότερα-τῆς (1), δικαίου-τήν (1), δικαίου-τόν (1), δικαιότατα-τούς (1), δικαιοσύνην-οἱ (1), δικαίῳ-ὁ (1), δικαιότατα-τήν (1), δικαιοσύνην-τόν (1), δικαιότερον-τό (1), δικαιότατον-τῶν (1), δικαιοτέρους-ὁ (1), δικαιοσύνην-τό (1), δικαιοσύνης-ταῖς (1), δίκαιον-τοῖν (1), δικαιοσύνῃ-τῶν (1), δικαιοσύνῃ-τούς (1), δικαιοσύνῃ-τό (1), δικαιοσύνην-τοῖς (1), δικαιότατον-τό (1), δικαιότερος-τούς (1), δικαιοσύνη-ὁ (1), δικαιοτέρους-τάς (1), δικαιοτέραις-ταῖς (1), δικαίων-αἱ (1), δικαιότατον-τόν (1)"
καί,δικαι,1174.69030981977,310,170,140,17,17,30,23,83,0,43,30,22,30,15,"δικαίως-καί (81), δίκαιον-καί (40), δικαιοσύνην-καί (30), δίκαια-καί (26), δικαίους-καί (18), δικαίων-καί (14), δικαιότατον-καί (11), δικαιοσύνης-καί (11), δικαιοσύνῃ-καί (11), δικαίου-καί (10), δίκαιος-καί (9), δικαιοσύνη-καί (8), δικαιότατα-καί (6), δικαιοτάτους-καί (5), δικαιότερον-καί (4), δικαιότατος-καί (3), δικαιοτάτης-καί (3), δικαιοτέρους-καί (3), δίκαιοι-καί (3), δικαιοτέρας-καί (2), δικαιοτάτην-καί (2), δικαίῳ-καί (2), δικαιοτέρα-καί (2), δικαιοτέρως-καί (1), δικαίας-καί (1), δικαιοτέρων-καί (1), δικαίαν-καί (1), δικαίοις-καί (1), δικαιοτέραις-καί (1)"
ἄν,δικαι,688.270622392185,146,57,89,4,9,7,12,25,0,64,10,3,8,4,"δικαίως-ἄν (97), δίκαια-ἄν (8), δικαιότερον-ἄν (8), δίκαιον-ἄν (6), δίκαιος-ἄν (5), δικαιοσύνην-ἄν (4), δικαιότερος-ἄν (2), δικαίων-ἄν (2), δικαιοσύνης-ἄν (2), δικαίους-ἄν (2), δικαίου-ἄν (2), δικαιότερα-ἄν (1), δικαιοτέρα-ἄν (1), δικαιοσύνῃ-ἄν (1), δικαιότατον-ἄν (1), δικαιοτέρως-ἄν (1), δικαιότεροι-ἄν (1), δίκαιον-κα (1), δίκαιοι-ἄν (1)"
εἰμί,δικαι,350.976046578027,107,40,67,9,13,8,8,2,0,34,14,9,7,3,"δίκαιον-εἶναι (16), δικαίως-εἶναι (8), δικαιοσύνην-εἶναι (5), δικαίως-ἦν (4), δικαίους-εἶναι (4), δίκαια-εἶναι (3), δίκαιον-ἐστίν (3), δίκαιον-ἦν (3), δίκαιοι-ὄντες (3), δικαιοτέρους-εἶναι (2), δικαιοσύνη-εἶναι (2), δίκαιον-ἐστι (2), δίκαιον-ἦσαν (2), δικαιότατον-εἶναι (2), δικαιότερον-εἶναι (2), δίκαιος-εἶναι (2), δικαιοσύνης-εἶναι (2), δικαίως-εἴη (1), δικαιοσύνῃ-εἴη (1), δικαίως-εἰσίν (1), δίκαιον-ᾖ (1), δικαιοσύνης-οὔσας (1), δικαιοσύνην-ἔστιν (1), δίκαια-εἰσι (1), δικαίοις-οὖσιν (1), δικαία-εἶναι (1), δικαιότερον-οὔσης (1), δίκαιος-εἰμι (1), δίκαια-εἶεν (1), δικαίως-ὄντων (1), δικαίαν-οὖσαν (1), δικαίαν-εἶναι (1), δικαιοσύνῃ-εἶναι (1), δικαία-ἐστί (1), δικαιοσύνην-ὄντας (1), δίκαια-εἰσιν (1), δικαιότεροι-εἶεν (1), δικαιοτέρα-ἐστίν (1), δικαιοτάτους-ὄντας (1), δικαιοσύνης-ἐστιν (1), δικαιοτάτην-εἶναι (1), δικαίου-εἶναι (1), δικαιοτάτους-εἶναι (1), δικαιοσύνης-ἔν (1), δικαιοσύνη-ἐστιν (1), δικαιότερον-ἐστιν (1), δικαιοτέρας-εἶναι (1), δικαίων-ἐστίν (1), δικαιοσύνη-ἔστιν (1), δικαίως-ἐστιν (1), δικαιοσύνης-ἐστίν (1), δικαίως-εἰμι (1), δίκαιον-εἴη (1), δικαιότερος-εἰμι (1), δικαιοσύνη-ἐστίν (1), δικαίως-ἐστίν (1), δίκαιον-εἴην (1), δίκαιος-εἴης (1), δικαιοτάτης-εἶναι (1)"
δέ,δικαι,343.872951819561,133,58,75,12,12,9,14,11,0,19,8,21,15,12,"δίκαιον-δέ (23), δικαίως-δ' (16), δικαίως-δέ (12), δικαιοσύνην-δέ (12), δίκαια-δέ (11), δικαίων-δέ (8), δίκαιον-δ' (6), δικαιοσύνην-δ' (5), δικαιοσύνης-δέ (5), δικαίων-δ' (5), δικαίους-δέ (4), δικαίαν-δέ (2), δίκαιος-δέ (2), δικαίου-δέ (2), δικαιοτέρους-δέ (2), δικαίους-δ' (2), δικαιότερον-δέ (2), δικαιοσύνῃ-δέ (2), δικαιότεροι-δ' (1), δικαιότερα-δέ (1), δίκαιοι-δέ (1), δίκαια-δ' (1), δικαίῳ-δ' (1), δικαιοσύνῃ-δ' (1), δικαίαν-δ' (1), δικαιοτάτην-δέ (1), δικαιοσύνη-δέ (1), δικαιότατον-δέ (1), δικαίου-δ' (1), δικαιότερον-δ' (1)"
οὗτος,δικαι,271.321511875838,91,43,48,9,10,10,8,6,0,6,9,10,11,12,"δικαίως-τούτων (7), δίκαιον-τούτων (5), δικαίως-τοῦτο (4), δικαίως-οὗτος (4), δικαίως-τούτοις (4), δικαίως-ταύτην (4), δίκαιον-ταῦτα (3), δικαίως-ταῦτ' (3), δικαίως-τούτου (3), δικαίως-ταῦτα (2), δικαίου-τούτοις (2), δίκαιον-τοῦτο (2), δικαίων-οὗτος (2), δίκαιον-ταύτην (2), δίκαια-οὗτοι (2), δικαίως-τούτους (2), δικαίως-τοῦτ' (1), δίκαιον-τούτοις (1), δίκαια-ταῦτα (1), δικαιότατον-τούτων (1), δικαιοσύνην-τούτοις (1), δικαιοτέρους-τούτῳ (1), δίκαια-τούτοις (1), δικαιοσύνῃ-τούτων (1), δικαίαν-ταύτην (1), δικαιοσύνῃ-ταῦτα (1), δικαιοτέραν-ταύτης (1), δίκαια-οὗτος (1), δικαιοσύνην-τοῦτο (1), δίκαια-τοῦτον (1), δίκαιον-τούτῳ (1), δίκαια-τοῦτ' (1), δικαίου-ταύτης (1), δικαίως-τοῦτον (1), δικαιότατον-τοῦτο (1), δίκαια-τούτων (1), δικαιοσύνης-ταῦτα (1), δικαίως-τούτῳ (1), δικαιότερον-οὗτοι (1), δικαιοσύνῃ-τοῦτο (1), δικαίους-τούτῳ (1), δικαιοσύνη-ταῦτ' (1), δικαίως-ταῦθ' (1), δικαιοσύνην-ταύτην (1), δικαίοις-ταῦτα (1), δίκαιοι-τούτους (1), δίκαιον-ταῦτ' (1), δικαίους-τούτους (1), δικαιότερον-τούτοις (1), δίκαια-αὕτη (1), δικαιοτέρους-τούτου (1), δικαίου-τούτους (1), δικαιότερον-τούτους (1), δικαίων-τούτοις (1), δίκαιοι-ταῦτα (1), δικαιοτέρας-τούτων (1)"
οὐ,δικαι,269.468426232226,74,46,28,11,5,5,11,14,0,8,10,4,2,4,"δίκαιον-οὐ (14), δικαίως-οὐκ (14), δικαίως-οὐ (12), δίκαια-οὐ (5), δίκαια-οὐκ (3), δικαιοτάτους-οὐ (3), δικαιοσύνης-οὐ (2), δικαίαν-οὐ (2), δίκαια-οὔ (2), δικαίου-οὐ (2), δικαιοσύνην-οὐ (2), δικαίων-οὐκ (2), δίκαιον-οὐχ (1), δικαίου-οὐκ (1), δικαιοτάτης-οὐ (1), δικαίους-οὐ (1), δίκαιοι-οὐ (1), δικαιοσύνης-οὐχ (1), δικαίας-οὐ (1), δίκαιος-οὐκ (1), δικαιοσύνη-οὐ (1), δικαίως-οὐχ (1), δικαίων-οὐ (1)"
τίς,δικαι,234.196189092472,64,39,25,8,3,1,8,19,0,3,4,7,7,4,"δικαίου-τοῦ (20), δικαίως-τοῦ (9), δίκαιον-τί (7), δίκαιον-τοῦ (4), δικαίους-τοῦ (3), δικαίου-τί (2), δικαιότερον-τίνα (2), δικαιότερον-τοῦ (2), δίκαια-τοῦ (2), δικαιότατα-τοῦ (1), δικαιοτέρους-τί (1), δίκαια-τίνες (1), δικαιοσύνην-τοῦ (1), δικαιότερος-τοῦ (1), δικαιότερον-τίν' (1), δικαίων-τίς (1), δικαία-τίς (1), δικαίων-τίνος (1), δίκαιον-τίνες (1), δικαίαν-τοῦ (1), δικαιοτέραν-τοῦ (1), δικαιοσύνης-τί (1)"
μέν,δικαι,224.53120765835,82,41,41,12,6,10,8,5,0,6,5,11,11,8,"δικαίως-μέν (19), δίκαια-μέν (14), δίκαιον-μέν (11), δικαιοσύνην-μέν (5), δικαίων-μέν (4), δικαίου-μέν (4), δικαίους-μέν (4), δίκαιος-μέν (3), δικαιοσύνη-μέν (3), δικαίαν-μέν (2), δίκαιοι-μέν (2), δικαιοσύνης-μέν (2), δικαιότερον-μέν (2), δικαιοτέραν-μέν (1), δικαιότατον-μέν (1), δικαιοτέρα-μέν (1), δικαιοτάτους-μέν (1), δικαίῳ-μέν (1), δικαιοτέρους-μέν (1), δικαίας-μέν (1)"
ἄδικος,δικαι,204.019290483557,25,6,19,1,3,1,1,0,0,3,6,4,3,3,"δικαίως-ἀδίκως (4), δίκαια-ἄδικα (4), δίκαιον-ἀδίκων (2), δικαίων-ἀδίκων (2), δικαίους-ἀδίκων (2), δίκαιος-ἄδικος (2), δίκαιοι-ἀδίκων (1), δίκαιον-ἄδικος (1), δικαιοτέρως-ἀδίκως (1), δικαίως-ἄδικος (1), δικαίαν-ἄδικον (1), δικαιοσύνη-ἄδικον (1), δίκαιος-ἄδικα (1), δίκαια-ἀδίκων (1), δίκαιον-ἄδικον (1)"
