Collocation,2013-09-08
KeyWord,φρον
Instances,279
Files,2
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,φρον,1510.45953456312,340,176,164,29,35,29,60,23,0,31,24,35,43,31,"φρόνησιν-τήν (32), φρονοῦντας-τούς (24), φρονούντων-τῶν (18), φροντίζειν-τῶν (12), φρονεῖν-τό (11), φρονοῦσιν-τοῖς (11), φρόνησιν-τῶν (8), φρονεῖν-τῶν (8), φρονοῦντας-τῶν (6), φρονεῖν-τοῖς (6), φρόνησιν-τούς (6), φρονοῦσιν-τῶν (6), φρονεῖν-τούς (6), φροντίζοντες-τῶν (5), φρονήσεως-τῆς (5), φροντίζειν-τόν (4), φρονοῦντας-τοῖς (4), ἐφρόντιζον-τῶν (3), φρονῶν-τοῖς (3), φρονήσεως-τούς (3), φρονούντων-τοῖς (3), φρονεῖν-τάς (3), φρονεῖν-τῆς (3), φρονοῦντας-τήν (3), φροντίζειν-τό (3), φρονήσας-τῶν (2), φρονοῦντα-τόν (2), φροντίζειν-τήν (2), φρονεῖν-οἱ (2), φροντίζουσιν-τῆς (2), φροντίζουσιν-τοῖς (2), φροντίζοντας-τούς (2), φροντίζοντας-τά (2), φρονούντων-τάς (2), φρόνησις-ἡ (2), φροντίζουσιν-τήν (2), φροντίζειν-τά (2), φροντίδι-ὁ (2), φροντίζειν-τῆς (2), φρονοῦσαν-τήν (2), φροντίζων-τῆς (2), φρονουσῶν-αἱ (2), φρονοῦσιν-τούς (2), φροντίσαι-τῆς (2), φρονεῖτε-τήν (2), ἐφρόνησεν-τῶν (2), φρονήσει-τῶν (2), φρόνησιν-τῆς (2), φρονεῖς-ὁ (2), φρονοῦντας-τό (2), φρονήσας-ὁ (2), ἐφρόνησα-ταῖς (1), φρονῆσαι-τοῖς (1), φρονούντων-τούς (1), φρονοῦντας-τῆς (1), φρονοῦσι-τῶν (1), φρόνησις-τό (1), φρονοῦντες-τό (1), φρονήσεως-τήν (1), φρονεῖς-τῶν (1), φρονοῦντες-τῆς (1), φρονήσαντας-τῶν (1), φρονήσαντος-οἱ (1), φρονούσης-τοῖς (1), φρονούντων-τῆς (1), φροντίζω-ἡ (1), πεφρόνηκεν-τῶν (1), φροντίζον-τῆς (1), φροντίζοντες-οἱ (1), ἐφρόνει-τόν (1), φρόνησιν-τοῖς (1), φρονήσας-τήν (1), ἐφρόνησαν-τῶν (1), πεφρόντικε-τῶν (1), ἐφρόντισα-τῶν (1), φρονοῦσιν-ἡ (1), φρονεῖν-τόν (1), φρονήσαντα-τόν (1), φρονήσει-ὁ (1), φρονῶ-ὁ (1), πεφρόντικε-τῆς (1), φρονεῖν-ταῖς (1), φρονήσετε-τό (1), πεφρόντικε-ὁ (1), φροντίσαι-τούς (1), φρονήσει-ταῖς (1), πεφρόνηκεν-τῆς (1), φρονοῦντος-τῶν (1), φροντίζουσιν-τῶν (1), φρονουσῶν-τῶν (1), φρονήσας-τάς (1), φρονεῖν-τήν (1), φροντίζουσα-τόν (1), ἐφρόνησεν-τῆς (1), φρονῶν-τῆς (1), φροντίζουσαν-τῶν (1), φρονήσαντας-τῆς (1), φρόνησιν-τά (1), φρονήσει-τό (1), φρονήσει-τούς (1), φροντίζει-τῶν (1), φρονοῦσι-τά (1), φρονοῦντες-τήν (1), ἐφρόνουν-τά (1), φρονήσασα-τήν (1), φροντίδας-τούς (1), φρόνησιν-τάς (1), ἐφρόνουν-τούς (1), φρόνησιν-τό (1), φρονούσης-τούς (1), φροντίσασι-τοῖς (1), φρονοῦντας-τόν (1), φροντίζοντας-τῶν (1), ἐφρόνησεν-τήν (1), φροντίδα-οἱ (1), φρονήσασιν-τόν (1), φρονοῦμεν-τῶν (1), φροντίσασι-τῶν (1), φροντιζόντων-τῶν (1), φροντίσαντες-τάς (1), φρονοῦντες-ταῖς (1), ἐφρόντιζε-τό (1), φρονήσει-τόν (1), φροντίζοντας-οἱ (1), φροντίσαι-τό (1), φρονοῦντας-ταῖς (1), ἐφρόνησαν-οἱ (1), φρονήσει-ο (1), φρονήσεως-τοῖς (1), φροντίδων-τό (1), φρονεῖν-ἡ (1), φρόνει-τῆς (1), φρονοῦντα-τούς (1), φρονήσεως-ὁ (1), φρονούντων-τά (1), φροντίζοντες-τά (1), φροντίζον-τό (1), φρόνησιν-οἱ (1), φρονῶν-τούς (1), φρονούντων-ταῖς (1), φρονῆσαι-τό (1), φρονήσασα-τῶν (1), φρονοῦσιν-τῆς (1)"
μέγας,φρον,598.233655349351,78,71,7,0,3,4,1,63,0,2,3,0,2,0,"φρονεῖς-μέγα (11), φρονεῖν-μέγα (10), φρονοῦντας-μέγα (5), φρονῶ-μέγα (4), φρονοῦσιν-μέγα (4), ἐφρόνησεν-μέγ' (3), φρονεῖν-μέγιστον (3), φρονῶν-μέγα (3), φρονούντων-μέγα (2), φρονοῦντας-μέγιστον (2), φρονοῦσιν-μεῖζον (2), φρονοίη-μέγα (2), φρονήσαντες-μεῖζον (1), φρονοῦντος-μέγα (1), φρονήσαντα-μέγα (1), φρονήσας-μεῖζον (1), φρονεῖν-μεγίστων (1), φρονοίης-μέγα (1), φρονήσειν-μέγα (1), φρονεῖν-μεῖζον (1), φρονήσαντας-μεῖζον (1), φρονήσει-μέγας (1), ἐφρόνησαν-μέγιστον (1), φρονουσῶν-μέγιστον (1), ἐφρόντιζε-μέγιστον (1), φρονοῦντας-μεγάλην (1), φρονοῦντες-μέγα (1), φρονήσας-μέγα (1), φρονοῦμεν-μέγα (1), φρονῶ-μέγιστον (1), φροντίζοντας-μείζω (1), φρονῶν-μεῖζον (1), φρονοῦντες-μεῖζον (1), φρονῆσαι-μέγα (1), φρονοῦντας-μεῖζον (1), φρόνησιν-μέγιστον (1), φρονήσεως-μεγίστην (1), φρονεῖς-μέγιστον (1), φρονήσας-μέγιστον (1)"
εὖ,φρον,450.208414088003,52,47,5,1,1,1,0,44,0,5,0,0,0,0,"φρονοῦντας-εὖ (14), φρονούντων-εὖ (12), φρονεῖν-εὖ (11), φρονοῦσιν-εὖ (5), φρονήσαντας-εὖ (1), φρονούσης-εὖ (1), φρονοῦντα-εὖ (1), φρονοῦσι-εὖ (1), φρονῶν-εὖ (1), φρονήσαντος-εὖ (1), φροντίζων-εὖ (1), φρονήσασα-εὖ (1), φρονοῦντες-εὖ (1), φρονήσασιν-εὖ (1)"
καί,φρον,398.927315750159,127,52,75,8,9,9,13,13,0,29,11,9,16,10,"φρονεῖν-καί (28), φρόνησιν-καί (16), φρονοῦντας-καί (13), φροντίζειν-καί (8), φρονήσει-καί (6), φρονοῦσιν-καί (5), φρονούντων-καί (5), φρονήσεως-καί (3), φρονεῖς-καί (3), ἐφρόνει-καί (3), φροντίζοντας-καί (3), φρονοῦμεν-καί (2), φρονήσαντας-καί (2), φρονῶν-καί (2), φρονοῦντος-καί (2), φρονήσαντες-καί (2), φρονήσαντα-καί (2), φροντίζοντες-καί (2), ἐφρόνησεν-καί (1), φροντίδων-καί (1), φρονῆσαι-καί (1), φρονοῦντα-καί (1), φρονῶ-καί (1), φρονεῖτε-καί (1), φροντίζω-καί (1), φρόντιζε-καί (1), φροντίζοιεν-καί (1), φροντιζόντων-καί (1), φροντίζουσι-καί (1), φροντίζουσιν-καί (1), ἐφρόνησα-καί (1), φρονούσης-καί (1), φροντίδας-καί (1), φροντίζοντι-καί (1), φροντιζόμενον-καί (1), φρονοίη-καί (1), φροντίζον-καί (1), φρονήσας-καί (1)"
ἐπί,φρον,333.724210311659,57,31,26,7,5,18,1,0,0,13,5,2,2,4,"φρονεῖς-ἐπί (14), φρονεῖν-ἐπί (6), φρονῶ-ἐπί (5), φρονοῦντες-ἐπί (3), φρονοῦντας-ἐπί (3), φρονοῦσιν-ἐπί (3), φρονήσας-ἐπί (2), φροντίζειν-ἐπί (2), φρονήσεως-ἐπί (1), φρόνησιν-ἐπί (1), φρονῶ-ἐπ' (1), φρονῆσαι-ἐπί (1), ἐφρόνησεν-ἐφ' (1), φρονεῖν-ἐφ' (1), φρονοῦντας-ἐφ' (1), φρονοίη-ἐπ' (1), φρονοίη-ἐπί (1), φρονῶ-ἐφ' (1), ἐφρόνησα-ἐπί (1), φρονεῖν-ἐπ' (1), φρονοῦσιν-ἐφ' (1), φρονούντων-ἐπί (1), ἐφρόνησεν-ἐπί (1), φρονῶν-ἐπί (1), φρονοῦμεν-ἐπί (1), φρονῶν-ἐπ' (1), φρονούντων-ἐπ' (1)"
τίς,φρον,192.088178706355,45,28,17,4,2,5,11,6,0,8,2,3,2,2,"φρονεῖν-τοῦ (12), φρονεῖς-τίνι (5), φροντίζειν-τοῦ (3), φρονούντων-τίς (2), φροντιζόντων-τοῦ (2), φροντίζει-τοῦ (2), φρόνησιν-τοῦ (2), φρονούντων-τοῦ (1), φρονήσεως-τοῦ (1), φροντίζειν-τί (1), φρονεῖν-τί (1), φροντίζουσα-τοῦ (1), φροντίζοιεν-τοῦ (1), ἐφρόντιζε-τί (1), φροντιεῖς-τί (1), φρονῶν-τίς (1), φρονοῦντας-τοῦ (1), φροντίζουσι-τί (1), φρονῶν-τοῦ (1), φροντίζων-τοῦ (1), φρονήσαντες-τοῦ (1), φροντίδι-τοῦ (1), φρόνησις-τοῦ (1), ἐφρόντισα-τοῦ (1)"
δέ,φρον,177.656343186274,69,29,40,8,5,12,2,2,0,2,19,7,5,7,"φροντίζειν-δέ (7), φρονεῖν-δέ (4), φρόνησιν-δέ (4), φρονοῦντας-δέ (4), φρόνησιν-δ' (4), φροντίζουσιν-δέ (3), φρονεῖν-δ' (3), φρονοῦσιν-δέ (3), φρονούντων-δέ (2), φροντίζειν-δ' (2), φρονοῦντας-δ' (2), φρονήσει-δέ (2), ἐφρόνησαν-δέ (2), φρονήσεως-δέ (2), φρονοῦντες-δέ (1), φροντίδα-δ' (1), φρονούντων-δ' (1), φρονουσῶν-δ' (1), φροντίδων-δέ (1), ἐφρόνησεν-δ' (1), ἐφρόνησα-δ' (1), φρονοῦντα-δέ (1), πεφρόνηκεν-δ' (1), φροντίζουσα-δ' (1), φρονοίης-δ' (1), φροντίδας-δ' (1), φρονήσαντες-δέ (1), φρονήσαντος-δ' (1), φρονήσετε-δέ (1), φρονήσας-δέ (1), φροντίζουσαν-δ' (1), φροντίζων-δέ (1), φρονῶ-δ' (1), φροντίζοντες-δέ (1), φρόνει-δέ (1), φρονοῦσιν-δ' (1), φροντίζοντας-δέ (1), ἐφρόντιζον-δέ (1), φρονήσασα-δ' (1)"
οὐ,φρον,114.948617907241,34,18,16,5,5,2,6,0,0,5,0,3,4,4,"φρονεῖν-οὐκ (4), φρονούντων-οὐκ (3), φρονοίης-οὐκ (2), φροντίζειν-οὐκ (2), φρονεῖν-οὐ (2), φρονῶ-οὐκ (1), φρονῶν-οὐκ (1), φροντίζον-οὐκ (1), φροντίζειν-οὐ (1), φρόνησιν-οὐ (1), φροντιεῖς-οὐ (1), φρονοῦντας-οὐ (1), φρονοῦντες-οὐκ (1), φρονῆσαι-οὐ (1), φρονοῦντας-οὐκ (1), ἐφρόνησεν-οὐκ (1), φρονεῖς-οὐ (1), φροντίζουσιν-οὐκ (1), φροντίζειν-οὐχ (1), φροντίζοντες-οὐ (1), φροντιζόμενον-οὐκ (1), φρονοῦσιν-οὐ (1), φρονήσειν-οὐ (1), φροντίσαι-οὐ (1), φρονοίη-οὐ (1), φροντίζουσι-οὐ (1)"
ἀλλά,φρον,110.318931410089,31,12,19,3,3,3,1,2,0,11,1,2,4,1,"φρονεῖν-ἀλλά (3), ἐφρόνησεν-ἀλλ' (2), φρονῶν-ἀλλ' (2), φροντίζειν-ἀλλ' (2), φρόνησιν-ἀλλά (2), φρονοῦσιν-ἀλλ' (1), ἐφρόντιζον-ἀλλά (1), φροντίζουσι-ἀλλά (1), φρονοῦντας-ἀλλ' (1), φρόντιζε-ἀλλά (1), φρόνησιν-ἀλλ' (1), φρονήσει-ἀλλ' (1), φροντίζουσιν-ἀλλά (1), φροντιεῖς-ἀλλά (1), φροντίζοντας-ἀλλά (1), φρονοῦσιν-ἀλλά (1), φροντιζόμενον-ἀλλά (1), φροντίζοντες-ἀλλ' (1), φρονούσης-ἀλλά (1), φρονήσεως-ἀλλά (1), φρονῶ-ἀλλ' (1), φροντίζειν-ἀλλά (1), φρονήσει-ἀλλά (1), φροντίζον-ἀλλά (1), φροντίσαντες-ἀλλά (1)"
ὅς,φρον,104.803980218247,32,13,19,3,3,3,4,0,0,3,7,1,5,3,"φρονεῖς-ὅς (3), φρονεῖν-ὧν (2), φρόνησιν-ἅ (2), φρόνησις-ᾗ (1), φρονούντων-ᾗ (1), φρονοίη-ὧν (1), φροντίζειν-οἵ (1), φρονῶ-ὧν (1), φρονοῦσιν-ἅ (1), φροντίσαντες-ὧν (1), ἐφρόνησεν-ᾗ (1), φρονῶν-ἧς (1), φροντίζουσιν-οἷς (1), φρονεῖν-οὕς (1), φρονοῦντας-ᾧ (1), φρονοῦσιν-αἷς (1), φροντίζομεν-ἧς (1), φροντίζοντες-οἵ (1), φρονοῦσιν-ὧν (1), φρονοῦντας-ὧν (1), φρονοῦντας-οἵ (1), φρονῶ-ᾧ (1), φρόνησιν-ὧν (1), φρονοῦσιν-οἵ (1), φρονοῦντας-ἅ (1), φρονούντων-οἷς (1), φρόνησιν-ᾗ (1), φρονεῖν-ᾗ (1)"
