Collocation,2013-09-08
KeyWord,σωφρ
Instances,176
Files,2
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,σωφρ,892.330837763846,201,100,101,14,18,20,21,27,0,20,17,29,17,18,"σωφροσύνην-τήν (30), σωφροσύνης-τῆς (8), σωφροσύνην-τοῖς (8), σωφροσύνην-τῶν (8), σωφρονεστέρους-τούς (6), σωφρονεῖν-τούς (5), σωφροσύνην-ταῖς (5), σωφροσύνη-ἡ (4), σώφρονες-οἱ (4), σωφροσύνης-ἡ (3), σωφροσύνην-τούς (3), σωφροσύνης-τούς (3), σωφροσύνης-τήν (3), σωφρονεῖν-τό (3), σωφρονεῖν-τῶν (3), σωφρονεῖν-τόν (2), σωφροσύνης-τόν (2), σώφρονες-τῶν (2), σώφρονας-τούς (2), σωφρονῶμεν-τούς (2), σωφροσύνῃ-τό (2), σώφρονι-τῶν (2), σωφρονέστερον-τῶν (2), σωφροσύνην-τάς (2), σωφροσύνην-τό (2), σωφροσύνης-τῶν (2), σωφροσύνης-τοῖς (2), σωφρονοῦντες-οἱ (2), σωφροσύνην-τά (2), σωφρόνως-τήν (2), σωφρόνως-τό (2), σώφρονα-τήν (1), σωφρονίζειν-ἡ (1), σωφρονοίη-τῶν (1), σωφρονεῖν-τοῖς (1), σώφρονα-τόν (1), σῶφρον-τό (1), σωφροσύνην-οἱ (1), σωφρονεστάτη-ἡ (1), σωφροσύνης-ὁ (1), σώφρονας-τά (1), σωφρονίσαντες-τόν (1), σωφρονεῖν-ὁ (1), σωφρονεστάτους-τῶν (1), σωφρονῶν-τήν (1), σωφρονεῖν-τῆς (1), σωφρονεῖν-ταῖς (1), σωφρονοῖεν-τῶν (1), σωφρονίζουσιν-τό (1), σωφρονέστατα-τήν (1), σωφρονίζει-τούς (1), σωφρονῆτε-τῆς (1), σωφρονέστερον-τήν (1), σωφρονεστέρους-τῶν (1), σωφρονίζειν-τό (1), σωφρονῆτε-τῶν (1), σωφρονέστατα-τοῖς (1), σωφροσύνην-τῆς (1), σωφρονεῖν-ἡ (1), σωφρονοῦσι-τά (1), σώφρων-ὁ (1), σωφρονίζοι-ὁ (1), σωφρόνως-οἱ (1), σωφρόνων-ὁ (1), σωφρονοῦντες-τόν (1), σώφρονας-τήν (1), σωφρονέστατοι-τῶν (1), σωφρονοίη-τά (1), σωφρόνως-τόν (1), σώφρονος-οἱ (1), σωφρονήσαιμεν-τῆς (1), σωφροσύνην-τόν (1), σωφρονεστέρους-τήν (1), σωφροσύνῃ-τοῖς (1), σωφροσύνην-ὁ (1), σωφρονοῦσι-τοῖς (1), σωφροσύνη-ταῖς (1), σωφρονίζει-τό (1), σώφρονα-τούς (1), σωφρονίζοι-τῶν (1), σωφρόνως-τῶν (1), σωφρονεῖν-τήν (1), σωφρονοῖεν-τήν (1), σωφρονοῦντες-τῶν (1), σωφρονεῖν-αἱ (1), σωφρονῶσιν-οἱ (1), σωφρονέστερος-τῶν (1), σώφρονι-τό (1), σωφρονῶν-τῆς (1), σωφρονίζειν-τούς (1), σωφρονῇς-τούς (1), σωφροσύνης-τάς (1), σωφρονεστέραν-τῶν (1), σωφρόνως-ὁ (1), σώφρονες-τάς (1), σώφρονες-ταῖς (1), σώφρονος-τά (1), σωφρονοῦσιν-τάς (1), σωφρονῇ-ὁ (1), σωφροσύνῃ-τήν (1), σωφρόνως-τούς (1), σωφρονῶμεν-τόν (1), σωφροσύνης-τά (1), σωφρονέστερον-τούς (1)"
καί,σωφρ,666.363105844706,141,75,66,7,8,12,14,34,0,23,16,11,8,8,"σωφροσύνην-καί (39), σωφροσύνης-καί (23), σώφρονες-καί (9), σωφροσύνῃ-καί (9), σωφρονεῖν-καί (8), σωφρονέστατον-καί (6), σωφροσύνη-καί (6), σωφρόνως-καί (5), σωφρονέστερον-καί (4), σώφρονα-καί (3), σωφρονεστέρους-καί (3), σωφρονέστατα-καί (3), σωφρονοῦντες-καί (3), σωφρονεστέραν-καί (3), σώφρονι-καί (2), σωφρόνων-καί (2), σώφρονας-καί (2), σωφρονῶσιν-καί (1), σωφρονοῦσι-καί (1), σωφρονήσαιμεν-καί (1), σωφρονίσαντες-καί (1), σωφρονῶμεν-καί (1), σωφρονεστάτους-καί (1), σῶφρον-καί (1), σωφρονήσαντα-καί (1), σωφρονέστατοι-καί (1), σωφρονίζειν-καί (1), σωφρονοῖεν-καί (1)"
δέ,σωφρ,271.427129490301,74,34,40,8,6,5,8,7,0,5,13,9,6,7,"σωφροσύνην-δέ (12), σωφρόνως-δέ (6), σωφροσύνῃ-δέ (5), σωφροσύνης-δέ (5), σωφροσύνην-δ' (4), σωφρονεῖν-δέ (3), σώφρονας-δέ (2), σωφρονίζῃ-δέ (2), σώφρονες-δέ (2), σωφροσύνης-δ' (2), σωφρονῶσιν-δέ (2), σωφρονέστερος-δ' (1), σωφρονέστατοι-δ' (1), σωφροσύνη-δέ (1), σωφρονεστάτη-δ' (1), σωφρονίζουσιν-δέ (1), σώφρονι-δέ (1), σωφρονοῦντες-δέ (1), σωφρονεστέρους-δέ (1), σωφρονεστέρους-δ' (1), σωφρονῇ-δέ (1), σωφρονοῦντε-δέ (1), σώφρονες-δ' (1), σωφρονῶν-δ' (1), σωφρονεῖν-δ' (1), σώφρονα-δέ (1), σῶφρον-δέ (1), σώφρονος-δ' (1), σωφρονίζουσι-δέ (1), σώφρων-δ' (1), σωφρονέστερον-δ' (1), σωφροσύνῃ-δ' (1), ἐσωφρόνεις-δέ (1), σωφρονοῦσι-δέ (1), σωφρονίζειν-δέ (1), σωφρονεῖτε-δέ (1), σωφροσύνη-δ' (1), σωφρονῶμεν-δ' (1), σωφρονέστερον-δέ (1), σωφρονεστάτους-δ' (1)"
δικαι,σωφρ,141.841957957484,21,10,11,1,1,3,4,1,0,0,3,5,2,1,"σωφροσύνην-δικαιοσύνην (8), σωφρονέστατον-δικαιότατον (2), σωφροσύνης-δικαιοσύνης (2), σωφροσύνῃ-δικαιοσύνῃ (2), σωφρονῶν-δικαίως (1), σωφρονεῖν-δίκαια (1), σωφρονέστερον-δικαιότερον (1), σώφρων-δίκαιος (1), σώφρονα-δίκαιον (1), σωφροσύνη-δίκαιον (1), σωφρονῶσιν-δίκαιον (1)"
ἀρετή,σωφρ,91.4622908560559,13,11,2,3,0,4,2,2,0,0,0,1,1,0,"σωφροσύνην-ἀρετήν (6), σωφροσύνης-ἀρετῆς (4), σωφρόνως-ἀρετήν (1), σωφροσύνῃ-ἀρετῇ (1), σωφροσύνην-ἀρετῶν (1)"
ἄν,σωφρ,91.1724633639678,27,16,11,4,3,4,3,2,0,4,4,1,0,2,"σωφροσύνης-ἄν (4), σωφρονεῖν-ἄν (4), σωφρονοῖεν-ἄν (2), σωφροσύνην-ἄν (2), ἐσωφρόνεις-ἄν (1), σωφρονέστατον-ἄν (1), σώφρων-ἄν (1), σωφρονῶμεν-ἄν (1), σωφρονίζοι-ἄν (1), σωφρονῶν-ἄν (1), σωφρονεστάτη-ἄν (1), σωφρονοίη-ἄν (1), σωφρονοῦντες-ἄν (1), σωφρονέστερος-ἄν (1), σωφρόνως-κα (1), σῶφρον-ἄν (1), σωφρονέστερον-ἄν (1), σωφροσύνη-ἄν (1), σώφρονες-ἄν (1)"
εἰμί,σωφρ,81.2263153130189,29,16,13,3,4,2,5,2,0,5,3,1,3,1,"σωφρονεῖν-εἶναι (3), σωφροσύνην-εἶναι (3), σωφροσύνης-ἐστίν (2), σώφρονι-εἶναι (1), σωφρονοῦντε-ἔστε (1), σώφρονε-εἶναι (1), σωφρονέστατοι-εἶναι (1), σώφρων-ἔσεσθαι (1), σωφρονίζειν-εἶναι (1), σωφρονῶν-εἶναι (1), σωφρονεῖν-εἴη (1), σωφρονεῖν-ἐστιν (1), σωφρονεῖν-ἔν (1), σωφρονέστατον-εἶναι (1), σωφρονέστατα-ἔστι (1), σωφρονίσαντες-εἶναι (1), σωφρονεστάτους-εἶναι (1), σωφροσύνην-ἔν (1), σώφρονας-εἶναι (1), σωφρόνων-ἐστι (1), σώφρονα-ἔσεσθαι (1), σωφροσύνη-εἶναι (1), σωφρονεῖν-ἐστι (1), σωφρονεῖς-ἐστιν (1)"
τίς,σωφρ,69.3363261222839,20,8,12,2,0,1,1,4,0,2,2,3,2,3,"σωφροσύνη-τί (6), σωφρονεῖν-τοῦ (3), σωφρόνως-τοῦ (3), σώφρονος-τοῦ (1), σώφρων-τί (1), σωφροσύνης-τίνι (1), σώφρονες-τοῦ (1), σωφρονεῖν-τίς (1), σωφρονίζει-τοῦ (1), σωφρονέστερον-τίνας (1), σώφρονι-τί (1)"
ἤ,σωφρ,63.9055041717365,18,6,12,0,1,2,1,2,0,5,3,3,1,0,"σώφρονι-ἤ (4), σώφρονα-ἤ (3), σώφρονος-ἤ (2), σωφρονίζειν-ἤ (1), σωφρονεῖν-ἤ (1), σωφροσύνην-ἤ (1), σωφρονοῖεν-ἤ (1), σωφρονίζῃ-ἤ (1), ἐσωφρόνεις-ἤ (1), σωφρονέστερον-ἤ (1), σωφρονοίη-ἤ (1), σῶφρον-ἤ (1)"
οὐ,σωφρ,63.2102361042053,20,6,14,2,0,3,1,0,0,2,1,2,4,5,"σωφροσύνην-οὐ (6), σωφρονεῖν-οὐκ (2), σωφροσύνης-οὐ (2), σωφρονέστερον-οὐ (1), σωφροσύνη-οὐχ (1), σωφρονήσαντα-οὐκ (1), σωφρονοῦντε-οὐ (1), σώφρονες-οὐχ (1), σωφρόνως-οὐ (1), σωφροσύνης-οὐκ (1), σωφροσύνην-οὐκ (1), σωφρονῶμεν-οὐ (1), σωφρονῶσιν-οὐκ (1)"
