Collocation,2013-09-08
KeyWord,δικαι
Instances,22
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,δικαι,80.4907855460187,14,12,2,1,0,0,2,9,0,1,0,1,0,0,"δίκαια-τά (7), δίκαια-τόν (1), δίκαιος-τά (1), δίκαιον-τόν (1), δίκαιοι-οἱ (1), δικαίωι-τῆς (1), δίκαιον-τό (1), δικαιότατον-τό (1)"
εἰμί,δικαι,44.2703793875407,9,3,6,0,0,1,0,2,0,3,0,1,1,1,"δίκαιος-ἐών (3), δικαίοις-εἰμί (1), δίκαια-ἐών (1), δικαιοσύνηι-'στι (1), δίκαιον-ἐστι (1), δικαιότατος-εἰμί (1), δίκαιον-ἐών (1)"
δέ,δικαι,41.6489078184823,11,9,2,4,0,0,0,5,0,0,1,0,0,1,"δικαίωι-δέ (2), δίκαιος-δέ (1), δικαίοις-δέ (1), δικαιότατον-δέ (1), δικαιοσύνηι-δέ (1), δίκαια-δ' (1), δικαιότατος-δέ (1), δίκαιοι-δ' (1), δίκαιοι-δέ (1), δικαιότατον-δ' (1)"
δικαι,δικαι,28.7953799284005,4,2,2,0,2,0,0,0,22,0,0,0,2,0,"δικαίοις-δικαιότατος (1), δίκαια-δίκαιος (1), δίκαιος-δίκαια (1), δικαιότατος-δικαίοις (1), δικαίοις-δικαίοις (0), δίκαιος-δίκαιος (0), δίκαιον-δίκαιον (0), δικαίως-δικαίως (0), δικαιότατον-δικαιότατον (0), δικαίωι-δικαίωι (0), δικαιοσύνηι-δικαιοσύνηι (0), δίκαια-δίκαια (0), δίκαιοι-δίκαιοι (0), δικαιότατος-δικαιότατος (0)"
τῷ,δικαι,28.7355196660501,3,2,1,0,0,0,2,0,0,1,0,0,0,0,δικαίωι-τῶι (3)
ἄδικος,δικαι,23.580478038697,3,2,1,1,0,1,0,0,0,0,0,1,0,0,"δικαίωι-ἀδίκωι (1), δίκαια-ἀδίκου (1), δικαιοσύνηι-ἀδίκως (1)"
μαίνομαι,δικαι,20.7815952558012,2,2,0,1,0,1,0,0,0,0,0,0,0,0,"δικαίοις-μαινομένοις (1), δικαίοις-μαίνομαι (1)"
ποιόω,δικαι,19.0595767645573,2,0,2,0,0,0,0,0,0,0,2,0,0,0,"δικαίως-ποιοῦ (1), δίκαια-ποιῶσιν (1)"
ὅρκος,δικαι,19.0595767645573,2,2,0,0,0,2,0,0,0,0,0,0,0,0,"δίκαιον-ὅρκωι (1), δίκαιος-ὅρκον (1)"
ἅζομαι,δικαι,19.0595767645573,2,1,1,0,1,0,0,0,0,0,0,0,1,0,"δίκαια-ἁζόμενοι (1), δίκαιοι-ἅζεται (1)"
