Collocation,2013-09-08
KeyWord,σοφ
Instances,19
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
καί,σοφ,45.027058889129,10,7,3,0,1,3,1,2,0,1,0,1,1,0,"σοφόν-καί (4), σοφίη-καί (2), σοφός-καί (2), σοφίης-καί (1), σοφῶι-καί (1)"
ἀλλά,σοφ,26.370079857792,5,1,4,0,1,0,0,0,0,0,1,1,1,1,"σοφίης-ἀλλά (3), σοφώτατος-ἀλλ' (1), σοφίην-ἀλλ' (1)"
εἰμί,σοφ,25.7055319669598,6,5,1,0,1,1,0,3,0,1,0,0,0,0,"σοφόν-ἐόντα (2), σοφός-ἐστιν (1), σοφῶι-ἐόντι (1), σοφίης-εἴη (1), σοφός-ἦι (1)"
συνίζω,σοφ,25.2141630876868,2,1,1,0,1,0,0,0,0,0,0,0,1,0,"σοφίην-συνιεῖν (1), σοφόν-συνιεῖν (1)"
ἀποφεύγω,σοφ,25.2141630876868,2,0,2,0,0,0,0,0,0,0,1,0,1,0,"σοφώτατος-ἀποφεύγει (1), σοφίην-ἀποφεύγει (1)"
ἀλλοῖος,σοφ,25.2137562321732,2,2,0,2,0,0,0,0,0,0,0,0,0,0,σοφίη-ἀλλοῖος (2)
ὥστε,σοφ,22.1946969687415,3,2,1,2,0,0,0,0,0,1,0,0,0,0,"σοφόν-ὥστε (2), σοφός-ὥστε (1)"
ἄν,σοφ,21.6767428381136,4,3,1,1,1,0,0,1,0,0,0,0,1,0,"σοφός-ἄν (2), σοφίης-ἄν (1), σοφίης-χ' (1)"
καταισχύνω,σοφ,21.3981331924733,2,2,0,0,2,0,0,0,0,0,0,0,0,0,"σοφόν-καταισχῦναι (1), σοφόν-καταισχύνειν (1)"
αὔτως,σοφ,19.6755030804197,2,2,0,0,0,1,0,1,0,0,0,0,0,0,"σοφίην-αὔτως (1), σοφώτατος-αὔτως (1)"
τις,σοφ,19.67203064973,4,4,0,1,1,1,1,0,0,0,0,0,0,0,"σοφός-τις (1), σοφόν-τι (1), σοφίης-τι (1), σοφῶι-τι (1)"
ὁ,σοφ,17.4044069795345,5,2,3,0,0,0,1,1,0,2,0,0,0,1,"σοφίης-τά (1), σοφώτατος-ὁ (1), σοφίην-ὁ (1), σοφῶι-οἱ (1), σοφόν-τόν (1)"
θυμός,σοφ,16.6523995199241,3,1,2,1,0,0,0,0,0,0,0,0,1,1,"σοφώτατος-θυμόν (1), σοφίης-θυμέ (1), σοφίην-θυμόν (1)"
δέ,σοφ,16.1499628692109,6,5,1,2,2,0,1,0,0,0,1,0,0,0,"σοφίης-δ' (1), σοφῶι-δέ (1), σοφός-δ' (1), σοφώτατος-δ' (1), σοφίην-δ' (1), σοφίην-δέ (1)"
τίς,σοφ,15.4497902592993,3,2,1,2,0,0,0,0,0,0,0,1,0,0,"σοφός-τίς (1), σοφόν-τοῦ (1), σοφίην-τοῦ (1)"
πολύς,σοφ,13.7021519575792,3,0,3,0,0,0,0,0,0,0,1,1,0,1,"σοφός-πολλοί (1), σοφός-πολλά (1), σοφόν-πολύς (1)"
ἐκλείπω,σοφ,12.551599083672,1,1,0,0,0,0,0,1,0,0,0,0,0,0,σοφίης-ἐκλείπει (1)
ἴφθιμος,σοφ,12.551599083672,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σοφός-ἴφθιμος (1)
