Collocation,2013-09-08
KeyWord,φρον
Instances,20
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,φρον,60.3521359204315,14,9,5,2,0,2,5,0,0,0,1,2,2,0,"φρονοῦντες-τῶν (2), φρονοῦντες-τά (2), φρονοῦντας-τά (2), φρονεῖν-τήν (1), φρονεῖ-ἡ (1), φρονεῖ-τούς (1), φρονεῖν-τά (1), φρονοῦντες-οἱ (1), φρονοῦντας-τόν (1), φρονοῦντες-τό (1), φρονοῦντας-τούς (1)"
ὁ,φρόνημα,38.7957570180297,9,4,5,1,1,1,0,1,0,2,2,0,1,0,"φρόνημα-τό (2), φρονήματι-τάς (1), φρονήματι-τοῖς (1), φρόνημα-τήν (1), φρονήματι-αἱ (1), φρονήματι-τήν (1), φρονήματι-τῆς (1), φρόνημα-ἡ (1)"
καί,φρόνημα,28.4141558911651,7,3,4,1,0,0,0,2,0,0,1,2,0,1,"φρονήματι-καί (3), φρόνημα-καί (2), φρονήματος-καί (2)"
δουλόω,φρόνημα,24.0471254684962,2,1,1,0,0,0,1,0,0,0,0,0,1,0,"φρόνημα-δουλοῖ (1), φρονήματι-δουλεῦσαι (1)"
καί,φρον,23.809194794856,7,3,4,0,2,1,0,0,0,1,0,0,1,2,"φρονοῦντας-καί (2), φρονεῖν-καί (2), φρονοῦντα-καί (1), φρονοῦντες-καί (1), φρονῆσαι-καί (1)"
ἀλλά,φρόνημα,23.1072991006076,3,2,1,0,0,0,2,0,0,0,1,0,0,0,"φρονήματι-ἀλλά (2), φρονήματι-ἀλλ' (1)"
μήτε,φρόνημα,19.984475471545,2,0,2,0,0,0,0,0,0,1,0,0,0,1,φρονήματι-μήτε (2)
ἐγκαρτερέω,φρόνημα,19.5628570308909,1,1,0,1,0,0,0,0,0,0,0,0,0,0,φρόνημα-ἐγκαρτερεῖν (1)
καταφρόνημα,φρόνημα,19.5628570308909,1,0,1,0,0,0,0,0,0,0,0,0,1,0,φρονήματι-καταφρονήματι (1)
ζέω,φρον,19.1398406145163,1,1,0,0,0,0,0,1,0,0,0,0,0,0,φρονοῦντες-ζῶμεν (1)
