Collocation,2013-09-08
KeyWord,ανδρει
Instances,26
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,ανδρει,132.633029852994,28,14,14,1,3,1,2,7,0,0,3,4,3,4,"ἀνδρείους-τούς (4), ἀνδρεῖον-τό (3), ἀνδρεία-ἡ (2), ἀνδρείαν-τά (2), ἀνδρείαν-τό (2), ἀνδρείους-τῆς (2), ἀνδρεῖον-τόν (2), ἀνδρείους-τά (1), ἀνδρείαν-τήν (1), ἀνδρείως-τό (1), ἀνδρείαν-τῶν (1), ἀνδρεῖοι-οἱ (1), ἀνδρεῖοι-τῶν (1), ἀνδρεῖον-τούς (1), ἀνδρεῖον-οἱ (1), ἀνδρείως-ὁ (1), ἀνδρεία-τό (1), ἀνδρειότερον-τῶν (1)"
καί,ανδρει,106.67966467049,22,14,8,2,1,4,4,3,0,4,1,0,1,2,"ἀνδρεῖον-καί (7), ἀνδρείαν-καί (4), ἀνδρείως-καί (3), ἀνδρεία-καί (3), ἀνδρειοτέροις-καί (2), ἀνδρεῖοι-καί (2), ἀνδρείους-καί (1)"
ἤ,ανδρει,53.5979008609429,9,6,3,1,0,2,0,3,0,1,0,1,1,0,"ἀνδρειότερον-ἤ (3), ἀνδρεία-ἤ (2), ἀνδρείῳ-ἤ (2), ἀνδρείαν-ἤ (1), ἀνδρειοτέροις-ἤ (1)"
δέ,ανδρει,51.4260801719502,13,3,10,0,0,1,2,0,0,1,0,4,5,0,"ἀνδρείας-δέ (3), ἀνδρείαν-δέ (2), ἀνδρείους-δέ (2), ἀνδρείως-δέ (2), ἀνδρεία-δέ (2), ἀνδρεῖον-δέ (1), ἀνδρεῖοι-δέ (1)"
τίς,ανδρει,51.001676030457,9,4,5,2,0,1,0,1,0,1,1,1,0,2,"ἀνδρεία-τί (6), ἀνδρεῖοι-τί (1), ἀνδρείους-τοῦ (1), ἀνδρείῳ-τί (1)"
σωφρ,ανδρει,37.9372554430738,4,1,3,0,1,0,0,0,0,0,3,0,0,0,"ἀνδρεία-σῶφρον (1), ἀνδρεία-σωφροσύνη (1), ἀνδρείῳ-σώφρονι (1), ἀνδρείαν-σωφροσύνην (1)"
εἰμί,ανδρει,31.5364514281973,8,4,4,1,1,0,1,1,0,1,2,0,1,0,"ἀνδρειοτέροις-εἰσί (1), ἀνδρείαν-ᾖ (1), ἀνδρεῖοι-εἶεν (1), ἀνδρείους-εἶναι (1), ἀνδρεία-εἴη (1), ἀνδρεία-ἔστιν (1), ἀνδρείους-ὄντας (1), ἀνδρειοτέροις-εἶναι (1)"
διδακτός,ανδρει,30.2390550924465,2,0,2,0,0,0,0,0,0,1,0,1,0,0,ἀνδρεία-διδακτόν (2)
ἀναμφίλογος,ανδρει,28.1465629125014,2,1,1,0,0,1,0,0,0,0,0,0,1,0,"ἀνδρεία-ἀναμφιλογωτάτη (1), ἀνδρεῖον-ἀναμφιλόγως (1)"
γε,ανδρει,20.3576854253188,4,1,3,0,1,0,0,0,0,2,0,0,1,0,"ἀνδρεία-γε (1), ἀνδρείας-γε (1), ἀνδρείαν-γε (1), ἀνδρεῖον-γε (1)"
ῥώμη,ανδρει,19.2533304439858,2,2,0,1,1,0,0,0,0,0,0,0,0,0,"ἀνδρείαν-ῥώμην (1), ἀνδρεῖον-ἐρρωμένως (1)"
πλούσιος,ανδρει,19.0835667802021,2,2,0,1,0,1,0,0,0,0,0,0,0,0,"ἀνδρεῖον-πλούσιον (1), ἀνδρειοτέροις-πλουσιωτέροις (1)"
μή,ανδρει,19.0592003427446,4,0,4,0,0,0,0,0,0,2,0,0,2,0,"ἀνδρεῖον-μή (1), ἀνδρείῳ-μή (1), ἀνδρειοτέροις-μή (1), ἀνδρείους-μή (1)"
τεκμήριά,ανδρει,17.8518710359931,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἀνδρείας-τεκμήριά (1)
εὐβουλία,ανδρει,17.8518710359931,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἀνδρείαν-εὐβουλίας (1)
φυσικός,ανδρει,17.8518710359931,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἀνδρεία-φυσικόν (1)
δειλιάω,ανδρει,17.8518710359931,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἀνδρεία-δειλία (1)
ἰσχυρός,ανδρει,17.2002301523462,2,1,1,0,0,0,1,0,0,0,0,1,0,0,"ἀνδρεῖον-ἰσχυρόν (1), ἀνδρείῳ-ἰσχυρῷ (1)"
κτάομαι,ανδρει,16.901575521566,2,2,0,0,1,1,0,0,0,0,0,0,0,0,"ἀνδρεῖον-κτᾶσθαι (1), ἀνδρείαν-κτώμενος (1)"
σοφ,ανδρει,16.7602930413559,2,0,2,0,0,0,0,0,0,0,0,1,0,1,"ἀνδρεία-σοφία (1), ἀνδρεῖον-σοφόν (1)"
ὅπου,ανδρει,15.3060217155144,2,1,1,0,0,0,0,1,0,0,0,0,1,0,ἀνδρείας-ὅπου (2)
ποιέω,ανδρει,14.4349986137822,3,1,2,0,0,1,0,0,0,0,2,0,0,0,"ἀνδρείως-ποιεῖν (1), ἀνδρειοτέροις-ποιήσειν (1), ἀνδρείως-ἐποίησαν (1)"
ἄνανδρος,ανδρει,14.0333072636276,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ἀνδρεῖον-ἀνάνδρους (1)
μεγαληγορέω,ανδρει,14.0333072636276,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἀνδρείως-ἐμεγαληγόρουν (1)
γυνή,ανδρει,13.6784641528502,2,1,1,0,0,1,0,0,0,0,0,0,0,1,"ἀνδρείως-γυναικί (1), ἀνδρεία-γυνή (1)"
ἀλκή,ανδρει,13.3539717365056,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἀνδρείας-ἀλκῇ (1)
μελέτη,ανδρει,13.3539717365056,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ἀνδρείαν-μελέτῃ (1)
πρός,ανδρει,13.141076175496,3,2,1,1,0,0,0,1,0,0,0,0,1,0,ἀνδρείαν-πρός (3)
δειλός,ανδρει,12.8488892791793,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ἀνδρεῖοι-δειλῶν (1)
ἐπικίνδυνος,ανδρει,12.1118063051254,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ἀνδρείους-ἐπικίνδυνα (1)
μανιάω,ανδρει,12.1118063051254,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ἀνδρεία-μανία (1)
καρτερία,ανδρει,11.5749782891944,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ἀνδρείαν-καρτερίαν (1)
ψέγω,ανδρει,11.5749782891944,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ἀνδρείας-ψέγω (1)
ἕκαστος,ανδρει,11.3951499173418,2,0,2,0,0,0,0,0,0,2,0,0,0,0,ἀνδρείως-ἕκαστα (2)
ἀρτάβαζος,ανδρει,11.3525571757928,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ἀνδρείως-ἀρταβάζῳ (1)
ἀφανής,ανδρει,11.1524831326678,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ἀνδρείας-ἀφανῆ (1)
μέν,ανδρει,11.0269687045366,4,1,3,0,0,0,0,1,0,2,0,1,0,0,"ἀνδρείους-μέν (1), ἀνδρεῖον-μέν (1), ἀνδρείαν-μέν (1), ἀνδρεία-μέν (1)"
τοιοῦτος,ανδρει,11.0265369471163,2,0,2,0,0,0,0,0,0,0,0,0,0,2,"ἀνδρειότερον-τοιούτων (1), ἀνδρείαν-τοιούτων (1)"
συστρατεύω,ανδρει,10.9706743108109,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ἀνδρείως-συνεστρατεύετο (1)
τε,ανδρει,10.6565665379167,3,3,0,1,2,0,0,0,0,0,0,0,0,0,"ἀνδρεῖοι-τε (1), ἀνδρείως-τ' (1), ἀνδρείαν-τε (1)"
ἐλευθερία,ανδρει,10.507619002834,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἀνδρείους-ἐλευθερίας (1)
μαίνομαι,ανδρει,10.507619002834,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἀνδρεῖοι-μαινομένων (1)
καίπερ,ανδρει,10.507619002834,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ἀνδρεία-καίπερ (1)
ὁμόσε,ανδρει,10.3744473643601,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ἀνδρείους-ὁμόσε (1)
οὐ,ανδρει,10.2639047345147,3,1,2,0,0,1,0,0,0,0,0,1,0,1,"ἀνδρείας-οὐκ (1), ἀνδρεῖον-οὐ (1), ἀνδρεία-οὐχί (1)"
τολμάω,ανδρει,10.2496264940128,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνδρείους-τολμήσωσι (1)
ἀνήρ,ανδρει,10.1379593424499,2,1,1,0,0,1,0,0,0,0,0,1,0,0,"ἀνδρείους-ἄνδρας (1), ἀνδρείως-ἀνδρί (1)"
βουλή,ανδρει,9.91621326841414,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἀνδρείας-βουλῆς (1)
τις,ανδρει,9.59874910861254,3,1,2,0,0,1,0,0,0,0,1,1,0,0,"ἀνδρείους-τι (1), ἀνδρείῳ-τις (1), ἀνδρειότερον-τι (1)"
μής,ανδρει,9.49657418299466,2,1,1,0,0,0,0,1,0,0,1,0,0,0,"ἀνδρείαν-μήν (1), ἀνδρείας-μήν (1)"
ἐλάχιστος,ανδρει,9.38115814980119,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἀνδρείαν-ἐλάχιστα (1)
πολιτικός,ανδρει,9.30447674635798,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ἀνδρειότερον-πολιτικώτερον (1)
ὅστε,ανδρει,9.23064638208598,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἀνδρεία-ἥ (1)
ἄγαμαι,ανδρει,9.15946327243,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἀνδρείους-ἄγασθαι (1)
ἴδιος,ανδρει,8.7219941932708,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἀνδρεῖον-ἰδίᾳ (1)
εὐθύδημος,ανδρει,8.41121900454164,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνδρείαν-εὐθύδημε (1)
ἀγών,ανδρει,8.41121900454164,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ἀνδρείας-ἀγών (1)
φημί,ανδρει,8.37606783956289,3,2,1,0,0,0,1,1,0,0,0,1,0,0,"ἀνδρείαν-ἔφη (2), ἀνδρείους-φασί (1)"
κρίνω,ανδρει,8.31760098319501,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ἀνδρεία-κρίνοιτο (1)
κρείσσων,ανδρει,8.18499476648867,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ἀνδρεῖον-κρείττοσι (1)
κινδυνεύω,ανδρει,8.10129004344344,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ἀνδρεῖον-κινδυνεύοντα (1)
ἐμαυτοῦ,ανδρει,8.06073156651109,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἀνδρείας-ἐμαυτόν (1)
δεινός,ανδρει,7.98203206900507,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἀνδρείους-δεινά (1)
ἱκανόω,ανδρει,7.86957298126072,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἀνδρειοτέροις-ἱκανοί (1)
αὐξάνω,ανδρει,7.86957298126072,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ἀνδρείαν-αὔξεσθαι (1)
καιρός,ανδρει,7.72895994316787,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ἀνδρείας-καιρός (1)
ἐρωτάω,ανδρει,7.69532071147114,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ἀνδρεία-ἐρωτώμενος (1)
