Collocation,2013-09-08
KeyWord,οσι
Instances,9
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
καί,οσι,52.5841388422996,9,4,5,0,0,1,1,2,0,2,1,0,2,0,"ὁσιότητα-καί (2), ὁσίου-καί (2), ὁσιώτερα-καί (2), ὁσίων-καί (1), ὁσιότητι-καί (1), ὁσίως-καί (1)"
ὁ,οσι,52.0983460415155,11,3,8,2,0,0,0,1,0,0,3,1,1,3,"ὁσιότητα-τήν (3), ὁσίου-τῶν (2), ὁσίων-οἱ (1), ὁσιώτερα-τοῖς (1), ὁσιώτερα-τῶν (1), ὁσίοις-τούς (1), ὁσίως-τόν (1), ὁσιότητα-ἡ (1)"
σωφρ,οσι,20.5534726614133,2,1,1,0,0,1,0,0,0,0,0,1,0,0,"ὁσιότητι-σωφροσύνῃ (1), ὁσιότητα-σωφροσύνην (1)"
ἄμοιρος,οσι,20.0501220449805,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ὁσιώτερον-ἄμοιρος (1)
ἥδιστόν,οσι,20.0501220449805,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ὁσίως-ἥδιστόν (1)
ἤ,οσι,17.5835938192904,3,2,1,0,1,0,0,1,0,0,1,0,0,0,"ὁσίων-ἤ (2), ὁσίοις-ἤ (1)"
δικαι,οσι,17.5649498440325,2,1,1,0,0,1,0,0,0,0,0,1,0,0,"ὁσίου-δικαίου (1), ὁσίως-δικαίως (1)"
δ,οσι,17.2776167150587,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ὁσιότητι-δ (1)
τίς,οσι,16.7206313190982,3,3,0,1,0,1,0,1,0,0,0,0,0,0,"ὁσίου-τοῦ (2), ὁσιότητα-τοῦ (1)"
ἀξιάκουστος,οσι,16.2312038233504,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ὁσίων-ἀξιακούστων (1)
ἁγνός,οσι,16.2312038233504,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ὁσίοις-ἁγνοῖς (1)
παλαμήδης,οσι,15.5516910711303,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ὁσιότητι-παλαμήδης (1)
οὔτε,οσι,15.3592236228287,2,1,1,0,0,0,0,1,0,0,0,0,1,0,ὁσιώτερον-οὔτε (2)
μακαρίζω,οσι,14.6438045119867,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ὁσιότητι-μακαρισθείς (1)
ιἕρη,οσι,14.3089939579368,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ὁσίων-ἱερῶν (1)
ἑστιάω,οσι,14.0223832307383,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ὁσιώτερον-ἑστίας (1)
ὄρνις,οσι,13.7718114824966,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ὁσιώτερα-ὄρνισιν (1)
πάνθειος,οσι,13.000199100934,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ὁσιότητα-πάνθεια (1)
ἀξιοθέατος,οσι,12.8462842637673,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ὁσίων-ἀξιοθεάτων (1)
ὀνομάζω,οσι,12.7033887952566,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ὁσιώτερα-ὀνομάζων (1)
ὅσπερ,οσι,11.4981196401641,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ὁσίως-ὅπερ (1)
τελευτάω,οσι,10.8045853059739,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ὁσιότητι-ἐτελεύτησε (1)
ἱερόω,οσι,10.7520310599357,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ὁσίοις-ἱεροῖς (1)
θύω,οσι,10.6022030850872,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ὁσίως-θύειν (1)
οὗ,οσι,10.2103782780468,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ὁσιώτερον-οὗ (1)
χωρίον,οσι,9.91693045198917,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ὁσιώτερον-χωρίον (1)
ἀληθής,οσι,9.78498151060194,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ὁσιώτερα-ἀληθέστερα (1)
ἀφικνέομαι,οσι,9.72214971482754,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ὁσίως-ἀφίκηται (1)
κυρόω,οσι,9.43471113219857,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ὁσιότητα-κύρου (1)
ἥδομαι,οσι,9.3818939793855,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ὁσίοις-ἥδεσθαι (1)
σύνειμι,οσι,9.11411223933101,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ὁσιότητι-συνῆν (1)
ἅπας,οσι,8.83815638441592,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ὁσίως-ἅπαντα (1)
λόγος,οσι,8.81843751855195,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ὁσιότητι-λόγοις (1)
ἐπιθυμέω,οσι,8.49342206679285,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ὁσίων-ἐπιθυμοῦντες (1)
ἥσσων,οσι,8.19989821035415,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ὁσίοις-ἧττον (1)
πέρσης,οσι,7.54595159366727,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ὁσίως-πέρσας (1)
ἡδύς,οσι,7.00050822552294,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ὁσιώτερον-ἥδιον (1)
οὗτος,οσι,6.74226996395737,2,1,1,0,1,0,0,0,0,0,0,0,1,0,"ὁσίως-τοῦτον (1), ὁσίως-οὗτος (1)"
ἔργον,οσι,6.73111835028976,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ὁσίοις-ἔργοις (1)
οἴομαι,οσι,6.62522626668215,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ὁσίοις-οἴοιτο (1)
