Collocation,2013-09-08
KeyWord,οσι
Instances,8
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
καί,οσι,57.3164618769661,10,5,5,0,0,2,0,3,0,2,2,1,0,0,"ὅσιον-καί (3), ὁσιώτερα-καί (3), ὅσια-καί (2), ὡσιώθησαν-καί (1), ὁσίοις-καί (1)"
δικαι,οσι,47.7697901288047,4,3,1,0,0,0,3,0,0,0,0,1,0,0,"ὅσια-δίκαια (2), ὁσιώτερα-δικαιότερα (1), ὅσιον-δίκαιον (1)"
ὁ,οσι,35.8054008539766,8,5,3,1,0,2,1,1,0,1,1,1,0,0,"ὅσια-τά (3), ὁσίοις-τοῖς (1), ὡσιώθησαν-αἱ (1), ὁσίως-τόν (1), ὅσιον-τῶν (1), ὅσιον-ὁ (1)"
θεός,οσι,29.7809577095322,3,2,1,0,0,1,1,0,0,0,0,0,1,0,"ὁσίως-θεόν (1), ὁσιώτερα-θεῷ (1), ὅσιον-θεός (1)"
μήτε,οσι,23.4679881008342,2,1,1,0,0,0,1,0,0,1,0,0,0,0,ὅσια-μήτε (2)
δέχομαι,οσι,23.4679881008342,2,0,2,0,0,0,0,0,0,0,0,1,0,1,"ὅσιον-δεχομένῳ (1), ὁσίως-δεχομένῳ (1)"
μή,οσι,22.1836404320784,3,1,2,0,1,0,0,0,0,0,1,0,1,0,"ὅσιον-μή (1), ὅσια-μή (1), ὁσίως-μή (1)"
ἐπισημαίνω,οσι,19.4242238067091,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ὅσιον-ἐπεσήμαινεν (1)
ἐπερωτάω,οσι,16.6517481910996,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ὁσίως-ἐπηρώτα (1)
ταφή,οσι,15.6053650123067,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ὡσιώθησαν-ταφῆς (1)
ἀλήθεια,οσι,14.4206520044245,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ὁσίοις-ἀλήθειαν (1)
δέ,οσι,14.3499535052106,4,3,1,0,1,0,0,2,0,0,0,0,0,1,"ὅσιον-δέ (1), ὡσιώθησαν-δέ (1), ὅσια-δέ (1), ὁσίοις-δέ (1)"
ἀσκέω,οσι,14.0180548424833,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ὁσίοις-ἀσκοῦσιν (1)
ὁπλίζω,οσι,12.723360773176,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ὁσίοις-ὡπλισμένους (1)
ἀληθής,οσι,11.9445874239318,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ὅσια-ἀληθῆ (1)
ἐγώ,οσι,11.7657089517452,2,2,0,2,0,0,0,0,0,0,0,0,0,0,"ὅσια-ἐγώ (1), ὅσια-μοι (1)"
ἄδικος,οσι,11.7020171573386,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ὅσιον-ἀδίκως (1)
ἄν,οσι,11.5529427472502,2,1,1,0,1,0,0,0,0,1,0,0,0,0,"ὁσίως-ἄν (1), ὁσιώτερα-ἄν (1)"
ὅθεν,οσι,11.1129755671136,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ὅσια-ὅθεν (1)
ἐσθίω,οσι,10.7276855683886,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ὡσιώθησαν-ἔδει (1)
ἡδύς,οσι,10.0261956448667,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ὅσιον-ἥδιον (1)
μάλιστα,οσι,9.19307266827673,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ὅσια-μάλιστ' (1)
σπονδή,οσι,9.03730575507507,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ὅσιον-σπονδάς (1)
ἀποδίδωμι,οσι,8.83792760735378,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ὁσιώτερα-ἀποδιδόντες (1)
εὖ,οσι,8.70686514349654,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ὁσίοις-εὖ (1)
φοβέω,οσι,8.65677371807396,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ὁσίοις-ἐφοβεῖτο (1)
μᾶλλον,οσι,8.08135691843927,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ὅσιον-μᾶλλον (1)
πείθω,οσι,8.0087417466566,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ὅσια-πείθησθε (1)
ἄνθρωπος,οσι,7.87106300983578,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ὡσιώθησαν-ἄνθρωπον (1)
οἴομαι,οσι,7.87106300983578,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ὁσιώτερα-οἴεσθαι (1)
αὐτός,οσι,7.86082282336429,2,1,1,0,0,0,0,1,0,0,0,1,0,0,"ὅσιον-αὐτῷ (1), ὁσίως-αὐτῷ (1)"
ἀγαθός,οσι,7.85450936527923,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ὅσιον-ἀγαθῶν (1)
ποιόω,οσι,7.62156273238361,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ὅσια-ποιοῦντες (1)
γιγνώσκω,οσι,7.53558559669182,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ὅσια-γιγνώσκω (1)
καλός,οσι,6.86506067635491,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ὅσιον-καλόν (1)
ἡμέρα,οσι,6.61305717611685,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ὡσιώθησαν-ἡμέραι (1)
βασιλίς,οσι,6.44536977028474,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ὡσιώθησαν-βασιλέα (1)
κατά,οσι,5.60498094884679,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ὡσιώθησαν-κατά (1)
ποιέω,οσι,5.17403513938189,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ὁσιώτερα-ποιεῖν (1)
ἔχω,οσι,4.83350657392293,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ὁσίως-ἔχοι (1)
