Navn,ἀνδρει-,ἀνδρεία,ἀνδρεῖος,δικαι-,δίκαιος,δικαιοσύνη,δικαιόω,σοφ-,σοφία,σοφός,σωφρ-,σωφροσύνη,σώφρων,σώφρονεω,φρον-,φρονέω,φρόνησις,φρόνιμος,φρόντις,εὐσεβ-,εὐσέβεια,εὐσεβέω,εὐσεβής,ὁσι-,ὅσιος,ὁσιότης,τὸ καλόν,ἐπιστ-,ἐπίσταμαι,ἐπιστήμη,ἐπιστήμων
Homer,13,13,0,16,16,0,0,1,1,0,4,2,2,0,101,101,0,0,0,0,0,0,0,2,2,0,224,43,42,0,1
Hesiod,1,1,0,10,10,0,0,2,1,1,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,18,3,3,0,0
Solon,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0
Theognis,0,0,0,22,21,1,0,21,10,11,11,4,7,0,5,4,0,0,1,4,1,0,3,1,1,0,22,11,11,0,0
Heraklit,0,0,0,3,3,0,0,11,3,8,2,0,0,2,4,2,1,1,0,0,0,0,0,0,0,0,2,3,3,0,0
Aeschylos,5,5,0,65,60,0,5,28,0,28,23,0,13,10,50,33,0,2,15,17,3,3,11,7,7,0,27,25,23,2,0
Pindar,6,6,0,8,7,0,1,59,20,39,5,0,5,0,13,6,0,0,7,4,1,,3,1,1,0,51,4,4,0,0
Anaxagoras,0,0,0,1,1,0,0,2,1,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Sophokles,4,2,2,81,72,0,9,46,3,43,18,0,11,7,123,98,3,3,19,21,5,8,8,5,5,0,58,41,36,5,0
Empedokles,2,0,2,9,7,2,0,9,3,6,0,0,0,0,12,6,4,0,2,1,0,0,1,3,3,0,14,0,0,0,0
Gorgias,0,0,0,16,14,0,2,19,11,8,0,0,1,0,32,27,1,4,0,3,1,1,1,1,1,0,4,4,1,2,1
Herodot,12,3,9,103,63,8,32,49,20,29,7,0,4,3,40,32,0,3,5,2,0,0,2,18,18,0,55,118,118,0,0
Ion,2,2,0,0,0,0,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0
Euripides,15,3,2,273,263,1,9,263,15,248,126,6,82,38,194,169,2,2,21,70,10,24,36,60,60,0,230,52,50,1,1
Antiphon (Orat.),1,0,1,98,98,0,0,0,0,0,3,0,1,2,3,2,0,0,1,14,7,3,4,23,23,0,11,16,16,0,0
Antiphon (Soph.),1,1,0,11,9,2,0,1,1,0,6,3,2,1,3,2,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0
