Collocation,2013-09-07,,,,,,,,,,,,,,,,
KeyWord,ευσεβ,,,,,,,,,,,,,,,,
Instances,17,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
δέ,ευσεβ,42.3972518313676,9,5,4,0,1,0,1,3,0,0,1,1,0,2,"εὐσεβείας-δ' (2), εὐσέβειαν-δ' (2), εὐσεβής-δ' (2), εὐσεβῆ-δ' (1), εὐσεβοῦσι-δ' (1), εὐσεβούντων-δ' (1)"
ὁ,ευσεβ,41.751088205725,10,4,6,0,0,1,3,0,0,1,1,0,1,3,"εὐσεβής-τῶν (3), εὐσεβοῦσι-τούς (2), εὐσεβής-ὁ (1), εὐσεβής-τάν (1), εὐσεβεστέραν-τοῖς (1), εὐσεβούντων-τῶν (1), εὐσεβοῦσι-τῆς (1)"
σῶς,ευσεβ,23.2442890745588,2,2,0,0,0,0,0,2,0,0,0,0,0,0,εὐσεβής-σῶν (2)
πέλω,ευσεβ,21.9423004351556,2,0,2,0,0,0,0,0,0,0,2,0,0,0,"εὐσεβούντων-πέλοις (1), εὐσεβής-πέλω (1)"
τε,ευσεβ,19.5400825454853,4,4,0,0,0,2,1,1,0,0,0,0,0,0,"εὐσεβής-τε (2), εὐσεβοῦντες-τ' (1), εὐσεβεστέραν-τ' (1)"
ὁμιλία’,ευσεβ,17.2993523855694,1,0,1,0,0,0,0,0,0,1,0,0,0,0,εὐσεβής-ὁμιλία’ (1)
δημόπρακτος,ευσεβ,17.2993523855694,1,0,1,0,0,0,0,0,0,0,0,0,1,0,εὐσεβής-δημόπρακτος (1)
ὑπέρτερον‘,ευσεβ,17.2993523855694,1,1,0,1,0,0,0,0,0,0,0,0,0,0,εὐσεβείας-ὑπέρτερον‘ (1)
ψεσθε,ευσεβ,17.2993523855694,1,0,1,0,0,0,0,0,0,0,0,1,0,0,εὐσεβοῦντες-ψεσθε (1)
συνεισβαίνω,ευσεβ,17.2993523855694,1,1,0,0,0,0,1,0,0,0,0,0,0,0,εὐσεβής-ξυνεισβάς (1)
λαοδάμας,ευσεβ,17.2993523855694,1,1,0,0,0,0,1,0,0,0,0,0,0,0,εὐσέβειαν-λαοδάμας (1)
ἔκφορος,ευσεβ,17.2993523855694,1,0,1,0,0,0,0,0,0,1,0,0,0,0,εὐσεβούντων-ἐκφορωτέρα (1)
ἐπιπνέω,ευσεβ,17.2993523855694,1,1,0,0,0,1,0,0,0,0,0,0,0,0,εὐσέβειαν-ἐπιπνεῖ (1)
κορκορυγή,ευσεβ,17.2993523855694,1,0,1,0,0,0,0,0,0,0,1,0,0,0,εὐσέβειαν-κορκορυγαί (1)
μετοικία,ευσεβ,17.2993523855694,1,1,0,0,0,1,0,0,0,0,0,0,0,0,εὐσεβοῦντες-μετοικίαν (1)
πίθος,ευσεβ,17.2993523855694,1,0,1,0,0,0,0,0,0,1,0,0,0,0,εὐσεβής-πίθοι (1)
‘μηρῶν,ευσεβ,17.2993523855694,1,1,0,0,1,0,0,0,0,0,0,0,0,0,εὐσεβής-‘μηρῶν (1)
χεῖρά,ευσεβ,17.2993523855694,1,1,0,0,0,0,1,0,0,0,0,0,0,0,εὐσεβεστέραν-χεῖρά (1)
ἐν-γονάω,ευσεβ,17.2993523855694,1,0,1,0,0,0,0,0,0,0,0,1,0,0,εὐσεβής-ἐγγονοῦσα (1)
†καλλίω†,ευσεβ,17.2993523855694,1,0,1,0,0,0,0,0,0,0,1,0,0,0,εὐσεβής-†καλλίω† (1)
ἀπαράσσω,ευσεβ,17.2993523855694,1,1,0,1,0,0,0,0,0,0,0,0,0,0,εὐσεβής-ἀπερράγη (1)
mortuum,ευσεβ,17.2993523855694,1,1,0,1,0,0,0,0,0,0,0,0,0,0,εὐσεβής-mortuum (1)
innere,ευσεβ,17.2993523855694,1,0,1,0,0,0,0,0,0,0,0,0,1,0,εὐσεβῆ-innere (1)
gad,ευσεβ,17.2993523855694,1,1,0,0,0,0,1,0,0,0,0,0,0,0,εὐσεβείας-gad (1)
πως,ευσεβ,15.1874307412654,2,1,1,0,1,0,0,0,0,0,0,0,1,0,"εὐσεβής-πῶς (1), εὐσεβῆ-πῶς (1)"
θερμόω,ευσεβ,14.5271034976467,1,0,1,0,0,0,0,0,0,0,0,1,0,0,εὐσεβής-θερμοῖς (1)
μέμ,ευσεβ,14.5271034976467,1,0,1,0,0,0,0,0,0,0,1,0,0,0,εὐσεβοῦντες-μέμ (1)
tritt,ευσεβ,14.5271034976467,1,0,1,0,0,0,0,0,0,1,0,0,0,0,εὐσεβῆ-tritt (1)
φρήν,ευσεβ,14.2544415746816,2,1,1,0,1,0,0,0,0,0,0,0,0,1,"εὐσεβείας-φρεσίν (1), εὐσεβής-φρενῶν (1)"
τες,ευσεβ,13.480947048869,1,1,0,0,1,0,0,0,0,0,0,0,0,0,εὐσεβοῦντες-τες (1)
γίγνομαι,ευσεβ,13.4750490095466,2,2,0,0,1,1,0,0,0,0,0,0,0,0,"εὐσεβής-γενοῦ (1), εὐσεβεστέραν-γενέσθαι (1)"
εἰμί,ευσεβ,13.1019907859154,3,2,1,0,1,0,0,1,0,1,0,0,0,0,"εὐσεβῆ-μοὐστίν (1), εὐσεβείας-ἦν (1), εὐσεβείας-ἐστιν (1)"
