Collocation,2013-09-07,,,,,,,,,,,,,,,,
KeyWord,φρον,,,,,,,,,,,,,,,,
Instances,62,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
ὁ,φρον,89.6074124071747,24,17,7,3,1,6,4,3,0,1,1,3,1,1,"φρονεῖν-τό (3), φροντίζουσα-ἡ (3), φροντίδα-τήν (2), φρονεῖ-ο (2), φροντίδος-τό (1), φροντίζουσα-ὁ (1), φροντίσιν-τάν (1), φρονεῖ-τάς (1), φροντίσαι-τοῖς (1), φρόντιζε-ἡ (1), φρονεῖ-τό (1), φρονῶν-τό (1), φροντίς-τά (1), φροντίς-ἡ (1), φροντίδα-ὁ (1), φρονεῖν-τόν (1), φροντίσιν-ἁ (1), φρονεῖν-τάς (1)"
φρον,φρον,79.4995348146185,8,4,4,0,1,2,1,0,45,0,1,2,1,0,"φροντίζουσα-φροντίς (1), φρονεῖν-φρονοῦντι (1), φρόντισον-φροντίδος (1), φροντίδος-φρόντισον (1), φρονοῦντα-φρονεῖν (1), φροντίς-φροντίζουσα (1), φρονεῖν-φρονοῦντα (1), φρονοῦντι-φρονεῖν (1), φρονῶν-φρονῶν (0), φρόντισον-φρόντισον (0), φρονεῖν-φρονεῖν (0), φρονοῦντας-φρονοῦντας (0), φροντίσιν-φροντίσιν (0), φρονεῖ-φρονεῖ (0), φρονοῦντι-φρονοῦντι (0), φρονοῦντος-φρονοῦντος (0), φρονοῦντα-φρονοῦντα (0), φρονεῖς-φρονεῖς (0), φροντίδος-φροντίδος (0), φροντίδα-φροντίδα (0), φρονοῦσιν-φρονοῦσιν (0), φροντίζουσα-φροντίζουσα (0), φροντίσαι-φροντίσαι (0), φρονοῦσι-φρονοῦσι (0), φρόντιζε-φρόντιζε (0), φροντίς-φροντίς (0), φρονοῦσα-φρονοῦσα (0), φρονοῦν-φρονοῦν (0)"
οὐ,φρον,50.7915886491537,10,6,4,1,2,2,0,1,0,2,0,0,1,1,"φροντίσιν-οὐ (1), φρονοῦντι-οὐκ (1), φροντίσιν-οὐχ (1), φρονοῦντι-οὐ (1), φρονεῖν-οὐχ (1), φρονεῖ-οὐ (1), φροντίς-οὐχ (1), φρονεῖ-κοὐ (1), φροντίδος-οὐ (1), φρονεῖν-οὐ (1)"
γάρ,φρον,48.7345379311591,10,5,5,0,1,1,2,1,0,1,2,1,1,0,"φρονεῖν-γάρ (2), φρονοῦσι-γάρ (1), φρονοῦν-γάρ (1), φρονῶν-γάρ (1), φρονοῦντος-γάρ (1), φρονοῦντι-γάρ (1), φρονεῖ-γάρ (1), φροντίς-γάρ (1), φροντίζουσα-γάρ (1)"
ἐμός,φρον,46.9676248775795,8,3,5,1,0,1,1,0,0,1,0,2,1,1,"φροντίσαι-ἐμοί (1), φρονεῖ-ἐμάς (1), φρονοῦν-ἐμοί (1), φρονῶν-ἐμοί (1), φρονοῦντα-ἐμόν (1), φρονεῖ-ἐμός (1), φρονεῖν-ἐμόν (1), φρονεῖν-ἐμοῦ (1)"
χο,φρον,43.0805872650817,8,3,5,0,1,0,1,1,0,1,1,0,1,2,"φροντίδος-χο (2), φροντίσαι-χο (1), φρονεῖς-χο (1), φρόντισον-χο (1), φρονοῦντας-χο (1), φρονοῦντος-χο (1), φρονοῦσα-χο (1)"
δέ,φρον,40.3892185888253,13,5,8,0,1,2,2,0,0,2,2,1,2,1,"φροντίς-δ' (2), φρονοῦντι-δ' (2), φρονεῖν-δέ (2), φρονεῖ-δ' (2), φρονῶν-δ' (1), φρονεῖν-δ' (1), φρόντιζε-δέ (1), φροντίσιν-δέ (1), φρονοῦντας-δέ (1)"
μή,φρον,38.96787540894,7,4,3,0,0,0,1,3,0,2,0,0,1,0,"φρονεῖν-μή (3), φρονοῦντα-μή (1), φρονοῦντι-μή (1), φρονοῦν-μή (1), φροντίσιν-μή (1)"
εὖ,φρον,36.8420912013389,5,4,1,0,0,1,1,2,0,1,0,0,0,0,"φρονοῦντα-εὖ (1), φρονοῦντος-εὖ (1), φρονεῖν-εὖ (1), φρονῶν-εὖ (1), φρονεῖς-εὖ (1)"
σωτήριος,φρον,35.101204957813,3,1,2,0,0,0,1,0,0,2,0,0,0,0,"φροντίδος-σωτηρίου (2), φρόντισον-σωτηρίου (1)"
