Collocation,2013-09-07,,,,,,,,,,,,,,,,
KeyWord,σοφ,,,,,,,,,,,,,,,,
Instances,25,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
σοφ,σοφ,169.996132434811,12,6,6,1,2,1,1,1,25,1,1,1,2,1,"σοφός-σοφός (2), σοφῷ-σοφήν (1), σοφός-σοφώτερος (1), σοφός-σοφοῦ (1), σοφοῦ-σοφός (1), σοφώτερος-σοφός (1), σοφώτερος-σοφοῦ (1), σοφοῖς-σοφούς (1), σοφούς-σοφοῖς (1), σοφήν-σοφῷ (1), σοφοῦ-σοφώτερος (1), σοφ-σοφ (0), σοφοῦ-σοφοῦ (0), σοφά-σοφά (0), σοφῷ-σοφῷ (0), σοφώτερος-σοφώτερος (0), σοφή-σοφή (0), σοφούς-σοφούς (0), σοφόν-σοφόν (0), σοφήν-σοφήν (0), σοφοί-σοφοί (0), σοφωτέρα-σοφωτέρα (0), σοφοῖς-σοφοῖς (0), σοφῶν-σοφῶν (0)"
εἰμί,σοφ,80.5785708515905,12,4,8,0,0,2,0,2,0,3,2,2,0,1,"σοφός-ἦ (4), σοφός-ἦν (3), σοφούς-ἐστι (1), σοφώτερος-ἦ (1), σοφός-εἶναι (1), σοφοῦ-ἦ (1), σοφούς-ἐστί (1)"
ὁ,σοφ,43.5091021219268,12,8,4,2,2,1,1,2,0,0,2,1,0,1,"σοφήν-τήν (2), σοφός-ὁ (1), σοφά-ο (1), σοφῷ-τήν (1), σοφοί-τήν (1), σοφοί-οἱ (1), σοφοί-τόν (1), σοφά-τῶν (1), σοφῶν-τῶν (1), σοφούς-οἱ (1), σοφοί-ο (1)"
γάρ,σοφ,38.6958790961653,7,2,5,0,0,1,1,0,0,3,0,1,1,0,"σοφούς-γάρ (2), σοφήν-γάρ (1), σοφῶν-γάρ (1), σοφοῦ-γάρ (1), σοφοῖς-γάρ (1), σοφῷ-γάρ (1)"
ἁμαρτάνω,σοφ,38.324735365808,3,2,1,0,1,1,0,0,0,1,0,0,0,0,"σοφώτερος-ἁμαρτάνει (1), σοφοῦ-ἁμαρτάνει (1), σοφός-ἁμαρτάνει (1)"
α,σοφ,34.8184846788645,6,3,3,1,1,1,0,0,0,1,0,1,0,1,"σοφά-α (3), σοφός-α (2), σοφούς-α (1)"
πρός,σοφ,32.1940549267456,5,4,1,1,0,0,0,3,0,0,0,1,0,0,"σοφούς-πρός (2), σοφοῖς-πρός (1), σοφοῦ-πρός (1), σοφός-πρός (1)"
φόρημα,σοφ,29.2818164504133,2,0,2,0,0,0,0,0,0,0,0,1,1,0,"σοφοῦ-φόρημ' (1), σοφώτερος-φόρημ' (1)"
εὐβουλία,σοφ,29.2818164504133,2,1,1,0,0,0,1,0,0,1,0,0,0,0,"σοφῷ-εὐβουλίαν (1), σοφήν-εὐβουλίαν (1)"
–,σοφ,26.5450510964729,5,4,1,2,0,1,0,1,0,0,1,0,0,0,"σοφοῖς-– (3), σοφούς-– (2)"
πιθόω,σοφ,26.371761886403,2,1,1,0,0,0,0,1,0,0,1,0,0,0,"σοφήν-πιθοῦ (1), σοφῷ-πιθοῦ (1)"
καί,σοφ,25.0668729254976,7,4,3,0,0,1,1,2,0,0,0,1,1,1,"σοφοῦ-καί (3), σοφός-καί (1), σοφόν-καί (1), σοφά-καί (1), σοφώτερος-καί (1)"
οἶδα,σοφ,22.6391206881963,3,3,0,2,0,0,0,1,0,0,0,0,0,0,"σοφός-εἰδώς (2), σοφοῦ-εἰδώς (1)"
αἰσχρός,σοφ,22.2918295455165,2,0,2,0,0,0,0,0,0,0,1,0,0,1,"σοφήν-αἰσχρόν (1), σοφῷ-αἰσχρόν (1)"
δέ,σοφ,22.2346592620015,7,4,3,0,3,0,1,0,0,0,1,0,1,1,"σοφός-δ' (2), σοφή-δ' (2), σοφωτέρα-δέ (1), σοφά-δέ (1), σοφόν-δ' (1)"
τοι,σοφ,21.8774512344971,3,2,1,0,0,1,1,0,0,0,1,0,0,0,"σοφοῦ-τοι (1), σοφός-τοι (1), σοφώτερος-τοι (1)"
×,σοφ,20.6598546137102,4,1,3,0,0,0,1,0,0,1,0,0,1,1,"σοφούς-× (2), σοφοῖς-× (2)"
