Collocation,2013-09-07,,,,,,,,,,,,,,,,
KeyWord,σωφρ,,,,,,,,,,,,,,,,
Instances,20,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
δέ,σωφρ,37.4362090434879,9,1,8,1,0,0,0,0,0,0,2,3,2,1,"σωφρονεῖν-δέ (3), σωφρόνως-δ' (1), σώφρονας-δέ (1), σώφρονος-δ' (1), σωφρονῶν-δ' (1), σωφρονοῦντες-δ' (1), σώφροσιν-δ' (1)"
σύ,σωφρ,21.6514650313184,4,1,3,0,0,1,0,0,0,0,1,1,1,0,"σώφρονας-ὑμεῖς (1), σωφρονεῖν-σέ (1), σώφροσιν-σύ (1), σωφρονεῖν-σύ (1)"
διδάσκω,σωφρ,20.6292051333003,2,2,0,0,2,0,0,0,0,0,0,0,0,0,"σωφρονεῖν-διδαχθείς (1), σωφρονεῖν-διδάσκεσθαι (1)"
ἥσυχος,σεσωφρονισμένως,20.4070858145133,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σεσωφρονισμένως-ἡσύχως (1)
μάντις,σωφρ,19.7380484808236,2,1,1,0,1,0,0,0,0,0,0,0,1,0,"σώφρων-μάντις (1), σωφρονέστατον-μάντιν (1)"
ὁ,σωφρ,19.3609646521509,7,4,3,1,0,0,0,3,0,0,0,0,2,1,"σωφρονεῖν-τό (3), σώφρων-τήν (1), σώφρων-ὁ (1), σώφροσιν-τοῖς (1), σώφρονος-τόν (1)"
ἐρέσσω,σεσωφρονισμένως,19.1641385159455,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σεσωφρονισμένως-ἐρέσσεται (1)
μήτις,σωφρ,19.0104544614442,2,0,2,0,0,0,0,0,0,0,1,0,0,1,σωφρόνων-μήτ' (2)
βαρύς,σωφρ,18.8796518133022,2,2,0,0,1,1,0,0,0,0,0,0,0,0,"σωφρονεῖν-βαρύ (1), σωφρονεῖν-βαρύς (1)"
γάρ,σωφρ,18.6919057480991,4,1,3,0,0,0,1,0,0,1,0,0,1,1,"σωφρονεῖν-γάρ (1), σώφροσιν-γάρ (1), σώφρων-γάρ (1), σωφρόνως-γάρ (1)"
