Collocation,2013-09-07,,,,,,,,,,,,,,,,
KeyWord,δικαι,,,,,,,,,,,,,,,,
Instances,34,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
καί,δικαι,170.141823780374,31,18,13,4,1,2,3,8,0,5,1,2,4,1,"δικαίως-καί (9), δίκαια-καί (6), δίκαιον-καί (4), δικαιότεροι-καί (2), δικαίου-καί (2), δικαιότερον-καί (2), δικαίοις-καί (2), δικαίαν-καί (2), δικαίῳ-καί (1), δικαία-καί (1)"
ὁ,δικαι,78.5572235368309,25,12,13,3,1,2,2,4,0,0,3,4,3,3,"δίκαια-τά (5), δικαίως-τῆς (4), δίκαιον-τούς (4), δικαίως-τούς (2), δικαιότεροι-τῶν (2), δικαίοις-τό (2), δικαίως-τῶν (1), δικαιότατα-τόν (1), δίκαια-τῶν (1), δίκαια-οἱ (1), δίκαιον-τῆς (1), δικαίου-τοῖν (1)"
οὗτος,δικαι,48.8719560140744,12,4,8,1,0,1,1,1,0,1,1,2,2,2,"δίκαια-τούτοις (1), δικαιότεροι-τούτους (1), δίκαιον-τοῦτον (1), δικαιότεροι-τούτου (1), δίκαιον-τούτου (1), δικαίως-τούτων (1), δικαιότεροι-τούτῳ (1), δικαίαν-τοῦτο (1), δικαίως-τοῦτον (1), δικαίως-ταύτης (1), δικαιότατα-τούτῳ (1), δικαίως-ταῦτα (1)"
ἄν,δικαι,36.6571069109486,7,4,3,0,0,1,3,0,0,2,1,0,0,0,"δικαίως-ἄν (6), δικαίαν-ἄν (1)"
δέ,δικαι,29.0438888799399,10,4,6,2,1,0,1,0,0,0,3,1,1,1,"δίκαια-δέ (4), δικαίῳ-δέ (2), δικαίως-δέ (2), δικαία-δέ (1), δικαιότερον-δέ (1)"
περί,δικαι,27.7214697704767,6,2,4,0,0,2,0,0,0,2,0,0,2,0,"δίκαια-περί (3), δίκαιον-περί (2), δικαίοις-περί (1)"
σύ,δικαι,27.4531019283459,6,4,2,1,0,2,0,1,0,0,1,0,1,0,"δίκαια-ὑμῖν (2), δικαίως-ὑμῖν (2), δικαίῳ-ὑμῖν (1), δικαίαν-ὑμῖν (1)"
ἐγώ,δικαι,25.5815798545373,7,3,4,0,1,1,0,1,0,1,0,1,1,1,"δίκαια-με (1), δίκαια-ἐγώ (1), δικαία-μοι (1), δικαίως-μοι (1), δικαίως-ἡμῖν (1), δικαίαν-μοι (1), δικαίως-ἐγώ (1)"
εἰμί,δικαι,25.3324992752168,8,3,5,0,2,0,1,0,0,3,1,1,0,0,"δικαιότεροι-ἦσαν (1), δικαίαν-ἐστιν (1), δικαίως-ἐστί (1), δικαίοις-εἶναι (1), δικαίως-εἶναι (1), δικαία-ἐστίν (1), δικαιότεροι-ὄντες (1), δικαίως-ἐστιν (1)"
ἀριστείδης,δικαι,25.0928064226755,2,2,0,0,0,0,2,0,0,0,0,0,0,0,"δικαιότατα-ἀριστείδου (1), δίκαιον-ἀριστείδην (1)"
γιγνώσκω,δικαι,24.761620538251,4,2,2,1,0,0,1,0,0,1,0,0,0,1,"δίκαια-γνώσονται (1), δικαίῳ-γνώσεσθαι (1), δίκαια-γιγνώσκειν (1), δίκαια-γνώσεσθαι (1)"
ἐμός,δικαι,21.7752820825553,5,3,2,0,0,0,2,1,0,0,0,0,1,1,"δίκαια-ἐμοῦ (2), δικαιότεροι-ἐμέ (1), δικαίως-ἐμοί (1), δίκαιον-ἐμοί (1)"
τάσσω,δικαι,21.2773836838896,2,1,1,1,0,0,0,0,0,1,0,0,0,0,"δικαιότατα-τάξαι (1), δικαιότατα-τεταγμένον (1)"
ἐκβάλλω,δικαι,19.5549537299084,2,0,2,0,0,0,0,0,0,1,0,1,0,0,"δίκαιον-ἐκβάλλειν (1), δικαιότερον-ἐκβληθῆναι (1)"
ἀγωνίζομαι,δικαι,16.7353456337587,2,2,0,0,0,2,0,0,0,0,0,0,0,0,"δίκαιον-ἀγωνιζόμενος (1), δικαίως-ἀγωνιζόμενος (1)"
ὅς,δικαι,16.453991485876,5,2,3,0,1,0,1,0,0,1,1,1,0,0,"δικαίως-οἵ (1), δίκαιον-ὧν (1), δικαία-ἅ (1), δικαίως-ᾗ (1), δίκαιον-οὕς (1)"
ἄδικος,δικαι,15.1140619899379,2,0,2,0,0,0,0,0,0,0,1,0,0,1,"δικαίως-ἀδίκως (1), δίκαια-ἀδίκως (1)"
ὑπό,δικαι,14.7403382033226,3,2,1,0,1,1,0,0,0,0,1,0,0,0,"δικαιότατα-ὑπ' (1), δικαίως-ὑπό (1), δίκαια-ὑπό (1)"
σωφρ,δικαι,14.6947095216601,2,1,1,0,0,0,1,0,0,0,1,0,0,0,δικαιότεροι-σωφρονέστεροι (2)
