Collocation,2013-09-07
KeyWord,δικαι
Instances,5
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,δικαι,47.3273049595446,10,6,4,3,0,0,0,3,0,0,1,1,1,1,"δίκαιον-τοῖς (2), δίκαιον-τό (2), δικαίοις-τοῖς (1), δικαίωι-τάς (1), δικαίοις-τήν (1), δίκαιον-τόν (1), δικαίωι-τοῖς (1), δικαίοις-τῆς (1)"
καί,δικαι,38.8371047336623,7,3,4,0,0,0,3,0,0,1,1,0,2,0,"δικαίωι-καί (4), δίκαιον-καί (2), δικαίοις-καί (1)"
νόμος,δικαι,25.0081850848401,3,3,0,0,2,1,0,0,0,0,0,0,0,0,"δικαίωι-νόμοις (2), δίκαιον-νόμον (1)"
τε,δικαι,15.2871531937162,3,2,1,0,1,1,0,0,0,0,0,0,0,1,"δικαίωι-τε (2), δίκαιον-τε (1)"
τῷ,δικαι,13.5093543111034,2,2,0,0,0,0,0,2,0,0,0,0,0,0,δικαίωι-τῶι (2)
συμμαχέω,δικαι,12.0671029773439,1,1,0,0,0,1,0,0,0,0,0,0,0,0,δικαίωι-συμμαχῶν (1)
ἀφειδής,δικαι,12.0671029773439,1,1,0,0,0,1,0,0,0,0,0,0,0,0,δικαίοις-ἀφειδής (1)
σπουδάζω,δικαι,12.0671029773439,1,0,1,0,0,0,0,0,0,1,0,0,0,0,δικαίοις-ἐσπουδακώς (1)
καταψεύδομαι,δικαι,12.0671029773439,1,1,0,0,1,0,0,0,0,0,0,0,0,0,δίκαιον-καταψεύδονται (1)
ἐμβασιλεύω,δικαι,12.0671029773439,1,0,1,0,0,0,0,0,0,1,0,0,0,0,δίκαιον-ἐμβασιλεύειν (1)
μέμφομαι,δικαι,12.0671029773439,1,1,0,0,0,1,0,0,0,0,0,0,0,0,δίκαιον-μεμφόμενοι (1)
γάρ,δικαι,10.7721508340328,2,0,2,0,0,0,0,0,0,0,0,2,0,0,"δικαίωι-γάρ (1), δίκαιον-γάρ (1)"
οὗτος,δικαι,8.59168365808364,2,0,2,0,0,0,0,0,0,0,2,0,0,0,"δικαίωι-τοῦτο (1), δικαίωι-ταῦτα (1)"
ἐπί-ἐπικουρέω,δικαι,8.25657412138753,1,0,1,0,0,0,0,0,0,1,0,0,0,0,δικαίωι-ἐπικουροίη (1)
κρατύνω,δικαι,8.25657412138753,1,0,1,0,0,0,0,0,0,0,0,1,0,0,δικαίωι-κρατύνων (1)
παρά,δικαι,7.58125948517409,1,1,0,0,0,0,1,0,0,0,0,0,0,0,δίκαιον-παρά (1)
ψυχή,δικαι,7.0802002103519,1,1,0,0,1,0,0,0,0,0,0,0,0,0,δικαίοις-ψυχῆς (1)
3,δικαι,6.68177603805452,1,0,1,0,0,0,0,0,0,1,0,0,0,0,δίκαιον-3 (1)
ἡδύς,δικαι,6.35117048469328,1,0,1,0,0,0,0,0,0,0,0,0,1,0,δίκαιον-ἡδύ (1)
ἀρετή,δικαι,6.06876705693139,1,0,1,0,0,0,0,0,0,0,0,0,1,0,δικαίοις-ἀρετήν (1)
ἐπί,δικαι,5.23021187860286,1,1,0,0,0,0,1,0,0,0,0,0,0,0,δικαίοις-ἐπί (1)
τῇ,δικαι,5.0676540064087,1,0,1,0,0,0,0,0,0,0,0,0,0,1,δικαίωι-τῆι (1)
μέν,δικαι,3.62488239186496,1,1,0,1,0,0,0,0,0,0,0,0,0,0,δικαίωι-μέν (1)
οὐ,δικαι,3.62488239186496,1,0,1,0,0,0,0,0,0,0,1,0,0,0,δίκαιον-οὐ (1)
ἄνθρωπος,δικαι,3.48802440341751,1,0,1,0,0,0,0,0,0,0,0,1,0,0,δίκαιον-ἀνθρώποις (1)
ο�,δικαι,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,δίκαιον-ο� (1)
έ,δικαι,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,δίκαιον-έ (1)
μεταδιώ�,δικαι,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,δικαίοις-μεταδιώ� (1)
δικαι,δικαι,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,"δίκαιον-δίκαιον (0), δικαίωι-δικαίωι (0), δικαίοις-δικαίοις (0)"
