Collocation,2013-09-07
KeyWord,δικαι
Instances,92
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,δικαι,258.198892162938,73,46,27,9,10,6,5,16,0,8,4,5,3,7,"δίκαιον-τό (11), δικαίως-τό (6), δίκαια-τά (4), δικαίως-τόν (3), δίκαιος-τῆς (2), δίκαιον-τόν (2), δικαιοτάτην-τήν (2), δίκαιος-τήν (2), δικαιότερον-τόν (2), δίκαια-τό (2), δίκαιον-τούς (2), δικαίως-τῶν (2), δικαίως-τούς (2), δίκαιοι-οἱ (2), δικαίου-τῶν (1), δίκαια-ἡ (1), δίκαιον-τοῖν (1), δικαιότερα-ὁ (1), δικαίως-τῆς (1), δίκαιον-οἱ (1), δικαιότατον-οἱ (1), δίκαιον-ὁ (1), δικαιότατον-τόν (1), δικαιοτάτης-τῆς (1), δικαίου-ἡ (1), δίκαιος-ὁ (1), δικαίως-ὁ (1), δικαιοτάτους-τῶν (1), δικαίως-τοῖς (1), δικαίου-τά (1), δικαίῳ-τῶν (1), δίκαια-τῶν (1), δίκαιοι-τῶν (1), δικαίων-τῶν (1), δίκαια-τοῖς (1), δικαίων-οἱ (1), δίκαιον-τάς (1), δίκαιος-τό (1), δικαίῳ-τῆς (1), δικαίου-τόν (1), δίκαιον-τῶν (1), δικαίου-τήν (1), δίκαιοι-τάς (1)"
καί,δικαι,248.521114051808,56,34,22,1,6,4,11,12,0,9,1,5,6,1,"δίκαιον-καί (11), δικαίου-καί (11), δικαίως-καί (11), δίκαια-καί (7), δικαιότερον-καί (4), δικαιότατα-καί (3), δικαίῳ-καί (3), δικαιοτάτους-καί (2), δίκαιοι-καί (2), δικαιότατον-καί (1), δικαιοτάτην-καί (1)"
οσι,δικαι,108.891893558612,13,7,6,1,0,0,6,0,0,0,5,1,0,0,"δικαίως-ὁσίως (4), δίκαια-ὅσια (3), δίκαιον-ὅσιον (2), δικαιότερον-ὁσιώτερον (1), δικαιότατα-ὁσιώτατα (1), δίκαιον-ὁσίως (1), δικαίως-ὁσιώτερον (1)"
εἰμί,δικαι,82.6744548251736,25,11,14,1,4,3,2,1,0,0,4,4,5,1,"δίκαιος-ἐστιν (3), δίκαιος-ἐστι (3), δικαίου-ἐστί (1), δίκαια-ᾖ (1), δικαίου-εἶεν (1), δικαίως-ὄντος (1), δικαία-ἐστίν (1), δικαίου-ἐστιν (1), δίκαιοι-ἐσμεν (1), δικαίως-ὄν (1), δίκαιον-ἔσται (1), δίκαιος-ὤν (1), δικαίως-ἐστιν (1), δικαίῳ-ἐστιν (1), δικαίως-ἔστι (1), δικαίως-ὄντων (1), δικαίῳ-εἶναι (1), δικαίως-εἶναι (1), δικαίως-εἴη (1), δίκαιοι-ἐστιν (1), δίκαιον-ἐστιν (1)"
ἄν,δικαι,82.2721206479473,19,10,9,0,2,1,0,7,0,3,2,0,3,1,"δικαίως-ἄν (9), δικαιότερον-ἄν (3), δικαιότατα-ἄν (2), δίκαιον-ἄν (2), δίκαιος-ἄν (1), δικαίου-ἄν (1), δικαιοτάτης-ἄν (1)"
τίς,δικαι,69.9701390633127,19,11,8,2,0,0,1,8,0,0,4,0,1,3,"δικαίου-τοῦ (10), δικαίως-τοῦ (6), δίκαιον-τοῦ (2), δικαιοτάτῃ-τοῦ (1)"
μήτε,δικαι,69.555584650836,10,5,5,0,0,1,0,4,0,4,0,0,0,1,"δικαίως-μήτε (8), δίκαιον-μήτε (2)"
δέ,δικαι,65.602158200636,24,5,19,0,1,3,1,0,0,2,6,1,5,5,"δίκαιος-δέ (4), δικαίως-δέ (3), δικαίως-δ' (3), δίκαια-δέ (3), δίκαιον-δέ (2), δικαιότερον-δ' (1), δίκαιοι-δέ (1), δικαία-δέ (1), δικαιότατον-δ' (1), δικαιοτάτης-δέ (1), δικαίῳ-δέ (1), δικαίων-δέ (1), δίκαιον-δ' (1), δικαίου-δέ (1)"
ὑμός,δικαι,54.6118800464901,12,7,5,1,1,4,1,0,0,1,1,1,2,0,"δίκαια-ὑμᾶς (2), δικαίου-ὑμῶν (2), δικαιότερον-ὑμῶν (2), δικαιοτάτους-ὑμᾶς (1), δίκαιος-ὑμῶν (1), δίκαιον-ὑμᾶς (1), δικαίως-ὑμᾶς (1), δικαιοτάτης-ὑμῶν (1), δικαιότερα-ὑμῶν (1)"
οὐ,δικαι,45.7723814648925,15,13,2,2,0,0,3,8,0,1,0,0,1,0,"δικαίως-οὐ (4), δίκαιον-οὐ (4), δικαίως-οὐκ (3), δικαίῳ-οὐχ (1), δίκαιον-οὐκ (1), δίκαιος-οὐ (1), δίκαιοι-οὐ (1)"
