Collocation,2013-09-07
KeyWord,ευσεβ
Instances,13
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,ευσεβ,85.4800445345463,18,11,7,2,1,4,3,1,0,1,2,2,0,2,"εὐσέβειαν-τήν (4), εὐσεβείας-τῆς (2), εὐσεβές-τό (2), εὐσέβειαν-τό (2), εὐσέβειαν-τῶν (2), εὐσεβείας-τῶν (1), εὐσεβείας-τήν (1), εὐσέβειαν-τούς (1), εὐσεβοῦς-τῶν (1), εὐσεβέστερον-τοῖς (1), εὐσεβεστάτους-τῶν (1)"
καί,ευσεβ,40.9163779674564,9,4,5,0,1,2,1,0,0,0,1,1,3,0,"εὐσεβείας-καί (3), εὐσεβοῦς-καί (2), εὐσεβεστάτους-καί (2), εὐσέβειαν-καί (2)"
ὑμός,ευσεβ,24.7334464177839,4,2,2,0,1,0,1,0,0,1,0,0,1,0,"εὐσεβές-ὑμῶν (1), εὐσεβοῦς-ὑμῶν (1), εὐσεβεῖν-ὑμᾶς (1), εὐσεβεστάτους-ὑμᾶς (1)"
ὑμέτερος,ευσεβ,23.3134947930812,3,3,0,0,0,0,0,3,0,0,0,0,0,0,"εὐσεβείας-ὑμετέρας (2), εὐσεβές-ὑμέτερον (1)"
καθίστημι,ευσεβ,22.5068453063141,3,3,0,1,1,1,0,0,0,0,0,0,0,0,"εὐσεβεῖτε-καταστήσητε (1), εὐσέβειαν-καταστήσετε (1), εὐσεβείας-καθίστασθε (1)"
ἀποθνήσκω,ευσεβ,19.7797011572402,3,1,2,0,0,0,0,1,0,0,0,0,2,0,"εὐσεβέστερον-ἀποθανόντι (1), εὐσέβειαν-ἀποθανόντος (1), εὐσεβεῖτε-ἀποθανών (1)"
οὖν,ευσεβ,18.065973229357,3,2,1,0,0,0,1,1,0,0,0,0,0,1,"εὐσεβέστερον-οὖν (1), εὐσέβειαν-οὖν (1), εὐσεβείας-οὖν (1)"
δέ,ευσεβ,16.9711892107152,5,2,3,0,0,1,1,0,0,0,2,1,0,0,"εὐσέβειαν-δέ (2), εὐσεβεῖν-δέ (1), εὐσέβειαν-δ' (1), εὐσεβοῦς-δέ (1)"
μέν,ευσεβ,15.2986554024392,4,2,2,1,0,0,1,0,0,0,0,0,1,1,"εὐσεβείας-μέν (3), εὐσεβέστερον-μέν (1)"
δίωξις,ευσεβ,14.484410048055,1,1,0,0,0,0,0,1,0,0,0,0,0,0,εὐσεβείας-δίωξιν (1)
ἕνεκα,ευσεβ,14.3279937971965,2,1,1,0,0,1,0,0,0,1,0,0,0,0,"εὐσεβοῦς-ἕνεκα (1), εὐσεβείας-ἕνεκα (1)"
πείθω,ευσεβ,14.0723005711916,2,1,1,0,1,0,0,0,0,0,1,0,0,0,"εὐσεβεῖν-πείθω (1), εὐσεβείας-πείθοντες (1)"
εἰμί,ευσεβ,13.5116513870889,4,2,2,0,2,0,0,0,0,1,0,1,0,0,"εὐσεβείας-εἰσί (1), εὐσέβειαν-εἶναι (1), εὐσέβειαν-ἐσμέν (1), εὐσεβεῖν-εἶναι (1)"
ἀπολύω,ευσεβ,12.904186324391,2,1,1,0,0,0,0,1,0,0,1,0,0,0,"εὐσεβεῖτε-ἀπολύοντες (1), εὐσέβειαν-ἀπολύσεσθε (1)"
ἕλλην,ευσεβ,11.7132006362663,1,0,1,0,0,0,0,0,0,0,1,0,0,0,εὐσεβεστάτους-ἑλλήνων (1)
ἐπιτηδεύω,ευσεβ,11.7132006362663,1,0,1,0,0,0,0,0,0,1,0,0,0,0,εὐσέβειαν-ἐπιτηδεύοντας (1)
αὑτοί,ευσεβ,11.7132006362663,1,0,1,0,0,0,0,0,0,1,0,0,0,0,εὐσεβείας-αὑτοί (1)
φημί,ευσεβ,11.5931369867758,2,1,1,1,0,0,0,0,0,0,1,0,0,0,"εὐσεβεῖν-φασιν (1), εὐσεβείας-φασι (1)"
οὔτε,ευσεβ,11.4017912420095,2,1,1,0,0,1,0,0,0,0,1,0,0,0,εὐσεβές-οὔτε (2)
τίς,ευσεβ,11.129487527418,3,1,2,0,0,0,0,1,0,0,0,1,0,1,"εὐσεβοῦς-τοῦ (1), εὐσεβείας-τοῦ (1), εὐσέβειαν-τοῦ (1)"
παρίημι,ευσεβ,10.6680837321328,1,0,1,0,0,0,0,0,0,1,0,0,0,0,εὐσεβές-παριείς (1)
ἕνεκά,ευσεβ,10.6680837321328,1,0,1,0,0,0,0,0,0,1,0,0,0,0,εὐσεβείας-ἕνεκά (1)
φονή,ευσεβ,9.98986704187701,1,0,1,0,0,0,0,0,0,0,1,0,0,0,εὐσεβείας-φονῆς (1)
