Collocation,2013-09-07
KeyWord,οσι
Instances,23
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
καί,οσι,157.193150294712,24,11,13,1,1,1,0,8,0,8,2,0,1,2,"ὁσίως-καί (9), ὁσιώτερον-καί (4), ὁσιώτατα-καί (3), ὅσια-καί (3), ὁσίων-καί (2), ὅσιον-καί (2), ὅσιοι-καί (1)"
δικαι,οσι,108.891893558612,13,6,7,0,0,1,5,0,0,0,6,0,0,1,"ὁσίως-δικαίως (4), ὅσια-δίκαια (3), ὅσιον-δίκαιον (2), ὁσιώτερον-δικαιότερον (1), ὁσιώτατα-δικαιότατα (1), ὁσιώτερον-δικαίως (1), ὁσίως-δίκαιον (1)"
ὁ,οσι,37.4204019160825,14,6,8,1,1,3,0,1,0,0,2,1,4,1,"ὁσίως-τά (2), ὁσίως-τῆς (2), ὁσίως-τούς (2), ὁσίων-τά (1), ὁσίως-τήν (1), ὁσιώτερον-τό (1), ὅσια-τῶν (1), ὁσίως-τό (1), ὁσίων-τῶν (1), ὅσια-τόν (1), ὅσιοι-τά (1)"
ἀπολύω,οσι,37.1822262511705,5,2,3,0,1,0,0,1,0,1,0,2,0,0,"ὁσίως-ἀπολύετε (2), ὁσιώτερον-ἀπολυομένου (1), ὁσιώτερον-ἀπολῦσαι (1), ὁσίως-ἀπολύοιτε (1)"
γάρ,οσι,30.7808422265225,7,3,4,0,2,0,1,0,0,0,0,1,1,2,"ὅσια-γάρ (2), ὁσίως-γάρ (2), ὁσιώτατα-γάρ (2), ὁσιώτερον-γάρ (1)"
πρός,οσι,29.8416009887005,4,1,3,0,1,0,0,0,0,0,1,1,0,1,"ὁσιώτερον-πρός (2), ὅσια-πρός (1), ὁσίως-πρός (1)"
ἄν,οσι,28.6828201395692,6,3,3,0,0,3,0,0,0,1,1,1,0,0,"ὁσιώτερον-ἄν (2), ὁσιώτατα-ἄν (2), ὁσίως-ἄν (1), ὅσια-ἄν (1)"
ἐγώ,οσι,23.5973271348048,6,3,3,1,0,1,0,1,0,0,0,0,1,2,"ὅσια-ἔγωγε (2), ὅσιον-μοί (1), ὁσίως-ἡμεῖς (1), ὁσίως-με (1), ὁσιώτερον-ἡμεῖς (1)"
τίς,οσι,18.732665383548,5,3,2,2,0,1,0,0,0,0,0,1,1,0,"ὁσιώτερον-τοῦ (2), ὅσιον-τοῦ (2), ὅσια-τοῦ (1)"
πράσσω,οσι,18.709153236181,3,0,3,0,0,0,0,0,0,2,0,0,1,0,"ὁσιώτατα-πράξαιτ' (1), ὅσια-πρασσόντων (1), ὁσίως-πραχθέντα (1)"
ὑπάρχω,οσι,17.4964469142724,2,0,2,0,0,0,0,0,0,2,0,0,0,0,ὁσιώτατα-ὑπάρχει (2)
μή,οσι,16.5779414880089,4,0,4,0,0,0,0,0,0,0,0,1,2,1,"ὁσιώτερον-μή (2), ὁσίων-μή (1), ὅσιον-μή (1)"
κεῖμαι,οσι,15.559051042248,2,2,0,0,0,0,2,0,0,0,0,0,0,0,ὁσιώτατα-κεῖσθαι (2)
ἑαυτοῦ,οσι,15.3156384843751,3,3,0,1,0,2,0,0,0,0,0,0,0,0,"ὁσίως-αὑτούς (1), ὁσίων-αὑτόν (1), ὁσίως-αὑτῶν (1)"
οὗτος,οσι,13.6684745933162,5,5,0,0,1,3,1,0,0,0,0,0,0,0,"ὁσίως-ταῦτα (1), ὁσίως-οὗτος (1), ὁσίως-τούτων (1), ὅσια-ταῦτα (1), ὅσια-τούτους (1)"
ἀνήρ,οσι,13.5796043396695,3,3,0,0,2,0,1,0,0,0,0,0,0,0,"ὁσιώτερον-ἀνδρός (1), ὁσίως-ἄνδρες (1), ὁσίων-ἄνδρες (1)"
ἀπολύετέ,οσι,13.4624659983092,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ὁσίως-ἀπολύετέ (1)
