Collocation,2013-09-07
KeyWord,σωφρ
Instances,6
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,σωφρ,42.7057573245256,9,2,7,0,0,1,1,0,0,1,1,1,3,1,"σωφρονεῖν-τούς (2), σωφρονίζει-τῶν (1), σωφρονοῦντες-ο (1), σωφρονέστερον-τῆς (1), σωφρονίζει-τοῖς (1), σωφρονίσαι-τῆς (1), σωφρονίσαι-τό (1), ἐσωφρόνουν-τήν (1)"
πολύς,σωφρ,25.6779032332124,3,2,1,0,0,1,1,0,0,1,0,0,0,0,"σωφρονοῦντες-πολλοί (2), σωφρονέστερον-πολύ (1)"
φοβέω,σωφρ,25.3311145379557,2,2,0,0,0,0,1,1,0,0,0,0,0,0,"σωφρονίζει-φοβοῦσα (1), ἐσωφρόνουν-φοβηθέντες (1)"
παροινέω,σωφρ,23.9727711399901,2,1,1,1,0,0,0,0,0,0,0,0,1,0,"σωφρονοῦντες-παροινοῦντες (1), σωφρονέστερον-παροινῶν (1)"
δέ,σωφρ,20.203045705799,4,1,3,0,1,0,0,0,0,1,2,0,0,0,"σωφρονοῦντες-δέ (2), σωφρονεῖν-δέ (1), σωφρονίζει-δέ (1)"
οὐ,σωφρ,16.7115987184225,3,0,3,0,0,0,0,0,0,1,1,0,0,1,"σωφρονέστερον-οὐχ (1), ἐσωφρόνουν-οὐκ (1), σωφρονίσαι-οὐκ (1)"
μαίνομαι,σωφρ,16.2825974769075,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἐσωφρόνουν-ἐμαίνοντο (1)
θυμόω,σωφρ,16.2825974769075,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σωφρονίσαι-θυμούμενον (1)
νεόω,σωφρ,16.2825974769075,1,1,0,0,0,0,0,1,0,0,0,0,0,0,σωφρονεῖν-νέους (1)
νέω,σωφρ,16.2825974769075,1,1,0,0,0,0,0,1,0,0,0,0,0,0,σωφρονοῦντες-νέοι (1)
ἑαυτοῦ,σωφρ,14.3461907837773,2,1,1,0,0,0,0,1,0,0,1,0,0,0,"σωφρονέστερον-αὑτοῦ (1), σωφρονέστερον-αὑτῷ (1)"
πρεσβύτης,σωφρ,13.5105391461402,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σωφρονοῦντες-πρεσβῦται (1)
ὑβρίζω,σωφρ,13.5105391461402,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σωφρονεῖν-ὑβρίζειν (1)
νεάω,σωφρ,13.5105391461402,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σωφρονίζει-νέων (1)
συμφορεύς,σωφρ,12.4645732780336,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σωφρονέστερον-συμφορᾶς (1)
ἀρκέω,σωφρ,12.4645732780336,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σωφρονίσαι-ἀρκοῦσα (1)
γέρων,σωφρ,12.4645732780336,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σωφρονεῖν-γέροντας (1)
ἀπολείπω,σωφρ,11.7855075786938,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ἐσωφρόνουν-ἀπέλιπον (1)
πρόσειμι,σωφρ,11.7855075786938,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ἐσωφρόνουν-προσιόντας (1)
σωτηρία,σωφρ,11.2806949759834,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἐσωφρόνουν-σωτηρίαν (1)
δύναμις,σωφρ,11.2806949759834,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σωφρονίζει-δύναμις (1)
