Collocation,2013-09-07,,,,,,,,,,,,,,,,
KeyWord,φρον,,,,,,,,,,,,,,,,
Instances,8,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
καί,φρον,48.7159979061107,8,2,6,0,0,2,0,0,0,0,0,0,4,2,"φροντίδων-καί (4), φρονοῦντας-καί (2), φροντίζειν-καί (2)"
ἴσος,φρον,47.8799782420974,4,2,2,0,0,0,0,2,0,2,0,0,0,0,φρονοῦντας-ἴσα (4)
ποιέω,φρον,37.3571040091047,4,2,2,0,0,0,2,0,0,0,0,2,0,0,"φρονοῦντας-ποιῆσαι (2), φρονεῖν-ποιήσας (2)"
πένης,φρον,28.8051414670481,2,0,2,0,0,0,0,0,0,0,2,0,0,0,φρονεῖν-πένητα (2)
ἐξοίχομαι,φρον,28.8051414670481,2,0,2,0,0,0,0,0,0,0,0,0,0,2,φροντίδων-ἐξοίχεται (2)
πλοῦτων,φρον,28.8051414670481,2,2,0,0,2,0,0,0,0,0,0,0,0,0,φρονεῖν-πλοῦτον (2)
πλέως,φρον,28.8051414670481,2,0,2,0,0,0,0,0,0,0,0,2,0,0,φροντίδων-πλέα (2)
πνέω,φρον,28.8051414670481,2,0,2,0,0,0,0,0,0,0,2,0,0,0,φρονοῦντας-πνέοντας (2)
ἦδος,φρον,24.9873396739422,2,0,2,0,0,0,0,0,0,2,0,0,0,0,φροντίδων-ἤδη (2)
ἀξιόω,φρον,23.262530593056,2,0,2,0,0,0,0,0,0,0,0,2,0,0,φρονοῦντας-ἀξιώσαντα (2)
παῖς,φρον,23.262530593056,2,2,0,0,0,0,2,0,0,0,0,0,0,0,φροντίδων-παῖδες (2)
κελεύω,φρον,23.262530593056,2,2,0,0,0,0,2,0,0,0,0,0,0,0,φροντίζειν-ἐκέλευε (2)
ἐχθρός,φρον,22.078874858591,2,2,0,0,0,2,0,0,0,0,0,0,0,0,φρονοῦντας-ἐχθρούς (2)
φιλόω,φρον,22.078874858591,2,2,0,0,2,0,0,0,0,0,0,0,0,0,φρονοῦντας-φίλους (2)
ὁ,φρον,22.0238885055878,6,4,2,4,0,0,0,0,0,0,0,0,2,0,"φρονοῦντας-τούς (2), φρονεῖν-τό (2), φροντίζειν-ὁ (2)"
δέ,φρον,19.3864402597246,4,3,1,0,2,0,0,1,0,1,0,0,0,0,"φροντίζειν-δ' (2), φρονεῖν-δέ (2)"
καλός,φρον,19.2794152834394,2,1,1,0,0,0,0,1,0,1,0,0,0,0,φρονεῖν-καλῶς (2)
φέρω,φρον,18.3856304724759,2,2,0,2,0,0,0,0,0,0,0,0,0,0,φροντίδων-φέρε (2)
παρέχω,φρον,17.337292218639,2,2,0,0,0,2,0,0,0,0,0,0,0,0,φρονεῖν-παρασχών (2)
νομίζω,φρον,16.2677339676593,2,0,2,0,0,0,0,0,0,0,2,0,0,0,φροντίζειν-νομίζειν (2)
δή,φρον,16.0401360457181,2,2,0,0,2,0,0,0,0,0,0,0,0,0,φροντίδων-δή (2)
ἕτερος,φρον,15.4268436246784,2,0,2,0,0,0,0,0,0,0,0,0,0,2,φρονεῖν-ἕτερον (2)
ἑαυτοῦ,φρον,14.4287059071357,2,0,2,0,0,0,0,0,0,0,0,2,0,0,"φροντίζειν-αὑτῶι (1), φροντίζειν-αὑτῷ (1)"
γίγνομαι,φρον,13.1808280863042,2,2,0,0,0,0,0,2,0,0,0,0,0,0,"φροντίδων-γενέσθων (1), φροντίδων-γενέσθωσαν (1)"
ἀλλά,φρον,13.0754179698706,2,0,2,0,0,0,0,0,0,2,0,0,0,0,φροντίζειν-ἀλλά (2)
πᾶς,φρον,13.0754179698706,2,0,2,0,0,0,0,0,0,0,2,0,0,0,φροντίδων-πάντα (2)
μή,φρον,10.562645419297,2,2,0,0,0,0,0,2,0,0,0,0,0,0,φροντίζειν-μή (2)
τίς,φρον,8.74522983760107,2,2,0,0,0,0,2,0,0,0,0,0,0,0,φρονεῖν-τοῦ (2)
αὐτός,φρον,8.71189577403129,2,2,0,0,0,2,0,0,0,0,0,0,0,0,φροντίζειν-αὐτόν (2)
εἰμί,φρον,7.99089084775187,2,0,2,0,0,0,0,0,0,0,0,0,2,0,φροντίζειν-εἶναι (2)
μέν,φρον,3.6747302863223,1,1,0,1,0,0,0,0,0,0,0,0,0,0,φρονεῖν-μέν (1)
ημάτων,φρον,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,φρονεῖν-ημάτων (1)
ἀξιωθέ,φρον,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,φρονοῦντας-ἀξιωθέ (1)
ἀξιωθ�,φρον,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,φρονοῦντας-ἀξιωθ� (1)
φρον,φρον,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,"φροντίζειν-φροντίζειν (0), φρονεῖν-φρονεῖν (0), φρονοῦντας-φρονοῦντας (0), φροντίδων-φροντίδων (0)"
