Collocation,2013-09-07,,,,,,,,,,,,,,,,
KeyWord,σωφρ,,,,,,,,,,,,,,,,
Instances,13,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
οὐ,σωφρ,98.103399402491,12,6,6,0,0,0,4,2,0,2,0,4,0,0,"σωφρονεῖ-οὐ (4), σωφροσύνην-οὐκ (2), σώφρων-οὐ (2), σωφρονεῖ-οὔ (2), σώφρων-οὔκ (1), σώφρων-οὐκ (1)"
συλλογή,σωφρ,54.0089784485754,4,4,0,3,1,0,0,0,0,0,0,0,0,0,"σωφροσύνης-συλλογῆς (2), σωφροσύνης-ξυλλογήν (2)"
εὐκλεία,σωφρ,54.0089784485754,4,0,4,0,0,0,0,0,0,0,2,2,0,0,σωφροσύνης-εὐκλείας (4)
καί,σωφρ,47.1773518983973,10,3,7,0,1,0,0,2,0,4,1,2,0,0,"σωφροσύνης-καί (9), σώφρονα-καί (1)"
ὑπέρ,σωφρ,37.9780334787501,4,4,0,0,2,2,0,0,0,0,0,0,0,0,σωφροσύνης-ὑπέρ (4)
οὗτος,σωφρ,31.1273187562183,5,5,0,2,1,2,0,0,0,0,0,0,0,0,"σωφροσύνην-ταῦτα (2), σωφρονέστερος-τούτων (2), σώφρονα-τοῦτον (1)"
πάσχω,σωφρ,31.0887445828412,4,4,0,0,4,0,0,0,0,0,0,0,0,0,"σωφροσύνην-παθόντες (2), σωφρονεῖ-πείσεσθαι (2)"
δέ,σωφρ,27.866040307621,6,2,4,0,0,2,0,0,0,2,2,0,0,0,"σωφρονεῖ-δ' (3), σωφροσύνην-δέ (2), σωφρονεῖ-δέ (1)"
ἑψάω,σωφρ,26.6401052107685,2,2,0,0,0,2,0,0,0,0,0,0,0,0,σώφρων-ἥψατο (2)
ἀναφαίνω,σωφρ,26.6401052107685,2,2,0,0,0,0,2,0,0,0,0,0,0,0,σωφροσύνην-ἀνεφάνησαν (2)
ἀποφέρω,σωφρ,26.6401052107685,2,2,0,0,0,0,0,2,0,0,0,0,0,0,σωφρονέστερος-ἀπενέγκηται (2)
δόξις,σωφρ,22.8233733941161,2,2,0,0,0,0,2,0,0,0,0,0,0,0,σωφροσύνης-δόξης (2)
γάρ,σωφρ,22.1948007362371,4,0,4,0,0,0,0,0,0,0,2,2,0,0,"σώφρων-γάρ (2), σωφρονέστερος-γάρ (2)"
τε,σωφρ,21.2717925991165,4,4,0,0,0,2,2,0,0,0,0,0,0,0,σωφροσύνης-τε (4)
δειμαίνω,σωφρ,21.099634404236,2,0,2,0,0,0,0,0,0,0,0,0,2,0,σωφρονέστερος-δειμαίνει (2)
ἐλπίς,σωφρ,21.099634404236,2,0,2,0,0,0,0,0,0,2,0,0,0,0,σωφρονεῖ-ἐλπίδες (2)
πανταχοῦ,σωφρ,21.099634404236,2,0,2,0,0,0,0,0,0,0,0,0,2,0,σωφρονεῖ-πανταχοῦ (2)
ὅς,σωφρ,20.5267028017843,4,2,2,0,2,0,0,0,0,0,2,0,0,0,"σωφρονέστερος-ἅ (2), σωφρονέστερος-ᾧ (1), σωφρονέστερος-ὧι (1)"
μήτε,σωφρ,19.9170488753007,2,2,0,0,2,0,0,0,0,0,0,0,0,0,σώφρων-μήτε (2)
κρατέω,σωφρ,18.2760994540877,2,0,2,0,0,0,0,0,0,0,0,0,0,2,σώφρων-κρατήσας (2)
εὖ,σωφρ,18.2760994540877,2,0,2,0,0,0,0,0,0,0,0,0,0,2,σωφροσύνης-εὖ (2)
εἰμί,σωφρ,17.8896128191263,4,2,2,0,0,0,0,2,0,0,0,2,0,0,"σώφρων-ἔσθ' (2), σώφρων-ἔστι (1), σώφρων-ἐστι (1)"
ἐπιθυμέω,σωφρ,17.6568658326869,2,2,0,2,0,0,0,0,0,0,0,0,0,0,σώφρων-ἐπεθύμησε (2)
μέλλω,σωφρ,17.6568658326869,2,0,2,0,0,0,0,0,0,0,0,0,0,2,σωφρονέστερος-μέλλει (2)
κακόω,σωφρ,16.650889336539,2,2,0,2,0,0,0,0,0,0,0,0,0,0,σωφρονεῖ-κακῶς (2)
φέρω,σωφρ,16.230228128552,2,0,2,0,0,0,0,0,0,0,0,0,2,0,σωφροσύνης-φέρε (2)
ἀγαθός,σωφρ,15.5036056191602,2,0,2,0,0,0,0,0,0,0,0,0,0,2,σωφρονεῖ-ἀγαθόν (2)
ἐθέλω,σωφρ,15.185103242402,2,2,0,0,0,0,2,0,0,0,0,0,0,0,σωφρονέστερος-θέλει (2)
ἀνήρ,σωφρ,14.6164276816125,2,0,2,0,0,0,0,0,0,0,2,0,0,0,σωφροσύνην-ἀνδρός (2)
ὅστις,σωφρ,14.3602706214879,2,0,2,0,0,0,0,0,0,0,0,0,2,0,σώφρων-ὅτου (2)
δή,σωφρ,13.8933049780026,2,0,2,0,0,0,0,0,0,0,0,0,0,2,σωφροσύνης-δή (2)
ὁ,σωφρ,13.8795712529682,6,3,3,1,0,0,0,2,0,0,2,1,0,0,"σωφροσύνης-τῆς (5), σώφρονα-τήν (1)"
ἄλλου,σωφρ,13.2369431795378,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σωφροσύνην-ἄλλου (1)
ὡσαύτως,σωφρ,10.4669211653527,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σώφρονα-ὡσαύτως (1)
μή,σωφρ,8.47386342755635,2,2,0,0,0,2,0,0,0,0,0,0,0,0,σωφρονέστερος-μή (2)
ἄν,σωφρ,8.36900333015365,2,0,2,0,0,0,0,0,0,0,0,0,2,0,σωφροσύνην-ἄν (2)
φίλος,σωφρ,8.24318742362084,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σώφρονα-φίλον (1)
ὄντα,σωφρ,7.84304495909601,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σώφρονα-ὄντα (1)
ἐν,σωφρ,7.66628319973825,2,0,2,0,0,0,0,0,0,2,0,0,0,0,σωφρονέστερος-ἐν (2)
σοφ,σωφρ,7.51071909072925,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σώφρονα-σοφίαν (1)
τίς,σωφρ,6.70291432351223,2,0,2,0,0,0,0,0,0,0,0,0,2,0,σωφροσύνης-τοῦ (2)
αὐτός,σωφρ,6.67066344889463,2,2,0,0,0,0,0,2,0,0,0,0,0,0,σωφροσύνην-αὐτοί (2)
νομίζω,σωφρ,5.55648500539246,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σώφρονα-νομίζομεν (1)
ἄλλος,σωφρ,5.34514789941022,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σωφροσύνην-ἄλλο (1)
ποιέω,σωφρ,4.98219709997647,1,1,0,0,0,0,0,1,0,0,0,0,0,0,σώφρονα-ποιῆται (1)
ἑαυτοῦ,σωφρ,4.67807902224013,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σώφρονα-ἑαυτῶι (1)
σωφρ,σωφρ,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,"σώφρονα-σώφρονα (0), σώφρων-σώφρων (0), σωφρονέστερος-σωφρονέστερος (0), σωφροσύνης-σωφροσύνης (0), σωφρονεῖ-σωφρονεῖ (0), σωφροσύνην-σωφροσύνην (0)"
