Collocation,2013-09-07,,,,,,,,,,,,,,,,
KeyWord,δικαι,,,,,,,,,,,,,,,,
Instances,13,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
ὁ,δικαι,63.295702315052,13,9,4,1,3,1,2,2,0,1,0,0,1,2,"δικαίους-τούς (2), δίκαιον-τό (2), δίκαιοι-τήν (1), δικαιοτέρους-τούς (1), δικαιοσύνῃ-ὁ (1), δίκαιον-τόν (1), δικαιοτέρους-ὁ (1), δίκαιοι-οἱ (1), δίκαιον-τούς (1), δικαιοτέρους-τάς (1), δικαιοτέρους-τό (1)"
ποιέω,δικαι,31.9770805070002,4,1,3,1,0,0,0,0,0,1,1,1,0,0,"δικαίους-ποιεῖν (1), δικαίους-ποιεῖσθαι (1), δίκαιον-ποιεῖσθαι (1), δικαιοτέρους-ποιεῖς (1)"
καί,δικαι,26.2846363604185,7,5,2,1,0,0,1,3,0,0,0,0,2,0,"δικαίως-καί (2), δικαιοτέρους-καί (2), δίκαιοι-καί (1), δικαίους-καί (1), δίκαιον-καί (1)"
vi,δικαι,19.477292876516,3,1,2,0,0,1,0,0,0,0,0,1,0,1,"δικαίως-vi (1), δίκαιον-vi (1), δικαίους-vi (1)"
l,δικαι,19.2860746421793,3,1,2,0,1,0,0,0,0,0,1,0,1,0,"δίκαιον-l (1), δικαίως-l (1), δικαίους-l (1)"
diog,δικαι,19.2860746421793,3,1,2,1,0,0,0,0,0,1,0,1,0,0,"δίκαιον-diog (1), δικαίους-diog (1), δικαίως-diog (1)"
φρον,δικαι,16.5197017460014,2,1,1,1,0,0,0,0,0,0,0,1,0,0,δικαίως-φρονοίη (2)
ἐν,δικαι,16.500300043961,3,2,1,0,1,0,1,0,0,1,0,0,0,0,"δικαιοσύνῃ-ἐν (1), δικαιοτέρους-ἐν (1), δίκαιον-ἐν (1)"
ἄνθρωπος,δικαι,15.6288289184449,2,0,2,0,0,0,0,0,0,0,1,0,1,0,"δικαιοτέρους-ἀνθρώπους (1), δικαιοσύνῃ-ἀνθρώπους (1)"
τῇ,δικαι,15.249165543355,2,1,1,0,0,1,0,0,0,0,0,0,0,1,δικαίως-τῇ (2)
