Collocation,2013-09-07
KeyWord,φρον
Instances,10
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ἐπί,φρον,50.8751332820393,5,2,3,0,1,1,0,0,0,2,0,1,0,0,"φρονεῖς-ἐπί (4), φρονοίη-ἐπί (1)"
μέγας,φρον,45.3964358083031,4,4,0,0,0,0,0,4,0,0,0,0,0,0,"φρονεῖς-μέγα (3), φρονοίη-μέγα (1)"
καί,φρον,43.7647521654144,8,2,6,0,1,0,0,1,0,1,2,1,2,0,"φρόνησις-καί (3), φρονήσεως-καί (2), φρονοίη-καί (1), φρονεῖς-καί (1), φροντίζει-καί (1)"
οὕτως,φρον,23.3430747690145,3,2,1,0,1,0,1,0,0,1,0,0,0,0,"φρονήσεως-οὕτω (1), φρονεῖς-οὕτω (1), φρόνησις-οὕτως (1)"
μήτε,φρον,22.1212356180768,2,0,2,0,0,0,0,0,0,1,0,0,1,0,φρόνησις-μήτε (2)
ἡρακλεωτικός,φρόνημα,19.9854878128972,1,1,0,0,1,0,0,0,0,0,0,0,0,0,φρόνημα-ἡρακλεωτικός (1)
πλοῦτος,φρον,19.2958659540454,2,0,2,0,0,0,0,0,0,0,1,0,1,0,φρονεῖς-πλούτῳ (2)
ἄν,φρον,17.1514381541929,3,2,1,0,0,0,1,1,0,0,0,1,0,0,"φροντίσαις-ἄν (2), φρονοίη-ἄν (1)"
ὅς,φρον,16.9842003177037,3,1,2,1,0,0,0,0,0,0,1,0,0,1,"φρονεῖς-ὅς (1), φρονοίη-ὧν (1), φρονήσεως-οἷς (1)"
ὦ,φρον,16.8668874069117,2,0,2,0,0,0,0,0,0,1,0,0,0,1,φρονεῖς-ὦ (2)
δικαι,φρον,16.5197017460014,2,1,1,0,0,1,0,0,0,0,0,0,0,1,φρονοίη-δικαίως (2)
ἥδομαι,φρόνημα,13.9571652327722,1,0,1,0,0,0,0,0,0,0,0,0,1,0,φρόνημα-ἥδεσθαι (1)
γλαυκῶπις,φρον,13.7065100877371,1,1,0,0,0,0,0,1,0,0,0,0,0,0,φροντίζει-γλαυκῶπις (1)
ἐρείδω,φρον,13.7065100877371,1,0,1,0,0,0,0,0,0,1,0,0,0,0,φρόνησις-ἐρηρεισμένον (1)
προστατέω,φρον,13.7065100877371,1,1,0,0,1,0,0,0,0,0,0,0,0,0,φρονοίη-προστατοίη (1)
κοῦφος,φρον,13.7065100877371,1,1,0,1,0,0,0,0,0,0,0,0,0,0,φρόνησις-κοῦφον (1)
ἐραστός,φρον,13.7065100877371,1,1,0,1,0,0,0,0,0,0,0,0,0,0,φρονήσεως-ἐρασταῖς (1)
ἀκλινής,φρον,13.7065100877371,1,0,1,0,0,0,0,0,0,0,0,1,0,0,φρόνησις-ἀκλινές (1)
αἰσχύνω,φρον,13.7065100877371,1,0,1,0,0,0,0,0,0,0,0,0,1,0,φροντίσαις-αἰσχύνοιο (1)
βραχύς,φρον,13.7065100877371,1,1,0,0,0,1,0,0,0,0,0,0,0,0,φρονεῖς-βραχέα (1)
παρίημι,φρον,13.7065100877371,1,1,0,0,1,0,0,0,0,0,0,0,0,0,φρονήσεως-παρεῖναι (1)
καταρρέω,φρον,13.7065100877371,1,0,1,0,0,0,0,0,0,0,0,1,0,0,φρόνησις-καταρρεῖν (1)
εἶπον,φρον,12.8820678390621,2,1,1,0,1,0,0,0,0,0,0,1,0,0,φρονεῖς-εἶπεν (2)
ὁ,φρον,12.672061407764,5,3,2,0,1,0,1,1,0,0,0,1,1,0,"φροντίζει-τῶν (1), φρονεῖς-ὁ (1), φρονήσεως-τούς (1), φροντίζει-ἡ (1), φρόνησις-ἡ (1)"
ἀνήρ,φρόνημα,12.6375870090851,1,1,0,0,0,0,1,0,0,0,0,0,0,0,φρόνημα-ἀνήρ (1)
δύο,φρον,10.9359115391853,1,1,0,0,1,0,0,0,0,0,0,0,0,0,φροντίσαις-δυοῖν (1)
ἀσφαλής,φρον,10.9359115391853,1,1,0,0,0,0,0,1,0,0,0,0,0,0,φρόνησις-ἀσφαλέστατον (1)
ἐπιστήμη,φρον,10.9359115391853,1,1,0,0,0,0,1,0,0,0,0,0,0,0,φρονεῖς-ἐπιστήμῃ (1)
πατήρ,φρον,10.9359115391853,1,0,1,0,0,0,0,0,0,0,0,0,0,1,φρονεῖς-πατήρ (1)
νικήρατος,φρον,9.89140567291179,1,1,0,1,0,0,0,0,0,0,0,0,0,0,φρονεῖς-νικήρατε (1)
ποῖος,φρον,9.89140567291179,1,1,0,0,0,1,0,0,0,0,0,0,0,0,φρονεῖς-ποίᾳ (1)
κόλαξ,φρον,9.89140567291179,1,0,1,0,0,0,0,0,0,0,0,0,1,0,φρονήσεως-κόλακας (1)
νομίζω,φρον,9.89140567291179,1,0,1,0,0,0,0,0,0,0,0,0,1,0,φρονεῖς-νομίζω (1)
νόος,φρον,9.89140567291179,1,1,0,0,0,0,1,0,0,0,0,0,0,0,φρονήσεως-νοῦ (1)
τέχνη,φρον,9.89140567291179,1,0,1,0,0,0,0,0,0,0,0,1,0,0,φρονοίη-τέχνῃ (1)
ὁ,φρόνημα,9.71530621335842,2,1,1,0,0,0,0,1,0,0,0,0,0,1,φρόνημα-τό (2)
ὅς,φρόνημα,9.41833054352901,1,0,1,0,0,0,0,0,0,1,0,0,0,0,φρόνημα-ὅς (1)
τις,φρόνημα,9.39093242635136,1,1,0,0,0,1,0,0,0,0,0,0,0,0,φρόνημα-τις (1)
πλήν,φρον,9.21380019461503,1,1,0,0,0,1,0,0,0,0,0,0,0,0,φρονήσεως-πλήν (1)
φημί,φρόνημα,9.01949334875098,1,0,1,0,0,0,0,0,0,0,1,0,0,0,φρόνημα-ἔφη (1)
ἀντισθένης,φρον,8.85765120794531,2,0,2,0,0,0,0,0,0,0,1,0,1,0,"φροντίζει-ἀντισθένης (1), φρονεῖς-ἀντίσθενες (1)"
ὁμολογέω,φρον,8.71044803282712,1,0,1,0,0,0,0,0,0,0,0,0,0,1,φροντίσαις-ὁμολογῶν (1)
13,φρον,8.71044803282712,1,1,0,0,0,1,0,0,0,0,0,0,0,0,φρόνησις-13 (1)
φημί,φρον,8.67860367667163,2,0,2,0,0,0,0,0,0,0,0,0,0,2,"φρονεῖς-ἔφη (1), φροντίζει-φησίν (1)"
τίς,φρόνημα,8.48695299975225,1,0,1,0,0,0,0,0,0,0,0,1,0,0,φρόνημα-τοῦ (1)
τεῖχος,φρον,7.97682638873812,1,1,0,0,0,0,1,0,0,0,0,0,0,0,φρόνησις-τεῖχος (1)
πως,φρον,7.97682638873812,1,1,0,1,0,0,0,0,0,0,0,0,0,0,φρονεῖς-πῶς (1)
