Collocation,2013-09-07,,,,,,,,,,,,,,,,
KeyWord,ανδρει,,,,,,,,,,,,,,,,
Instances,18,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
ὁ,ανδρει,75.6143031306565,16,9,7,1,0,2,2,4,0,2,2,1,2,0,"ἀνδρείους-τούς (2), ἀνδρείας-τῆς (1), ἀνδρεῖον-τόν (1), ἀνδρείως-τούς (1), ἀνδρεῖον-τῆς (1), ἀνδρεῖον-τό (1), ἀνδρείως-οἱ (1), ἀνδρείους-τό (1), κἀνδρείως-τῶν (1), ἀνδρεῖος-τήν (1), ἀνδρείους-τοῖς (1), ἀνδρειόταται-τοῖς (1), ανδρει-ὁ (1), ἀνδρειοτέρους-τόν (1), ἀνδρείως-τῆς (1)"
εἶμι,ανδρει,32.0928965518251,4,2,2,0,1,1,0,0,0,2,0,0,0,0,"κἀνδρεῖος-εἶ (1), κἀνδρεῖος-ἴθι (1), ἀνδρείας-ἴθι (1), ἀνδρεῖος-εἶ (1)"
γίγνομαι,ανδρει,30.6292407149449,4,0,4,0,0,0,0,0,0,1,0,0,2,1,"ἀνδρειόταται-γεγένησθε (1), κἀνδρεῖος-γενοῦ (1), ἀνδρειοτάτη-γενέσθαι (1), ἀνδρείας-γένοιτο (1)"
χο,ανδρει,27.2242271169089,4,2,2,1,1,0,0,0,0,1,1,0,0,0,"ἀνδρείας-χο (2), ἀνδρειοτάτη-χο (1), ἀνδρείως-χο (1)"
οὗτος,ανδρει,26.533363530878,6,1,5,0,0,0,0,1,0,0,1,2,0,2,"ἀνδρειότερος-ταῦτ' (2), ἀνδρειοτέρους-τούτου (1), ἀνδρειόταται-αὕτη (1), ἀνδρείως-ταῦτ' (1), ἀνδρείας-ταύτης (1)"
ἀλλά,ανδρει,24.0771789802238,5,4,1,1,1,2,0,0,0,0,1,0,0,0,"ἀνδρείως-ἀλλ' (1), ἀνδρειοτάτη-ἀλλ' (1), ἀνδρεῖον-ἀλλ' (1), ἀνδρείας-ἀλλ' (1), ἀνδρείως-ἀλλά (1)"
εἰμί,ανδρει,18.9723801044747,5,2,3,0,1,0,0,1,0,1,0,1,1,0,"ἀνδρείους-ἔσται (1), ἀνδρείως-εἴς' (1), ἀνδρειότερος-ἦν (1), ἀνδρειότερος-ἐστί (1), ἀνδρείας-ἐστιν (1)"
τῷ,ανδρει,18.3984209531918,3,1,2,1,0,0,0,0,0,0,2,0,0,0,"ἀνδρεῖον-τῷ (1), ἀνδρείους-τῷ (1), ἀνδρειόταται-τῷ (1)"
ϲτοφα,ανδρει,17.4738290142268,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ανδρει-ϲτοφα (1)
μητρίδιος,ανδρει,17.4738290142268,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἀνδρειοτάτη-μητριδίων (1)
