Collocation,2013-09-07,,,,,,,,,,,,,,,,
KeyWord,φρον,,,,,,,,,,,,,,,,
Instances,62,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
ὁ,φρον,109.515382121317,35,20,15,4,5,4,3,4,0,2,2,3,4,4,"φρονεῖς-τόν (3), φρονεῖν-τάς (2), φροντίδα-τήν (2), φρονοῦντας-τούς (2), φροντίζεις-τόν (1), φροντίδος-τήν (1), φρονεῖ-ἡ (1), φροντίζειν-τόν (1), φροντίδα-τά (1), φροντίσαι-τῆς (1), φρονοῦσιν-τήν (1), φρονεῖ-τά (1), φρόντιζε-τοῖς (1), φρονεῖς-τήν (1), φρονοῖ-τά (1), φροντίδα-τό (1), φροντίς-τά (1), φροντίδος-τῆς (1), πεφροντίκαμεν-τάς (1), φροντίζων-τούς (1), φροντίσῃς-τήν (1), φρονεῖτε-τήν (1), φροντίδα-τόν (1), φρονεῖν-τούς (1), ἐφρόντισας-τῶν (1), φροντίζων-τήν (1), φροντίς-ἡ (1), φροντίζει-ταῖσι (1), φροντίς-τήν (1), φροντίζων-τῶν (1)"
οὐ,φρον,93.2210588175803,20,17,3,1,5,0,3,8,0,1,0,0,0,2,"ἐφρόντισα-οὐ (2), φρονεῖν-οὐ (2), φροντίσῃς-οὐ (2), φροντίζει-οὐχ (1), φρονοῦντε-οὐ (1), φροντιῶ-οὐ (1), φροντίζει-οὐ (1), φρονεῖν-οὐκ (1), φροντίσαι-οὐ (1), φροντιεῖς-οὐκ (1), φροντίζων-οὐ (1), φροντίζεις-οὐχί (1), ἐφρόντισεν-οὐ (1), πεφροντίκαμεν-οὐ (1), φρονεῖς-οὐ (1), φρονεῖ-οὐκ (1), φρονεῖς-οὐκ (1)"
εὖ,φρον,79.7742601581849,10,8,2,0,0,0,0,8,0,1,0,0,0,1,"φρονεῖν-εὖ (3), φρονῶν-εὖ (1), φρονοῦσιν-εὖ (1), φρονεῖτε-εὖ (1), φρονοῦντας-εὖ (1), φρονεῖς-εὖ (1), φρονῶ-εὖ (1), φρόντιζε-εὖ (1)"
μή,φρον,48.2050322932191,10,9,1,1,0,0,0,8,0,0,1,0,0,0,"φροντίσῃς-μή (7), φρόντιζε-μή (1), φροντίζετε-μή (1), φρονῶν-μή (1)"
τίς,φρον,46.1096418621019,13,7,6,0,2,1,3,1,0,0,2,1,2,1,"φρονεῖ-τοῦ (2), φρονῶν-τί (1), φροντίζεις-τί (1), φρονεῖν-τοῦ (1), φροντιεῖς-τοῦ (1), ἐφρόντισας-τί (1), φρονοῦσιν-τοῖσιν (1), φρονεῖς-τί (1), φροντίζειν-τί (1), φροντίζειν-τίν' (1), φρονοῦντε-τί (1), φρονοῦντας-τί (1)"
ἀλλά,φρον,41.9789201067761,11,4,7,3,0,0,0,1,0,4,2,1,0,0,"φροντιῶ-ἀλλ' (2), φροντίσῃς-ἀλλ' (2), φρονεῖν-ἀλλ' (1), φρονεῖ-ἀλλά (1), φρονεῖς-ἀλλ' (1), φροντίς-ἀλλ' (1), φρονεῖν-ἀλλά (1), φρονεῖτε-ἀλλ' (1), ἐφρόντισα-ἀλλ' (1)"
νῦν,φρον,40.8914058599621,8,4,4,2,1,1,0,0,0,0,1,3,0,0,"φροντίδα-νῦν (1), φροντίδα-νυν (1), φροντίσωμεν-νῦν (1), φροντίζετε-νυν (1), φρονεῖ-νυν (1), φροντίζων-νῦν (1), φροντίσῃς-νυν (1), ἐφρόντισα-νυν (1)"
ἐγώ,φρον,38.7832058626227,13,5,8,2,0,0,1,2,0,1,4,1,1,1,"φρόντιζε-ἐγώ (2), φρονεῖν-ἐγώ (2), φροντίζεις-ἐγώ (1), φρονεῖν-μ' (1), φροντιῶ-ἐγώ (1), φρονεῖ-μ' (1), φρονῶ-ἁγώ (1), φροντίσῃς-ἐγώ (1), φροντίζετε-ἐγώ (1), φροντίζειν-ἔγωγ' (1), φροντίδα-ἡμῖν (1)"
δέ,φρον,36.4945907727815,12,7,5,1,0,2,4,0,0,0,1,2,2,0,"φρονεῖν-δ' (2), φροντίδος-δέ (1), φροντίζων-δέ (1), πεφροντίκαμεν-δ' (1), φρονεῖς-δ' (1), φρονῶ-δ' (1), φρονοῦντε-δέ (1), φρονοῦντας-δέ (1), φροντίσαι-δ' (1), φρονεῖ-δ' (1), φροντιῶ-δ' (1)"
γάρ,φρον,35.2362379198894,10,2,8,0,0,1,1,0,0,1,4,0,2,1,"φροντίσῃς-γάρ (3), φρονεῖν-γάρ (2), φροντιεῖς-γάρ (1), φροντίζετε-γάρ (1), φρονοῦντας-γάρ (1), φρόντιζε-γάρ (1), φροντίζειν-γάρ (1)"
