Collocation,2013-09-07
KeyWord,οσι
Instances,8
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
δικαι,οσι,19.9294069777243,2,2,0,0,0,1,1,0,0,0,0,0,0,0,"ὅσια-δικαίως (1), ὅσιος-δίκαιος (1)"
θιασώτης,οσι,19.1696360204369,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ὁσίους-θιασώτας (1)
λύσσα,οσι,19.1696360204369,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ὅσια-λύσσῃ (1)
ἴης,οσι,19.1696360204369,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ὅσιος-ἴῃς (1)
ὁμόφρο,οσι,19.1696360204369,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ὅσιος-ὁμόφρο (1)
πολύκαρπος,οσι,19.1696360204369,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ὁσίους-πολύκαρπον (1)
ἐπιβοή,οσι,19.1696360204369,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ὅσιον-ἐπιβοᾶν (1)
σάκτας,οσι,19.1696360204369,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ὁσίαν-σάκταν (1)
μανίη,οσι,19.1696360204369,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ὅσια-μανίαις (1)
φλέγων,οσι,19.1696360204369,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ὅσια-φλέγων (1)
νόμιμος,οσι,16.3971757604741,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ὅσια-νόμιμα (1)
μήδομαι,οσι,16.3971757604741,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ὅσια-μηδομένους (1)
μύστης,οσι,16.3971757604741,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ὁσίοις-μύσταις (1)
θεοσεβής,οσι,16.3971757604741,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ὅσιον-θεοσεβές (1)
νας,οσι,16.3971757604741,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ὅσιος-νας (1)
ἄδολος,οσι,16.3971757604741,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ὅσιος-ἄδολος (1)
ἐφέπω,οσι,15.3508079359308,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ὅσια-ἐφέπειν (1)
τίς,οσι,14.6412625927478,3,1,2,1,0,0,0,0,0,1,0,0,0,1,"ὅσιον-τί (1), ὁσίαν-τοῦ (1), ὅσιον-τοῦ (1)"
χέρνιψ,οσι,14.1661256393418,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ὅσιον-χέρνιβι (1)
μάκαρ,οσι,14.1661256393418,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ὅσιον-μάκαρας (1)
μόλος,οσι,14.1661256393418,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ὅσιον-μόλω (1)
ἁγνός,οσι,13.7635438339785,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ὁσίοις-ἁγνήν (1)
λειμών,οσι,13.7635438339785,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ὁσίους-λειμῶνα (1)
ἐπί,οσι,13.690053938888,2,0,2,0,0,0,0,0,0,1,0,1,0,0,"ὁσίαν-ἐπί (1), ὅσιος-ἐπί (1)"
χορεία,οσι,13.1422126968391,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ὁσίοις-χορείαν (1)
ἀνά,οσι,13.1422126968391,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ὁσίους-ἀνά (1)
δεύτερος,οσι,12.8916860213503,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ὅσιον-δεύτερον (1)
ἐγώ,οσι,12.8832401758991,3,2,1,1,0,1,0,0,0,0,1,0,0,0,"ὅσιον-με (1), ὁσίαν-κἀγώ (1), ὅσιον-'γώ (1)"
εἰς,οσι,12.6268279096112,2,1,1,0,0,0,0,1,0,1,0,0,0,0,"ὁσίους-εἰς (1), ὅσιον-εἰς (1)"
χορεύω,οσι,12.2869855700992,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ὁσίους-χορεύσων (1)
τόκος,οσι,11.9663841780275,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ὅσιον-τόκου (1)
μέρος,οσι,11.9663841780275,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ὁσίοις-μέρος (1)
ἱερή,οσι,11.8235337864608,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ὁσίοις-ἱεράν (1)
πότνια,οσι,11.5652769617736,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ὁσίοις-πότνια (1)
χωρίον,οσι,11.1315540350042,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ὅσιον-χωρίον (1)
ἠώς,οσι,10.5448430916294,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ὅσιον-ἕως (1)
δαίμων,οσι,10.4735278207809,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ὅσια-δαίμονας (1)
τις,οσι,10.3627128615044,2,2,0,0,1,0,0,1,0,0,0,0,0,0,"ὁσίαν-τινά (1), ὅσια-τις (1)"
λογόω,οσι,10.0921557457186,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ὅσιος-λόγους (1)
χύτρα,οσι,9.92576728155836,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ὁσίαν-χύτραν (1)
μέλος,οσι,9.58435315173119,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ὅσιον-μέλος (1)
νομίζω,οσι,9.18020128738135,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ὁσίαν-νομίσας (1)
φρον,οσι,8.90729108871892,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ὅσιος-φρονῶν (1)
ὅταν,οσι,8.35458944411948,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ὅσια-ὅταν (1)
εἷς,οσι,8.23754988797009,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ὅσιον-ἕνα (1)
καλέω,οσι,7.70314494892955,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ὅσιον-καλεῖν (1)
λυ,οσι,7.17420074762776,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ὅσιον-λυ (1)
ἔρχομαι,οσι,6.8909570928663,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ὁσίους-ἐλθέ (1)
ξα,οσι,6.74731415556744,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ὁσίοις-ξα (1)
πρᾶγμα,οσι,6.72612353926525,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ὁσίαν-πράγματος (1)
δράω,οσι,6.53552515618503,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ὅσια-δρῶν (1)
ποιέω,οσι,6.09302810812369,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ὅσια-ποεῖν (1)
ἔχω,οσι,5.96071567432955,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ὁσίοις-ἔχουσαν (1)
λαμβάνω,οσι,5.50713619869202,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ὅσια-ληφθῇ (1)
πολύς,οσι,5.46826427010819,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ὁσίαν-πολλήν (1)
ὅτι,οσι,5.46277516707778,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ὅσια-ὅ (1)
ὅδε,οσι,5.26510361861438,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ὁσίους-τόνδ' (1)
θεός,οσι,5.25524766789749,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ὅσιος-θεούς (1)
ἐμός,οσι,4.81833147909492,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ὅσιος-ἐμοί (1)
μέν,οσι,4.4934941814281,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ὁσίους-μέν (1)
μή,οσι,4.3126893020235,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ὅσια-μή (1)
τε,οσι,4.30676058866084,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ὅσια-τ' (1)
αὐτός,οσι,3.96989694843069,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ὅσια-αὐτῶν (1)
ἄν,οσι,3.71148331044242,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ὅσιον-ἄν (1)
ὦ,οσι,3.56838750839233,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ὁσίοις-ὦ (1)
δέ,οσι,2.22316832654178,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ὅσιον-δέ (1)
εἰμί,οσι,2.18550134589896,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ὅσια-ἔσται (1)
καί,οσι,1.67003197502345,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ὅσια-καί (1)
ὁ,οσι,0.392607502173632,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ὁσίαν-τήν (1)
βίζειν,οσι,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ὅσια-βίζειν (1)
εῖστον,οσι,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ὁσίοις-εῖστον (1)
τινάσσ,οσι,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ὁσίους-τινάσσ (1)
