Collocation,2013-09-07
KeyWord,σοφ
Instances,96
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,σοφ,321.607811839785,77,42,35,3,8,6,7,18,0,5,7,11,6,6,"σοφός-ὁ (7), σοφοῖς-τοῖς (4), σοφούς-τούς (3), σοφῶς-ὁ (3), σοφόν-τῶν (2), σοφοί-οἱ (2), σοφώτερος-τήν (2), σοφίαν-τήν (2), σοφίαν-ὁ (2), σοφῶν-τῶν (2), σοφόν-τό (2), σοφῶν-τοῖς (2), σοφόν-τόν (2), σοφάς-τάς (2), σοφός-τόν (2), σοφίας-οἱ (1), σοφῇ-τόν (1), σοφῶς-τούς (1), σοφῶς-τῆς (1), σοφώτατοι-τῆς (1), σοφώτατα-ταῖς (1), σοφώτατοι-τόν (1), σοφοῖς-τούς (1), σοφά-ὁ (1), σοφόν-ταῖς (1), σοφά-τῶν (1), σοφώτατοι-τοῖς (1), σοφῶς-τάς (1), σοφός-οἱ (1), σοφόν-ὁ (1), σοφωτάτην-τῆς (1), σοφή-αἱ (1), σοφώτερος-τῶν (1), σοφώτερος-ὁ (1), σοφώτατα-οἱ (1), σοφίας-ὁ (1), σοφῶς-τοῖς (1), σοφώτατος-ὁ (1), σοφίαν-τῶν (1), σοφία-τό (1), σοφοῦ-ἡ (1), σοφίας-τῆς (1), σοφώτατον-τόν (1), σοφά-τά (1), σοφῷ-τήν (1), σοφοῖς-τῶν (1), σοφοῖς-τόν (1), σοφοί-ἡ (1), σοφούς-ὁ (1), σοφῶς-τήν (1), σοφόν-τῆς (1), σοφαί-αἱ (1), σοφίας-τοῖς (1)"
εἰμί,σοφ,101.607409995515,27,16,11,2,1,5,7,1,0,6,2,2,1,0,"σοφαί-'στιν (1), σοφός-κᾆτ' (1), σοφῶν-ἐστί (1), σοφόν-εἶτ' (1), σοφόν-εστιν (1), σοφός-εἶναι (1), σοφῇ-ἐστιν (1), σοφῶν-ὄντες (1), σοφώτατοι-ἦσαν (1), σοφός-ἦν (1), σοφῶν-ὄντων (1), σοφός-ἐσθ' (1), σοφόν-εἶναι (1), σοφώτερος-εἴη (1), σοφός-ἔστιν (1), σοφώτερος-ἦν (1), σοφώτερον-ἔστιν (1), σοφή-ἦσθα (1), σοφώτερος-ἔστ' (1), σοφῶν-ἦν (1), σοφίᾳ-εἶναι (1), σοφά-ἐστί (1), σοφός-ὤν (1), σοφός-ἦ (1), σοφόν-ἔν (1), σοφά-ἐστιν (1), σοφάς-ἐστι (1)"
ὦ,σοφ,98.4023271407932,21,17,4,3,3,3,2,6,0,1,1,1,0,1,"σοφώτατε-ὦ (8), σοφώτατοι-ὦ (4), σοφίαν-ὦ (2), σοφωτάτη-ὦ (2), σοφή-ὦ (1), σοφῶς-ὦ (1), σοφῶν-ὦ (1), σοφά-ὦ (1), σοφίας-ὦ (1)"
καί,σοφ,70.4428474437445,24,15,9,1,4,0,1,9,0,5,1,3,0,0,"σοφός-καί (5), σοφίας-καί (2), σοφούς-καί (2), σοφόν-καί (2), σοφή-καί (2), σοφίαν-καί (2), σοφῶς-καί (2), σοφῆς-καί (1), σοφῶν-καί (1), σοφώτερος-καί (1), σοφώτατα-καί (1), σοφῷ-καί (1), σοφά-καί (1), σοφοῖς-καί (1)"
γε,σοφ,60.6606261916459,16,7,9,2,4,0,0,1,0,6,1,2,0,0,"σοφός-γ' (2), σοφώτατον-γ' (2), σοφῶς-γε (2), σοφαί-γέ (1), σοφώτατος-γε (1), σοφώτερος-γε (1), σοφῶν-γ' (1), σοφώτατοι-γ' (1), σοφωτάτη-γ' (1), σοφῇ-γε (1), σοφῶς-γ' (1), σοφά-γ' (1), σοφόν-γε (1)"
δέ,σοφ,53.0978013803251,18,5,13,1,2,1,1,0,0,0,3,2,3,5,"σοφόν-δ' (3), σοφόν-δέ (2), σοφῶς-δ' (1), σοφίᾳ-δ' (1), σοφῷ-δέ (1), σοφώτερον-δέ (1), σοφώτατε-δ' (1), σοφῆς-δέ (1), σοφώτερος-δέ (1), σοφίαν-δ' (1), σοφῶς-δέ (1), σοφά-δέ (1), σοφώτατοι-δ' (1), σοφίας-δέ (1), σοφά-δ' (1)"
γάρ,σοφ,46.1146518616006,14,7,7,1,2,0,4,0,0,2,3,2,0,0,"σοφόν-γάρ (3), σοφά-γάρ (2), σοφοί-γάρ (1), σοφίᾳ-γάρ (1), σοφώτερος-γάρ (1), σοφοῦ-γάρ (1), σοφῶν-γάρ (1), σοφοῖς-γάρ (1), σοφώτερον-γάρ (1), σοφῶς-γάρ (1), σοφίας-γάρ (1)"
θεατός,σοφ,44.4579603350721,5,3,2,1,0,0,1,1,0,1,0,0,0,1,"σοφός-θεατάς (1), σοφώτατοι-θεαταί (1), σοφῶς-θεαταῖσιν (1), σοφῶν-θεατῶν (1), σοφοῖς-θεαταῖς (1)"
ἐν,σοφ,43.2741000954993,10,7,3,2,1,2,1,1,0,1,0,0,2,0,"σοφόν-ἔνι (4), σοφόν-ἐν (3), σοφώτατοι-ἐν (2), σοφία-ἔνι (1)"
ὡς,σοφ,39.2523900899105,10,6,4,0,2,0,2,2,0,1,0,0,3,0,"σοφός-ὡς (2), σοφόν-ὡς (2), σοφῶν-ὡς (1), σοφίαν-ὡς (1), σοφούς-ὡς (1), σοφός-ὥς (1), σοφίας-ὡς (1), σοφά-ὡς (1)"
