Collocation,2013-09-07,,,,,,,,,,,,,,,,
KeyWord,σωφρ,,,,,,,,,,,,,,,,
Instances,28,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
ὁ,σωφρ,92.5852768798359,22,12,10,2,1,2,0,7,0,3,0,2,3,2,"σωφροσύνην-τήν (4), σώφρονα-τόν (2), σωφρονεῖν-τό (2), σωφρονεῖτε-τῶν (1), σωφροσύνη-τά (1), σωφρονεῖν-ὁ (1), σωφρονεῖ-τό (1), σώφρων-τόν (1), σώφρονας-τούς (1), σωφροσύνην-τόν (1), σώφρονες-οἱ (1), σώφρων-ὁ (1), σωφροσύνην-τά (1), σωφρονεῖς-τόν (1), σωφρόνως-τό (1), σωφροσύνης-τῆς (1), σωφροσύνης-τῶν (1)"
καί,σωφρ,50.6627019927837,12,8,4,1,1,1,0,5,0,0,0,2,1,1,"σώφρονας-καί (5), σωφροσύνη-καί (1), σωφρονεῖν-καί (1), σωφρονεῖ-καί (1), σωφρόνως-καί (1), σώφρων-καί (1), σωφροσύνης-καί (1), σώφρονος-καί (1)"
εἰμί,σωφρ,24.9607850830071,7,2,5,1,0,0,0,1,0,1,2,0,1,1,"σώφρων-ἐστί (2), σώφρονας-ὄντας (1), σώφρονα-ἔστιν (1), σώφρων-εἶναι (1), σωφρονεῖν-κᾆτ' (1), σῶφρον-ἦσαν (1)"
δικαι,σωφρ,24.382839940954,3,2,1,0,1,0,1,0,0,0,0,0,1,0,"σώφρονας-δικαίους (2), σωφροσύνη-δίκαια (1)"
γάρ,σωφρ,18.8094989042729,5,2,3,1,1,0,0,0,0,1,0,1,0,1,"σώφρονα-γάρ (1), σώφρονος-γάρ (1), σωφρονεῖς-γάρ (1), σωφρονεῖν-γάρ (1), σώφρων-γάρ (1)"
ἐγώ,σωφρ,18.3486663019285,6,4,2,2,1,0,0,1,0,0,1,0,1,0,"σωφρονεῖν-μοι (1), σωφρονεῖν-ἐγώ (1), σωφρόνως-'γώ (1), σώφρονας-ἔγωγε (1), σώφρων-ἐγώ (1), σωφρονεῖς-ἐγώ (1)"
ποιέω,σωφρ,17.3372409162112,3,2,1,0,0,1,1,0,0,0,0,1,0,0,"σώφρονα-ποιεῖν (1), σώφρων-ἐπόης' (1), σώφρονας-ποήσω (1)"
πρότερος,σωφρ,16.8135984181426,3,0,3,0,0,0,0,0,0,0,2,0,0,1,"σωφρονεῖς-πρότερον (1), σώφρων-πρῶτα (1), σωφροσύνη-πρῶτον (1)"
ἡλικιώτης,σωφρ,16.5696967951953,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σώφρονος-ἡλικιώτου (1)
πίτυλος,σωφρ,16.5696967951953,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σώφρονι-πιτύλων (1)
θέτις,σωφρ,16.5696967951953,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σωφρονεῖν-θέτιν (1)
νεώριον,σωφρ,16.5696967951953,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σωφροσύνην-νεώρια (1)
ἀνθράκυλλος,σωφρ,16.5696967951953,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σώφρων-ἀνθράκυλλος (1)
κύσαι_,σωφρ,16.5696967951953,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σώφρονες-κύσαι_ (1)
εὐνομίη,σωφρ,16.5696967951953,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σωφροσύνην-εὐνομίαν (1)
κρόταφόν,σωφρ,16.5696967951953,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σωφρονεῖς-κρόταφόν (1)
