Collocation,2013-09-07,,,,,,,,,,,,,,,,
KeyWord,σοφ,,,,,,,,,,,,,,,,
Instances,29,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
ὁ,σοφ,159.140053037554,33,19,14,4,4,2,4,5,0,3,1,4,4,2,"σοφίαν-τήν (3), σοφία-ὁ (2), σοφός-τόν (2), σοφούς-τούς (2), σοφίαν-τῶν (2), σοφοί-οἱ (2), σοφίης-τῶν (1), σοφίας-τοῖς (1), σοφόν-τά (1), σοφά-τά (1), σοφά-τοῖς (1), σοφίας-τά (1), σοφοί-τήν (1), σοφοῖς-τοῖς (1), σοφίης-τῆς (1), σοφίης-τοῖς (1), σοφοῦ-τό (1), σοφοί-τόν (1), σοφοῦ-τῆς (1), σοφῶι-τά (1), σοφίης-τό (1), σοφοῖς-τήν (1), σοφοί-τούς (1), σοφόν-τόν (1), σοφοῦ-τῶν (1), σοφοί-τό (1)"
καί,σοφ,71.1200844439445,18,11,7,1,3,2,1,4,0,3,0,4,0,0,"σοφά-καί (3), σοφούς-καί (2), σοφή-καί (2), σοφόν-καί (2), σοφωτέρωι-καί (2), σοφοί-καί (2), σοφός-καί (1), σοφοῦ-καί (1), σοφοῖς-καί (1), σοφῶι-καί (1), σοφία-καί (1)"
δέ,σοφ,30.9349395292811,9,3,6,0,0,0,1,2,0,2,1,1,1,1,"σοφία-δέ (2), σοφίαν-δέ (2), σοφοῖς-δέ (1), σοφός-δ' (1), σοφοῦ-δ' (1), σοφίη-δέ (1), σοφῶι-δέ (1)"
_,σοφ,29.2413817149354,5,3,2,1,1,1,0,0,0,1,0,0,0,1,"σοφίη-_ (2), σοφία-_ (1), σοφῶι-_ (1), σοφίης-_ (1)"
τίς,σοφ,26.5526588882785,6,5,1,0,1,2,1,1,0,0,1,0,0,0,"σοφός-τίς (3), σοφοῦ-τοῦ (2), σοφῶι-τοῦ (1)"
περί,σοφ,23.830598186818,5,2,3,0,0,1,1,0,0,0,1,1,1,0,"σοφούς-περί (2), σοφοῦ-περί (2), σοφή-περί (1)"
τιμέω,σοφ,22.8747166098328,2,1,1,0,0,0,1,0,0,1,0,0,0,0,"σοφίαν-τιμηθείς (1), σοφία-τίμιον (1)"
διάθεσις,σοφ,21.6913631475763,2,0,2,0,0,0,0,0,0,1,0,1,0,0,"σοφοί-διάθεσιν (1), σοφοῦ-διαθέσεως (1)"
τοιόσδε,σοφ,20.784895608318,2,2,0,0,1,1,0,0,0,0,0,0,0,0,"σοφίης-τοιῶνδε (1), σοφοί-τοιόνδε (1)"
τέχνη,σοφ,20.784895608318,2,1,1,0,0,0,1,0,0,0,0,0,1,0,"σοφοῖς-τέχνην (1), σοφίη-τέχνη (1)"
ψυχή,σοφ,18.8997249893146,3,0,3,0,0,0,0,0,0,0,1,0,1,1,"σοφοῦ-ψυχῆς (1), σοφῶι-ψυχῆς (1), σοφίη-ψυχήν (1)"
μέγας,σοφ,18.154913682607,3,0,3,0,0,0,0,0,0,0,1,0,1,1,"σοφία-μεγάλης (1), σοφῶι-μέγιστα (1), σοφίαν-μεγίστην (1)"
ὑπέρ,σοφ,17.9999304891098,2,0,2,0,0,0,0,0,0,1,0,0,0,1,"σοφός-ὑπέρ (1), σοφία-ὑπέρ (1)"
diog,σοφ,17.2717690318823,2,0,2,0,0,0,0,0,0,1,0,0,0,1,"σοφία-diog (1), σοφίαν-diog (1)"
δημόκριτος,σοφ,15.47821622435,3,1,2,0,0,0,1,0,0,0,1,0,1,0,"σοφία-δημόκριτος (1), σοφῶι-δημοκρίτωι (1), σοφίαν-δημόκριτον (1)"
17,σοφ,15.2381859144662,2,2,0,1,0,1,0,0,0,0,0,0,0,0,"σοφός-17 (1), σοφῶι-17 (1)"
νόμος,σοφ,14.5147362814751,2,2,0,1,0,1,0,0,0,0,0,0,0,0,"σοφόν-νόμοις (1), σοφωτέρωι-νόμωι (1)"
πειθαρχέω,σοφ,14.1727275039302,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σοφόν-πειθαρχεῖν (1)
ῥέζω,σοφ,14.1727275039302,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σοφός-ἔρεξε (1)
δαήμων,σοφ,14.1727275039302,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σοφίης-δαήμονες (1)
παρεμπίπτω,σοφ,14.1727275039302,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σοφῶι-παρεμπίπτει (1)
δαιμονιάω,σοφ,14.1727275039302,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σοφά-δαιμονίας (1)
προλέγω,σοφ,14.1727275039302,1,1,0,0,0,0,0,1,0,0,0,0,0,0,σοφία-προλέγων (1)
ὑπόληψις,σοφ,14.1727275039302,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σοφία-ὑπόληψις (1)
παρατήρησις,σοφ,14.1727275039302,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σοφία-παρατηρήσεως (1)
δάκρυον,σοφ,14.1727275039302,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σοφοῖς-δάκρυα (1)
ζῆν’,σοφ,14.1727275039302,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σοφόν-ζῆν’ (1)
ὑποδείκνυμι,σοφ,14.1727275039302,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σοφία-ὑποδεξαμένου (1)
γελασῖνος,σοφ,14.1727275039302,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σοφία-γελασῖνος (1)
γαμέτης,σοφ,14.1727275039302,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σοφοί-γαμέτην (1)
ἄθαμβος,σοφ,14.1727275039302,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σοφίη-ἄθαμβος (1)
τέρμα,σοφ,14.1727275039302,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σοφίη-τέρμα (1)
ληρόκριτον,σοφ,14.1727275039302,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σοφίαν-ληρόκριτον (1)
τίμιος,σοφ,14.1727275039302,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σοφίη-τιμιωτάτη (1)
φιλολογία,σοφ,14.1727275039302,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σοφῶι-φιλολογίαν (1)
χρῆιζον,σοφ,14.1727275039302,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σοφίης-χρῆιζον (1)
ἑβραία,σοφ,14.1727275039302,1,1,0,0,0,0,0,1,0,0,0,0,0,0,σοφή-ἑβραία (1)
ἀκέομαι,σοφ,14.1727275039302,1,1,0,0,0,0,0,1,0,0,0,0,0,0,σοφίη-ἀκέεται (1)
ἐπονομάζω,σοφ,14.1727275039302,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σοφία-ἐπωνομάσθη (1)
628c,σοφ,14.1727275039302,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σοφῶι-628c (1)
ἐπικαλέω,σοφ,14.1727275039302,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σοφία-ἐπεκλήθη (1)
ἐπανέρχομαι,σοφ,14.1727275039302,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σοφά-ἐπανῆλθε (1)
86,σοφ,14.1727275039302,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σοφία-86 (1)
βατός,σοφ,14.1727275039302,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σοφῶι-βατή (1)
διά,σοφ,14.1637777426513,3,2,1,0,0,1,0,1,0,1,0,0,0,0,"σοφίας-διά (1), σοφίαν-διά (1), σοφῶι-διά (1)"
φύσις,σοφ,12.398882941925,2,2,0,0,1,1,0,0,0,0,0,0,0,0,"σοφά-φύσεως (1), σοφίαν-φύσεως (1)"
οὔτε,σοφ,12.3040616037324,2,2,0,0,0,1,0,1,0,0,0,0,0,0,σοφίη-οὔτε (2)
stob,σοφ,11.9464622089872,2,0,2,0,0,0,0,0,0,0,0,1,1,0,"σοφωτέρωι-stob (1), σοφόν-stob (1)"
τις,σοφ,11.9120866293088,3,1,2,0,0,0,1,0,0,0,0,1,0,1,"σοφή-τις (1), σοφίας-τινάς (1), σοφίη-τις (1)"
ἑαυτοῦ,σοφ,11.6984726400115,2,2,0,0,0,1,0,1,0,0,0,0,0,0,"σοφοῦ-ἑαυτόν (1), σοφίαν-ἑαυτοῦ (1)"
iii,σοφ,11.5416058097035,2,1,1,1,0,0,0,0,0,0,0,0,1,0,"σοφοῖς-iii (1), σοφωτέρωι-iii (1)"
παμμένης,σοφ,11.4017831080128,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σοφή-παμμένης (1)
εἴκω,σοφ,11.4017831080128,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σοφωτέρωι-εἴκειν (1)
porphyr,σοφ,11.4017831080128,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σοφά-porphyr (1)
ἀφροσύνη,σοφ,11.4017831080128,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σοφία-ἀφροσύνης (1)
ἐφικτός,σοφ,11.4017831080128,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σοφίη-ἐφικτόν (1)
kayser,σοφ,11.4017831080128,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σοφός-kayser (1)
ἡράκλειτος,σοφ,11.4017831080128,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σοφοῖς-ἡρακλείτωι (1)
αἴνιγμα,σοφ,11.4017831080128,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σοφοῖς-αἰνίγμασι (1)
hippocr,σοφ,11.4017831080128,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σοφοί-hippocr (1)
_iv,σοφ,11.4017831080128,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σοφούς-_iv (1)
ὀργή,σοφ,11.4017831080128,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σοφοῖς-ὀργῆς (1)
‘οὐ,σοφ,11.4017831080128,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σοφόν-‘οὐ (1)
ἐλευθέριος,σοφ,11.4017831080128,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σοφόν-ἐλευθερίως (1)
συμφορέω,σοφ,11.4017831080128,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σοφίη-ξυμφορῆς (1)
κρύπτω,σοφ,11.4017831080128,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σοφοῖς-κρύψαντες (1)
ὧδε,σοφ,11.4017831080128,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σοφός-ὧδε (1)
ποιητός,σοφ,11.4017831080128,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σοφοί-ποιηταί (1)
γάμος,σοφ,11.4017831080128,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σοφοί-γάμους (1)
ὑπερβολή,σοφ,11.4017831080128,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σοφίας-ὑπερβολήν (1)
