Collocation,2013-09-07,,,,,,,,,,,,,,,,
KeyWord,σωφρ,,,,,,,,,,,,,,,,
Instances,8,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
_,σωφρ,45.161617896636,5,2,3,0,0,2,0,0,0,2,1,0,0,0,"σωφροσύνη-_ (4), σωφρονέοντος-_ (1)"
δ_ου,σωφρ,37.4616972460644,4,1,3,0,0,0,0,1,0,0,0,2,1,0,"σωφροσύνη-δ_ου (3), σωφρονέοντος-δ_ου (1)"
_27,σωφρ,33.9747390057892,2,1,1,0,0,0,1,0,0,0,1,0,0,0,σωφροσύνη-_27 (2)
καί,σωφρ,27.3390493531479,6,2,4,0,1,0,0,1,0,1,0,1,2,0,"σωφρόνως-καί (3), σωφρονέουσι-καί (1), σωφροσύνη-καί (1), σωφρονέοντος-καί (1)"
σωφρ,σωφρ,24.9794904222945,2,1,1,0,1,0,0,0,8,0,0,0,1,0,"σωφροσύνη-σωφροσύνη (2), σωφρόνως-σωφρόνως (0), σωφρονέουσι-σωφρονέουσι (0), σωφρονέοντος-σωφρονέοντος (0)"
ὁ,σωφρ,20.2739805164747,6,2,4,0,0,1,1,0,0,1,0,0,0,3,"σωφροσύνη-τά (2), σωφρονέοντος-τῶν (1), σωφροσύνη-ὁ (1), σωφρονέουσι-οἱ (1), σωφρονέοντος-τό (1)"
δέ,σωφρ,18.3501835735515,4,4,0,1,0,0,0,3,0,0,0,0,0,0,"σωφροσύνη-δέ (3), σωφρονέοντος-δέ (1)"
αὐταρκέα,σωφρ,16.844110493199,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σωφροσύνη-αὐταρκέα (1)
φρονίμως,σωφρ,16.844110493199,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σωφρόνως-φρονίμως (1)
ἀδόκιμος,σωφρ,16.844110493199,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σωφρονέοντος-ἀδόκιμος (1)
ἄνθος,σωφρ,16.844110493199,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σωφροσύνη-ἄνθος (1)
ἀέξω,σωφρ,16.844110493199,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σωφροσύνη-ἀέξει (1)
παράγγελμα,σωφρ,16.844110493199,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σωφροσύνη-παράγγελμα (1)
οσι,σωφρ,16.844110493199,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σωφρόνως-ὁσίως (1)
δυστυχέω,σωφρ,16.844110493199,1,1,0,0,0,0,0,1,0,0,0,0,0,0,σωφρονέουσι-δυστυχέοντες (1)
παρατίθημι,σωφρ,14.0719327258412,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σωφροσύνη-παρατίθησιν (1)
νεότης,σωφρ,14.0719327258412,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σωφροσύνη-νεότητος (1)
τερπνός,σωφρ,14.0719327258412,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σωφροσύνη-τερπνά (1)
τέκνον,σωφρ,14.0719327258412,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σωφροσύνη-τέκνοις (1)
ἐπιεικής,σωφρ,14.0719327258412,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σωφρονέοντος-ἐπιεικέως (1)
εὐήθης,σωφρ,14.0719327258412,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σωφρονέοντος-εὔηθες (1)
_21,σωφρ,14.0719327258412,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σωφρονέουσι-_21 (1)
δόκιμος,σωφρ,14.0719327258412,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σωφρονέοντος-δόκιμος (1)
πατήρ,σωφρ,12.3466622371925,1,1,0,0,0,0,0,1,0,0,0,0,0,0,σωφροσύνη-πατρός (1)
_33,σωφρ,12.3466622371925,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σωφρονέοντος-_33 (1)
_19,σωφρ,12.3466622371925,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σωφρονέοντος-_19 (1)
_20,σωφρ,12.3466622371925,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σωφρονέουσι-_20 (1)
_24,σωφρ,12.3466622371925,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σωφροσύνη-_24 (1)
ἀσύνετος,σωφρ,11.8417301496956,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σωφρονέουσι-ἀξύνετοι (1)
_22,σωφρ,11.8417301496956,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σωφροσύνη-_22 (1)
γῆρας,σωφρ,11.4394308818737,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σωφροσύνη-γήραος (1)
αἱρέω,σωφρ,11.1049479475478,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σωφροσύνη-αἱρεῖσθαι (1)
πενία,σωφρ,11.1049479475478,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σωφρονέοντος-πενίην (1)
ἀρετή,σωφρ,10.5684207449667,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σωφρονέουσι-ἀρετῆς (1)
πρᾶξις,σωφρ,10.346150053665,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σωφρονέουσι-πρήξιας (1)
ζάω,σωφρ,10.346150053665,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σωφρόνως-ζῆν (1)
χρεών,σωφρ,10.346150053665,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σωφροσύνη-χρεών (1)
ἄλογος,σωφρ,9.96456806722563,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σωφρονέοντος-ἄλογοι (1)
33,σωφρ,9.96456806722563,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σωφρονέουσι-33 (1)
ἡδονά,σωφρ,9.79811904917005,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σωφροσύνη-ἡδονήν (1)
μέν,σωφρ,9.50620340008754,2,2,0,2,0,0,0,0,0,0,0,0,0,0,"σωφροσύνη-μέν (1), σωφρονέοντος-μέν (1)"
ἔργον,σωφρ,9.50196415570099,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σωφρονέουσι-ἔργα (1)
τύχη,σωφρ,8.81168044148944,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σωφροσύνη-τύχη (1)
